time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.431,0.455,0.442,0.433,1527034.85
2024-06-11 00:00:00+00:00,0.398,0.434,0.432,0.407,4486108.57
2024-06-12 00:00:00+00:00,0.399,0.435,0.407,0.424,1615514.73
2024-06-13 00:00:00+00:00,0.409,0.438,0.424,0.413,2023474.5
2024-06-14 00:00:00+00:00,0.395,0.425,0.414,0.405,1804100.51
2024-06-15 00:00:00+00:00,0.401,0.418,0.405,0.413,598485.18
2024-06-16 00:00:00+00:00,0.407,0.426,0.413,0.421,464263.69
2024-06-17 00:00:00+00:00,0.375,0.424,0.42,0.409,1171050.62
2024-06-18 00:00:00+00:00,0.369,0.413,0.409,0.402,2650513.09
2024-06-19 00:00:00+00:00,0.399,0.456,0.403,0.447,3232193.19
2024-06-20 00:00:00+00:00,0.424,0.464,0.445,0.427,2248886.32
2024-06-21 00:00:00+00:00,0.399,0.425,0.425,0.402,1910766.63
2024-06-22 00:00:00+00:00,0.396,0.411,0.401,0.409,379557.14
2024-06-23 00:00:00+00:00,0.387,0.415,0.408,0.388,497674.45
2024-06-24 00:00:00+00:00,0.371,0.397,0.389,0.397,1475088.75
2024-06-25 00:00:00+00:00,0.392,0.406,0.396,0.399,665500.54
2024-06-26 00:00:00+00:00,0.383,0.403,0.397,0.389,218862.53
2024-06-27 00:00:00+00:00,0.385,0.404,0.389,0.399,1030870.55
2024-06-28 00:00:00+00:00,0.391,0.412,0.4,0.393,656018.28
2024-06-29 00:00:00+00:00,0.382,0.398,0.393,0.383,312405.6
2024-06-30 00:00:00+00:00,0.381,0.402,0.384,0.399,130359.84
2024-07-01 00:00:00+00:00,0.389,0.406,0.399,0.39,135659.47
2024-07-02 00:00:00+00:00,0.388,0.4,0.391,0.398,300206.9
2024-07-03 00:00:00+00:00,0.373,0.4,0.398,0.377,334478.54
2024-07-04 00:00:00+00:00,0.346,0.377,0.376,0.347,1661389.87
2024-07-05 00:00:00+00:00,0.307,0.362,0.347,0.36,2746291.9
2024-07-06 00:00:00+00:00,0.356,0.401,0.359,0.393,1047750.36
2024-07-07 00:00:00+00:00,0.369,0.4,0.393,0.369,1072466.03
2024-07-08 00:00:00+00:00,0.358,0.398,0.372,0.396,1692800.65
2024-07-09 00:00:00+00:00,0.395,0.41,0.396,0.407,3682309.75
2024-07-10 00:00:00+00:00,0.397,0.412,0.406,0.411,1238973.91
2024-07-11 00:00:00+00:00,0.398,0.421,0.41,0.41,1034355.15
2024-07-12 00:00:00+00:00,0.394,0.412,0.408,0.407,730682.63
2024-07-13 00:00:00+00:00,0.404,0.421,0.408,0.415,472015.12
2024-07-14 00:00:00+00:00,0.411,0.427,0.416,0.424,625537.18
2024-07-15 00:00:00+00:00,0.419,0.435,0.423,0.432,1558184.16
2024-07-16 00:00:00+00:00,0.41,0.435,0.433,0.423,1746057.68
2024-07-17 00:00:00+00:00,0.424,0.436,0.424,0.427,1310803.03
2024-07-18 00:00:00+00:00,0.403,0.434,0.429,0.412,1100425.81
2024-07-19 00:00:00+00:00,0.404,0.427,0.412,0.423,1303840.36
2024-07-20 00:00:00+00:00,0.421,0.43,0.423,0.423,536825.5
2024-07-21 00:00:00+00:00,0.41,0.435,0.427,0.432,637765.94
2024-07-22 00:00:00+00:00,0.415,0.436,0.432,0.418,1418189.63
2024-07-23 00:00:00+00:00,0.396,0.425,0.418,0.4,1653725.84
2024-07-24 00:00:00+00:00,0.375,0.402,0.398,0.378,4189303.3
2024-07-25 00:00:00+00:00,0.35,0.38,0.378,0.36,3574760.3
2024-07-26 00:00:00+00:00,0.36,0.371,0.361,0.37,3215466.88
2024-07-27 00:00:00+00:00,0.362,0.38,0.371,0.37,713506.03
2024-07-28 00:00:00+00:00,0.36,0.371,0.369,0.363,306399.86
2024-07-29 00:00:00+00:00,0.363,0.376,0.364,0.369,827681.46
2024-07-30 00:00:00+00:00,0.345,0.375,0.369,0.351,3758324.85
2024-07-31 00:00:00+00:00,0.335,0.354,0.352,0.341,3254483.24
2024-08-01 00:00:00+00:00,0.324,0.351,0.341,0.345,2132679.69
2024-08-02 00:00:00+00:00,0.314,0.344,0.344,0.317,3738732.32
2024-08-03 00:00:00+00:00,0.29,0.32,0.318,0.299,3297226.05
2024-08-04 00:00:00+00:00,0.275,0.301,0.3,0.283,3178811.3
2024-08-05 00:00:00+00:00,0.223,0.288,0.286,0.253,2609928.12
2024-08-06 00:00:00+00:00,0.254,0.269,0.254,0.26,2023396.93
2024-08-07 00:00:00+00:00,0.248,0.269,0.26,0.25,2484966.48
2024-08-08 00:00:00+00:00,0.246,0.279,0.25,0.277,2618302.74
2024-08-09 00:00:00+00:00,0.269,0.28,0.276,0.275,1000028.43
2024-08-10 00:00:00+00:00,0.269,0.279,0.273,0.275,3100782.16
2024-08-11 00:00:00+00:00,0.252,0.28,0.275,0.255,3615041.51
2024-08-12 00:00:00+00:00,0.253,0.267,0.254,0.26,3077172.07
2024-08-13 00:00:00+00:00,0.251,0.269,0.26,0.268,2514975.93
2024-08-14 00:00:00+00:00,0.256,0.274,0.267,0.257,178702.54
2024-08-15 00:00:00+00:00,0.242,0.26,0.258,0.246,2114176.23
2024-08-16 00:00:00+00:00,0.237,0.252,0.247,0.242,3188289.98
2024-08-17 00:00:00+00:00,0.24,0.245,0.241,0.243,3225154.42
2024-08-18 00:00:00+00:00,0.239,0.25,0.242,0.241,3200994.92
2024-08-19 00:00:00+00:00,0.239,0.254,0.241,0.251,3616019.25
2024-08-20 00:00:00+00:00,0.251,0.269,0.251,0.26,3897548.69
2024-08-21 00:00:00+00:00,0.256,0.271,0.26,0.265,3465739.46
2024-08-22 00:00:00+00:00,0.261,0.271,0.265,0.265,3529669.23
2024-08-23 00:00:00+00:00,0.264,0.285,0.265,0.282,3344764.53
2024-08-24 00:00:00+00:00,0.277,0.291,0.282,0.283,4051468.08
2024-08-25 00:00:00+00:00,0.269,0.284,0.283,0.272,3127008.99
2024-08-26 00:00:00+00:00,0.255,0.274,0.272,0.256,3308046.35
2024-08-27 00:00:00+00:00,0.233,0.271,0.257,0.24,3552307.32
2024-08-28 00:00:00+00:00,0.235,0.256,0.239,0.244,3384390.04
2024-08-29 00:00:00+00:00,0.242,0.254,0.244,0.247,3105434.82
2024-08-30 00:00:00+00:00,0.234,0.249,0.247,0.245,3045538.49
2024-08-31 00:00:00+00:00,0.237,0.247,0.245,0.239,3279412.47
2024-09-01 00:00:00+00:00,0.222,0.239,0.238,0.225,3047678.97
2024-09-02 00:00:00+00:00,0.222,0.237,0.225,0.234,2954589.6
2024-09-03 00:00:00+00:00,0.222,0.239,0.234,0.222,3166078.21
2024-09-04 00:00:00+00:00,0.211,0.292,0.222,0.277,6952060.49
2024-09-05 00:00:00+00:00,0.251,0.283,0.276,0.255,3862909.92
2024-09-06 00:00:00+00:00,0.243,0.261,0.255,0.257,1781408.07
2024-09-07 00:00:00+00:00,0.248,0.263,0.258,0.251,1467651.9
2024-09-08 00:00:00+00:00,0.246,0.254,0.251,0.251,3241897.38
2024-09-09 00:00:00+00:00,0.245,0.267,0.251,0.263,3312461.91
2024-09-10 00:00:00+00:00,0.256,0.264,0.263,0.26,3483735.74
2024-09-11 00:00:00+00:00,0.24,0.261,0.26,0.247,3415347.36
2024-09-12 00:00:00+00:00,0.246,0.258,0.247,0.257,3300249.15
2024-09-13 00:00:00+00:00,0.257,0.273,0.257,0.267,3593453.65
2024-09-14 00:00:00+00:00,0.26,0.269,0.267,0.261,3233499.94
2024-09-15 00:00:00+00:00,0.243,0.262,0.261,0.245,3470361.69
2024-09-16 00:00:00+00:00,0.232,0.246,0.246,0.236,3475920.48
2024-09-17 00:00:00+00:00,0.234,0.246,0.236,0.239,958008.42
2024-09-18 00:00:00+00:00,0.234,0.253,0.239,0.253,664184.57
2024-09-19 00:00:00+00:00,0.253,0.274,0.254,0.269,959475.4
2024-09-20 00:00:00+00:00,0.261,0.282,0.27,0.278,1127274.97
2024-09-21 00:00:00+00:00,0.272,0.29,0.278,0.29,572461.4
2024-09-22 00:00:00+00:00,0.269,0.29,0.29,0.276,665125.95
2024-09-23 00:00:00+00:00,0.272,0.284,0.276,0.284,527862.32
2024-09-24 00:00:00+00:00,0.277,0.296,0.283,0.293,1016386.02
2024-09-25 00:00:00+00:00,0.291,0.306,0.293,0.294,742436.38
2024-09-26 00:00:00+00:00,0.288,0.307,0.296,0.303,669719.33
2024-09-27 00:00:00+00:00,0.301,0.315,0.302,0.31,349216.92
2024-09-28 00:00:00+00:00,0.295,0.32,0.313,0.302,461766.55
2024-09-29 00:00:00+00:00,0.289,0.308,0.302,0.296,865289.1
2024-09-30 00:00:00+00:00,0.276,0.3,0.297,0.279,613814.14
2024-10-01 00:00:00+00:00,0.249,0.29,0.279,0.257,783289.33
2024-10-02 00:00:00+00:00,0.246,0.266,0.256,0.251,214983.9
2024-10-03 00:00:00+00:00,0.239,0.256,0.251,0.246,293681.11
2024-10-04 00:00:00+00:00,0.244,0.26,0.248,0.258,448193.6
2024-10-05 00:00:00+00:00,0.252,0.261,0.258,0.256,180705.24
2024-10-06 00:00:00+00:00,0.256,0.263,0.257,0.263,187853.0
2024-10-07 00:00:00+00:00,0.259,0.27,0.263,0.259,292204.18
2024-10-08 00:00:00+00:00,0.252,0.265,0.26,0.253,199399.38
2024-10-09 00:00:00+00:00,0.245,0.256,0.253,0.249,97528.44
2024-10-10 00:00:00+00:00,0.24,0.252,0.25,0.248,184663.1
2024-10-11 00:00:00+00:00,0.246,0.26,0.249,0.258,198518.83
2024-10-12 00:00:00+00:00,0.257,0.263,0.259,0.259,86028.7
2024-10-13 00:00:00+00:00,0.251,0.262,0.26,0.257,106102.33
2024-10-14 00:00:00+00:00,0.254,0.273,0.257,0.272,340899.23
2024-10-15 00:00:00+00:00,0.258,0.277,0.272,0.276,355331.36
2024-10-16 00:00:00+00:00,0.265,0.282,0.278,0.27,315716.98
2024-10-17 00:00:00+00:00,0.258,0.272,0.27,0.261,216134.63
2024-10-18 00:00:00+00:00,0.26,0.272,0.262,0.271,238528.84
2024-10-19 00:00:00+00:00,0.268,0.276,0.271,0.272,360288.62
2024-10-20 00:00:00+00:00,0.268,0.297,0.274,0.291,1287771.43
2024-10-21 00:00:00+00:00,0.274,0.292,0.291,0.279,419368.99
2024-10-22 00:00:00+00:00,0.27,0.283,0.279,0.275,150648.74
2024-10-23 00:00:00+00:00,0.257,0.281,0.276,0.264,298732.45
2024-10-24 00:00:00+00:00,0.262,0.277,0.265,0.275,126216.07
2024-10-25 00:00:00+00:00,0.24,0.275,0.275,0.247,292246.45
2024-10-26 00:00:00+00:00,0.242,0.252,0.247,0.25,211122.17
2024-10-27 00:00:00+00:00,0.25,0.26,0.251,0.258,174607.1
2024-10-28 00:00:00+00:00,0.246,0.26,0.257,0.258,562359.8
2024-10-29 00:00:00+00:00,0.258,0.269,0.26,0.264,566517.06
2024-10-30 00:00:00+00:00,0.253,0.264,0.264,0.259,421189.29
2024-10-31 00:00:00+00:00,0.243,0.26,0.26,0.247,292418.93
2024-11-01 00:00:00+00:00,0.239,0.25,0.246,0.243,242934.72
2024-11-02 00:00:00+00:00,0.238,0.247,0.244,0.241,186480.01
2024-11-03 00:00:00+00:00,0.223,0.241,0.24,0.231,309799.11
2024-11-04 00:00:00+00:00,0.222,0.234,0.23,0.228,181615.71
2024-11-05 00:00:00+00:00,0.226,0.239,0.228,0.236,1757215.43
2024-11-06 00:00:00+00:00,0.235,0.266,0.235,0.263,871215.44
2024-11-07 00:00:00+00:00,0.255,0.275,0.264,0.262,1506481.61
2024-11-08 00:00:00+00:00,0.259,0.268,0.263,0.268,403950.2
2024-11-09 00:00:00+00:00,0.263,0.277,0.266,0.277,336648.98
2024-11-10 00:00:00+00:00,0.272,0.299,0.276,0.288,1111114.42
2024-11-11 00:00:00+00:00,0.285,0.309,0.288,0.308,1649352.52
2024-11-12 00:00:00+00:00,0.284,0.32,0.308,0.304,1623209.38
2024-11-13 00:00:00+00:00,0.277,0.307,0.304,0.29,1390652.47
2024-11-14 00:00:00+00:00,0.27,0.296,0.289,0.274,744669.61
2024-11-15 00:00:00+00:00,0.265,0.289,0.274,0.287,571692.48
2024-11-16 00:00:00+00:00,0.287,0.321,0.288,0.317,1224992.96
2024-11-17 00:00:00+00:00,0.294,0.32,0.318,0.3,568724.23
2024-11-18 00:00:00+00:00,0.299,0.337,0.3,0.333,1427281.06
2024-11-19 00:00:00+00:00,0.328,0.37,0.334,0.337,4672311.6
