time,low,high,open,close,volume
2024-07-17 00:00:00+00:00,0.2077,0.3,0.2401,0.2401,4524419.48
2024-07-18 00:00:00+00:00,0.1715,0.24,0.2379,0.2147,9890357.63
2024-07-19 00:00:00+00:00,0.2104,0.3234,0.2138,0.2922,18825852.49
2024-07-20 00:00:00+00:00,0.2521,0.2998,0.2921,0.2668,7837887.81
2024-07-21 00:00:00+00:00,0.2315,0.267,0.267,0.242,4233248.68
2024-07-22 00:00:00+00:00,0.2218,0.2585,0.242,0.2408,6045753.78
2024-07-23 00:00:00+00:00,0.2043,0.2393,0.2393,0.2058,4645194.89
2024-07-24 00:00:00+00:00,0.1886,0.215,0.2055,0.1887,5790621.07
2024-07-25 00:00:00+00:00,0.1722,0.1917,0.1888,0.1752,5100493.05
2024-07-26 00:00:00+00:00,0.1654,0.1893,0.1751,0.1758,7431278.1
2024-07-27 00:00:00+00:00,0.1588,0.185,0.1757,0.1675,6129352.87
2024-07-28 00:00:00+00:00,0.1466,0.1673,0.1667,0.151,5743697.37
2024-07-29 00:00:00+00:00,0.1381,0.1608,0.1507,0.1399,4897191.27
2024-07-30 00:00:00+00:00,0.1274,0.1449,0.1393,0.1296,7536099.74
2024-07-31 00:00:00+00:00,0.1226,0.1501,0.1292,0.1382,12045098.39
2024-08-01 00:00:00+00:00,0.123,0.1417,0.1386,0.1333,7884058.89
2024-08-02 00:00:00+00:00,0.109,0.133,0.133,0.1125,7127739.96
2024-08-03 00:00:00+00:00,0.1096,0.1253,0.1124,0.1121,8023960.95
2024-08-04 00:00:00+00:00,0.1004,0.1199,0.1111,0.1012,5086223.75
2024-08-05 00:00:00+00:00,0.0767,0.1009,0.1009,0.0837,6452931.42
2024-08-06 00:00:00+00:00,0.0845,0.107,0.0845,0.0949,6011732.85
2024-08-07 00:00:00+00:00,0.0887,0.1025,0.0952,0.0899,4876536.45
2024-08-08 00:00:00+00:00,0.0885,0.1175,0.0894,0.1111,5449547.51
2024-08-09 00:00:00+00:00,0.0984,0.1121,0.1115,0.1052,3701813.23
2024-08-10 00:00:00+00:00,0.0994,0.1233,0.1043,0.1142,4031720.76
2024-08-11 00:00:00+00:00,0.1001,0.1157,0.1143,0.1007,3424767.71
2024-08-12 00:00:00+00:00,0.0995,0.1077,0.1005,0.1067,1979211.99
2024-08-13 00:00:00+00:00,0.1014,0.1146,0.1062,0.1104,2711637.0
2024-08-14 00:00:00+00:00,0.1031,0.1121,0.1091,0.1047,1338070.04
2024-08-15 00:00:00+00:00,0.0926,0.1059,0.1044,0.0954,2099550.25
2024-08-16 00:00:00+00:00,0.0904,0.099,0.0951,0.0912,1952144.25
2024-08-17 00:00:00+00:00,0.091,0.096,0.0913,0.0946,2328350.71
2024-08-18 00:00:00+00:00,0.0945,0.115,0.0945,0.0989,3048012.01
2024-08-19 00:00:00+00:00,0.0934,0.102,0.0999,0.1011,2038177.94
2024-08-20 00:00:00+00:00,0.0917,0.1025,0.1009,0.0984,3003155.48
2024-08-21 00:00:00+00:00,0.0938,0.1041,0.0985,0.1009,1367156.34
2024-08-22 00:00:00+00:00,0.0992,0.1085,0.1013,0.1001,1773491.13
2024-08-23 00:00:00+00:00,0.098,0.1111,0.1002,0.1108,2422785.42
2024-08-24 00:00:00+00:00,0.109,0.1265,0.111,0.1137,2947231.17
2024-08-25 00:00:00+00:00,0.106,0.1144,0.1143,0.1083,1566472.3
2024-08-26 00:00:00+00:00,0.095,0.1081,0.1081,0.0982,2182371.83
2024-08-27 00:00:00+00:00,0.0962,0.1043,0.0982,0.0974,1818416.61
2024-08-28 00:00:00+00:00,0.094,0.1038,0.0975,0.1002,1185644.75
2024-08-29 00:00:00+00:00,0.0984,0.1092,0.1002,0.0988,2670996.71
2024-08-30 00:00:00+00:00,0.0911,0.1011,0.0988,0.0935,2109053.04
2024-08-31 00:00:00+00:00,0.0905,0.0954,0.094,0.0921,416259.96
2024-09-01 00:00:00+00:00,0.0874,0.092,0.0919,0.0887,920823.42
2024-09-02 00:00:00+00:00,0.081,0.0905,0.0885,0.0896,1102655.77
2024-09-03 00:00:00+00:00,0.0894,0.1012,0.0897,0.0929,2281717.67
2024-09-04 00:00:00+00:00,0.0893,0.0973,0.0947,0.0898,779603.36
2024-09-05 00:00:00+00:00,0.086,0.0953,0.0899,0.09,1308944.7
2024-09-06 00:00:00+00:00,0.0852,0.0963,0.0899,0.0859,1800584.67
2024-09-07 00:00:00+00:00,0.0826,0.0916,0.086,0.0877,1363796.33
2024-09-08 00:00:00+00:00,0.0878,0.0935,0.0878,0.0909,2589336.75
2024-09-09 00:00:00+00:00,0.0903,0.0967,0.091,0.0958,2128899.54
2024-09-10 00:00:00+00:00,0.0903,0.0978,0.0953,0.0906,2432137.45
2024-09-11 00:00:00+00:00,0.0853,0.0913,0.0906,0.0899,1251856.85
2024-09-12 00:00:00+00:00,0.089,0.093,0.0898,0.0907,653438.56
2024-09-13 00:00:00+00:00,0.0899,0.0998,0.0907,0.0981,2099924.91
2024-09-14 00:00:00+00:00,0.0878,0.098,0.098,0.0891,2343153.1
2024-09-15 00:00:00+00:00,0.082,0.0899,0.0892,0.0832,2937344.94
2024-09-16 00:00:00+00:00,0.082,0.0863,0.083,0.0839,1028357.23
2024-09-17 00:00:00+00:00,0.0825,0.0906,0.0836,0.0879,938471.62
