time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,90.43,94.17,93.37,90.78,17026.607
2024-06-11 00:00:00+00:00,84.83,91.03,90.81,87.76,40558.966
2024-06-12 00:00:00+00:00,86.74,93.69,87.72,89.97,35141.331
2024-06-13 00:00:00+00:00,83.02,89.96,89.91,83.76,40720.974
2024-06-14 00:00:00+00:00,80.72,86.14,83.74,83.6,32199.433
2024-06-15 00:00:00+00:00,83.42,87.12,83.67,85.79,10196.484
2024-06-16 00:00:00+00:00,84.23,86.83,85.88,85.74,14060.427
2024-06-17 00:00:00+00:00,81.47,87.94,85.7,84.95,47142.846
2024-06-18 00:00:00+00:00,75.37,85.54,84.93,82.02,42017.868
2024-06-19 00:00:00+00:00,81.47,88.84,82.0,87.31,43554.342
2024-06-20 00:00:00+00:00,84.62,90.09,87.1,84.71,21662.512
2024-06-21 00:00:00+00:00,81.75,86.65,84.8,81.97,19023.378
2024-06-22 00:00:00+00:00,79.64,82.3,81.85,81.64,14286.661
2024-06-23 00:00:00+00:00,80.09,82.79,81.7,80.7,13516.539
2024-06-24 00:00:00+00:00,76.84,90.39,80.67,86.25,56691.881
2024-06-25 00:00:00+00:00,86.13,95.29,86.26,92.08,67687.669
2024-06-26 00:00:00+00:00,90.0,97.05,92.14,94.39,58264.727
2024-06-27 00:00:00+00:00,90.9,96.42,94.36,93.24,83087.199
2024-06-28 00:00:00+00:00,92.81,96.84,93.35,93.44,33602.087
2024-06-29 00:00:00+00:00,93.43,97.29,93.43,96.48,25209.671
2024-06-30 00:00:00+00:00,94.34,97.93,96.48,97.34,21388.623
2024-07-01 00:00:00+00:00,96.22,99.87,97.31,98.23,28925.258
2024-07-02 00:00:00+00:00,88.56,99.48,98.24,91.42,31999.351
2024-07-03 00:00:00+00:00,83.74,92.3,91.44,84.21,61871.926
2024-07-04 00:00:00+00:00,78.81,85.9,84.24,79.56,50211.132
2024-07-05 00:00:00+00:00,71.04,80.41,79.48,79.83,93881.742
2024-07-06 00:00:00+00:00,78.53,83.64,79.72,83.2,20643.829
2024-07-07 00:00:00+00:00,77.98,83.41,83.2,78.15,14174.578
2024-07-08 00:00:00+00:00,75.48,84.13,78.27,82.02,35053.801
2024-07-09 00:00:00+00:00,81.3,87.22,81.98,85.28,63784.999
2024-07-10 00:00:00+00:00,83.81,91.15,85.31,91.14,49356.269
2024-07-11 00:00:00+00:00,88.51,95.99,91.12,92.79,72700.222
2024-07-12 00:00:00+00:00,91.9,98.45,92.79,97.49,66175.167
2024-07-13 00:00:00+00:00,95.66,101.5,97.55,99.26,37283.11
2024-07-14 00:00:00+00:00,99.2,105.17,99.33,104.48,50343.732
2024-07-15 00:00:00+00:00,101.23,106.73,104.49,104.09,55906.27
2024-07-16 00:00:00+00:00,99.28,106.77,104.1,100.72,58061.345
2024-07-17 00:00:00+00:00,97.2,103.64,100.71,98.07,41782.861
2024-07-18 00:00:00+00:00,95.47,100.45,98.1,98.54,22730.984
2024-07-19 00:00:00+00:00,95.69,101.37,98.53,100.77,15268.039
2024-07-20 00:00:00+00:00,98.58,100.9,100.79,99.01,8986.798
2024-07-21 00:00:00+00:00,94.4,100.21,98.98,98.39,15845.728
2024-07-22 00:00:00+00:00,93.56,99.64,98.53,94.2,14464.38
2024-07-23 00:00:00+00:00,91.66,96.33,94.16,94.53,13926.652
2024-07-24 00:00:00+00:00,89.4,94.79,94.32,89.92,10596.015
2024-07-25 00:00:00+00:00,85.76,97.06,89.92,92.8,80940.99
2024-07-26 00:00:00+00:00,92.68,103.2,92.78,97.8,51273.642
2024-07-27 00:00:00+00:00,97.12,102.97,97.76,101.09,34368.578
2024-07-28 00:00:00+00:00,98.0,101.15,101.05,98.66,13119.248
2024-07-29 00:00:00+00:00,98.75,106.37,98.76,104.91,36856.227
2024-07-30 00:00:00+00:00,102.23,106.7,104.81,105.11,47993.978
2024-07-31 00:00:00+00:00,104.09,112.25,105.13,107.42,82777.255
2024-08-01 00:00:00+00:00,103.69,117.35,107.48,116.76,128432.555
2024-08-02 00:00:00+00:00,106.71,117.88,116.83,110.25,148600.152
2024-08-03 00:00:00+00:00,103.02,116.82,110.22,105.55,94116.42
2024-08-04 00:00:00+00:00,96.76,111.98,105.49,97.11,145024.91
2024-08-05 00:00:00+00:00,76.31,99.05,97.12,95.64,213764.73
2024-08-06 00:00:00+00:00,95.4,107.84,95.7,103.7,156401.947
2024-08-07 00:00:00+00:00,96.65,106.54,103.71,98.34,120178.628
2024-08-08 00:00:00+00:00,95.28,103.89,98.37,101.51,131624.014
