time,low,high,open,close,volume
2024-06-11 00:00:00+00:00,0.4127,0.4416,0.4404,0.422,20730045.0832099
2024-06-12 00:00:00+00:00,0.4145,0.4442,0.422,0.4377,15727538.97114173
2024-06-13 00:00:00+00:00,0.4187,0.4389,0.4377,0.4208,13752736.81019648
2024-06-14 00:00:00+00:00,0.4,0.4245,0.4209,0.4119,18469212.36628998
2024-06-15 00:00:00+00:00,0.4079,0.4155,0.4118,0.4137,8910939.45174182
2024-06-16 00:00:00+00:00,0.4089,0.419,0.4138,0.4165,6096155.62048681
2024-06-17 00:00:00+00:00,0.39,0.4207,0.4167,0.401,16717608.12715805
2024-06-18 00:00:00+00:00,0.3661,0.4025,0.4012,0.3833,45083745.37674993
2024-06-19 00:00:00+00:00,0.3801,0.3978,0.3837,0.3843,26765028.11398451
2024-06-20 00:00:00+00:00,0.377,0.3974,0.3845,0.384,26819349.31623356
2024-06-21 00:00:00+00:00,0.3734,0.3908,0.3842,0.3759,19939666.92527858
2024-06-22 00:00:00+00:00,0.3711,0.3909,0.376,0.3845,12685469.25523822
2024-06-23 00:00:00+00:00,0.3784,0.393,0.3846,0.3799,7725090.09476098
2024-06-24 00:00:00+00:00,0.3641,0.3814,0.3798,0.3776,25978599.27188457
2024-06-25 00:00:00+00:00,0.3766,0.3974,0.3775,0.3917,15445029.20638169
2024-06-26 00:00:00+00:00,0.3825,0.3963,0.3918,0.3847,10536488.54682921
2024-06-27 00:00:00+00:00,0.3774,0.399,0.3848,0.3907,16216773.00612471
2024-06-28 00:00:00+00:00,0.3844,0.3963,0.3908,0.3851,15925600.02685922
2024-06-29 00:00:00+00:00,0.3827,0.4032,0.3851,0.3834,8668798.40639702
2024-06-30 00:00:00+00:00,0.3779,0.3938,0.3835,0.3919,10013819.9203909
2024-07-01 00:00:00+00:00,0.3909,0.4081,0.3919,0.4027,15770307.9004962
2024-07-02 00:00:00+00:00,0.4024,0.419,0.4029,0.4179,14132188.50447951
2024-07-03 00:00:00+00:00,0.3996,0.423,0.4177,0.4065,19399927.83332402
2024-07-04 00:00:00+00:00,0.3614,0.4133,0.4066,0.362,24537009.66519366
2024-07-05 00:00:00+00:00,0.3171,0.3622,0.3622,0.35,60922300.12525189
2024-07-06 00:00:00+00:00,0.3467,0.385,0.35,0.3707,19084730.57308385
2024-07-07 00:00:00+00:00,0.3445,0.3713,0.3709,0.3466,11332164.11147243
2024-07-08 00:00:00+00:00,0.3309,0.3799,0.3466,0.3691,29125772.15418224
2024-07-09 00:00:00+00:00,0.3626,0.3806,0.3691,0.3753,15470926.41885209
2024-07-10 00:00:00+00:00,0.3719,0.3899,0.3754,0.3886,15214537.71197463
2024-07-11 00:00:00+00:00,0.3845,0.405,0.3887,0.3961,19286264.52413653
2024-07-12 00:00:00+00:00,0.3932,0.418,0.3962,0.4164,19244377.32248538
2024-07-13 00:00:00+00:00,0.4117,0.4471,0.4166,0.4419,20120019.61153794
2024-07-14 00:00:00+00:00,0.4239,0.4453,0.4419,0.4318,13159738.55483112
2024-07-15 00:00:00+00:00,0.4312,0.446,0.4318,0.4451,19978852.89470907
2024-07-16 00:00:00+00:00,0.4266,0.4528,0.4452,0.4382,20002757.25246923
2024-07-17 00:00:00+00:00,0.4355,0.4568,0.4381,0.436,18761143.06465454
2024-07-18 00:00:00+00:00,0.4198,0.4497,0.436,0.4234,12702628.00194825
2024-07-19 00:00:00+00:00,0.4142,0.4433,0.4235,0.4392,12951043.62381224
2024-07-20 00:00:00+00:00,0.4276,0.4421,0.4393,0.4375,8751630.13137352
2024-07-21 00:00:00+00:00,0.4169,0.4488,0.4376,0.447,10775240.60957627
2024-07-22 00:00:00+00:00,0.4239,0.4502,0.447,0.4263,20260876.6444582
2024-07-23 00:00:00+00:00,0.403,0.4298,0.4263,0.4102,14401449.5854196
2024-07-24 00:00:00+00:00,0.4037,0.4213,0.4101,0.4062,21970414.11459259
2024-07-25 00:00:00+00:00,0.3816,0.4083,0.4062,0.3946,22541168.54456438
2024-07-26 00:00:00+00:00,0.3944,0.4199,0.3946,0.4172,14698973.75952684
2024-07-27 00:00:00+00:00,0.4128,0.4292,0.4173,0.4173,15847059.95267009
2024-07-28 00:00:00+00:00,0.4045,0.4206,0.4176,0.4073,5780121.27490132
2024-07-29 00:00:00+00:00,0.403,0.4272,0.4074,0.403,14579544.14855112
2024-07-30 00:00:00+00:00,0.394,0.4076,0.4031,0.4012,12869967.8647467
2024-07-31 00:00:00+00:00,0.387,0.4077,0.4014,0.388,15628306.24745156
2024-08-01 00:00:00+00:00,0.368,0.3955,0.388,0.3924,24914594.57802003
2024-08-02 00:00:00+00:00,0.3587,0.3949,0.3924,0.3632,29173591.33012418
2024-08-03 00:00:00+00:00,0.349,0.3726,0.3633,0.3644,15244610.15115406
2024-08-04 00:00:00+00:00,0.3335,0.3676,0.3646,0.3441,24641689.80707058
2024-08-05 00:00:00+00:00,0.2774,0.3457,0.3442,0.312,95890472.36291341
2024-08-06 00:00:00+00:00,0.3115,0.3371,0.3121,0.3312,23684803.27106949
2024-08-07 00:00:00+00:00,0.3125,0.3411,0.3313,0.324,21846579.83304289
2024-08-08 00:00:00+00:00,0.3188,0.3539,0.3241,0.3517,19027889.57553037
2024-08-09 00:00:00+00:00,0.3366,0.3546,0.3516,0.3485,17151119.13407163
2024-08-10 00:00:00+00:00,0.3444,0.3523,0.3486,0.3458,7053084.14621846
2024-08-11 00:00:00+00:00,0.3271,0.3565,0.3459,0.3276,10006650.81284585
2024-08-12 00:00:00+00:00,0.3265,0.3445,0.3278,0.339,11143362.93444003
2024-08-13 00:00:00+00:00,0.3307,0.3451,0.3392,0.3399,9504683.52019074
2024-08-14 00:00:00+00:00,0.3311,0.3458,0.3401,0.3353,12403873.9188981
2024-08-15 00:00:00+00:00,0.3205,0.3418,0.3355,0.3248,15033221.04657151
2024-08-16 00:00:00+00:00,0.3204,0.3454,0.325,0.3303,14490144.5789669
2024-08-17 00:00:00+00:00,0.3274,0.3389,0.3302,0.3373,8418718.12970399
2024-08-18 00:00:00+00:00,0.3329,0.3399,0.3374,0.3342,9765554.42062507
2024-08-19 00:00:00+00:00,0.3279,0.3377,0.3342,0.3367,8633400.87287551
2024-08-20 00:00:00+00:00,0.3355,0.3545,0.3367,0.3435,17111248.38951039
2024-08-21 00:00:00+00:00,0.343,0.3776,0.3434,0.3689,21302780.71946365
2024-08-22 00:00:00+00:00,0.3644,0.3776,0.3689,0.3763,19182148.94649469
2024-08-23 00:00:00+00:00,0.3738,0.393,0.3764,0.3915,22537111.66850473
2024-08-24 00:00:00+00:00,0.3878,0.4016,0.3915,0.3939,13845531.55526929
2024-08-25 00:00:00+00:00,0.3776,0.3945,0.3938,0.385,13381240.10732385
2024-08-26 00:00:00+00:00,0.3661,0.3881,0.3851,0.3662,16125348.27896725
2024-08-27 00:00:00+00:00,0.3419,0.3728,0.3661,0.3504,19700897.75407274
2024-08-28 00:00:00+00:00,0.3406,0.3606,0.3505,0.3501,19395874.24689358
2024-08-29 00:00:00+00:00,0.3458,0.3677,0.3503,0.3577,17912836.5215463
2024-08-30 00:00:00+00:00,0.3373,0.3621,0.3577,0.3469,15144633.03792671
2024-08-31 00:00:00+00:00,0.3444,0.3504,0.3469,0.3449,7904492.78496779
2024-09-01 00:00:00+00:00,0.327,0.3456,0.345,0.3311,11148620.51278668
2024-09-02 00:00:00+00:00,0.3246,0.3373,0.3309,0.3364,13485903.69530435
2024-09-03 00:00:00+00:00,0.3174,0.3397,0.3361,0.3185,17993739.68726992
2024-09-04 00:00:00+00:00,0.3051,0.3293,0.3183,0.3234,33292397.02662763
2024-09-05 00:00:00+00:00,0.3195,0.3399,0.3234,0.3249,16892167.92314989
2024-09-06 00:00:00+00:00,0.3033,0.3318,0.3251,0.3149,15414812.36133882
2024-09-07 00:00:00+00:00,0.3148,0.328,0.3149,0.3254,7972968.86801604
2024-09-08 00:00:00+00:00,0.3238,0.3408,0.3252,0.339,8304966.29592959
2024-09-09 00:00:00+00:00,0.3375,0.3489,0.3391,0.3434,14872304.66786745
2024-09-10 00:00:00+00:00,0.3373,0.3457,0.3435,0.343,6865178.24989251
2024-09-11 00:00:00+00:00,0.33,0.3574,0.3429,0.3531,17186051.67256263
2024-09-12 00:00:00+00:00,0.3519,0.3614,0.3532,0.3562,13843569.35869367
2024-09-13 00:00:00+00:00,0.3502,0.365,0.3565,0.3609,11905216.11910279
2024-09-14 00:00:00+00:00,0.3513,0.3621,0.3609,0.3542,7287394.59196473
2024-09-15 00:00:00+00:00,0.3342,0.3564,0.3542,0.3386,11783742.12067111
2024-09-16 00:00:00+00:00,0.3263,0.3386,0.3386,0.3303,11895920.40489704
2024-09-17 00:00:00+00:00,0.3283,0.3432,0.3303,0.3339,9535453.77118459
