time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.61,0.6674,0.6619,0.6255,1817181.7
2024-06-11 00:00:00+00:00,0.6,0.6255,0.6254,0.6204,3209490.8
2024-06-12 00:00:00+00:00,0.6078,0.7472,0.6201,0.6467,4510036.2
2024-06-13 00:00:00+00:00,0.6,0.6889,0.6466,0.6052,4823231.4
2024-06-14 00:00:00+00:00,0.5521,0.6133,0.6045,0.5961,4171071.3
2024-06-15 00:00:00+00:00,0.58,0.633,0.5968,0.599,2974135.4
2024-06-16 00:00:00+00:00,0.5802,0.63,0.6024,0.6249,1378179.5
2024-06-17 00:00:00+00:00,0.54,0.6268,0.6249,0.5479,3014752.3
2024-06-18 00:00:00+00:00,0.45,0.5489,0.5462,0.4853,8323405.8
2024-06-19 00:00:00+00:00,0.4746,0.537,0.4853,0.4932,3275218.9
2024-06-20 00:00:00+00:00,0.4703,0.5335,0.493,0.4763,3595831.4
2024-06-21 00:00:00+00:00,0.46,0.4943,0.4755,0.4783,2065773.5
2024-06-22 00:00:00+00:00,0.45,0.483,0.478,0.4617,1963541.1
2024-06-23 00:00:00+00:00,0.4547,0.4897,0.4618,0.4573,1222657.2
2024-06-24 00:00:00+00:00,0.405,0.4613,0.4578,0.438,4458431.7
2024-06-25 00:00:00+00:00,0.4194,0.5227,0.438,0.4912,4691031.0
2024-06-26 00:00:00+00:00,0.4674,0.5249,0.493,0.47,3323246.8
2024-06-27 00:00:00+00:00,0.4651,0.5332,0.4685,0.524,3615895.4
2024-06-28 00:00:00+00:00,0.5096,0.5953,0.5239,0.525,5820285.9
2024-06-29 00:00:00+00:00,0.5176,0.5728,0.525,0.5444,3205677.7
2024-06-30 00:00:00+00:00,0.5268,0.5602,0.5446,0.5563,2340802.5
2024-07-01 00:00:00+00:00,0.5489,0.5991,0.5561,0.5714,3720554.2
2024-07-02 00:00:00+00:00,0.5422,0.5807,0.5693,0.557,2749283.7
2024-07-03 00:00:00+00:00,0.4888,0.5659,0.5571,0.5001,3244965.2
2024-07-04 00:00:00+00:00,0.4244,0.509,0.5001,0.4401,4706213.9
2024-07-05 00:00:00+00:00,0.3844,0.4681,0.442,0.4426,4977393.0
2024-07-06 00:00:00+00:00,0.4434,0.5023,0.4449,0.4866,2023189.4
2024-07-07 00:00:00+00:00,0.4095,0.4935,0.4865,0.4111,3986479.6
2024-07-08 00:00:00+00:00,0.36,0.449,0.4111,0.4192,6045606.7
2024-07-09 00:00:00+00:00,0.411,0.4401,0.4193,0.4195,2285193.9
2024-07-10 00:00:00+00:00,0.4096,0.4387,0.4203,0.4242,2320465.2
2024-07-11 00:00:00+00:00,0.3962,0.4506,0.4235,0.3985,3099683.1
2024-07-12 00:00:00+00:00,0.3944,0.4182,0.3985,0.4111,2290628.0
2024-07-13 00:00:00+00:00,0.4055,0.4489,0.4108,0.4414,1864409.7
2024-07-14 00:00:00+00:00,0.4231,0.4524,0.4418,0.4461,1851070.1
2024-07-15 00:00:00+00:00,0.4413,0.5012,0.4455,0.492,4234730.5
2024-07-16 00:00:00+00:00,0.4639,0.5012,0.492,0.4932,3218751.3
2024-07-17 00:00:00+00:00,0.4647,0.5273,0.4933,0.4667,3585404.0
2024-07-18 00:00:00+00:00,0.4572,0.4896,0.4669,0.4661,2082697.6
2024-07-19 00:00:00+00:00,0.4476,0.4917,0.4657,0.475,2468925.9
2024-07-20 00:00:00+00:00,0.4615,0.482,0.476,0.4659,1357952.8
2024-07-21 00:00:00+00:00,0.4569,0.5,0.4668,0.4936,2221039.9
2024-07-22 00:00:00+00:00,0.4939,0.5775,0.4944,0.5407,9144070.9
2024-07-23 00:00:00+00:00,0.5015,0.5698,0.5405,0.5022,3514260.4
2024-07-24 00:00:00+00:00,0.5023,0.5469,0.5045,0.5052,3223708.8
2024-07-25 00:00:00+00:00,0.4562,0.5096,0.5054,0.48,2674052.4
2024-07-26 00:00:00+00:00,0.4767,0.5313,0.4786,0.5292,2055238.2
2024-07-27 00:00:00+00:00,0.4912,0.5446,0.5305,0.5031,1916613.5
2024-07-28 00:00:00+00:00,0.4899,0.5782,0.5031,0.5501,4564887.0
2024-07-29 00:00:00+00:00,0.5493,0.6896,0.5516,0.6009,13884196.3
2024-07-30 00:00:00+00:00,0.6003,0.6674,0.6003,0.626,9063201.0
2024-07-31 00:00:00+00:00,0.5637,0.6356,0.6251,0.5655,5732729.1
2024-08-01 00:00:00+00:00,0.539,0.6808,0.5673,0.6186,10575234.1
2024-08-02 00:00:00+00:00,0.5068,0.6249,0.6213,0.522,7775292.2
2024-08-03 00:00:00+00:00,0.45,0.55,0.522,0.4792,8736929.1
2024-08-04 00:00:00+00:00,0.42,0.4883,0.4774,0.4416,6304455.0
2024-08-05 00:00:00+00:00,0.3305,0.4539,0.443,0.4086,19293475.5
2024-08-06 00:00:00+00:00,0.4092,0.555,0.4103,0.4962,11783454.7
2024-08-07 00:00:00+00:00,0.4388,0.5366,0.4971,0.4542,8953864.2
2024-08-08 00:00:00+00:00,0.4439,0.544,0.4564,0.515,6522207.7
2024-08-09 00:00:00+00:00,0.4836,0.5198,0.5178,0.4979,2659197.1
2024-08-10 00:00:00+00:00,0.488,0.51,0.4998,0.5011,1934135.0
2024-08-11 00:00:00+00:00,0.4609,0.5138,0.5037,0.4687,1938199.1
2024-08-12 00:00:00+00:00,0.456,0.4891,0.4678,0.4673,3334867.3
2024-08-13 00:00:00+00:00,0.4503,0.478,0.4664,0.4572,2409290.8
2024-08-14 00:00:00+00:00,0.4523,0.4718,0.4585,0.4542,1769301.2
2024-08-15 00:00:00+00:00,0.4164,0.4579,0.4542,0.4274,3170214.0
2024-08-16 00:00:00+00:00,0.4123,0.4445,0.4288,0.4245,1925692.3
2024-08-17 00:00:00+00:00,0.4191,0.4355,0.4244,0.4312,1359393.8
2024-08-18 00:00:00+00:00,0.426,0.4534,0.432,0.437,2061403.7
2024-08-19 00:00:00+00:00,0.4186,0.4423,0.4376,0.4371,1953763.2
2024-08-20 00:00:00+00:00,0.431,0.4583,0.4371,0.4391,2420176.6
2024-08-21 00:00:00+00:00,0.4305,0.452,0.4381,0.4382,2895489.1
2024-08-22 00:00:00+00:00,0.4328,0.4637,0.4396,0.4574,3352036.6
2024-08-23 00:00:00+00:00,0.4561,0.5206,0.4567,0.5118,4883003.7
2024-08-24 00:00:00+00:00,0.4844,0.525,0.512,0.5047,4371838.0
2024-08-25 00:00:00+00:00,0.4702,0.507,0.5051,0.4812,3292191.6
2024-08-26 00:00:00+00:00,0.4591,0.4962,0.4819,0.4618,3339504.4
2024-08-27 00:00:00+00:00,0.4272,0.4797,0.4618,0.4391,2677364.8
2024-08-28 00:00:00+00:00,0.4272,0.4639,0.4409,0.4432,2521394.3
2024-08-29 00:00:00+00:00,0.4341,0.4616,0.4428,0.4393,1481376.1
2024-08-30 00:00:00+00:00,0.4131,0.4418,0.4385,0.4249,1278574.7
2024-08-31 00:00:00+00:00,0.4003,0.425,0.4242,0.401,1900401.9
2024-09-01 00:00:00+00:00,0.3814,0.402,0.401,0.3815,2023556.1
2024-09-02 00:00:00+00:00,0.38,0.4099,0.3822,0.4012,1885803.2
2024-09-03 00:00:00+00:00,0.375,0.414,0.4015,0.3767,1629727.8
2024-09-04 00:00:00+00:00,0.363,0.394,0.3757,0.3896,2326360.0
2024-09-05 00:00:00+00:00,0.365,0.3915,0.3896,0.3692,1437677.6
2024-09-06 00:00:00+00:00,0.35,0.3799,0.371,0.3643,2109188.1
2024-09-07 00:00:00+00:00,0.3626,0.3798,0.3643,0.3673,1131130.8
2024-09-08 00:00:00+00:00,0.3619,0.3798,0.368,0.3741,737332.1
2024-09-09 00:00:00+00:00,0.3632,0.3959,0.3743,0.3874,2534407.7
2024-09-10 00:00:00+00:00,0.3728,0.399,0.3875,0.389,2805235.7
2024-09-11 00:00:00+00:00,0.3692,0.3938,0.391,0.3879,2097898.9
2024-09-12 00:00:00+00:00,0.3886,0.4152,0.3891,0.3958,2385438.6
2024-09-13 00:00:00+00:00,0.3842,0.417,0.396,0.4144,2212186.6
2024-09-14 00:00:00+00:00,0.3967,0.4149,0.413,0.4088,1509142.8
2024-09-15 00:00:00+00:00,0.3821,0.41,0.4077,0.3865,1430816.6
