time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,21.82,22.7,22.24,22.09,5466.7128
2024-06-11 00:00:00+00:00,19.9,22.04,21.99,20.44,7723.9599
2024-06-12 00:00:00+00:00,20.07,21.6,20.51,20.97,10733.2368
2024-06-13 00:00:00+00:00,19.89,21.11,21.09,20.05,2966.487
2024-06-14 00:00:00+00:00,19.63,20.91,20.11,20.33,5639.1555
2024-06-15 00:00:00+00:00,20.15,21.23,20.49,21.03,2915.8931
2024-06-16 00:00:00+00:00,20.74,21.27,21.19,21.19,2756.9744
2024-06-17 00:00:00+00:00,18.7,21.27,21.15,18.74,11483.2228
2024-06-18 00:00:00+00:00,17.4,18.8,18.7,18.08,9598.5127
2024-06-19 00:00:00+00:00,17.84,18.74,18.09,18.57,5512.7761
2024-06-20 00:00:00+00:00,18.33,19.31,18.52,18.78,7147.5075
2024-06-21 00:00:00+00:00,18.35,19.37,18.73,18.88,20732.0606
2024-06-22 00:00:00+00:00,18.39,19.01,18.94,18.6,4171.6691
2024-06-23 00:00:00+00:00,18.24,19.03,18.58,18.34,2776.0978
2024-06-24 00:00:00+00:00,17.62,18.53,18.31,18.49,4417.2208
2024-06-25 00:00:00+00:00,18.24,18.96,18.45,18.74,4140.5687
2024-06-26 00:00:00+00:00,18.04,18.96,18.82,18.3,1915.6418
2024-06-27 00:00:00+00:00,18.19,19.1,18.31,18.93,7435.0479
2024-06-28 00:00:00+00:00,17.52,19.4,18.85,17.59,9973.9185
2024-06-29 00:00:00+00:00,16.69,17.65,17.56,16.81,5883.7034
2024-06-30 00:00:00+00:00,16.58,17.71,16.81,17.53,3998.6422
2024-07-01 00:00:00+00:00,17.38,18.02,17.53,17.44,5337.2124
2024-07-02 00:00:00+00:00,17.0,17.49,17.31,17.24,6599.3888
2024-07-03 00:00:00+00:00,16.36,17.29,17.25,16.55,6120.2413
2024-07-04 00:00:00+00:00,15.07,16.73,16.57,15.09,12197.8432
2024-07-05 00:00:00+00:00,13.61,15.16,15.11,14.73,13488.9141
2024-07-06 00:00:00+00:00,14.65,15.76,14.74,15.6,4174.9578
2024-07-07 00:00:00+00:00,14.54,15.68,15.68,14.55,2089.9021
2024-07-08 00:00:00+00:00,14.2,15.59,14.65,15.35,7882.5636
2024-07-09 00:00:00+00:00,15.31,15.83,15.38,15.36,4149.6142
2024-07-10 00:00:00+00:00,15.15,15.61,15.31,15.2,4896.7858
2024-07-11 00:00:00+00:00,14.94,16.28,15.18,15.75,11621.9244
2024-07-12 00:00:00+00:00,15.18,16.03,15.73,15.76,12561.9453
2024-07-13 00:00:00+00:00,15.76,16.3,15.79,16.23,6512.0533
2024-07-14 00:00:00+00:00,16.23,16.75,16.28,16.75,2955.6479
2024-07-15 00:00:00+00:00,16.75,18.28,16.77,18.27,8343.1621
2024-07-16 00:00:00+00:00,17.32,18.4,18.28,18.05,8491.5128
2024-07-17 00:00:00+00:00,17.87,18.44,18.07,17.91,10075.8113
2024-07-18 00:00:00+00:00,17.56,18.24,17.92,17.98,5607.3595
2024-07-19 00:00:00+00:00,17.68,18.76,18.03,18.67,8820.4027
2024-07-20 00:00:00+00:00,18.25,18.79,18.72,18.29,5121.1125
2024-07-21 00:00:00+00:00,17.03,18.28,18.27,17.64,10001.2366
2024-07-22 00:00:00+00:00,16.75,17.77,17.66,16.83,7055.1183
