time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,1.579,1.697,1.697,1.588,390408.374
2024-06-11 00:00:00+00:00,1.484,1.606,1.585,1.525,341783.652
2024-06-12 00:00:00+00:00,1.487,1.595,1.53,1.525,249986.636
2024-06-13 00:00:00+00:00,1.429,1.548,1.525,1.481,169499.353
2024-06-14 00:00:00+00:00,1.359,1.542,1.481,1.401,286177.741
2024-06-15 00:00:00+00:00,1.377,1.471,1.4,1.394,175738.598
2024-06-16 00:00:00+00:00,1.372,1.427,1.394,1.395,110254.242
2024-06-17 00:00:00+00:00,1.204,1.409,1.392,1.245,182045.819
2024-06-18 00:00:00+00:00,1.044,1.243,1.243,1.122,251917.353
2024-06-19 00:00:00+00:00,1.103,1.174,1.117,1.152,132037.938
2024-06-20 00:00:00+00:00,1.146,1.212,1.15,1.166,111107.987
2024-06-21 00:00:00+00:00,1.161,1.261,1.172,1.188,429460.66
2024-06-22 00:00:00+00:00,1.149,1.185,1.183,1.15,46319.593
2024-06-23 00:00:00+00:00,1.083,1.168,1.153,1.095,54290.131
2024-06-24 00:00:00+00:00,1.043,1.138,1.103,1.13,103186.758
2024-06-25 00:00:00+00:00,1.116,1.195,1.13,1.153,90942.093
2024-06-26 00:00:00+00:00,1.106,1.175,1.151,1.114,47171.563
2024-06-27 00:00:00+00:00,1.099,1.16,1.114,1.145,96779.036
2024-06-28 00:00:00+00:00,1.086,1.157,1.14,1.092,46744.0
2024-06-29 00:00:00+00:00,1.049,1.1,1.086,1.065,65251.935
2024-06-30 00:00:00+00:00,1.047,1.113,1.066,1.11,54813.869
2024-07-01 00:00:00+00:00,1.093,1.14,1.113,1.102,101165.708
2024-07-02 00:00:00+00:00,1.08,1.131,1.103,1.106,52764.284
2024-07-03 00:00:00+00:00,1.056,1.111,1.11,1.06,56641.325
2024-07-04 00:00:00+00:00,0.896,1.062,1.054,0.903,182802.381
2024-07-05 00:00:00+00:00,0.779,0.904,0.904,0.882,210539.25
2024-07-06 00:00:00+00:00,0.882,1.004,0.882,0.996,137611.118
2024-07-07 00:00:00+00:00,0.921,0.997,0.992,0.928,41463.952
2024-07-08 00:00:00+00:00,0.892,0.986,0.931,0.914,61071.268
2024-07-09 00:00:00+00:00,0.907,0.951,0.913,0.938,29664.604
2024-07-10 00:00:00+00:00,0.931,0.976,0.939,0.96,46087.699
2024-07-11 00:00:00+00:00,0.929,0.99,0.959,0.937,60267.882
2024-07-12 00:00:00+00:00,0.912,0.952,0.938,0.951,41409.502
2024-07-13 00:00:00+00:00,0.931,0.957,0.952,0.946,22673.648
2024-07-14 00:00:00+00:00,0.94,1.09,0.948,1.027,272979.651
2024-07-15 00:00:00+00:00,1.006,1.144,1.025,1.09,437336.609
2024-07-16 00:00:00+00:00,1.034,1.112,1.087,1.104,104788.561
2024-07-17 00:00:00+00:00,1.108,1.604,1.108,1.47,787522.12
2024-07-18 00:00:00+00:00,1.302,1.622,1.471,1.341,2967539.556
2024-07-19 00:00:00+00:00,1.275,1.382,1.346,1.339,564936.019
2024-07-20 00:00:00+00:00,1.293,1.35,1.34,1.298,321039.428
2024-07-21 00:00:00+00:00,1.209,1.32,1.304,1.279,238287.311
2024-07-22 00:00:00+00:00,1.192,1.282,1.276,1.199,229153.448
2024-07-23 00:00:00+00:00,1.156,1.238,1.203,1.173,107540.817
2024-07-24 00:00:00+00:00,1.121,1.207,1.171,1.133,96130.402
2024-07-25 00:00:00+00:00,1.048,1.137,1.133,1.107,348643.205
2024-07-26 00:00:00+00:00,1.103,1.153,1.106,1.145,145530.368
2024-07-27 00:00:00+00:00,1.129,1.179,1.143,1.154,129701.876
2024-07-28 00:00:00+00:00,1.108,1.162,1.153,1.116,43645.667
2024-07-29 00:00:00+00:00,1.12,1.191,1.121,1.13,156429.728
2024-07-30 00:00:00+00:00,1.084,1.137,1.129,1.106,70752.377
2024-07-31 00:00:00+00:00,1.101,1.15,1.106,1.109,98730.45
2024-08-01 00:00:00+00:00,0.978,1.13,1.106,1.082,212129.74
2024-08-02 00:00:00+00:00,0.983,1.088,1.084,1.0,108066.689
2024-08-03 00:00:00+00:00,0.887,1.005,1.0,0.922,108332.088
2024-08-04 00:00:00+00:00,0.844,0.949,0.924,0.886,186449.237
2024-08-05 00:00:00+00:00,0.708,0.894,0.887,0.804,236282.059
2024-08-06 00:00:00+00:00,0.804,0.871,0.804,0.845,106598.508
2024-08-07 00:00:00+00:00,0.815,0.885,0.846,0.825,131212.25
2024-08-08 00:00:00+00:00,0.814,0.917,0.826,0.916,203322.16
2024-08-09 00:00:00+00:00,0.886,0.918,0.909,0.91,99548.265
2024-08-10 00:00:00+00:00,0.899,0.938,0.906,0.92,84189.255
2024-08-11 00:00:00+00:00,0.859,0.945,0.919,0.863,80160.385
2024-08-12 00:00:00+00:00,0.864,0.934,0.866,0.919,124930.498
2024-08-13 00:00:00+00:00,0.885,0.931,0.915,0.918,77657.381
2024-08-14 00:00:00+00:00,0.884,0.933,0.921,0.908,66818.656
2024-08-15 00:00:00+00:00,0.845,0.916,0.907,0.868,36436.951
2024-08-16 00:00:00+00:00,0.846,0.891,0.868,0.877,28988.448
2024-08-17 00:00:00+00:00,0.865,0.929,0.876,0.921,105550.304
