time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,3.076,3.485,3.408,3.091,422718.18
2024-06-11 00:00:00+00:00,2.765,3.167,3.088,2.832,330793.03
2024-06-12 00:00:00+00:00,2.715,3.065,2.832,2.889,264508.37
2024-06-13 00:00:00+00:00,2.627,2.891,2.887,2.646,111642.2
2024-06-14 00:00:00+00:00,2.45,2.766,2.641,2.504,430295.9
2024-06-15 00:00:00+00:00,2.477,2.56,2.504,2.501,73440.34
2024-06-16 00:00:00+00:00,2.445,2.86,2.502,2.843,331450.46
2024-06-17 00:00:00+00:00,2.329,2.947,2.841,2.432,488594.92
2024-06-18 00:00:00+00:00,2.109,2.426,2.426,2.229,626582.28
2024-06-19 00:00:00+00:00,2.219,2.343,2.231,2.269,187341.45
2024-06-20 00:00:00+00:00,2.257,2.408,2.257,2.273,109131.42
2024-06-21 00:00:00+00:00,2.236,2.347,2.272,2.268,84732.76
2024-06-22 00:00:00+00:00,2.194,2.262,2.262,2.204,120407.98
2024-06-23 00:00:00+00:00,2.107,2.288,2.201,2.13,62316.05
2024-06-24 00:00:00+00:00,1.972,2.164,2.123,2.155,155215.77
2024-06-25 00:00:00+00:00,2.144,2.284,2.156,2.263,102502.04
2024-06-26 00:00:00+00:00,2.182,2.309,2.265,2.212,93997.23
2024-06-27 00:00:00+00:00,2.14,2.281,2.2,2.256,119824.15
2024-06-28 00:00:00+00:00,2.146,2.304,2.237,2.159,54905.64
2024-06-29 00:00:00+00:00,2.09,2.208,2.154,2.093,31926.32
2024-06-30 00:00:00+00:00,2.073,2.233,2.106,2.221,68071.2
2024-07-01 00:00:00+00:00,2.183,2.283,2.217,2.228,84900.79
2024-07-02 00:00:00+00:00,2.175,2.26,2.228,2.235,75744.37
2024-07-03 00:00:00+00:00,2.078,2.263,2.238,2.102,94888.29
2024-07-04 00:00:00+00:00,1.739,2.102,2.102,1.744,206190.13
2024-07-05 00:00:00+00:00,1.51,1.752,1.752,1.631,247335.72
2024-07-06 00:00:00+00:00,1.612,1.808,1.63,1.793,74981.06
2024-07-07 00:00:00+00:00,1.664,1.869,1.792,1.681,378866.83
2024-07-08 00:00:00+00:00,1.594,1.823,1.68,1.752,125142.1
2024-07-09 00:00:00+00:00,1.728,1.84,1.747,1.827,122009.24
2024-07-10 00:00:00+00:00,1.794,1.919,1.827,1.85,169256.09
2024-07-11 00:00:00+00:00,1.773,1.898,1.844,1.78,99991.25
2024-07-12 00:00:00+00:00,1.766,1.926,1.786,1.919,74528.34
2024-07-13 00:00:00+00:00,1.842,1.938,1.916,1.865,183714.02
2024-07-14 00:00:00+00:00,1.856,1.936,1.868,1.929,108315.77
2024-07-15 00:00:00+00:00,1.912,2.086,1.932,2.078,286063.15
2024-07-16 00:00:00+00:00,1.897,2.081,2.07,2.029,247983.31
2024-07-17 00:00:00+00:00,2.012,2.125,2.042,2.025,140738.16
2024-07-18 00:00:00+00:00,1.876,2.073,2.03,1.926,147851.43
2024-07-19 00:00:00+00:00,1.864,2.203,1.925,2.134,252332.83
2024-07-20 00:00:00+00:00,2.068,2.18,2.135,2.095,159492.62
2024-07-21 00:00:00+00:00,1.937,2.147,2.096,2.089,203352.25
2024-07-22 00:00:00+00:00,1.95,2.11,2.088,1.96,149359.99
2024-07-23 00:00:00+00:00,1.821,1.999,1.96,1.854,306275.63
2024-07-24 00:00:00+00:00,1.828,1.922,1.855,1.859,206719.74
2024-07-25 00:00:00+00:00,1.737,1.87,1.864,1.806,279293.04
2024-07-26 00:00:00+00:00,1.785,2.141,1.793,2.097,406386.02
2024-07-27 00:00:00+00:00,1.988,2.117,2.104,2.047,140391.67
2024-07-28 00:00:00+00:00,2.018,2.147,2.041,2.048,102474.21
2024-07-29 00:00:00+00:00,1.965,2.177,2.052,1.98,115970.41
2024-07-30 00:00:00+00:00,1.836,1.987,1.981,1.836,150891.84
2024-07-31 00:00:00+00:00,1.818,1.928,1.842,1.827,161902.07
2024-08-01 00:00:00+00:00,1.625,1.85,1.826,1.757,203373.14
2024-08-02 00:00:00+00:00,1.606,1.782,1.76,1.628,130114.58
2024-08-03 00:00:00+00:00,1.425,1.63,1.627,1.448,355021.27
2024-08-04 00:00:00+00:00,1.315,1.483,1.441,1.388,308064.2
2024-08-05 00:00:00+00:00,1.13,1.411,1.394,1.294,449886.23
2024-08-06 00:00:00+00:00,1.297,1.432,1.297,1.377,190200.06
2024-08-07 00:00:00+00:00,1.267,1.417,1.37,1.286,274437.34
2024-08-08 00:00:00+00:00,1.265,1.511,1.284,1.487,162702.49
2024-08-09 00:00:00+00:00,1.429,1.51,1.485,1.455,157993.25
2024-08-10 00:00:00+00:00,1.418,1.478,1.455,1.46,116422.88
2024-08-11 00:00:00+00:00,1.312,1.473,1.46,1.32,154624.86
