time,low,high,open,close,volume
2024-06-11 00:00:00+00:00,7.371,7.857,7.857,7.52,262250.77
2024-06-12 00:00:00+00:00,7.405,7.889,7.516,7.774,165054.75
2024-06-13 00:00:00+00:00,7.368,7.797,7.771,7.441,146868.89
2024-06-14 00:00:00+00:00,6.964,7.498,7.443,7.112,285674.66
2024-06-15 00:00:00+00:00,7.088,7.211,7.113,7.142,110336.72
2024-06-16 00:00:00+00:00,7.048,7.244,7.143,7.216,104270.37
2024-06-17 00:00:00+00:00,6.767,7.239,7.22,6.996,297530.25
2024-06-18 00:00:00+00:00,6.26,7.019,6.996,6.686,405867.59
2024-06-19 00:00:00+00:00,6.636,6.96,6.686,6.893,197442.58
2024-06-20 00:00:00+00:00,6.815,7.113,6.896,6.837,156287.83
2024-06-21 00:00:00+00:00,6.752,6.926,6.837,6.785,170767.31
2024-06-22 00:00:00+00:00,6.711,6.805,6.782,6.743,85312.89
2024-06-23 00:00:00+00:00,6.616,6.843,6.741,6.691,108260.17
2024-06-24 00:00:00+00:00,6.4,6.856,6.688,6.836,307366.57
2024-06-25 00:00:00+00:00,6.821,7.046,6.834,6.942,208613.55
2024-06-26 00:00:00+00:00,6.738,6.978,6.937,6.79,176116.69
2024-06-27 00:00:00+00:00,6.713,7.102,6.787,6.956,212453.83
2024-06-28 00:00:00+00:00,6.708,7.015,6.952,6.716,295277.76
2024-06-29 00:00:00+00:00,6.576,6.876,6.714,6.594,258722.87
2024-06-30 00:00:00+00:00,6.541,6.74,6.593,6.726,123731.35
2024-07-01 00:00:00+00:00,6.68,6.843,6.727,6.806,188655.76
2024-07-02 00:00:00+00:00,6.776,6.966,6.805,6.8,264835.59
2024-07-03 00:00:00+00:00,6.276,6.853,6.803,6.372,301158.72
2024-07-04 00:00:00+00:00,5.985,6.394,6.376,5.992,352441.02
2024-07-05 00:00:00+00:00,5.055,5.994,5.991,5.705,628747.28
2024-07-06 00:00:00+00:00,5.676,6.167,5.705,6.077,225784.14
2024-07-07 00:00:00+00:00,5.765,6.101,6.074,5.792,166842.22
2024-07-08 00:00:00+00:00,5.587,6.225,5.796,5.831,309869.64
2024-07-09 00:00:00+00:00,5.777,5.975,5.825,5.94,188923.77
2024-07-10 00:00:00+00:00,5.843,6.078,5.936,6.039,223551.45
2024-07-11 00:00:00+00:00,5.921,6.17,6.042,5.937,176340.33
2024-07-12 00:00:00+00:00,5.869,6.158,5.937,6.153,138144.2
2024-07-13 00:00:00+00:00,6.124,6.273,6.157,6.208,104452.2
2024-07-14 00:00:00+00:00,6.1,6.273,6.207,6.229,100546.3
2024-07-15 00:00:00+00:00,6.221,6.515,6.233,6.508,221597.37
2024-07-16 00:00:00+00:00,6.26,6.653,6.505,6.615,310206.28
2024-07-17 00:00:00+00:00,6.477,6.802,6.616,6.48,228025.37
2024-07-18 00:00:00+00:00,6.239,6.581,6.483,6.308,349842.54
2024-07-19 00:00:00+00:00,6.184,6.561,6.31,6.504,181012.91
2024-07-20 00:00:00+00:00,6.435,6.59,6.504,6.523,122906.87
2024-07-21 00:00:00+00:00,6.219,6.55,6.524,6.535,190403.38
2024-07-22 00:00:00+00:00,6.24,6.579,6.535,6.272,330582.87
2024-07-23 00:00:00+00:00,6.07,6.33,6.268,6.172,206398.94
2024-07-24 00:00:00+00:00,5.983,6.304,6.164,6.027,178050.96
2024-07-25 00:00:00+00:00,5.695,6.045,6.025,5.923,311621.73
2024-07-26 00:00:00+00:00,5.911,6.193,5.922,6.172,219999.15
2024-07-27 00:00:00+00:00,6.13,6.385,6.172,6.342,210582.21
2024-07-28 00:00:00+00:00,6.181,6.395,6.342,6.22,129834.51
2024-07-29 00:00:00+00:00,6.1,6.374,6.221,6.109,194451.01
2024-07-30 00:00:00+00:00,5.947,6.192,6.106,6.0,126206.76
2024-07-31 00:00:00+00:00,5.779,6.081,6.004,5.804,235692.1
2024-08-01 00:00:00+00:00,5.485,5.867,5.804,5.777,309525.91
2024-08-02 00:00:00+00:00,5.217,5.803,5.775,5.354,305211.69
2024-08-03 00:00:00+00:00,5.001,5.412,5.353,5.125,348848.83
2024-08-04 00:00:00+00:00,4.808,5.214,5.126,5.048,429583.59
2024-08-05 00:00:00+00:00,4.056,5.097,5.057,4.642,985051.02
2024-08-06 00:00:00+00:00,4.641,4.976,4.642,4.909,239505.65
2024-08-07 00:00:00+00:00,4.739,5.05,4.904,4.838,282456.73
2024-08-08 00:00:00+00:00,4.743,5.18,4.838,5.15,597335.69
2024-08-09 00:00:00+00:00,4.936,5.145,5.145,5.087,262399.19
2024-08-10 00:00:00+00:00,5.02,5.25,5.085,5.209,313908.7
2024-08-11 00:00:00+00:00,4.87,5.245,5.209,4.902,516385.83
2024-08-12 00:00:00+00:00,4.9,5.158,4.909,5.077,239919.82
2024-08-13 00:00:00+00:00,4.896,5.082,5.076,5.008,153597.3
2024-08-14 00:00:00+00:00,4.726,5.011,5.008,4.773,225079.73
2024-08-15 00:00:00+00:00,4.47,4.81,4.772,4.512,253110.85
2024-08-16 00:00:00+00:00,4.43,4.611,4.508,4.557,156654.85
2024-08-17 00:00:00+00:00,4.528,4.669,4.554,4.614,81277.6
2024-08-18 00:00:00+00:00,4.558,4.715,4.613,4.567,151576.27
2024-08-19 00:00:00+00:00,4.51,4.643,4.557,4.636,158932.08
2024-08-20 00:00:00+00:00,4.624,4.836,4.636,4.788,227865.81
2024-08-21 00:00:00+00:00,4.618,4.824,4.79,4.747,221476.84
2024-08-22 00:00:00+00:00,4.656,4.795,4.753,4.695,201038.27
2024-08-23 00:00:00+00:00,4.692,5.15,4.695,5.119,326460.31
2024-08-24 00:00:00+00:00,5.11,5.819,5.118,5.64,207006.89
2024-08-25 00:00:00+00:00,5.012,5.706,5.633,5.09,316747.6
2024-08-26 00:00:00+00:00,4.89,5.251,5.09,4.905,238758.35
2024-08-27 00:00:00+00:00,4.503,5.029,4.9,4.593,534390.32
2024-08-28 00:00:00+00:00,4.447,4.789,4.595,4.602,504943.5
2024-08-29 00:00:00+00:00,4.52,4.74,4.6,4.611,212807.74
2024-08-30 00:00:00+00:00,4.441,4.676,4.602,4.644,232202.69
2024-08-31 00:00:00+00:00,4.51,4.699,4.647,4.561,126029.45
2024-09-01 00:00:00+00:00,4.265,4.562,4.558,4.301,194759.46
2024-09-02 00:00:00+00:00,4.284,4.478,4.296,4.437,190408.22
2024-09-03 00:00:00+00:00,4.1,4.509,4.437,4.107,384870.01
2024-09-04 00:00:00+00:00,3.898,4.139,4.105,4.073,640091.13
2024-09-05 00:00:00+00:00,3.862,4.102,4.074,3.905,566158.43
2024-09-06 00:00:00+00:00,3.615,3.973,3.905,3.714,630142.68
2024-09-07 00:00:00+00:00,3.636,3.781,3.717,3.669,502752.44
2024-09-08 00:00:00+00:00,3.658,3.835,3.671,3.807,335232.14
2024-09-09 00:00:00+00:00,3.807,4.11,3.808,4.093,305033.69
2024-09-10 00:00:00+00:00,4.039,4.174,4.092,4.132,197021.78
2024-09-11 00:00:00+00:00,4.013,4.212,4.132,4.16,268713.24
2024-09-12 00:00:00+00:00,4.058,4.189,4.163,4.145,239445.29
2024-09-13 00:00:00+00:00,4.124,4.259,4.147,4.209,357328.38
2024-09-14 00:00:00+00:00,4.148,4.349,4.21,4.245,193823.95
2024-09-15 00:00:00+00:00,4.024,4.256,4.243,4.057,247555.05
2024-09-16 00:00:00+00:00,3.916,4.063,4.057,3.972,264514.38
2024-09-17 00:00:00+00:00,3.939,4.241,3.969,4.192,218414.59
2024-09-18 00:00:00+00:00,4.099,4.375,4.191,4.373,431237.11
2024-09-19 00:00:00+00:00,4.373,4.617,4.374,4.505,355145.35
2024-09-20 00:00:00+00:00,4.436,4.59,4.512,4.528,274980.84
2024-09-21 00:00:00+00:00,4.462,4.73,4.526,4.72,191437.4
2024-09-22 00:00:00+00:00,4.483,4.725,4.721,4.595,167240.22
2024-09-23 00:00:00+00:00,4.504,4.73,4.595,4.582,276071.22
2024-09-24 00:00:00+00:00,4.495,4.848,4.581,4.818,297089.83
2024-09-25 00:00:00+00:00,4.741,4.967,4.82,4.783,278806.83
2024-09-26 00:00:00+00:00,4.697,5.096,4.785,5.005,390552.59
2024-09-27 00:00:00+00:00,5.001,5.194,5.006,5.144,266747.97
2024-09-28 00:00:00+00:00,4.933,5.163,5.143,5.017,154073.26
2024-09-29 00:00:00+00:00,4.952,5.191,5.017,5.029,181535.94
2024-09-30 00:00:00+00:00,4.684,5.059,5.036,4.725,286020.95
2024-10-01 00:00:00+00:00,4.245,4.903,4.727,4.44,384307.19
2024-10-02 00:00:00+00:00,4.347,4.58,4.438,4.432,259734.51
2024-10-03 00:00:00+00:00,4.224,4.505,4.433,4.384,315775.85
2024-10-04 00:00:00+00:00,4.359,4.628,4.382,4.621,261062.39
2024-10-05 00:00:00+00:00,4.563,4.714,4.62,4.631,150603.54
2024-10-06 00:00:00+00:00,4.55,4.652,4.628,4.651,135457.78
2024-10-07 00:00:00+00:00,4.408,4.793,4.65,4.419,352219.32
2024-10-08 00:00:00+00:00,4.308,4.467,4.42,4.347,298883.09
2024-10-09 00:00:00+00:00,4.163,4.388,4.348,4.227,288297.67
2024-10-10 00:00:00+00:00,4.039,4.29,4.237,4.131,238951.32
2024-10-11 00:00:00+00:00,4.106,4.298,4.129,4.275,206880.04
2024-10-12 00:00:00+00:00,4.272,4.39,4.277,4.347,135189.71
2024-10-13 00:00:00+00:00,4.218,4.366,4.347,4.338,137283.03
2024-10-14 00:00:00+00:00,4.294,4.535,4.341,4.516,222058.43
2024-10-15 00:00:00+00:00,4.368,4.588,4.515,4.484,202258.19
2024-10-16 00:00:00+00:00,4.387,4.515,4.486,4.438,176537.58
2024-10-17 00:00:00+00:00,4.237,4.467,4.444,4.301,184259.84
2024-10-18 00:00:00+00:00,4.285,4.397,4.302,4.355,347945.87
2024-10-19 00:00:00+00:00,4.348,4.49,4.352,4.467,169855.62
2024-10-20 00:00:00+00:00,4.393,4.693,4.47,4.693,253315.58
2024-10-21 00:00:00+00:00,4.688,5.113,4.693,4.898,706110.0
2024-10-22 00:00:00+00:00,4.703,4.966,4.896,4.786,284237.47
2024-10-23 00:00:00+00:00,4.555,4.853,4.786,4.617,295064.38
2024-10-24 00:00:00+00:00,4.564,4.85,4.616,4.849,252775.64
2024-10-25 00:00:00+00:00,4.258,4.853,4.847,4.406,361445.41
2024-10-26 00:00:00+00:00,4.3,4.504,4.402,4.363,196594.82
2024-10-27 00:00:00+00:00,4.317,4.467,4.368,4.449,143796.3
2024-10-28 00:00:00+00:00,4.264,4.507,4.454,4.455,262409.92
2024-10-29 00:00:00+00:00,4.428,4.606,4.457,4.534,353926.42
2024-10-30 00:00:00+00:00,4.374,4.532,4.532,4.455,173911.1
2024-10-31 00:00:00+00:00,4.182,4.47,4.464,4.232,253985.47
2024-11-01 00:00:00+00:00,4.108,4.3,4.232,4.175,188771.13
2024-11-02 00:00:00+00:00,4.049,4.22,4.173,4.099,129459.06
