time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,19.77,21.47,20.72,20.56,52459.842
2024-06-11 00:00:00+00:00,19.41,20.91,20.5,19.97,57470.962
2024-06-12 00:00:00+00:00,19.06,21.6,19.97,21.44,50446.298
2024-06-13 00:00:00+00:00,20.42,22.26,21.48,21.83,46836.163
2024-06-14 00:00:00+00:00,19.36,21.95,21.78,19.52,50422.605
2024-06-15 00:00:00+00:00,19.04,21.95,19.38,21.66,72135.583
2024-06-16 00:00:00+00:00,20.53,21.86,21.71,20.75,42340.126
2024-06-17 00:00:00+00:00,19.75,21.88,20.74,19.82,64680.729
2024-06-18 00:00:00+00:00,16.26,19.82,19.81,17.04,73449.85
2024-06-19 00:00:00+00:00,16.6,17.56,17.04,17.05,25050.313
2024-06-20 00:00:00+00:00,16.82,17.91,17.04,16.96,16808.093
2024-06-21 00:00:00+00:00,16.48,17.25,16.83,16.77,11404.554
2024-06-22 00:00:00+00:00,16.32,16.78,16.78,16.4,9254.956
2024-06-23 00:00:00+00:00,15.5,16.8,16.42,15.65,14822.198
2024-06-24 00:00:00+00:00,14.78,16.4,15.64,16.33,35369.919
2024-06-25 00:00:00+00:00,16.33,16.87,16.36,16.65,13463.574
2024-06-26 00:00:00+00:00,16.41,17.25,16.65,16.67,16473.549
2024-06-27 00:00:00+00:00,16.03,16.69,16.68,16.42,11911.182
2024-06-28 00:00:00+00:00,16.15,17.19,16.42,16.16,9398.838
2024-06-29 00:00:00+00:00,15.5,16.29,16.15,15.57,8029.228
2024-06-30 00:00:00+00:00,15.28,16.63,15.57,16.53,10885.761
2024-07-01 00:00:00+00:00,16.27,17.2,16.51,16.83,10817.337
2024-07-02 00:00:00+00:00,16.76,17.48,16.83,17.09,9601.272
2024-07-03 00:00:00+00:00,15.84,17.12,17.03,15.98,13595.999
2024-07-04 00:00:00+00:00,13.37,16.0,16.0,13.59,15417.439
2024-07-05 00:00:00+00:00,11.5,13.58,13.58,12.9,42314.228
2024-07-06 00:00:00+00:00,12.79,14.23,12.91,14.02,14221.295
2024-07-07 00:00:00+00:00,13.28,14.21,14.05,13.39,16527.539
2024-07-08 00:00:00+00:00,12.8,14.37,13.45,13.71,12215.802
2024-07-09 00:00:00+00:00,13.53,14.0,13.66,13.94,6847.604
2024-07-10 00:00:00+00:00,13.75,14.32,13.94,14.07,4290.516
2024-07-11 00:00:00+00:00,13.74,14.39,14.06,13.84,10409.835
2024-07-12 00:00:00+00:00,13.45,14.12,13.83,14.02,8570.12
2024-07-13 00:00:00+00:00,13.96,14.32,14.02,14.23,5302.885
2024-07-14 00:00:00+00:00,14.06,14.55,14.22,14.36,5500.794
2024-07-15 00:00:00+00:00,14.24,15.47,14.37,15.43,7476.862
2024-07-16 00:00:00+00:00,14.5,15.7,15.42,15.43,10142.511
2024-07-17 00:00:00+00:00,15.19,15.84,15.42,15.52,6349.252
2024-07-18 00:00:00+00:00,14.97,16.15,15.52,15.47,11239.608
2024-07-19 00:00:00+00:00,14.92,16.21,15.48,16.16,13922.228
2024-07-20 00:00:00+00:00,15.9,16.69,16.16,16.65,8490.103
2024-07-21 00:00:00+00:00,15.72,16.83,16.65,16.4,8796.603
2024-07-22 00:00:00+00:00,15.55,16.55,16.44,15.67,3901.494
2024-07-23 00:00:00+00:00,15.69,17.25,15.69,16.09,54068.579
2024-07-24 00:00:00+00:00,15.42,17.06,16.01,15.53,22333.359
2024-07-25 00:00:00+00:00,14.56,16.75,15.53,16.54,37608.568
2024-07-26 00:00:00+00:00,16.1,18.0,16.47,17.75,20759.509
2024-07-27 00:00:00+00:00,17.34,18.34,17.68,17.98,16324.91
2024-07-28 00:00:00+00:00,17.24,18.23,18.01,17.39,12241.082
2024-07-29 00:00:00+00:00,17.3,18.74,17.38,17.34,12788.958
2024-07-30 00:00:00+00:00,16.19,17.65,17.3,16.48,7837.607
2024-07-31 00:00:00+00:00,16.33,19.05,16.47,18.55,50636.118
2024-08-01 00:00:00+00:00,16.73,19.07,18.52,18.66,41190.506
2024-08-02 00:00:00+00:00,16.61,18.82,18.65,16.73,30081.888
2024-08-03 00:00:00+00:00,14.2,16.81,16.74,14.9,29316.364
2024-08-04 00:00:00+00:00,13.19,15.02,14.95,14.3,28296.946
2024-08-05 00:00:00+00:00,11.51,14.39,14.3,12.95,45970.453
2024-08-06 00:00:00+00:00,13.03,14.23,13.03,13.72,16310.401
2024-08-07 00:00:00+00:00,13.15,14.16,13.69,13.29,20034.161
2024-08-08 00:00:00+00:00,12.97,15.13,13.24,15.04,16160.789
2024-08-09 00:00:00+00:00,14.94,15.93,15.03,15.17,21374.515
2024-08-10 00:00:00+00:00,14.77,15.34,15.14,15.17,9041.696
2024-08-11 00:00:00+00:00,14.2,16.16,15.2,14.29,29573.165
2024-08-12 00:00:00+00:00,14.15,15.12,14.36,14.9,20779.049
2024-08-13 00:00:00+00:00,14.47,15.34,14.91,15.07,7501.957
2024-08-14 00:00:00+00:00,14.26,15.16,15.06,14.43,5071.053
2024-08-15 00:00:00+00:00,13.76,14.7,14.42,14.04,7582.984
2024-08-16 00:00:00+00:00,13.98,14.87,14.04,14.66,4407.816
2024-08-17 00:00:00+00:00,14.46,16.92,14.63,16.33,53569.957
2024-08-18 00:00:00+00:00,16.04,17.42,16.34,16.86,39055.134
2024-08-19 00:00:00+00:00,16.67,17.63,16.83,17.31,18184.332
2024-08-20 00:00:00+00:00,17.24,20.81,17.29,20.24,48009.184
2024-08-21 00:00:00+00:00,19.71,22.53,20.2,22.0,77940.971
2024-08-22 00:00:00+00:00,17.4,24.7,22.03,17.79,106726.666
2024-08-23 00:00:00+00:00,17.29,18.2,17.78,18.05,53763.39
2024-08-24 00:00:00+00:00,17.45,18.19,18.07,17.8,22446.324
2024-08-25 00:00:00+00:00,16.83,17.78,17.78,17.08,16933.507
2024-08-26 00:00:00+00:00,15.9,17.12,17.09,16.07,17952.349
2024-08-27 00:00:00+00:00,14.52,16.22,16.08,14.94,25422.275
2024-08-28 00:00:00+00:00,14.48,15.46,14.97,14.97,12735.932
2024-08-29 00:00:00+00:00,14.96,15.83,14.98,15.33,10964.588
2024-08-30 00:00:00+00:00,14.48,15.39,15.34,15.23,7272.683
2024-08-31 00:00:00+00:00,14.54,15.24,15.21,14.74,9889.016
2024-09-01 00:00:00+00:00,13.59,14.73,14.68,13.73,14871.896
2024-09-02 00:00:00+00:00,13.66,14.38,13.75,14.19,5039.894
2024-09-03 00:00:00+00:00,13.14,14.42,14.22,13.25,13376.184
2024-09-04 00:00:00+00:00,12.48,13.44,13.28,13.26,24456.477
2024-09-05 00:00:00+00:00,12.77,13.41,13.23,12.95,9732.697
2024-09-06 00:00:00+00:00,12.17,13.33,12.93,12.73,22065.758
2024-09-07 00:00:00+00:00,12.54,13.15,12.71,12.87,9600.63
2024-09-08 00:00:00+00:00,12.63,13.16,12.87,12.98,9559.55
2024-09-09 00:00:00+00:00,12.85,13.55,13.01,13.4,16010.476
2024-09-10 00:00:00+00:00,13.19,13.72,13.39,13.57,10206.953
2024-09-11 00:00:00+00:00,12.74,13.6,13.6,13.27,14378.873
2024-09-12 00:00:00+00:00,13.29,13.79,13.29,13.76,9842.71
2024-09-13 00:00:00+00:00,13.73,14.82,13.76,14.55,57724.043
2024-09-14 00:00:00+00:00,14.29,14.87,14.55,14.79,25580.659
2024-09-15 00:00:00+00:00,14.16,15.0,14.74,14.28,16201.547
2024-09-16 00:00:00+00:00,13.54,14.6,14.29,13.72,13323.727
2024-09-17 00:00:00+00:00,13.49,14.38,13.73,14.03,10616.99
2024-09-18 00:00:00+00:00,13.87,15.36,14.03,15.24,35336.213
2024-09-19 00:00:00+00:00,14.95,15.57,15.26,15.4,28342.64
2024-09-20 00:00:00+00:00,14.75,15.76,15.41,15.19,16871.201
2024-09-21 00:00:00+00:00,14.91,15.45,15.18,15.41,5056.172
2024-09-22 00:00:00+00:00,14.59,15.95,15.47,15.11,11195.643
2024-09-23 00:00:00+00:00,14.78,15.39,15.11,15.16,16530.136
2024-09-24 00:00:00+00:00,14.7,15.32,15.16,15.24,8195.512
2024-09-25 00:00:00+00:00,14.91,15.41,15.24,14.97,6150.651
2024-09-26 00:00:00+00:00,14.75,15.86,15.04,15.63,10118.586
2024-09-27 00:00:00+00:00,15.61,16.43,15.62,16.36,16266.181
2024-09-28 00:00:00+00:00,15.53,16.51,16.43,15.6,17232.432
2024-09-29 00:00:00+00:00,15.09,15.93,15.56,15.54,9037.087
2024-09-30 00:00:00+00:00,14.55,15.64,15.61,14.65,4820.36
2024-10-01 00:00:00+00:00,12.82,15.21,14.73,13.4,18234.201
2024-10-02 00:00:00+00:00,12.65,13.66,13.39,12.92,9723.244
2024-10-03 00:00:00+00:00,12.52,13.19,12.92,13.02,31294.604
2024-10-04 00:00:00+00:00,12.95,13.6,13.04,13.56,10331.173
2024-10-05 00:00:00+00:00,13.28,13.75,13.6,13.43,3927.793
2024-10-06 00:00:00+00:00,13.43,13.72,13.46,13.62,1529.072
2024-10-07 00:00:00+00:00,13.34,13.94,13.62,13.37,3402.053
2024-10-08 00:00:00+00:00,13.18,13.61,13.4,13.43,3462.758
2024-10-09 00:00:00+00:00,12.93,13.6,13.46,13.1,4867.525
2024-10-10 00:00:00+00:00,12.67,13.29,13.1,13.21,10372.281
2024-10-11 00:00:00+00:00,13.06,13.53,13.2,13.46,3803.69
2024-10-12 00:00:00+00:00,13.41,13.7,13.5,13.5,2482.445
2024-10-13 00:00:00+00:00,13.12,13.64,13.55,13.52,1988.731
2024-10-14 00:00:00+00:00,13.36,14.12,13.5,14.02,4599.757
2024-10-15 00:00:00+00:00,13.18,14.21,14.05,13.77,14706.713
2024-10-16 00:00:00+00:00,13.31,13.91,13.78,13.41,5163.562
2024-10-17 00:00:00+00:00,12.99,13.53,13.42,13.21,5162.589
2024-10-18 00:00:00+00:00,13.16,13.49,13.17,13.46,4248.875
2024-10-19 00:00:00+00:00,13.43,13.78,13.48,13.52,2333.586
2024-10-20 00:00:00+00:00,13.29,13.96,13.54,13.92,6104.928
2024-10-21 00:00:00+00:00,13.25,14.05,13.93,13.41,6192.619
2024-10-22 00:00:00+00:00,13.16,13.66,13.47,13.48,5783.177
2024-10-23 00:00:00+00:00,12.72,13.86,13.51,13.17,23255.043
2024-10-24 00:00:00+00:00,13.09,14.23,13.15,13.7,35206.793
2024-10-25 00:00:00+00:00,12.43,14.41,13.75,13.01,40983.254
