time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.219,0.24,0.239,0.221,1085772.0
2024-06-11 00:00:00+00:00,0.194,0.224,0.221,0.205,1327233.0
2024-06-12 00:00:00+00:00,0.204,0.216,0.204,0.206,796364.79
2024-06-13 00:00:00+00:00,0.194,0.207,0.206,0.195,671176.98
2024-06-14 00:00:00+00:00,0.19,0.199,0.195,0.192,888710.43
2024-06-15 00:00:00+00:00,0.19,0.197,0.192,0.196,1082498.78
2024-06-16 00:00:00+00:00,0.191,0.199,0.196,0.194,824791.45
2024-06-17 00:00:00+00:00,0.173,0.197,0.194,0.174,1878084.79
2024-06-18 00:00:00+00:00,0.158,0.176,0.174,0.166,2417252.0
2024-06-19 00:00:00+00:00,0.156,0.175,0.166,0.156,1509396.92
2024-06-20 00:00:00+00:00,0.149,0.161,0.157,0.149,2997006.99
2024-06-21 00:00:00+00:00,0.138,0.151,0.151,0.143,2261145.26
2024-06-22 00:00:00+00:00,0.14,0.149,0.143,0.145,2321298.48
2024-06-23 00:00:00+00:00,0.142,0.151,0.145,0.142,875024.28
2024-06-24 00:00:00+00:00,0.134,0.143,0.143,0.142,1516160.36
2024-06-25 00:00:00+00:00,0.141,0.15,0.141,0.143,1089534.67
2024-06-26 00:00:00+00:00,0.138,0.144,0.143,0.139,344411.1
2024-06-27 00:00:00+00:00,0.138,0.149,0.14,0.149,709244.59
2024-06-28 00:00:00+00:00,0.145,0.156,0.149,0.146,984711.6
2024-06-29 00:00:00+00:00,0.147,0.184,0.147,0.175,5004775.91
2024-06-30 00:00:00+00:00,0.155,0.179,0.176,0.162,1865298.14
2024-07-01 00:00:00+00:00,0.152,0.165,0.162,0.154,1313670.17
2024-07-02 00:00:00+00:00,0.15,0.16,0.154,0.158,568538.64
2024-07-03 00:00:00+00:00,0.144,0.159,0.158,0.144,778617.8
2024-07-04 00:00:00+00:00,0.128,0.156,0.145,0.141,3447099.87
2024-07-05 00:00:00+00:00,0.121,0.142,0.141,0.132,1653294.5
2024-07-06 00:00:00+00:00,0.13,0.146,0.131,0.145,777145.75
2024-07-07 00:00:00+00:00,0.135,0.151,0.145,0.137,989568.77
2024-07-08 00:00:00+00:00,0.134,0.143,0.136,0.137,560625.45
2024-07-09 00:00:00+00:00,0.134,0.144,0.138,0.142,1039838.24
2024-07-10 00:00:00+00:00,0.138,0.147,0.142,0.143,962817.02
2024-07-11 00:00:00+00:00,0.138,0.144,0.142,0.139,802830.74
2024-07-12 00:00:00+00:00,0.136,0.141,0.14,0.139,546426.31
2024-07-13 00:00:00+00:00,0.139,0.144,0.139,0.144,576576.51
2024-07-14 00:00:00+00:00,0.143,0.17,0.144,0.156,1877424.65
2024-07-15 00:00:00+00:00,0.154,0.176,0.157,0.174,1524529.1
2024-07-16 00:00:00+00:00,0.157,0.174,0.173,0.164,1716690.43
2024-07-17 00:00:00+00:00,0.162,0.196,0.163,0.178,3471869.7
2024-07-18 00:00:00+00:00,0.174,0.194,0.179,0.175,1828417.6
2024-07-19 00:00:00+00:00,0.172,0.183,0.176,0.182,703729.16
2024-07-20 00:00:00+00:00,0.181,0.187,0.182,0.182,636592.0
2024-07-21 00:00:00+00:00,0.178,0.185,0.182,0.181,795728.57
2024-07-22 00:00:00+00:00,0.174,0.184,0.182,0.177,626750.41
2024-07-23 00:00:00+00:00,0.164,0.177,0.177,0.166,1052776.61
2024-07-24 00:00:00+00:00,0.163,0.169,0.166,0.164,735888.78
2024-07-25 00:00:00+00:00,0.15,0.165,0.164,0.154,831066.1
2024-07-26 00:00:00+00:00,0.153,0.168,0.154,0.167,495129.45
2024-07-27 00:00:00+00:00,0.161,0.172,0.167,0.162,753735.91
2024-07-28 00:00:00+00:00,0.159,0.169,0.162,0.166,548117.19
2024-07-29 00:00:00+00:00,0.165,0.173,0.166,0.171,533633.77
2024-07-30 00:00:00+00:00,0.163,0.171,0.171,0.165,451995.9
2024-07-31 00:00:00+00:00,0.154,0.166,0.165,0.154,372026.8
2024-08-01 00:00:00+00:00,0.146,0.155,0.154,0.151,517429.69
2024-08-02 00:00:00+00:00,0.139,0.151,0.15,0.14,384413.5
2024-08-03 00:00:00+00:00,0.135,0.141,0.139,0.137,444063.68
2024-08-04 00:00:00+00:00,0.128,0.137,0.136,0.132,708102.08
2024-08-05 00:00:00+00:00,0.106,0.131,0.131,0.122,5616075.75
2024-08-06 00:00:00+00:00,0.12,0.127,0.122,0.125,928821.53
2024-08-07 00:00:00+00:00,0.122,0.13,0.124,0.123,1185924.22
2024-08-08 00:00:00+00:00,0.122,0.129,0.123,0.129,2313038.16
2024-08-09 00:00:00+00:00,0.119,0.13,0.13,0.119,954245.74
2024-08-10 00:00:00+00:00,0.119,0.124,0.119,0.119,1300228.05
2024-08-11 00:00:00+00:00,0.113,0.122,0.12,0.115,769668.66
2024-08-12 00:00:00+00:00,0.113,0.156,0.114,0.132,7811472.46
2024-08-13 00:00:00+00:00,0.132,0.145,0.133,0.138,3259218.81
2024-08-14 00:00:00+00:00,0.135,0.142,0.139,0.138,1458602.28
2024-08-15 00:00:00+00:00,0.124,0.14,0.139,0.126,1102392.54
2024-08-16 00:00:00+00:00,0.125,0.132,0.126,0.125,1287806.36
2024-08-17 00:00:00+00:00,0.124,0.129,0.127,0.127,252463.51
2024-08-18 00:00:00+00:00,0.125,0.131,0.127,0.127,318700.79
2024-08-19 00:00:00+00:00,0.123,0.128,0.127,0.125,493022.15
2024-08-20 00:00:00+00:00,0.125,0.132,0.125,0.128,887538.97
2024-08-21 00:00:00+00:00,0.127,0.133,0.128,0.13,428110.66
2024-08-22 00:00:00+00:00,0.13,0.132,0.13,0.13,172101.31
2024-08-23 00:00:00+00:00,0.129,0.139,0.131,0.136,834774.02
2024-08-24 00:00:00+00:00,0.132,0.138,0.136,0.134,933744.86
2024-08-25 00:00:00+00:00,0.13,0.137,0.134,0.133,647214.17
2024-08-26 00:00:00+00:00,0.129,0.135,0.134,0.13,662331.37
2024-08-27 00:00:00+00:00,0.125,0.134,0.131,0.125,885742.08
2024-08-28 00:00:00+00:00,0.121,0.129,0.125,0.124,695560.82
2024-08-29 00:00:00+00:00,0.114,0.125,0.124,0.118,2429205.33
2024-08-30 00:00:00+00:00,0.112,0.121,0.119,0.117,479497.84
2024-08-31 00:00:00+00:00,0.115,0.121,0.118,0.116,408069.63
2024-09-01 00:00:00+00:00,0.115,0.119,0.115,0.117,579755.05
2024-09-02 00:00:00+00:00,0.112,0.118,0.118,0.116,456991.95
2024-09-03 00:00:00+00:00,0.109,0.117,0.116,0.11,822130.16
2024-09-04 00:00:00+00:00,0.107,0.114,0.11,0.114,718920.19
2024-09-05 00:00:00+00:00,0.106,0.114,0.114,0.108,1258955.75
2024-09-06 00:00:00+00:00,0.098,0.109,0.108,0.102,2195741.75
2024-09-07 00:00:00+00:00,0.102,0.132,0.103,0.119,6680362.64
2024-09-08 00:00:00+00:00,0.104,0.12,0.12,0.111,3047477.93
2024-09-09 00:00:00+00:00,0.106,0.114,0.111,0.113,1237813.48
2024-09-10 00:00:00+00:00,0.108,0.115,0.114,0.114,1312194.8
2024-09-11 00:00:00+00:00,0.109,0.115,0.114,0.11,676227.24
2024-09-12 00:00:00+00:00,0.109,0.132,0.11,0.122,2989243.47
2024-09-13 00:00:00+00:00,0.113,0.126,0.122,0.122,1991933.05
2024-09-14 00:00:00+00:00,0.117,0.123,0.122,0.12,511044.5
2024-09-15 00:00:00+00:00,0.119,0.123,0.119,0.12,931710.51
2024-09-16 00:00:00+00:00,0.11,0.121,0.12,0.115,1192984.74
2024-09-17 00:00:00+00:00,0.114,0.121,0.115,0.118,876904.37
2024-09-18 00:00:00+00:00,0.115,0.138,0.119,0.12,2780832.95
2024-09-19 00:00:00+00:00,0.121,0.131,0.122,0.128,1061875.2
2024-09-20 00:00:00+00:00,0.124,0.132,0.128,0.127,1146271.7
2024-09-21 00:00:00+00:00,0.124,0.128,0.127,0.125,560353.04
2024-09-22 00:00:00+00:00,0.119,0.129,0.126,0.127,1616407.78
2024-09-23 00:00:00+00:00,0.123,0.134,0.126,0.134,1069342.25
2024-09-24 00:00:00+00:00,0.13,0.139,0.133,0.134,1581969.87
2024-09-25 00:00:00+00:00,0.125,0.136,0.133,0.126,1429087.09
2024-09-26 00:00:00+00:00,0.125,0.137,0.126,0.13,1511160.33
2024-09-27 00:00:00+00:00,0.127,0.146,0.13,0.145,1839169.07
2024-09-28 00:00:00+00:00,0.136,0.15,0.145,0.14,982705.71
2024-09-29 00:00:00+00:00,0.139,0.143,0.14,0.142,290470.08
2024-09-30 00:00:00+00:00,0.135,0.142,0.142,0.135,714657.54
2024-10-01 00:00:00+00:00,0.126,0.142,0.136,0.131,1646481.66
2024-10-02 00:00:00+00:00,0.122,0.135,0.129,0.128,720655.52
2024-10-03 00:00:00+00:00,0.122,0.129,0.128,0.126,592519.06
2024-10-04 00:00:00+00:00,0.126,0.138,0.127,0.138,440814.43
2024-10-05 00:00:00+00:00,0.131,0.138,0.137,0.132,382241.86
2024-10-06 00:00:00+00:00,0.131,0.14,0.132,0.137,490278.57
2024-10-07 00:00:00+00:00,0.136,0.145,0.137,0.137,686099.08
2024-10-08 00:00:00+00:00,0.134,0.14,0.137,0.139,574420.96
2024-10-09 00:00:00+00:00,0.135,0.14,0.139,0.136,471083.29
2024-10-10 00:00:00+00:00,0.128,0.137,0.137,0.132,765550.48
2024-10-11 00:00:00+00:00,0.131,0.135,0.132,0.134,161296.96
2024-10-12 00:00:00+00:00,0.132,0.135,0.134,0.134,143127.46
2024-10-13 00:00:00+00:00,0.127,0.135,0.135,0.128,319224.23
2024-10-14 00:00:00+00:00,0.128,0.135,0.129,0.134,413948.81
2024-10-15 00:00:00+00:00,0.125,0.135,0.133,0.129,684278.74
2024-10-16 00:00:00+00:00,0.12,0.13,0.129,0.124,790793.15
2024-10-17 00:00:00+00:00,0.12,0.127,0.124,0.122,484754.09
