time,low,high,open,close,volume
2024-06-11 00:00:00+00:00,30.46,32.36,32.27,31.55,597638.92655765
2024-06-12 00:00:00+00:00,30.8,33.99,31.55,33.26,572149.92343467
2024-06-13 00:00:00+00:00,30.9,33.42,33.26,30.98,379871.4269729
2024-06-14 00:00:00+00:00,29.3,32.19,30.98,30.28,658598.66406476
2024-06-15 00:00:00+00:00,29.9,30.63,30.28,30.01,234737.91339591
2024-06-16 00:00:00+00:00,29.65,30.47,30.01,30.06,283186.65833347
2024-06-17 00:00:00+00:00,27.29,30.33,30.06,28.45,565589.93966162
2024-06-18 00:00:00+00:00,25.05,28.54,28.46,26.6,983275.7826182
2024-06-19 00:00:00+00:00,26.39,27.66,26.59,26.93,420095.14084342
2024-06-20 00:00:00+00:00,26.67,28.87,26.94,27.56,597646.28819175
2024-06-21 00:00:00+00:00,26.91,28.01,27.57,27.47,315848.10769977
2024-06-22 00:00:00+00:00,24.0,27.49,27.46,25.61,3246548.40561334
2024-06-23 00:00:00+00:00,24.12,26.0,25.62,25.07,1205138.79153871
2024-06-24 00:00:00+00:00,23.51,25.23,25.06,24.78,1284542.56750815
2024-06-25 00:00:00+00:00,24.6,25.77,24.77,25.4,549395.84984202
2024-06-26 00:00:00+00:00,25.27,26.64,25.39,25.8,840993.03218557
2024-06-27 00:00:00+00:00,25.33,28.34,25.8,27.88,933435.805818
2024-06-28 00:00:00+00:00,27.64,29.05,27.87,27.91,696250.79642176
2024-06-29 00:00:00+00:00,27.53,28.63,27.91,27.73,386825.54609233
2024-06-30 00:00:00+00:00,27.36,29.52,27.73,29.32,544741.68416845
2024-07-01 00:00:00+00:00,28.79,30.08,29.32,28.8,626526.85256736
2024-07-02 00:00:00+00:00,28.06,28.87,28.8,28.67,394091.5957877
2024-07-03 00:00:00+00:00,26.4,28.93,28.68,26.48,608428.38405538
2024-07-04 00:00:00+00:00,24.27,26.67,26.46,24.43,596177.92841906
2024-07-05 00:00:00+00:00,21.84,25.45,24.44,25.13,1173774.04043251
2024-07-06 00:00:00+00:00,24.86,27.61,25.11,27.44,406851.55884476
2024-07-07 00:00:00+00:00,25.43,27.49,27.41,25.74,355026.96597535
2024-07-08 00:00:00+00:00,24.55,27.21,25.75,25.21,873275.82702269
2024-07-09 00:00:00+00:00,24.7,26.51,25.21,26.44,516602.12753001
2024-07-10 00:00:00+00:00,25.62,27.42,26.44,25.76,393097.31003916
2024-07-11 00:00:00+00:00,25.02,26.37,25.75,25.21,411286.56569226
2024-07-12 00:00:00+00:00,24.82,26.1,25.23,25.97,337256.66478044
2024-07-13 00:00:00+00:00,25.54,26.35,25.99,25.87,483917.85145504
2024-07-14 00:00:00+00:00,25.61,26.68,25.86,26.32,372574.01701112
2024-07-15 00:00:00+00:00,26.27,27.9,26.36,27.85,603742.19426664
2024-07-16 00:00:00+00:00,26.47,29.26,27.85,28.03,819149.65053703
2024-07-17 00:00:00+00:00,27.22,29.03,28.03,27.24,556751.21163994
2024-07-18 00:00:00+00:00,26.59,27.94,27.24,27.12,393975.52580118
2024-07-19 00:00:00+00:00,26.65,28.42,27.13,28.18,598505.59550245
2024-07-20 00:00:00+00:00,27.8,29.19,28.18,29.11,436051.51246889
2024-07-21 00:00:00+00:00,28.54,33.02,29.11,32.65,1155433.30255931
2024-07-22 00:00:00+00:00,31.33,32.94,32.64,31.89,665319.49812324
2024-07-23 00:00:00+00:00,29.44,32.63,31.85,29.84,542186.54179836
2024-07-24 00:00:00+00:00,28.25,30.55,29.82,28.39,865952.42502891
2024-07-25 00:00:00+00:00,26.26,28.59,28.37,27.24,758238.00040273
2024-07-26 00:00:00+00:00,27.17,28.86,27.23,28.73,544562.01872484
2024-07-27 00:00:00+00:00,27.57,29.53,28.73,28.03,418576.91659728
2024-07-28 00:00:00+00:00,27.09,28.17,28.02,27.4,372722.84926011
2024-07-29 00:00:00+00:00,26.97,28.85,27.39,26.98,457903.63715117
2024-07-30 00:00:00+00:00,26.01,27.31,27.0,26.31,391730.03686598
2024-07-31 00:00:00+00:00,25.41,26.86,26.32,25.7,372005.0324678
2024-08-01 00:00:00+00:00,24.01,25.91,25.7,25.69,468985.98335426
2024-08-02 00:00:00+00:00,23.34,25.88,25.69,23.57,595676.09477259
2024-08-03 00:00:00+00:00,22.18,24.09,23.58,22.66,711751.87324469
2024-08-04 00:00:00+00:00,20.58,22.95,22.66,21.24,654741.72764676
2024-08-05 00:00:00+00:00,17.28,21.36,21.24,19.55,2243238.1738188
2024-08-06 00:00:00+00:00,19.54,21.46,19.56,20.9,741465.89179936
2024-08-07 00:00:00+00:00,19.71,21.7,20.9,19.85,425567.98574431
2024-08-08 00:00:00+00:00,19.53,22.81,19.85,22.76,655037.1610316
2024-08-09 00:00:00+00:00,21.3,22.81,22.74,21.75,474665.53120367
2024-08-10 00:00:00+00:00,21.41,22.05,21.74,21.58,229794.22674486
2024-08-11 00:00:00+00:00,20.38,22.38,21.59,20.41,355826.7445821
2024-08-12 00:00:00+00:00,20.3,21.71,20.4,21.28,355342.14381359
2024-08-13 00:00:00+00:00,20.61,21.63,21.28,21.39,297833.05043383
2024-08-14 00:00:00+00:00,20.78,21.88,21.38,20.96,257792.29115047
2024-08-15 00:00:00+00:00,19.85,21.15,20.96,20.13,407365.66353844
2024-08-16 00:00:00+00:00,19.79,20.7,20.14,20.39,297453.24102534
2024-08-17 00:00:00+00:00,20.25,20.71,20.35,20.7,193836.37972498
2024-08-18 00:00:00+00:00,20.55,21.51,20.7,20.82,237471.44677502
2024-08-19 00:00:00+00:00,20.39,21.26,20.82,21.23,269542.57269291
2024-08-20 00:00:00+00:00,21.18,22.8,21.23,22.26,793686.2041983
2024-08-21 00:00:00+00:00,22.26,23.8,22.27,23.54,539378.37253291
2024-08-22 00:00:00+00:00,23.05,25.3,23.54,25.23,723756.52185598
2024-08-23 00:00:00+00:00,25.23,27.04,25.23,26.52,969798.28334882
2024-08-24 00:00:00+00:00,26.21,28.0,26.52,27.14,545772.22625288
2024-08-25 00:00:00+00:00,26.14,27.71,27.13,26.93,461858.67814704
2024-08-26 00:00:00+00:00,25.9,27.21,26.94,25.95,423797.95038432
2024-08-27 00:00:00+00:00,23.64,26.83,25.95,24.1,765811.41347133
2024-08-28 00:00:00+00:00,23.19,24.83,24.1,23.44,612210.80069039
2024-08-29 00:00:00+00:00,22.78,24.69,23.43,22.89,740413.52138938
2024-08-30 00:00:00+00:00,22.2,23.64,22.89,23.29,305430.28148603
2024-08-31 00:00:00+00:00,22.47,23.39,23.29,22.81,188107.05484753
2024-09-01 00:00:00+00:00,21.14,22.84,22.8,21.43,331187.88071598
2024-09-02 00:00:00+00:00,21.37,22.57,21.42,22.37,248264.00017199
2024-09-03 00:00:00+00:00,21.35,22.73,22.37,21.38,267060.37047644
2024-09-04 00:00:00+00:00,20.5,22.31,21.39,21.9,391212.07777738
2024-09-05 00:00:00+00:00,21.22,22.18,21.9,21.36,234765.22099821
2024-09-06 00:00:00+00:00,20.46,22.19,21.37,21.16,600465.92926259
2024-09-07 00:00:00+00:00,21.06,22.0,21.16,21.8,217614.66666278
2024-09-08 00:00:00+00:00,21.72,23.51,21.81,23.25,411158.02806634
2024-09-09 00:00:00+00:00,23.14,24.4,23.25,23.85,654123.27617351
2024-09-10 00:00:00+00:00,23.58,24.58,23.85,24.35,399933.98858437
2024-09-11 00:00:00+00:00,22.87,24.52,24.36,23.28,393090.35787298
2024-09-12 00:00:00+00:00,23.27,24.19,23.28,24.01,434219.05930508
2024-09-13 00:00:00+00:00,23.67,25.11,24.02,24.93,404645.55270762
2024-09-14 00:00:00+00:00,24.63,25.66,24.93,25.34,310539.54417494
2024-09-15 00:00:00+00:00,23.66,25.38,25.33,23.78,264856.09186073
2024-09-16 00:00:00+00:00,23.19,24.22,23.79,23.52,288114.6470331
2024-09-17 00:00:00+00:00,23.16,24.49,23.51,23.78,263408.28017274
2024-09-18 00:00:00+00:00,22.79,24.77,23.76,24.72,556279.46794644
2024-09-19 00:00:00+00:00,24.74,26.79,24.74,26.68,761794.78169131
2024-09-20 00:00:00+00:00,26.48,28.82,26.67,27.67,1172649.44059728
2024-09-21 00:00:00+00:00,26.98,28.11,27.68,27.79,311704.11230577
2024-09-22 00:00:00+00:00,26.46,27.8,27.79,27.3,278839.31797426
2024-09-23 00:00:00+00:00,26.56,28.16,27.31,27.39,482969.40164627
2024-09-24 00:00:00+00:00,26.83,28.55,27.38,28.47,387389.3103098
2024-09-25 00:00:00+00:00,27.15,28.49,28.48,27.29,435685.12766165
2024-09-26 00:00:00+00:00,26.97,29.43,27.29,29.16,467044.45768209
2024-09-27 00:00:00+00:00,28.94,30.86,29.16,30.45,464436.38109572
2024-09-28 00:00:00+00:00,29.04,30.76,30.46,29.29,279607.74174103
2024-09-29 00:00:00+00:00,28.2,29.47,29.3,29.06,248808.09884948
2024-09-30 00:00:00+00:00,27.55,29.13,29.06,27.7,473080.51150729
2024-10-01 00:00:00+00:00,25.02,28.88,27.69,25.82,721487.57672556
2024-10-02 00:00:00+00:00,25.03,26.78,25.8,25.33,468265.92559596
2024-10-03 00:00:00+00:00,23.9,25.66,25.33,24.66,595779.98464219
2024-10-04 00:00:00+00:00,24.44,26.5,24.66,26.27,449372.59105007
2024-10-05 00:00:00+00:00,25.09,26.45,26.27,25.68,156105.92043622
2024-10-06 00:00:00+00:00,25.5,27.06,25.67,26.95,230260.0398275
2024-10-07 00:00:00+00:00,26.5,27.72,26.93,26.55,335285.2837
2024-10-08 00:00:00+00:00,26.04,27.16,26.56,26.34,226574.31157432
2024-10-09 00:00:00+00:00,25.66,26.67,26.34,25.76,215759.17581772
2024-10-10 00:00:00+00:00,25.04,26.34,25.76,25.84,193053.91801658
2024-10-11 00:00:00+00:00,25.73,27.58,25.83,27.43,237890.12374372
2024-10-12 00:00:00+00:00,27.37,29.38,27.44,28.62,575611.87097886
2024-10-13 00:00:00+00:00,28.27,29.34,28.63,29.06,334382.93581789
2024-10-14 00:00:00+00:00,28.63,29.86,29.05,29.07,451314.54358497
2024-10-15 00:00:00+00:00,27.54,29.61,29.07,28.22,536754.27801764
2024-10-16 00:00:00+00:00,27.25,28.25,28.22,28.02,391914.01779364
2024-10-17 00:00:00+00:00,26.79,28.26,28.01,27.28,276961.21600931
2024-10-18 00:00:00+00:00,27.1,28.17,27.29,28.1,229961.64983506
2024-10-19 00:00:00+00:00,27.73,28.45,28.1,28.1,119530.67944852
2024-10-20 00:00:00+00:00,27.76,28.99,28.1,28.97,187414.67095067
2024-10-21 00:00:00+00:00,27.37,29.31,28.96,27.75,274574.84245715
2024-10-22 00:00:00+00:00,27.23,28.21,27.74,27.61,376200.9610604
2024-10-23 00:00:00+00:00,25.86,27.68,27.63,26.72,427850.38023825
2024-10-24 00:00:00+00:00,26.37,27.22,26.73,26.8,321306.61010976
2024-10-25 00:00:00+00:00,23.97,26.86,26.81,24.89,526257.4071917
2024-10-26 00:00:00+00:00,24.53,25.65,24.9,25.38,154235.13384302
2024-10-27 00:00:00+00:00,25.22,25.9,25.38,25.74,114499.88152502
2024-10-28 00:00:00+00:00,25.03,26.52,25.73,26.23,298747.64902484
2024-10-29 00:00:00+00:00,26.15,27.15,26.24,26.86,375632.95831293
2024-10-30 00:00:00+00:00,26.0,26.9,26.86,26.17,235947.52814508
2024-10-31 00:00:00+00:00,24.66,26.22,26.17,24.98,269509.5645633
2024-11-01 00:00:00+00:00,24.39,25.7,24.98,24.77,218742.79717473
2024-11-02 00:00:00+00:00,23.97,25.01,24.77,24.12,133958.05025046
2024-11-03 00:00:00+00:00,22.59,24.2,24.12,23.52,250637.7614313
2024-11-04 00:00:00+00:00,22.33,23.93,23.52,22.73,290367.09062295
2024-11-05 00:00:00+00:00,22.59,24.48,22.71,24.0,285748.14271252
2024-11-06 00:00:00+00:00,24.0,27.31,24.0,27.03,769236.32191939
2024-11-07 00:00:00+00:00,26.55,28.02,27.03,27.41,588236.63887829
2024-11-08 00:00:00+00:00,27.13,28.82,27.41,28.82,580369.68695552
2024-11-09 00:00:00+00:00,28.51,30.51,28.81,30.39,664114.54447834
2024-11-10 00:00:00+00:00,29.7,33.35,30.4,31.91,1288018.53607717
2024-11-11 00:00:00+00:00,30.72,35.82,31.92,35.75,1193459.6182902
2024-11-12 00:00:00+00:00,32.68,37.73,35.77,33.96,2280012.98430503
2024-11-13 00:00:00+00:00,31.25,35.13,33.98,33.17,1325737.93953223
2024-11-14 00:00:00+00:00,30.69,34.73,33.16,31.19,942666.74065862
2024-11-15 00:00:00+00:00,30.6,33.32,31.2,33.14,708825.71259731
2024-11-16 00:00:00+00:00,32.8,35.74,33.14,35.17,772263.75422976
2024-11-17 00:00:00+00:00,33.11,37.26,35.17,34.72,956960.31228197
2024-11-18 00:00:00+00:00,34.1,36.19,34.72,35.51,810761.24619755
2024-11-19 00:00:00+00:00,33.55,35.67,35.5,34.27,763684.1494312
2024-11-20 00:00:00+00:00,32.81,35.79,34.26,33.61,1015758.63189192
2024-11-21 00:00:00+00:00,32.36,36.26,33.61,35.85,1021209.25871128
2024-11-22 00:00:00+00:00,35.21,43.66,35.87,43.25,2151057.50510815
2024-11-23 00:00:00+00:00,40.73,45.41,43.25,41.48,1897030.74616694
2024-11-24 00:00:00+00:00,38.33,43.18,41.49,42.11,1243245.51206882
2024-11-25 00:00:00+00:00,40.06,47.97,42.13,41.33,2716324.08872569
2024-11-26 00:00:00+00:00,38.5,43.3,41.32,42.7,2262890.59678463
2024-11-27 00:00:00+00:00,41.92,44.45,42.71,43.83,1471612.00236795
2024-11-28 00:00:00+00:00,41.51,44.28,43.83,42.77,630545.04155182
2024-11-29 00:00:00+00:00,42.55,45.13,42.78,44.89,697386.91429133
2024-11-30 00:00:00+00:00,43.72,46.29,44.89,44.84,690565.54558617
2024-12-01 00:00:00+00:00,43.67,45.81,44.85,45.14,642101.872293
2024-12-02 00:00:00+00:00,45.04,52.53,45.11,52.3,2939704.16194007
2024-12-03 00:00:00+00:00,47.82,53.95,52.3,50.95,2168691.0022711
2024-12-04 00:00:00+00:00,50.89,55.86,50.95,52.86,1526847.38130302
2024-12-05 00:00:00+00:00,49.05,53.65,52.85,50.35,1302626.44994787
2024-12-06 00:00:00+00:00,49.65,53.6,50.36,52.56,951096.45750292
