time,low,high,open,close,volume
2024-06-11 00:00:00+00:00,6.77,7.2,7.18,6.85,82468.767
2024-06-12 00:00:00+00:00,6.75,7.31,6.87,7.18,29250.799
2024-06-13 00:00:00+00:00,6.86,7.17,7.17,6.99,32977.768
2024-06-14 00:00:00+00:00,6.5,7.09,6.97,6.66,56565.924
2024-06-15 00:00:00+00:00,6.63,6.88,6.68,6.78,10464.775
2024-06-16 00:00:00+00:00,6.66,6.78,6.77,6.72,25395.417
2024-06-17 00:00:00+00:00,6.03,6.76,6.7,6.23,175710.773
2024-06-18 00:00:00+00:00,5.51,6.25,6.25,5.78,106600.499
2024-06-19 00:00:00+00:00,5.73,6.13,5.77,6.0,24969.675
2024-06-20 00:00:00+00:00,5.92,6.26,6.0,5.97,19560.13
2024-06-21 00:00:00+00:00,5.91,6.12,5.96,6.0,28218.071
2024-06-22 00:00:00+00:00,5.91,6.09,5.98,6.05,9318.192
2024-06-23 00:00:00+00:00,5.84,6.14,6.04,5.88,14626.421
2024-06-24 00:00:00+00:00,5.63,6.0,5.89,5.98,45582.996
2024-06-25 00:00:00+00:00,5.94,6.31,5.97,6.19,23826.598
2024-06-26 00:00:00+00:00,6.04,6.28,6.18,6.07,9070.792
2024-06-27 00:00:00+00:00,5.98,6.34,6.07,6.25,11579.695
2024-06-28 00:00:00+00:00,6.02,6.35,6.25,6.05,20328.264
2024-06-29 00:00:00+00:00,5.87,6.18,6.05,5.93,34386.475
2024-06-30 00:00:00+00:00,5.87,6.09,5.94,6.03,19281.144
2024-07-01 00:00:00+00:00,5.88,6.23,6.05,5.9,25548.64
2024-07-02 00:00:00+00:00,5.81,6.01,5.89,5.97,22736.536
2024-07-03 00:00:00+00:00,5.69,6.0,5.97,5.72,20021.313
2024-07-04 00:00:00+00:00,5.02,5.74,5.71,5.06,42068.768
2024-07-05 00:00:00+00:00,4.42,5.07,5.07,4.95,65038.465
2024-07-06 00:00:00+00:00,4.91,5.43,4.94,5.35,33942.603
2024-07-07 00:00:00+00:00,4.96,5.36,5.35,4.98,13092.799
2024-07-08 00:00:00+00:00,4.78,5.34,5.0,5.21,31054.585
2024-07-09 00:00:00+00:00,5.17,5.34,5.19,5.28,15357.416
2024-07-10 00:00:00+00:00,5.24,5.43,5.29,5.34,12753.277
2024-07-11 00:00:00+00:00,5.28,5.52,5.35,5.29,16996.711
2024-07-12 00:00:00+00:00,5.21,5.49,5.3,5.46,16257.519
2024-07-13 00:00:00+00:00,5.44,5.61,5.46,5.56,10280.158
2024-07-14 00:00:00+00:00,5.49,5.71,5.55,5.69,16856.741
2024-07-15 00:00:00+00:00,5.68,5.99,5.69,5.96,32207.769
2024-07-16 00:00:00+00:00,5.73,6.08,5.97,6.02,41027.27
2024-07-17 00:00:00+00:00,5.99,6.22,6.02,6.0,37018.75
2024-07-18 00:00:00+00:00,5.96,6.38,6.0,6.05,48561.222
2024-07-19 00:00:00+00:00,6.01,6.35,6.06,6.3,24660.703
2024-07-20 00:00:00+00:00,6.26,6.42,6.31,6.4,12941.624
2024-07-21 00:00:00+00:00,6.08,6.49,6.4,6.39,24137.988
2024-07-22 00:00:00+00:00,6.07,6.46,6.4,6.12,30001.85
2024-07-23 00:00:00+00:00,5.87,6.26,6.12,5.97,17099.602
2024-07-24 00:00:00+00:00,5.86,6.4,5.96,5.89,27500.62
2024-07-25 00:00:00+00:00,5.49,5.95,5.9,5.68,30318.404
2024-07-26 00:00:00+00:00,5.67,6.1,5.67,6.08,22017.645
2024-07-27 00:00:00+00:00,6.03,6.21,6.08,6.09,17972.18
2024-07-28 00:00:00+00:00,5.89,6.11,6.09,5.92,9211.392
2024-07-29 00:00:00+00:00,5.76,6.14,5.93,5.8,16654.591
2024-07-30 00:00:00+00:00,5.74,6.06,5.79,5.81,14919.826
2024-07-31 00:00:00+00:00,5.62,5.92,5.79,5.65,13368.817
2024-08-01 00:00:00+00:00,5.26,5.72,5.65,5.66,33864.131
2024-08-02 00:00:00+00:00,5.17,5.71,5.66,5.23,39828.038
2024-08-03 00:00:00+00:00,4.9,5.36,5.23,5.01,35274.748
2024-08-04 00:00:00+00:00,4.55,5.08,5.0,4.71,63605.674
2024-08-05 00:00:00+00:00,3.84,4.74,4.72,4.32,164783.98
2024-08-06 00:00:00+00:00,4.32,4.66,4.32,4.49,56341.491
2024-08-07 00:00:00+00:00,4.26,4.64,4.49,4.32,50795.763
2024-08-08 00:00:00+00:00,4.27,4.89,4.35,4.87,51463.348
2024-08-09 00:00:00+00:00,4.71,4.91,4.85,4.81,32044.479
2024-08-10 00:00:00+00:00,4.75,4.94,4.8,4.9,35338.85
2024-08-11 00:00:00+00:00,4.5,4.91,4.9,4.53,25482.166
2024-08-12 00:00:00+00:00,4.49,4.85,4.54,4.77,57033.343
2024-08-13 00:00:00+00:00,4.62,4.98,4.76,4.89,13898.047
2024-08-14 00:00:00+00:00,4.67,4.92,4.88,4.71,14046.017
2024-08-15 00:00:00+00:00,4.49,4.84,4.74,4.59,12274.749
2024-08-16 00:00:00+00:00,4.52,4.71,4.57,4.63,19486.211
2024-08-17 00:00:00+00:00,4.56,4.68,4.63,4.65,10178.103
2024-08-18 00:00:00+00:00,4.58,4.9,4.63,4.65,21759.202
2024-08-19 00:00:00+00:00,4.52,4.66,4.63,4.66,16049.882
2024-08-20 00:00:00+00:00,4.64,4.84,4.65,4.78,35647.165
2024-08-21 00:00:00+00:00,4.72,4.97,4.77,4.93,18184.461
2024-08-22 00:00:00+00:00,4.84,5.0,4.92,4.97,51571.868
2024-08-23 00:00:00+00:00,4.95,5.37,4.96,5.33,31629.86
2024-08-24 00:00:00+00:00,5.24,5.46,5.31,5.35,22424.758
2024-08-25 00:00:00+00:00,5.16,5.36,5.36,5.26,16482.084
2024-08-26 00:00:00+00:00,4.93,5.37,5.25,4.98,28677.617
2024-08-27 00:00:00+00:00,4.6,5.06,4.99,4.69,18302.136
2024-08-28 00:00:00+00:00,4.5,4.8,4.69,4.64,26747.214
2024-08-29 00:00:00+00:00,4.64,4.87,4.64,4.7,14527.457
2024-08-30 00:00:00+00:00,4.54,4.85,4.71,4.8,16906.423
2024-08-31 00:00:00+00:00,4.69,4.84,4.78,4.71,8747.082
2024-09-01 00:00:00+00:00,4.4,4.73,4.72,4.45,10482.371
2024-09-02 00:00:00+00:00,4.44,4.72,4.44,4.68,10827.904
2024-09-03 00:00:00+00:00,4.44,4.72,4.67,4.45,16200.283
2024-09-04 00:00:00+00:00,4.27,4.63,4.48,4.55,14485.264
2024-09-05 00:00:00+00:00,4.39,4.56,4.55,4.45,18076.598
2024-09-06 00:00:00+00:00,4.09,4.52,4.44,4.21,36447.296
2024-09-07 00:00:00+00:00,4.17,4.34,4.2,4.25,9682.519
2024-09-08 00:00:00+00:00,4.21,4.39,4.26,4.34,5893.838
2024-09-09 00:00:00+00:00,4.32,4.57,4.35,4.53,12693.572
2024-09-10 00:00:00+00:00,4.46,4.58,4.52,4.56,11106.53
2024-09-11 00:00:00+00:00,4.39,4.57,4.56,4.55,11982.012
2024-09-12 00:00:00+00:00,4.55,4.74,4.56,4.72,13311.749
