time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,4.02,4.22,4.17,4.08,29237.594
2024-06-11 00:00:00+00:00,3.78,4.12,4.09,3.87,115478.121
2024-06-12 00:00:00+00:00,3.78,4.18,3.88,4.01,82245.744
2024-06-13 00:00:00+00:00,3.75,4.04,4.0,3.8,47890.067
2024-06-14 00:00:00+00:00,3.55,3.89,3.82,3.68,83638.574
2024-06-15 00:00:00+00:00,3.67,3.77,3.7,3.69,22413.001
2024-06-16 00:00:00+00:00,3.63,3.77,3.69,3.73,13389.15
2024-06-17 00:00:00+00:00,3.36,3.76,3.73,3.48,37861.538
2024-06-18 00:00:00+00:00,2.98,3.48,3.48,3.16,178954.383
2024-06-19 00:00:00+00:00,3.12,3.25,3.15,3.15,9193.487
2024-06-20 00:00:00+00:00,3.15,3.34,3.16,3.18,30947.563
2024-06-21 00:00:00+00:00,3.14,3.26,3.19,3.2,23829.047
2024-06-22 00:00:00+00:00,3.14,3.24,3.19,3.2,11337.208
2024-06-23 00:00:00+00:00,3.06,3.34,3.2,3.09,27009.737
2024-06-24 00:00:00+00:00,2.93,3.16,3.08,3.16,28948.859
2024-06-25 00:00:00+00:00,3.15,3.27,3.16,3.22,8872.742
2024-06-26 00:00:00+00:00,3.11,3.24,3.23,3.17,12010.05
2024-06-27 00:00:00+00:00,3.09,3.25,3.15,3.22,8637.201
2024-06-28 00:00:00+00:00,3.14,3.28,3.22,3.14,11221.54
2024-06-29 00:00:00+00:00,3.07,3.19,3.16,3.07,3152.899
2024-06-30 00:00:00+00:00,3.02,3.25,3.1,3.24,12205.777
2024-07-01 00:00:00+00:00,3.18,3.3,3.24,3.18,15239.09
2024-07-02 00:00:00+00:00,3.07,3.21,3.18,3.12,6007.715
2024-07-03 00:00:00+00:00,2.98,3.14,3.13,3.02,20553.167
2024-07-04 00:00:00+00:00,2.59,3.03,3.03,2.6,85160.291
2024-07-05 00:00:00+00:00,2.28,2.6,2.6,2.55,97132.8
2024-07-06 00:00:00+00:00,2.53,2.76,2.55,2.75,14567.596
2024-07-07 00:00:00+00:00,2.56,2.79,2.74,2.57,27906.908
2024-07-08 00:00:00+00:00,2.46,2.76,2.59,2.67,47719.595
2024-07-09 00:00:00+00:00,2.64,2.78,2.66,2.76,8814.133
2024-07-10 00:00:00+00:00,2.73,2.84,2.77,2.78,17267.582
2024-07-11 00:00:00+00:00,2.73,2.88,2.77,2.75,9946.475
2024-07-12 00:00:00+00:00,2.7,2.84,2.74,2.81,6392.265
2024-07-13 00:00:00+00:00,2.79,2.87,2.82,2.86,8248.733
2024-07-14 00:00:00+00:00,2.85,2.96,2.85,2.93,18471.091
2024-07-15 00:00:00+00:00,2.93,3.22,2.93,3.22,16030.066
2024-07-16 00:00:00+00:00,3.03,3.24,3.23,3.19,26863.368
2024-07-17 00:00:00+00:00,3.18,3.3,3.19,3.22,11677.07
2024-07-18 00:00:00+00:00,3.1,3.33,3.22,3.19,9506.314
2024-07-19 00:00:00+00:00,3.11,3.46,3.19,3.41,23878.895
2024-07-20 00:00:00+00:00,3.31,3.41,3.39,3.38,21511.153
2024-07-21 00:00:00+00:00,3.27,3.47,3.39,3.45,27878.429
2024-07-22 00:00:00+00:00,3.25,3.46,3.44,3.27,10082.594
2024-07-23 00:00:00+00:00,3.1,3.33,3.27,3.14,21540.381
2024-07-24 00:00:00+00:00,3.08,3.25,3.17,3.1,3774.62
2024-07-25 00:00:00+00:00,2.98,3.14,3.11,3.13,24674.738
2024-07-26 00:00:00+00:00,3.13,3.34,3.13,3.33,15413.182
2024-07-27 00:00:00+00:00,3.3,3.52,3.35,3.41,40251.024
2024-07-28 00:00:00+00:00,3.32,3.53,3.4,3.36,23361.875
2024-07-29 00:00:00+00:00,3.37,3.65,3.37,3.41,29933.22
2024-07-30 00:00:00+00:00,3.28,3.48,3.37,3.34,14475.057
2024-07-31 00:00:00+00:00,3.25,3.49,3.33,3.26,10925.372
2024-08-01 00:00:00+00:00,2.89,3.3,3.27,3.05,23703.864
2024-08-02 00:00:00+00:00,2.76,3.07,3.07,2.78,30909.5
2024-08-03 00:00:00+00:00,2.56,2.81,2.78,2.61,34265.228
2024-08-04 00:00:00+00:00,2.41,2.66,2.62,2.47,31803.2
2024-08-05 00:00:00+00:00,2.09,2.55,2.48,2.46,174305.966
2024-08-06 00:00:00+00:00,2.45,2.62,2.45,2.48,28668.055
2024-08-07 00:00:00+00:00,2.39,2.58,2.48,2.44,41608.901
2024-08-08 00:00:00+00:00,2.4,2.72,2.45,2.7,21479.163
2024-08-09 00:00:00+00:00,2.59,2.69,2.69,2.67,12899.924
2024-08-10 00:00:00+00:00,2.62,2.71,2.67,2.7,10533.728
2024-08-11 00:00:00+00:00,2.5,2.82,2.68,2.53,58740.294
2024-08-12 00:00:00+00:00,2.49,2.69,2.53,2.65,19071.52
2024-08-13 00:00:00+00:00,2.59,2.74,2.66,2.71,25206.692
2024-08-14 00:00:00+00:00,2.6,2.72,2.7,2.63,12009.788
2024-08-15 00:00:00+00:00,2.49,2.66,2.63,2.54,13179.76
2024-08-16 00:00:00+00:00,2.47,2.58,2.54,2.55,13372.868
2024-08-17 00:00:00+00:00,2.52,2.61,2.55,2.6,55961.452
2024-08-18 00:00:00+00:00,2.57,2.7,2.59,2.63,72583.378
2024-08-19 00:00:00+00:00,2.6,3.12,2.62,2.78,267495.056
2024-08-20 00:00:00+00:00,2.73,3.04,2.79,2.82,184912.7
