time,low,high,open,close,volume
2025-02-06 00:00:00+00:00,6.823,9.0,7.325,8.701,541142.53
2025-02-07 00:00:00+00:00,7.201,9.2,8.701,7.694,1620728.22
2025-02-08 00:00:00+00:00,5.749,7.768,7.688,6.034,2551050.45
2025-02-09 00:00:00+00:00,4.908,6.496,6.044,5.184,3506224.22
2025-02-10 00:00:00+00:00,4.723,5.693,5.181,5.278,3320157.47
2025-02-11 00:00:00+00:00,5.23,6.35,5.274,5.797,2071485.83
2025-02-12 00:00:00+00:00,5.289,6.11,5.814,5.892,2108342.45
2025-02-13 00:00:00+00:00,5.551,6.34,5.896,5.604,1204646.56
2025-02-14 00:00:00+00:00,5.421,6.012,5.598,5.912,859607.2
2025-02-15 00:00:00+00:00,5.62,6.172,5.916,5.655,1076726.82
2025-02-16 00:00:00+00:00,5.494,5.762,5.66,5.615,403111.38
2025-02-17 00:00:00+00:00,5.559,6.713,5.617,6.143,1695688.17
2025-02-18 00:00:00+00:00,5.66,6.288,6.153,6.24,992185.96
2025-02-19 00:00:00+00:00,6.202,6.882,6.242,6.61,1697236.09
2025-02-20 00:00:00+00:00,6.498,9.187,6.601,8.807,5275972.04
2025-02-21 00:00:00+00:00,7.453,8.875,8.811,7.485,2587143.82
2025-02-22 00:00:00+00:00,7.005,7.773,7.488,7.515,1501074.57
2025-02-23 00:00:00+00:00,6.691,7.706,7.518,6.913,744721.45
2025-02-24 00:00:00+00:00,6.519,7.459,6.914,6.79,1492993.95
2025-02-25 00:00:00+00:00,6.019,7.039,6.791,6.795,1019587.64
2025-02-26 00:00:00+00:00,6.668,8.088,6.79,7.393,1854494.39
2025-02-27 00:00:00+00:00,7.21,8.298,7.393,8.096,1145772.11
2025-02-28 00:00:00+00:00,7.207,8.797,8.103,8.663,1785298.27
2025-03-01 00:00:00+00:00,8.074,9.0,8.672,8.255,711446.18
2025-03-02 00:00:00+00:00,8.067,9.18,8.266,8.547,1030559.15
2025-03-03 00:00:00+00:00,6.788,8.592,8.533,6.805,922201.87
2025-03-04 00:00:00+00:00,6.019,6.882,6.812,6.609,875726.6
2025-03-05 00:00:00+00:00,6.45,7.488,6.607,6.944,1203410.89
2025-03-06 00:00:00+00:00,6.686,7.2,6.956,6.769,681947.56
2025-03-07 00:00:00+00:00,6.505,6.892,6.774,6.622,458627.41
