time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.5509,0.6891,0.6759,0.5546,1400021.51
2024-06-11 00:00:00+00:00,0.5251,0.5826,0.5534,0.5385,1633264.01
2024-06-12 00:00:00+00:00,0.5121,0.5717,0.5392,0.5479,643614.74
2024-06-13 00:00:00+00:00,0.516,0.5584,0.5473,0.5197,403616.76
2024-06-14 00:00:00+00:00,0.4701,0.5248,0.5229,0.4923,586778.4
2024-06-15 00:00:00+00:00,0.4909,0.5126,0.4914,0.4945,231741.67
2024-06-16 00:00:00+00:00,0.4703,0.497,0.4951,0.4748,1642385.67
2024-06-17 00:00:00+00:00,0.417,0.4819,0.4749,0.4196,3945030.59
2024-06-18 00:00:00+00:00,0.3513,0.4215,0.4202,0.3719,1934552.82
2024-06-19 00:00:00+00:00,0.3646,0.3825,0.3696,0.3722,827893.22
2024-06-20 00:00:00+00:00,0.3695,0.4025,0.3705,0.3847,527864.47
2024-06-21 00:00:00+00:00,0.3784,0.4014,0.3836,0.3789,204348.84
2024-06-22 00:00:00+00:00,0.3703,0.3803,0.3786,0.3717,147508.83
2024-06-23 00:00:00+00:00,0.362,0.3917,0.3719,0.3666,102271.93
2024-06-24 00:00:00+00:00,0.3424,0.3771,0.3676,0.3771,176719.55
2024-06-25 00:00:00+00:00,0.3751,0.4,0.377,0.3966,139963.99
2024-06-26 00:00:00+00:00,0.3773,0.4045,0.3967,0.3773,102110.12
2024-06-27 00:00:00+00:00,0.3747,0.4045,0.3762,0.3983,168721.94
2024-06-28 00:00:00+00:00,0.3738,0.4023,0.3991,0.3761,188356.41
2024-06-29 00:00:00+00:00,0.3648,0.38,0.375,0.3655,93013.64
2024-06-30 00:00:00+00:00,0.3638,0.389,0.3662,0.3874,213017.46
2024-07-01 00:00:00+00:00,0.3701,0.39,0.3867,0.3742,135066.45
2024-07-02 00:00:00+00:00,0.3623,0.3743,0.3736,0.3664,246762.61
2024-07-03 00:00:00+00:00,0.3345,0.3691,0.3676,0.3377,234825.13
2024-07-04 00:00:00+00:00,0.2827,0.3391,0.3371,0.286,466922.36
2024-07-05 00:00:00+00:00,0.2513,0.2904,0.287,0.2869,1106055.63
2024-07-06 00:00:00+00:00,0.2809,0.3094,0.2869,0.3052,653013.14
2024-07-07 00:00:00+00:00,0.2879,0.3053,0.3049,0.2883,421884.88
2024-07-08 00:00:00+00:00,0.2769,0.3108,0.2893,0.2991,414685.12
2024-07-09 00:00:00+00:00,0.2964,0.307,0.2971,0.3014,417222.39
2024-07-10 00:00:00+00:00,0.2957,0.3127,0.301,0.3055,632239.06
2024-07-11 00:00:00+00:00,0.287,0.3093,0.3052,0.2875,490543.74
2024-07-12 00:00:00+00:00,0.286,0.3006,0.2877,0.2984,394752.66
2024-07-13 00:00:00+00:00,0.29,0.3007,0.3,0.2966,550310.68
2024-07-14 00:00:00+00:00,0.294,0.3154,0.2955,0.3135,741159.87
2024-07-15 00:00:00+00:00,0.3119,0.3389,0.3126,0.3377,777412.19
2024-07-16 00:00:00+00:00,0.3148,0.3507,0.3382,0.3432,588375.76
2024-07-17 00:00:00+00:00,0.3408,0.38,0.3421,0.3545,943660.07
2024-07-18 00:00:00+00:00,0.3299,0.3616,0.3539,0.3396,392196.58
2024-07-19 00:00:00+00:00,0.3296,0.3573,0.3406,0.3564,360217.54
2024-07-20 00:00:00+00:00,0.3457,0.3601,0.3566,0.3475,356592.44
2024-07-21 00:00:00+00:00,0.332,0.3596,0.3479,0.3558,412787.23
2024-07-22 00:00:00+00:00,0.3203,0.3576,0.3559,0.3246,300552.25
2024-07-23 00:00:00+00:00,0.3082,0.3395,0.3244,0.3109,559362.17
2024-07-24 00:00:00+00:00,0.2966,0.3184,0.3116,0.2997,202494.87
2024-07-25 00:00:00+00:00,0.2748,0.3013,0.3006,0.2854,468525.8
2024-07-26 00:00:00+00:00,0.2853,0.3099,0.2855,0.3087,291933.89
2024-07-27 00:00:00+00:00,0.299,0.3128,0.3084,0.3078,219723.21
2024-07-28 00:00:00+00:00,0.2943,0.3076,0.3067,0.2981,213954.09
2024-07-29 00:00:00+00:00,0.2982,0.3285,0.2988,0.2995,605193.12
2024-07-30 00:00:00+00:00,0.2859,0.3075,0.2997,0.2882,590667.79
2024-07-31 00:00:00+00:00,0.2796,0.2989,0.2877,0.28,1237380.82
2024-08-01 00:00:00+00:00,0.2527,0.2829,0.2795,0.2781,707136.63
2024-08-02 00:00:00+00:00,0.257,0.2788,0.2769,0.2607,329347.37
2024-08-03 00:00:00+00:00,0.2292,0.2621,0.2619,0.2364,613183.84
2024-08-04 00:00:00+00:00,0.2163,0.2461,0.2368,0.2267,493768.53
2024-08-05 00:00:00+00:00,0.1847,0.2284,0.2267,0.2074,1574695.9
2024-08-06 00:00:00+00:00,0.2074,0.2326,0.2074,0.2239,390648.94
2024-08-07 00:00:00+00:00,0.2162,0.2324,0.2237,0.217,339537.78
