time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.726,0.75,0.75,0.726,63209.52
2024-06-11 00:00:00+00:00,0.632,0.728,0.728,0.665,314122.79
2024-06-12 00:00:00+00:00,0.659,0.678,0.663,0.665,150828.17
2024-06-13 00:00:00+00:00,0.586,0.665,0.663,0.59,205685.91
2024-06-14 00:00:00+00:00,0.526,0.594,0.588,0.54,257732.02
2024-06-15 00:00:00+00:00,0.527,0.569,0.54,0.528,258776.41
2024-06-16 00:00:00+00:00,0.505,0.561,0.531,0.542,313489.51
2024-06-17 00:00:00+00:00,0.5,0.549,0.542,0.509,297985.81
2024-06-18 00:00:00+00:00,0.428,0.516,0.51,0.444,396455.72
2024-06-19 00:00:00+00:00,0.444,0.521,0.447,0.515,278952.81
2024-06-20 00:00:00+00:00,0.509,0.553,0.515,0.528,237643.35
2024-06-21 00:00:00+00:00,0.522,0.547,0.528,0.543,119988.57
2024-06-22 00:00:00+00:00,0.541,0.575,0.541,0.562,133722.55
2024-06-23 00:00:00+00:00,0.561,0.607,0.562,0.607,353394.78
2024-06-24 00:00:00+00:00,0.585,0.609,0.607,0.589,166679.15
2024-06-25 00:00:00+00:00,0.538,0.591,0.59,0.556,186073.78
2024-06-26 00:00:00+00:00,0.531,0.558,0.556,0.538,102051.0
2024-06-27 00:00:00+00:00,0.531,0.546,0.538,0.54,77777.31
2024-06-28 00:00:00+00:00,0.499,0.543,0.54,0.506,205578.81
2024-06-29 00:00:00+00:00,0.502,0.536,0.504,0.518,159446.44
2024-06-30 00:00:00+00:00,0.491,0.52,0.518,0.496,47863.65
2024-07-01 00:00:00+00:00,0.494,0.502,0.496,0.5,126570.99
2024-07-02 00:00:00+00:00,0.499,0.505,0.499,0.5,22649.89
2024-07-03 00:00:00+00:00,0.467,0.502,0.502,0.468,101081.13
2024-07-04 00:00:00+00:00,0.448,0.467,0.467,0.458,103034.12
2024-07-05 00:00:00+00:00,0.45,0.488,0.461,0.486,136118.47
2024-07-06 00:00:00+00:00,0.483,0.501,0.483,0.498,68290.92
2024-07-07 00:00:00+00:00,0.476,0.504,0.501,0.477,39892.35
2024-07-08 00:00:00+00:00,0.469,0.479,0.478,0.469,64400.98
2024-07-09 00:00:00+00:00,0.456,0.485,0.469,0.475,199011.33
2024-07-10 00:00:00+00:00,0.475,0.51,0.476,0.5,101912.52
2024-07-11 00:00:00+00:00,0.494,0.503,0.5,0.497,55427.72
2024-07-12 00:00:00+00:00,0.495,0.504,0.495,0.504,42444.33
2024-07-13 00:00:00+00:00,0.499,0.558,0.503,0.537,175884.38
2024-07-14 00:00:00+00:00,0.52,0.548,0.537,0.529,106158.83
2024-07-15 00:00:00+00:00,0.526,0.58,0.529,0.554,312597.48
2024-07-16 00:00:00+00:00,0.548,0.573,0.554,0.56,160016.59
2024-07-17 00:00:00+00:00,0.528,0.568,0.56,0.555,66173.64
2024-07-18 00:00:00+00:00,0.55,0.566,0.552,0.56,157324.78
2024-07-19 00:00:00+00:00,0.524,0.565,0.558,0.563,240590.19
2024-07-20 00:00:00+00:00,0.554,0.564,0.563,0.561,73807.77
2024-07-21 00:00:00+00:00,0.54,0.572,0.561,0.56,138275.56
2024-07-22 00:00:00+00:00,0.553,0.56,0.558,0.555,43873.27
2024-07-23 00:00:00+00:00,0.548,0.56,0.558,0.558,56490.55
2024-07-24 00:00:00+00:00,0.55,0.56,0.558,0.555,71048.37
2024-07-25 00:00:00+00:00,0.502,0.559,0.557,0.526,148337.72
2024-07-26 00:00:00+00:00,0.52,0.549,0.527,0.541,120081.78
2024-07-27 00:00:00+00:00,0.534,0.545,0.541,0.534,67052.74
2024-07-28 00:00:00+00:00,0.516,0.536,0.534,0.522,25407.78
2024-07-29 00:00:00+00:00,0.497,0.525,0.522,0.505,43115.87
2024-07-30 00:00:00+00:00,0.49,0.509,0.509,0.499,76202.28
2024-07-31 00:00:00+00:00,0.498,0.511,0.498,0.506,36738.13
2024-08-01 00:00:00+00:00,0.495,0.511,0.507,0.503,79315.73
2024-08-02 00:00:00+00:00,0.501,0.526,0.505,0.519,117822.35
2024-08-03 00:00:00+00:00,0.509,0.524,0.519,0.523,68145.02
2024-08-04 00:00:00+00:00,0.514,0.531,0.523,0.526,153222.75
2024-08-05 00:00:00+00:00,0.429,0.526,0.525,0.444,247528.09
2024-08-06 00:00:00+00:00,0.437,0.478,0.445,0.465,217695.88
2024-08-07 00:00:00+00:00,0.434,0.466,0.465,0.462,89165.22
2024-08-08 00:00:00+00:00,0.447,0.479,0.462,0.478,92151.79
2024-08-09 00:00:00+00:00,0.455,0.482,0.478,0.481,108121.5
2024-08-10 00:00:00+00:00,0.465,0.503,0.481,0.486,286764.32
2024-08-11 00:00:00+00:00,0.453,0.493,0.486,0.464,127784.69
2024-08-12 00:00:00+00:00,0.46,0.49,0.463,0.487,71684.38
2024-08-13 00:00:00+00:00,0.465,0.492,0.487,0.485,106145.16
2024-08-14 00:00:00+00:00,0.447,0.489,0.486,0.475,45683.67
2024-08-15 00:00:00+00:00,0.454,0.496,0.475,0.478,324908.72
2024-08-16 00:00:00+00:00,0.454,0.478,0.477,0.458,55137.51
2024-08-17 00:00:00+00:00,0.45,0.46,0.458,0.453,78942.65
2024-08-18 00:00:00+00:00,0.399,0.451,0.451,0.417,281987.64
2024-08-19 00:00:00+00:00,0.401,0.418,0.417,0.407,58689.35
2024-08-20 00:00:00+00:00,0.406,0.416,0.406,0.407,178877.58
2024-08-21 00:00:00+00:00,0.401,0.408,0.407,0.403,96194.46
2024-08-22 00:00:00+00:00,0.398,0.405,0.403,0.401,120410.64
2024-08-23 00:00:00+00:00,0.375,0.409,0.401,0.395,524652.16
2024-08-24 00:00:00+00:00,0.38,0.449,0.396,0.395,726435.24
2024-08-25 00:00:00+00:00,0.388,0.397,0.394,0.389,198117.69
2024-08-26 00:00:00+00:00,0.38,0.395,0.39,0.388,238798.93
2024-08-27 00:00:00+00:00,0.375,0.388,0.388,0.377,168780.49
2024-08-28 00:00:00+00:00,0.374,0.384,0.379,0.377,66327.67
2024-08-29 00:00:00+00:00,0.375,0.386,0.379,0.382,124490.71
2024-08-30 00:00:00+00:00,0.368,0.399,0.382,0.384,175203.23
2024-08-31 00:00:00+00:00,0.381,0.406,0.384,0.401,140955.85
2024-09-01 00:00:00+00:00,0.372,0.407,0.401,0.377,181219.3
2024-09-02 00:00:00+00:00,0.361,0.39,0.382,0.385,242141.4
2024-09-03 00:00:00+00:00,0.365,0.39,0.384,0.372,127255.55
2024-09-04 00:00:00+00:00,0.37,0.383,0.374,0.383,46827.51
2024-09-05 00:00:00+00:00,0.381,0.398,0.383,0.393,59651.18
2024-09-06 00:00:00+00:00,0.376,0.396,0.393,0.384,112000.21
2024-09-07 00:00:00+00:00,0.381,0.4,0.387,0.397,133183.56
2024-09-08 00:00:00+00:00,0.378,0.413,0.396,0.386,318707.8
2024-09-09 00:00:00+00:00,0.385,0.401,0.39,0.399,68189.95
2024-09-10 00:00:00+00:00,0.391,0.401,0.399,0.399,87098.73
2024-09-11 00:00:00+00:00,0.393,0.403,0.398,0.399,77251.08
2024-09-12 00:00:00+00:00,0.39,0.405,0.399,0.397,79863.95
2024-09-13 00:00:00+00:00,0.394,0.406,0.4,0.399,106818.07
2024-09-14 00:00:00+00:00,0.388,0.402,0.399,0.397,138671.92
2024-09-15 00:00:00+00:00,0.39,0.401,0.397,0.39,70569.85
2024-09-16 00:00:00+00:00,0.389,0.403,0.39,0.398,87319.73
2024-09-17 00:00:00+00:00,0.394,0.405,0.399,0.402,82358.99
2024-09-18 00:00:00+00:00,0.378,0.408,0.4,0.4,221354.8
2024-09-19 00:00:00+00:00,0.392,0.405,0.401,0.401,174273.66
2024-09-20 00:00:00+00:00,0.397,0.403,0.401,0.401,80290.95
2024-09-21 00:00:00+00:00,0.391,0.404,0.4,0.401,102672.37
2024-09-22 00:00:00+00:00,0.394,0.402,0.401,0.401,72539.21
2024-09-23 00:00:00+00:00,0.373,0.402,0.401,0.388,130326.35
2024-09-24 00:00:00+00:00,0.37,0.39,0.386,0.386,197084.16
2024-09-25 00:00:00+00:00,0.368,0.401,0.386,0.386,239764.34
2024-09-26 00:00:00+00:00,0.372,0.397,0.386,0.389,236455.67
2024-09-27 00:00:00+00:00,0.385,0.399,0.39,0.393,171688.83
