time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.235,0.2451,0.2416,0.2388,284198.03
2024-06-11 00:00:00+00:00,0.2179,0.2383,0.2383,0.223,509607.49
2024-06-12 00:00:00+00:00,0.2169,0.231,0.2228,0.2252,357313.45
2024-06-13 00:00:00+00:00,0.2117,0.2264,0.2264,0.214,202262.88
2024-06-14 00:00:00+00:00,0.1986,0.2206,0.214,0.2066,572694.15
2024-06-15 00:00:00+00:00,0.2062,0.2121,0.2066,0.2086,224506.02
2024-06-16 00:00:00+00:00,0.2041,0.2132,0.2077,0.2119,195043.24
2024-06-17 00:00:00+00:00,0.1911,0.2136,0.2119,0.1954,383312.18
2024-06-18 00:00:00+00:00,0.1633,0.1964,0.196,0.1758,1254751.85
2024-06-19 00:00:00+00:00,0.1751,0.1871,0.1758,0.1844,374610.45
2024-06-20 00:00:00+00:00,0.1842,0.1965,0.1845,0.1863,300227.53
2024-06-21 00:00:00+00:00,0.1811,0.1895,0.1848,0.1836,440360.4
2024-06-22 00:00:00+00:00,0.1803,0.1852,0.181,0.1838,88586.48
2024-06-23 00:00:00+00:00,0.1761,0.1869,0.1843,0.1775,61577.23
2024-06-24 00:00:00+00:00,0.1652,0.1795,0.1781,0.1774,1722499.26
2024-06-25 00:00:00+00:00,0.1741,0.1817,0.1776,0.1795,108631.92
2024-06-26 00:00:00+00:00,0.1755,0.1824,0.1803,0.1784,117975.44
2024-06-27 00:00:00+00:00,0.1726,0.1868,0.1774,0.1856,68901.47
2024-06-28 00:00:00+00:00,0.1778,0.1876,0.1858,0.1778,115402.21
2024-06-29 00:00:00+00:00,0.172,0.1804,0.1774,0.1731,41281.03
2024-06-30 00:00:00+00:00,0.1714,0.1813,0.1735,0.1797,106530.87
2024-07-01 00:00:00+00:00,0.1752,0.1823,0.1787,0.1778,98619.83
2024-07-02 00:00:00+00:00,0.1747,0.1806,0.1773,0.1793,103462.76
2024-07-03 00:00:00+00:00,0.1698,0.179,0.179,0.173,74108.88
2024-07-04 00:00:00+00:00,0.1489,0.1733,0.1724,0.1495,323684.52
2024-07-05 00:00:00+00:00,0.13,0.1513,0.1496,0.1495,877932.95
2024-07-06 00:00:00+00:00,0.1487,0.1578,0.1496,0.1567,288284.45
2024-07-07 00:00:00+00:00,0.149,0.1575,0.1567,0.1495,167420.49
2024-07-08 00:00:00+00:00,0.1418,0.1609,0.1483,0.1554,302493.76
2024-07-09 00:00:00+00:00,0.1541,0.1599,0.1551,0.156,219547.61
2024-07-10 00:00:00+00:00,0.1505,0.1598,0.1557,0.1558,435745.24
2024-07-11 00:00:00+00:00,0.1537,0.1602,0.1556,0.1545,222835.77
2024-07-12 00:00:00+00:00,0.1525,0.1584,0.1545,0.1584,199647.16
2024-07-13 00:00:00+00:00,0.1568,0.1613,0.1586,0.16,108764.47
2024-07-14 00:00:00+00:00,0.1594,0.1655,0.1597,0.1651,93009.33
2024-07-15 00:00:00+00:00,0.1635,0.1727,0.1651,0.1717,270214.29
2024-07-16 00:00:00+00:00,0.1661,0.1733,0.1718,0.1703,285421.79
2024-07-17 00:00:00+00:00,0.1673,0.1759,0.1708,0.1709,279630.61
2024-07-18 00:00:00+00:00,0.1659,0.1762,0.1713,0.1685,110550.77
2024-07-19 00:00:00+00:00,0.1661,0.1782,0.1681,0.1769,114964.8
2024-07-20 00:00:00+00:00,0.1709,0.1778,0.1774,0.1713,116660.82
2024-07-21 00:00:00+00:00,0.1649,0.1768,0.1731,0.174,121711.22
2024-07-22 00:00:00+00:00,0.1652,0.1769,0.1748,0.1664,194178.86
2024-07-23 00:00:00+00:00,0.1584,0.1689,0.1659,0.159,192934.57
2024-07-24 00:00:00+00:00,0.1526,0.1613,0.1586,0.1537,437225.5
2024-07-25 00:00:00+00:00,0.1394,0.1544,0.1536,0.1473,369266.95
2024-07-26 00:00:00+00:00,0.1469,0.153,0.148,0.1525,526672.43
2024-07-27 00:00:00+00:00,0.1508,0.1563,0.1526,0.1536,200103.43
2024-07-28 00:00:00+00:00,0.1481,0.1533,0.1531,0.1485,91207.06
2024-07-29 00:00:00+00:00,0.1459,0.1547,0.1497,0.1463,448804.57
2024-07-30 00:00:00+00:00,0.1418,0.1495,0.1464,0.1441,357109.0
2024-07-31 00:00:00+00:00,0.1413,0.1485,0.1437,0.1413,95298.79
2024-08-01 00:00:00+00:00,0.1288,0.1422,0.142,0.141,221010.79
2024-08-02 00:00:00+00:00,0.1298,0.1404,0.1404,0.1313,300130.26
2024-08-03 00:00:00+00:00,0.1203,0.1322,0.1314,0.123,371353.27
2024-08-04 00:00:00+00:00,0.1141,0.1258,0.123,0.1181,407615.02
2024-08-05 00:00:00+00:00,0.0906,0.1193,0.119,0.1041,1062464.44
2024-08-06 00:00:00+00:00,0.1041,0.1144,0.1041,0.1105,684580.03
2024-08-07 00:00:00+00:00,0.1064,0.1144,0.1114,0.1075,322551.33
2024-08-08 00:00:00+00:00,0.1052,0.1204,0.1079,0.1202,274718.92
2024-08-09 00:00:00+00:00,0.1167,0.1199,0.1199,0.1196,254366.94
2024-08-10 00:00:00+00:00,0.1173,0.1237,0.1194,0.1233,177441.08
2024-08-11 00:00:00+00:00,0.1126,0.123,0.1229,0.1129,270525.67
2024-08-12 00:00:00+00:00,0.1127,0.121,0.1137,0.1188,371226.78
2024-08-13 00:00:00+00:00,0.1161,0.1205,0.1184,0.1197,237745.39
2024-08-14 00:00:00+00:00,0.114,0.1204,0.1192,0.1158,297234.0
2024-08-15 00:00:00+00:00,0.1078,0.117,0.1162,0.1101,315861.2
2024-08-16 00:00:00+00:00,0.104,0.111,0.11,0.1084,229500.23
2024-08-17 00:00:00+00:00,0.1077,0.1141,0.1077,0.1141,167682.32
2024-08-18 00:00:00+00:00,0.1121,0.1205,0.1137,0.1165,163326.1
2024-08-19 00:00:00+00:00,0.1147,0.1211,0.1161,0.1201,282319.77
2024-08-20 00:00:00+00:00,0.117,0.1238,0.1204,0.1204,230928.03
2024-08-21 00:00:00+00:00,0.1198,0.1293,0.1206,0.1277,295497.41
2024-08-22 00:00:00+00:00,0.1253,0.1339,0.1273,0.1302,149826.15
2024-08-23 00:00:00+00:00,0.1291,0.139,0.1306,0.1373,245971.77
2024-08-24 00:00:00+00:00,0.1343,0.1424,0.1378,0.1389,293707.36
2024-08-25 00:00:00+00:00,0.1315,0.1395,0.1391,0.1349,135675.47
2024-08-26 00:00:00+00:00,0.1243,0.1347,0.1333,0.1246,351039.62
2024-08-27 00:00:00+00:00,0.112,0.1275,0.1245,0.1159,237241.25
2024-08-28 00:00:00+00:00,0.1091,0.1181,0.1139,0.1146,250142.31
2024-08-29 00:00:00+00:00,0.1139,0.1203,0.1149,0.1152,289294.15
2024-08-30 00:00:00+00:00,0.109,0.117,0.1151,0.114,169914.32
2024-08-31 00:00:00+00:00,0.1107,0.1149,0.1143,0.1117,23011.96
2024-09-01 00:00:00+00:00,0.105,0.1117,0.1103,0.105,182916.02
2024-09-02 00:00:00+00:00,0.106,0.1127,0.1063,0.1119,176891.14
2024-09-03 00:00:00+00:00,0.1043,0.114,0.1124,0.1043,152168.85
2024-09-04 00:00:00+00:00,0.0992,0.1126,0.1053,0.1092,161959.2
2024-09-05 00:00:00+00:00,0.105,0.1097,0.1092,0.1078,142665.6
2024-09-06 00:00:00+00:00,0.101,0.111,0.1078,0.1054,167358.66
2024-09-07 00:00:00+00:00,0.1047,0.1075,0.1055,0.1053,43659.42
2024-09-08 00:00:00+00:00,0.1066,0.1107,0.107,0.1106,74083.5
2024-09-09 00:00:00+00:00,0.1103,0.117,0.1109,0.1162,91161.83
2024-09-10 00:00:00+00:00,0.1137,0.1165,0.1154,0.1139,171069.62
2024-09-11 00:00:00+00:00,0.1079,0.1152,0.1133,0.1145,243840.17
2024-09-12 00:00:00+00:00,0.115,0.1215,0.1153,0.1196,492835.53
2024-09-13 00:00:00+00:00,0.1179,0.1218,0.1188,0.1202,160514.13
2024-09-14 00:00:00+00:00,0.1196,0.1236,0.1202,0.1222,210138.16
2024-09-15 00:00:00+00:00,0.1142,0.1225,0.1219,0.1151,259436.33
2024-09-16 00:00:00+00:00,0.1121,0.1188,0.1151,0.1134,286970.07
2024-09-17 00:00:00+00:00,0.1125,0.1193,0.1126,0.1149,100931.66
2024-09-18 00:00:00+00:00,0.1128,0.134,0.1152,0.128,642808.29
2024-09-19 00:00:00+00:00,0.1236,0.1332,0.1292,0.1276,327921.21
2024-09-20 00:00:00+00:00,0.126,0.1346,0.1282,0.1304,300291.32
2024-09-21 00:00:00+00:00,0.129,0.1318,0.1303,0.1317,98376.46
2024-09-22 00:00:00+00:00,0.1228,0.1322,0.132,0.1265,127623.48
2024-09-23 00:00:00+00:00,0.1253,0.1321,0.1253,0.1309,125396.67
2024-09-24 00:00:00+00:00,0.1295,0.1374,0.1315,0.1365,333423.0
2024-09-25 00:00:00+00:00,0.1343,0.1434,0.1363,0.1345,431042.31
2024-09-26 00:00:00+00:00,0.133,0.1399,0.1344,0.1377,127005.47
2024-09-27 00:00:00+00:00,0.1378,0.1465,0.1382,0.1454,244621.22
2024-09-28 00:00:00+00:00,0.1398,0.1487,0.1463,0.1402,84832.49
2024-09-29 00:00:00+00:00,0.1385,0.1449,0.1414,0.1415,129893.77
2024-09-30 00:00:00+00:00,0.1306,0.1424,0.1422,0.1312,227537.3
2024-10-01 00:00:00+00:00,0.1167,0.1363,0.1314,0.1198,402174.25
2024-10-02 00:00:00+00:00,0.114,0.127,0.1198,0.117,391554.6
2024-10-03 00:00:00+00:00,0.1116,0.1205,0.1171,0.1152,183132.39
2024-10-04 00:00:00+00:00,0.1148,0.1219,0.1156,0.1205,134334.08
2024-10-05 00:00:00+00:00,0.1187,0.1231,0.1212,0.1208,76853.56
2024-10-06 00:00:00+00:00,0.1197,0.1287,0.1199,0.1266,181887.41
2024-10-07 00:00:00+00:00,0.1249,0.1311,0.1266,0.1252,168685.89
2024-10-08 00:00:00+00:00,0.1219,0.1277,0.1256,0.1243,108692.39
2024-10-09 00:00:00+00:00,0.1171,0.1269,0.1256,0.1185,89470.64
2024-10-10 00:00:00+00:00,0.1142,0.121,0.1185,0.1198,259967.5
2024-10-11 00:00:00+00:00,0.1196,0.1239,0.1198,0.1231,218327.26
2024-10-12 00:00:00+00:00,0.1233,0.126,0.1235,0.1247,47929.79
2024-10-13 00:00:00+00:00,0.1225,0.1263,0.1248,0.1254,99797.8
2024-10-14 00:00:00+00:00,0.124,0.1324,0.1249,0.1316,389646.96
2024-10-15 00:00:00+00:00,0.1245,0.1328,0.1315,0.1296,121913.38
2024-10-16 00:00:00+00:00,0.126,0.1304,0.128,0.1279,181507.59
2024-10-17 00:00:00+00:00,0.1204,0.1302,0.1273,0.1231,455578.77
2024-10-18 00:00:00+00:00,0.1236,0.1293,0.1236,0.129,122379.62
2024-10-19 00:00:00+00:00,0.1283,0.134,0.1295,0.132,354359.3
2024-10-20 00:00:00+00:00,0.1301,0.1408,0.1322,0.1408,475299.37
2024-10-21 00:00:00+00:00,0.1348,0.145,0.1409,0.1373,321914.68
2024-10-22 00:00:00+00:00,0.1333,0.1395,0.1366,0.1387,97094.29
2024-10-23 00:00:00+00:00,0.1242,0.1386,0.1386,0.1276,214412.66
2024-10-24 00:00:00+00:00,0.1243,0.1311,0.1283,0.1251,306496.28
2024-10-25 00:00:00+00:00,0.1101,0.127,0.1252,0.1148,281581.78
2024-10-26 00:00:00+00:00,0.1133,0.1187,0.1141,0.1168,160872.63
2024-10-27 00:00:00+00:00,0.1164,0.1206,0.1169,0.1198,95483.41
2024-10-28 00:00:00+00:00,0.116,0.1239,0.1194,0.1215,285905.74
2024-10-29 00:00:00+00:00,0.1221,0.1286,0.1221,0.1261,252441.01
2024-10-30 00:00:00+00:00,0.1236,0.1269,0.1251,0.126,63005.64
2024-10-31 00:00:00+00:00,0.1181,0.1265,0.1263,0.1195,125252.9
2024-11-01 00:00:00+00:00,0.1156,0.1208,0.1184,0.1168,109946.47
2024-11-02 00:00:00+00:00,0.114,0.1187,0.1176,0.1154,136047.42
2024-11-03 00:00:00+00:00,0.1069,0.1163,0.116,0.1115,168973.97
2024-11-04 00:00:00+00:00,0.104,0.1123,0.1111,0.1063,175564.02
2024-11-05 00:00:00+00:00,0.1074,0.113,0.1075,0.1123,144484.47
2024-11-06 00:00:00+00:00,0.1126,0.126,0.1126,0.1252,187779.6
2024-11-07 00:00:00+00:00,0.1236,0.1308,0.1257,0.1272,420972.74
2024-11-08 00:00:00+00:00,0.1217,0.1285,0.1284,0.1271,342977.86
2024-11-09 00:00:00+00:00,0.1254,0.1346,0.1269,0.1345,579445.39
2024-11-10 00:00:00+00:00,0.131,0.1439,0.1337,0.138,674949.74
2024-11-11 00:00:00+00:00,0.1372,0.1483,0.138,0.1473,882344.31
2024-11-12 00:00:00+00:00,0.1292,0.1511,0.1463,0.1366,716387.94
2024-11-13 00:00:00+00:00,0.1247,0.1389,0.1376,0.1328,576121.28
2024-11-14 00:00:00+00:00,0.1246,0.1377,0.1325,0.1277,226260.62
2024-11-15 00:00:00+00:00,0.1236,0.1376,0.1285,0.1364,174070.29
2024-11-16 00:00:00+00:00,0.1361,0.1499,0.1364,0.1492,621306.13
2024-11-17 00:00:00+00:00,0.1389,0.1559,0.1486,0.1412,623353.96
2024-11-18 00:00:00+00:00,0.1427,0.1541,0.1427,0.1533,522086.86
2024-11-19 00:00:00+00:00,0.1446,0.153,0.1525,0.1477,307726.9
2024-11-20 00:00:00+00:00,0.1343,0.1503,0.1474,0.1352,244983.35
2024-11-21 00:00:00+00:00,0.1327,0.1576,0.1367,0.1539,988101.53
2024-11-22 00:00:00+00:00,0.1409,0.1555,0.1533,0.1531,797900.04
2024-11-23 00:00:00+00:00,0.1509,0.1703,0.1526,0.1667,1322957.61
2024-11-24 00:00:00+00:00,0.159,0.1826,0.1678,0.1814,1525391.27
2024-11-25 00:00:00+00:00,0.1653,0.1842,0.1814,0.17,541553.25
2024-11-26 00:00:00+00:00,0.1573,0.1774,0.1697,0.1672,581277.5
2024-11-27 00:00:00+00:00,0.1649,0.1849,0.1664,0.184,629779.24
2024-11-28 00:00:00+00:00,0.176,0.191,0.1828,0.1875,527934.33
2024-11-29 00:00:00+00:00,0.184,0.2672,0.1877,0.2097,5584849.78
2024-11-30 00:00:00+00:00,0.204,0.2282,0.2094,0.2183,3249471.01
2024-12-01 00:00:00+00:00,0.2117,0.2257,0.2174,0.215,1411219.27
2024-12-02 00:00:00+00:00,0.202,0.2287,0.2149,0.2275,1314170.31
2024-12-03 00:00:00+00:00,0.2143,0.248,0.2284,0.2463,1192837.53
2024-12-04 00:00:00+00:00,0.2418,0.277,0.2457,0.2591,1956488.37
2024-12-05 00:00:00+00:00,0.246,0.2744,0.2605,0.2559,892023.68
2024-12-06 00:00:00+00:00,0.2535,0.2835,0.2555,0.2676,791708.15
2024-12-07 00:00:00+00:00,0.2627,0.2753,0.2699,0.2701,410158.47
2024-12-08 00:00:00+00:00,0.26,0.2777,0.2697,0.2768,630240.58
2024-12-09 00:00:00+00:00,0.1896,0.279,0.277,0.2209,1602447.91
2024-12-10 00:00:00+00:00,0.1915,0.2314,0.2202,0.2094,1498622.59
2024-12-11 00:00:00+00:00,0.2017,0.2273,0.2102,0.2238,754348.57
2024-12-12 00:00:00+00:00,0.2209,0.2367,0.2252,0.225,564692.75
2024-12-13 00:00:00+00:00,0.2174,0.2296,0.2253,0.2241,384861.26
2024-12-14 00:00:00+00:00,0.2067,0.2281,0.2241,0.2104,499151.28
2024-12-15 00:00:00+00:00,0.203,0.2159,0.2091,0.2143,457472.0
2024-12-16 00:00:00+00:00,0.199,0.2207,0.2146,0.2055,452808.59
2024-12-17 00:00:00+00:00,0.1935,0.2085,0.2036,0.1955,388046.9
2024-12-18 00:00:00+00:00,0.1735,0.1972,0.1959,0.1748,660590.2
2024-12-19 00:00:00+00:00,0.1543,0.1809,0.1748,0.1608,740065.97
2024-12-20 00:00:00+00:00,0.1402,0.1687,0.1599,0.1678,1034781.41
2024-12-21 00:00:00+00:00,0.1599,0.1788,0.1677,0.1616,389989.01
2024-12-22 00:00:00+00:00,0.1524,0.1713,0.1616,0.1548,639166.93
2024-12-23 00:00:00+00:00,0.1522,0.1778,0.1554,0.172,642137.68
2024-12-24 00:00:00+00:00,0.1696,0.189,0.173,0.1882,651864.67
2024-12-25 00:00:00+00:00,0.1772,0.1946,0.189,0.1829,451234.38
2024-12-26 00:00:00+00:00,0.1644,0.1825,0.1825,0.167,295433.16
2024-12-27 00:00:00+00:00,0.1667,0.1808,0.1687,0.1726,550017.58
2024-12-28 00:00:00+00:00,0.17,0.183,0.1727,0.1812,258578.32
2024-12-29 00:00:00+00:00,0.1684,0.1819,0.1809,0.1707,221947.98
2024-12-30 00:00:00+00:00,0.1644,0.1806,0.1717,0.1753,404820.18
2024-12-31 00:00:00+00:00,0.1671,0.1754,0.1742,0.1689,340679.03
2025-01-01 00:00:00+00:00,0.1643,0.1732,0.1687,0.1718,137330.09
2025-01-02 00:00:00+00:00,0.1727,0.1832,0.1737,0.1779,295123.82
2025-01-03 00:00:00+00:00,0.1742,0.1891,0.1779,0.1875,445740.15
2025-01-04 00:00:00+00:00,0.1819,0.1871,0.1866,0.1864,275681.61
2025-01-05 00:00:00+00:00,0.181,0.1872,0.1861,0.1852,164110.48
2025-01-06 00:00:00+00:00,0.1824,0.1933,0.1848,0.1889,234931.84
2025-01-07 00:00:00+00:00,0.1654,0.1889,0.1879,0.1656,282442.1
2025-01-08 00:00:00+00:00,0.1485,0.1683,0.1667,0.1568,454497.42
2025-01-09 00:00:00+00:00,0.1461,0.1599,0.1566,0.1501,320636.47
2025-01-10 00:00:00+00:00,0.1481,0.1564,0.1508,0.1547,241365.45
2025-01-11 00:00:00+00:00,0.1505,0.1577,0.1547,0.1545,1138727.13
2025-01-12 00:00:00+00:00,0.1491,0.1562,0.1547,0.1518,1014348.91
2025-01-13 00:00:00+00:00,0.1369,0.156,0.1516,0.1469,1235711.66
2025-01-14 00:00:00+00:00,0.1409,0.1499,0.1474,0.1495,1156140.64
2025-01-15 00:00:00+00:00,0.1398,0.156,0.1495,0.1558,954495.89
2025-01-16 00:00:00+00:00,0.1485,0.1564,0.1555,0.152,547180.84
2025-01-17 00:00:00+00:00,0.1521,0.165,0.1523,0.1637,807728.47
2025-01-18 00:00:00+00:00,0.1474,0.165,0.1645,0.1501,672052.14
2025-01-19 00:00:00+00:00,0.132,0.1536,0.1498,0.1343,1038260.82
2025-01-20 00:00:00+00:00,0.1257,0.1465,0.1343,0.1292,1060255.61
2025-01-21 00:00:00+00:00,0.1252,0.1394,0.1294,0.1369,586253.03
2025-01-22 00:00:00+00:00,0.1321,0.1389,0.1374,0.1323,590421.56
2025-01-23 00:00:00+00:00,0.1277,0.1343,0.1324,0.1326,479970.84
2025-01-24 00:00:00+00:00,0.1274,0.1359,0.1324,0.1274,480571.56
2025-01-25 00:00:00+00:00,0.1258,0.1308,0.1276,0.1289,220542.96
2025-01-26 00:00:00+00:00,0.1268,0.1345,0.1294,0.1268,396160.13
2025-01-27 00:00:00+00:00,0.1153,0.1355,0.1264,0.1247,1612005.48
2025-01-28 00:00:00+00:00,0.1137,0.1286,0.1252,0.1152,699322.39
2025-01-29 00:00:00+00:00,0.1154,0.1243,0.1155,0.1205,908945.29
2025-01-30 00:00:00+00:00,0.1198,0.1293,0.1202,0.1256,560387.74
2025-01-31 00:00:00+00:00,0.1229,0.1313,0.1253,0.1251,371046.13
2025-02-01 00:00:00+00:00,0.1124,0.1271,0.1248,0.1135,389820.94
2025-02-02 00:00:00+00:00,0.0924,0.1163,0.1153,0.0976,916950.99
2025-02-03 00:00:00+00:00,0.0705,0.0987,0.0972,0.0977,2049595.56
2025-02-04 00:00:00+00:00,0.0873,0.0985,0.0978,0.0904,1078327.96
2025-02-05 00:00:00+00:00,0.0889,0.0945,0.0902,0.0905,2728491.01
2025-02-06 00:00:00+00:00,0.0846,0.0956,0.0915,0.0852,5868264.47
2025-02-07 00:00:00+00:00,0.0834,0.094,0.0854,0.086,1805940.13
2025-02-08 00:00:00+00:00,0.0846,0.0931,0.086,0.0921,705861.27
2025-02-09 00:00:00+00:00,0.0883,0.0961,0.0923,0.0941,986428.71
2025-02-10 00:00:00+00:00,0.0896,0.0978,0.0942,0.0974,458923.83
2025-02-11 00:00:00+00:00,0.0939,0.1033,0.0978,0.0953,807574.56
2025-02-12 00:00:00+00:00,0.0923,0.1173,0.0953,0.1104,4375516.71
2025-02-13 00:00:00+00:00,0.1032,0.1152,0.1104,0.107,3401195.79
