time,low,high,open,close,volume
2025-04-23 00:00:00+00:00,41.35,55.97,51.0,43.13,34928.0309
2025-04-24 00:00:00+00:00,37.19,44.0,43.49,40.19,32089.0377
2025-04-25 00:00:00+00:00,38.67,42.0,40.19,40.72,16091.4984
2025-04-26 00:00:00+00:00,40.67,51.7,40.98,43.74,43741.3515
2025-04-27 00:00:00+00:00,37.29,44.31,43.64,37.85,22004.2213
2025-04-28 00:00:00+00:00,37.25,41.11,37.83,39.85,16347.586
2025-04-29 00:00:00+00:00,39.25,42.83,40.01,40.5,17504.9141
2025-04-30 00:00:00+00:00,35.01,41.18,40.45,36.85,12928.6807
2025-05-01 00:00:00+00:00,36.11,38.63,36.76,37.56,10116.4738
2025-05-02 00:00:00+00:00,32.2,38.44,37.62,34.41,15671.9101
2025-05-03 00:00:00+00:00,29.49,34.78,34.47,29.71,16084.9945
2025-05-04 00:00:00+00:00,24.7,31.08,29.72,27.16,33545.7905
2025-05-05 00:00:00+00:00,24.66,27.67,27.26,26.11,35184.834
2025-05-06 00:00:00+00:00,22.34,26.39,26.09,25.02,30506.7953
2025-05-07 00:00:00+00:00,24.0,26.61,25.02,25.08,29993.5628
2025-05-08 00:00:00+00:00,24.6,29.8,24.92,28.98,30687.491
2025-05-09 00:00:00+00:00,27.27,31.5,28.97,27.9,26293.3235
2025-05-10 00:00:00+00:00,25.79,29.97,27.91,29.04,26328.7545
2025-05-11 00:00:00+00:00,27.39,30.37,29.03,29.99,18111.4865
2025-05-12 00:00:00+00:00,27.0,32.35,29.98,30.6,23168.5331
2025-05-13 00:00:00+00:00,28.4,45.5,30.59,39.51,80094.1472
2025-05-14 00:00:00+00:00,33.62,41.64,39.64,35.0,36142.2956
2025-05-15 00:00:00+00:00,29.2,35.8,35.01,29.53,16306.8154
2025-05-16 00:00:00+00:00,27.2,31.07,29.31,27.29,18881.8694
2025-05-17 00:00:00+00:00,26.25,27.68,27.31,27.33,11957.3411
2025-05-18 00:00:00+00:00,27.12,31.88,27.34,29.98,21365.342
2025-05-19 00:00:00+00:00,29.91,40.0,29.91,35.6,89325.823
2025-05-20 00:00:00+00:00,33.61,36.79,35.59,34.08,23722.4997
2025-05-21 00:00:00+00:00,30.84,34.5,34.1,31.45,30650.7052
2025-05-22 00:00:00+00:00,31.37,33.84,31.47,32.88,21507.2197
2025-05-23 00:00:00+00:00,30.62,34.83,32.9,30.71,20209.4421
2025-05-24 00:00:00+00:00,30.15,31.48,30.7,30.36,11712.1176
2025-05-25 00:00:00+00:00,29.54,31.11,30.36,30.79,10619.2497
2025-05-26 00:00:00+00:00,30.26,31.68,30.81,31.4,6322.1081
2025-05-27 00:00:00+00:00,30.25,35.72,31.42,32.35,22096.5673
2025-05-28 00:00:00+00:00,31.5,34.58,32.33,32.45,9477.2601
2025-05-29 00:00:00+00:00,28.87,33.71,32.39,29.0,12134.4847
2025-05-30 00:00:00+00:00,27.15,29.29,28.97,27.4,9591.7926
2025-05-31 00:00:00+00:00,26.0,27.69,27.5,27.07,4795.369
2025-06-01 00:00:00+00:00,25.65,27.44,27.05,26.23,9504.4274
2025-06-02 00:00:00+00:00,25.46,27.19,26.25,26.94,8333.3606
2025-06-03 00:00:00+00:00,25.21,27.35,26.95,25.35,7946.7561
2025-06-04 00:00:00+00:00,25.02,27.71,25.35,26.22,15331.8991
2025-06-05 00:00:00+00:00,24.28,27.44,26.2,24.35,12917.0417
2025-06-06 00:00:00+00:00,24.17,26.31,24.35,25.4,3434.17
2025-06-07 00:00:00+00:00,24.59,26.16,25.36,25.46,4953.2024
2025-06-08 00:00:00+00:00,25.22,28.67,25.56,27.76,11905.6203
2025-06-09 00:00:00+00:00,26.54,31.56,27.79,29.88,13181.0047
