time,low,high,open,close,volume
2024-06-21 00:00:00+00:00,1.35,1.711,1.42,1.393,477418.13
2024-06-22 00:00:00+00:00,1.372,1.428,1.393,1.392,240020.9
2024-06-23 00:00:00+00:00,1.322,1.414,1.392,1.326,193773.08
2024-06-24 00:00:00+00:00,1.258,1.392,1.328,1.379,572705.98
2024-06-25 00:00:00+00:00,1.34,1.413,1.379,1.371,292666.07
2024-06-26 00:00:00+00:00,1.318,1.37,1.37,1.34,213295.69
2024-06-27 00:00:00+00:00,1.308,1.366,1.341,1.353,109045.0
2024-06-28 00:00:00+00:00,1.304,1.354,1.352,1.309,144463.45
2024-06-29 00:00:00+00:00,1.295,1.334,1.31,1.295,67973.24
2024-06-30 00:00:00+00:00,1.265,1.357,1.297,1.328,240879.19
2024-07-01 00:00:00+00:00,1.315,1.36,1.328,1.322,130251.95
2024-07-02 00:00:00+00:00,1.302,1.333,1.322,1.314,33992.58
2024-07-03 00:00:00+00:00,1.21,1.318,1.318,1.221,126936.52
2024-07-04 00:00:00+00:00,0.987,1.228,1.221,0.996,166996.38
2024-07-05 00:00:00+00:00,0.861,1.002,1.002,0.877,249748.53
2024-07-06 00:00:00+00:00,0.841,1.165,0.877,1.112,457028.04
2024-07-07 00:00:00+00:00,0.97,1.109,1.108,0.973,250623.38
2024-07-08 00:00:00+00:00,0.938,1.123,0.978,1.082,267621.9
2024-07-09 00:00:00+00:00,1.05,1.098,1.081,1.084,196675.48
2024-07-10 00:00:00+00:00,1.073,1.155,1.084,1.112,395579.59
2024-07-11 00:00:00+00:00,1.085,1.13,1.11,1.102,128765.13
2024-07-12 00:00:00+00:00,1.048,1.11,1.103,1.092,121448.22
2024-07-13 00:00:00+00:00,1.077,1.122,1.093,1.096,101465.35
2024-07-14 00:00:00+00:00,1.09,1.25,1.095,1.198,277065.02
2024-07-15 00:00:00+00:00,1.171,1.247,1.204,1.24,163424.54
2024-07-16 00:00:00+00:00,1.223,1.464,1.246,1.416,775011.92
2024-07-17 00:00:00+00:00,1.383,1.484,1.412,1.404,401532.77
2024-07-18 00:00:00+00:00,1.397,1.475,1.407,1.429,178674.71
2024-07-19 00:00:00+00:00,1.342,1.457,1.437,1.424,176708.32
