time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.1173,0.1244,0.1237,0.1182,2901728.3
2024-06-11 00:00:00+00:00,0.1084,0.1194,0.1182,0.1114,9340241.9
2024-06-12 00:00:00+00:00,0.1061,0.1234,0.1114,0.1222,13264368.2
2024-06-13 00:00:00+00:00,0.1139,0.1248,0.122,0.1141,5994772.3
2024-06-14 00:00:00+00:00,0.106,0.1177,0.1144,0.1102,4827659.3
2024-06-15 00:00:00+00:00,0.1068,0.1111,0.1099,0.1074,2689923.3
2024-06-16 00:00:00+00:00,0.1051,0.1088,0.1072,0.1074,4924398.9
2024-06-17 00:00:00+00:00,0.096,0.1083,0.1073,0.0995,9508536.9
2024-06-18 00:00:00+00:00,0.088,0.0998,0.0995,0.0923,10629558.6
2024-06-19 00:00:00+00:00,0.0909,0.0971,0.0918,0.0942,3672050.1
2024-06-20 00:00:00+00:00,0.0935,0.1004,0.0942,0.0947,2327657.8
2024-06-21 00:00:00+00:00,0.092,0.0967,0.0947,0.0934,2552138.7
2024-06-22 00:00:00+00:00,0.0912,0.094,0.0929,0.0923,1792394.2
2024-06-23 00:00:00+00:00,0.0897,0.0962,0.0923,0.0903,2547738.3
2024-06-24 00:00:00+00:00,0.0866,0.0943,0.0904,0.0938,4493846.5
2024-06-25 00:00:00+00:00,0.0933,0.0997,0.094,0.0957,3188029.6
2024-06-26 00:00:00+00:00,0.0925,0.0982,0.0956,0.0935,1183979.2
2024-06-27 00:00:00+00:00,0.0918,0.0982,0.0936,0.0969,2294341.1
2024-06-28 00:00:00+00:00,0.0913,0.098,0.097,0.0916,2344397.9
2024-06-29 00:00:00+00:00,0.0879,0.0929,0.0914,0.0882,4124503.9
2024-06-30 00:00:00+00:00,0.0881,0.0957,0.0882,0.0941,5307918.2
2024-07-01 00:00:00+00:00,0.0912,0.0957,0.094,0.0916,3289162.7
2024-07-02 00:00:00+00:00,0.0909,0.0951,0.0914,0.0926,3942437.7
2024-07-03 00:00:00+00:00,0.0868,0.0933,0.0928,0.0886,2879255.6
2024-07-04 00:00:00+00:00,0.0777,0.0895,0.0886,0.0781,5190516.3
2024-07-05 00:00:00+00:00,0.0663,0.0783,0.0782,0.0762,10946558.8
2024-07-06 00:00:00+00:00,0.0757,0.0858,0.0764,0.085,4127471.2
2024-07-07 00:00:00+00:00,0.0787,0.085,0.0849,0.0794,1772584.8
2024-07-08 00:00:00+00:00,0.0754,0.0861,0.0795,0.0816,4572791.0
2024-07-09 00:00:00+00:00,0.0804,0.084,0.0815,0.0833,2208474.6
2024-07-10 00:00:00+00:00,0.0822,0.0877,0.0833,0.0858,3266134.5
2024-07-11 00:00:00+00:00,0.0808,0.0871,0.0856,0.0813,5118003.6
2024-07-12 00:00:00+00:00,0.08,0.0845,0.0814,0.0835,2754204.2
