time,low,high,open,close,volume
2024-06-11 00:00:00+00:00,0.3487,0.3846,0.3826,0.351,3286923.72
2024-06-12 00:00:00+00:00,0.3468,0.3759,0.3511,0.3606,2966101.05
2024-06-13 00:00:00+00:00,0.2202,0.3602,0.3601,0.2866,44262722.23
2024-06-14 00:00:00+00:00,0.2655,0.298,0.2864,0.2828,15271469.92
2024-06-15 00:00:00+00:00,0.277,0.3287,0.2826,0.3124,14566112.24
2024-06-16 00:00:00+00:00,0.305,0.345,0.3124,0.3291,16637703.61
2024-06-17 00:00:00+00:00,0.3001,0.358,0.3282,0.3153,26860600.93
2024-06-18 00:00:00+00:00,0.2652,0.3366,0.3154,0.3342,21918491.18
2024-06-19 00:00:00+00:00,0.3209,0.3765,0.3341,0.3253,18029140.83
2024-06-20 00:00:00+00:00,0.3222,0.3499,0.3251,0.3444,10655460.85
2024-06-21 00:00:00+00:00,0.3269,0.3672,0.3443,0.3274,21651624.41
2024-06-22 00:00:00+00:00,0.3248,0.3455,0.3274,0.3436,8736192.72
2024-06-23 00:00:00+00:00,0.3209,0.3491,0.3434,0.3343,6302122.56
2024-06-24 00:00:00+00:00,0.3034,0.3499,0.3336,0.3265,13630116.36
2024-06-25 00:00:00+00:00,0.3148,0.333,0.3264,0.324,8504036.52
2024-06-26 00:00:00+00:00,0.2955,0.3255,0.3242,0.2973,7360727.55
2024-06-27 00:00:00+00:00,0.2832,0.3005,0.2974,0.2912,6592859.43
2024-06-28 00:00:00+00:00,0.2743,0.2973,0.2908,0.2789,6217884.86
2024-06-29 00:00:00+00:00,0.2713,0.2855,0.279,0.2756,2608707.52
2024-06-30 00:00:00+00:00,0.2723,0.2875,0.2753,0.2854,2608043.63
2024-07-01 00:00:00+00:00,0.2698,0.293,0.2854,0.2829,6518120.61
2024-07-02 00:00:00+00:00,0.2764,0.2901,0.283,0.2849,5159888.23
2024-07-03 00:00:00+00:00,0.2566,0.2848,0.2845,0.2718,5289102.48
2024-07-04 00:00:00+00:00,0.2405,0.2752,0.2717,0.2423,7397083.2
2024-07-05 00:00:00+00:00,0.2187,0.2426,0.2421,0.2358,9661778.24
2024-07-06 00:00:00+00:00,0.2342,0.2657,0.2361,0.2652,4159054.24
2024-07-07 00:00:00+00:00,0.252,0.269,0.2653,0.2543,3364419.68
2024-07-08 00:00:00+00:00,0.2466,0.2968,0.255,0.288,6704499.28
2024-07-09 00:00:00+00:00,0.2782,0.2934,0.2877,0.2841,3762825.47
2024-07-10 00:00:00+00:00,0.2783,0.2951,0.2838,0.2928,5324119.36
2024-07-11 00:00:00+00:00,0.267,0.2967,0.2927,0.2677,5372639.99
2024-07-12 00:00:00+00:00,0.2673,0.2819,0.2675,0.2812,6591281.3
2024-07-13 00:00:00+00:00,0.2779,0.2932,0.2813,0.2885,4766648.09
2024-07-14 00:00:00+00:00,0.2807,0.2968,0.2895,0.2859,5049174.57
