time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,4.01,4.21,4.19,4.11,63042.383
2024-06-11 00:00:00+00:00,3.84,4.11,4.11,4.03,42917.412
2024-06-12 00:00:00+00:00,3.85,4.15,4.02,3.93,65246.556
2024-06-13 00:00:00+00:00,3.74,3.93,3.91,3.75,31856.853
2024-06-14 00:00:00+00:00,3.57,3.85,3.75,3.65,37048.533
2024-06-15 00:00:00+00:00,3.58,3.69,3.64,3.63,16738.494
2024-06-16 00:00:00+00:00,3.6,4.33,3.62,3.78,119415.226
2024-06-17 00:00:00+00:00,3.58,4.0,3.79,3.8,59104.976
2024-06-18 00:00:00+00:00,3.23,3.8,3.78,3.28,71431.711
2024-06-19 00:00:00+00:00,3.21,3.43,3.29,3.33,89340.976
2024-06-20 00:00:00+00:00,3.16,3.39,3.34,3.18,41581.263
2024-06-21 00:00:00+00:00,3.09,3.23,3.18,3.1,26244.225
2024-06-22 00:00:00+00:00,3.09,3.23,3.09,3.14,33266.047
2024-06-23 00:00:00+00:00,3.08,3.24,3.14,3.09,34980.909
2024-06-24 00:00:00+00:00,2.68,3.09,3.09,2.88,109062.109
2024-06-25 00:00:00+00:00,2.64,2.89,2.87,2.73,94719.876
2024-06-26 00:00:00+00:00,2.6,2.78,2.75,2.74,60778.463
2024-06-27 00:00:00+00:00,2.53,2.75,2.74,2.71,63060.293
2024-06-28 00:00:00+00:00,2.49,2.74,2.71,2.5,56933.603
2024-06-29 00:00:00+00:00,2.44,2.69,2.5,2.66,67458.998
2024-06-30 00:00:00+00:00,2.41,2.75,2.67,2.57,55768.622
2024-07-01 00:00:00+00:00,2.52,2.64,2.57,2.61,38253.458
2024-07-02 00:00:00+00:00,2.28,3.24,2.63,3.21,141212.046
2024-07-03 00:00:00+00:00,2.85,4.29,3.22,4.23,1004237.71
2024-07-04 00:00:00+00:00,2.85,4.26,4.23,3.18,449966.363
2024-07-05 00:00:00+00:00,2.5,3.32,3.18,2.97,260993.697
2024-07-06 00:00:00+00:00,2.8,3.12,2.99,2.83,98638.867
2024-07-07 00:00:00+00:00,2.51,2.88,2.83,2.54,94622.989
2024-07-08 00:00:00+00:00,2.5,2.79,2.56,2.55,81543.204
2024-07-09 00:00:00+00:00,2.53,2.72,2.54,2.69,36240.246
2024-07-10 00:00:00+00:00,2.51,2.72,2.67,2.64,54149.825
2024-07-11 00:00:00+00:00,2.13,2.69,2.66,2.33,263238.962
2024-07-12 00:00:00+00:00,2.3,3.09,2.35,2.67,206226.149
2024-07-13 00:00:00+00:00,2.47,2.67,2.67,2.55,40089.756
2024-07-14 00:00:00+00:00,2.49,2.61,2.54,2.54,37668.028
2024-07-15 00:00:00+00:00,2.51,2.79,2.55,2.69,58069.69
2024-07-16 00:00:00+00:00,2.66,2.92,2.68,2.77,50457.069
2024-07-17 00:00:00+00:00,2.6,2.84,2.77,2.62,43316.349
2024-07-18 00:00:00+00:00,2.54,2.68,2.63,2.57,25414.536
2024-07-19 00:00:00+00:00,2.51,2.85,2.58,2.66,62407.624
2024-07-20 00:00:00+00:00,2.65,2.9,2.67,2.69,53087.205
2024-07-21 00:00:00+00:00,2.61,2.73,2.69,2.69,32701.049
2024-07-22 00:00:00+00:00,2.59,2.7,2.7,2.61,32223.803
2024-07-23 00:00:00+00:00,2.54,2.88,2.62,2.65,77987.939
2024-07-24 00:00:00+00:00,2.38,2.66,2.66,2.57,49613.887
2024-07-25 00:00:00+00:00,2.31,2.58,2.55,2.5,72726.257
2024-07-26 00:00:00+00:00,2.48,2.66,2.49,2.6,38099.92
2024-07-27 00:00:00+00:00,2.5,2.66,2.59,2.55,56816.605
2024-07-28 00:00:00+00:00,2.48,2.55,2.55,2.49,17913.027
2024-07-29 00:00:00+00:00,2.47,2.57,2.49,2.52,14285.516
2024-07-30 00:00:00+00:00,2.45,2.52,2.52,2.45,18415.075
2024-07-31 00:00:00+00:00,2.4,2.5,2.46,2.41,21488.121
2024-08-01 00:00:00+00:00,2.29,2.44,2.41,2.33,25208.558
2024-08-02 00:00:00+00:00,2.14,2.36,2.32,2.17,44674.823
2024-08-03 00:00:00+00:00,2.08,2.23,2.16,2.09,44611.34
2024-08-04 00:00:00+00:00,1.95,2.16,2.1,1.98,83264.399
2024-08-05 00:00:00+00:00,1.45,2.15,1.98,1.91,402047.484
2024-08-06 00:00:00+00:00,1.87,2.2,1.9,1.98,81060.271
2024-08-07 00:00:00+00:00,1.85,2.02,1.97,1.86,42523.803
2024-08-08 00:00:00+00:00,1.85,2.01,1.87,2.0,35553.831
2024-08-09 00:00:00+00:00,1.93,2.05,1.99,2.0,40519.979
2024-08-10 00:00:00+00:00,2.0,2.27,2.0,2.15,70658.707
2024-08-11 00:00:00+00:00,2.06,2.25,2.15,2.07,41433.528
2024-08-12 00:00:00+00:00,2.03,2.14,2.06,2.11,24189.98
2024-08-13 00:00:00+00:00,2.11,2.17,2.12,2.15,16814.871
2024-08-14 00:00:00+00:00,2.08,2.18,2.16,2.11,21908.298
2024-08-15 00:00:00+00:00,1.99,2.11,2.1,2.0,12676.294
2024-08-16 00:00:00+00:00,1.97,2.03,2.01,1.97,15880.349
2024-08-17 00:00:00+00:00,1.95,1.98,1.97,1.97,15890.288
2024-08-18 00:00:00+00:00,1.94,2.05,1.96,2.04,16345.513
2024-08-19 00:00:00+00:00,1.99,2.05,2.05,2.0,9904.244
2024-08-20 00:00:00+00:00,2.0,2.08,2.01,2.07,15782.299
2024-08-21 00:00:00+00:00,2.0,2.46,2.08,2.18,205784.324
2024-08-22 00:00:00+00:00,2.06,2.22,2.17,2.16,96516.481
2024-08-23 00:00:00+00:00,2.09,2.47,2.14,2.28,147853.214
2024-08-24 00:00:00+00:00,2.2,2.34,2.28,2.27,33367.406
2024-08-25 00:00:00+00:00,2.22,2.28,2.28,2.24,18124.304
2024-08-26 00:00:00+00:00,2.16,2.24,2.24,2.17,27007.473
2024-08-27 00:00:00+00:00,2.07,2.17,2.16,2.08,23255.537
2024-08-28 00:00:00+00:00,1.99,2.08,2.08,1.99,15877.168
2024-08-29 00:00:00+00:00,1.96,2.18,1.99,2.05,57120.481
2024-08-30 00:00:00+00:00,2.05,2.52,2.05,2.15,273533.936
2024-08-31 00:00:00+00:00,2.06,2.16,2.14,2.07,33267.16
2024-09-01 00:00:00+00:00,2.04,2.11,2.08,2.05,22721.246
2024-09-02 00:00:00+00:00,2.05,2.12,2.05,2.09,25082.086
2024-09-03 00:00:00+00:00,1.96,2.1,2.09,1.98,35372.324
2024-09-04 00:00:00+00:00,1.85,2.04,1.99,2.04,64819.098
2024-09-05 00:00:00+00:00,1.96,2.06,2.04,1.96,18573.47
2024-09-06 00:00:00+00:00,1.87,2.0,1.95,1.88,49375.276
2024-09-07 00:00:00+00:00,1.88,2.1,1.88,2.04,48446.91
2024-09-08 00:00:00+00:00,1.99,2.07,2.04,2.04,25872.777
2024-09-09 00:00:00+00:00,1.98,2.09,2.04,2.08,19288.663
2024-09-10 00:00:00+00:00,2.04,2.11,2.08,2.06,16191.927
2024-09-11 00:00:00+00:00,2.03,2.1,2.05,2.07,13351.908
2024-09-12 00:00:00+00:00,2.06,2.09,2.09,2.07,14005.931
2024-09-13 00:00:00+00:00,2.04,2.11,2.06,2.1,22947.659
2024-09-14 00:00:00+00:00,2.08,2.11,2.1,2.08,11775.543
2024-09-15 00:00:00+00:00,2.06,2.11,2.09,2.07,12354.848
2024-09-16 00:00:00+00:00,1.91,2.07,2.07,2.03,55205.265
2024-09-17 00:00:00+00:00,2.01,2.2,2.01,2.17,46003.549
2024-09-18 00:00:00+00:00,2.09,2.19,2.17,2.12,18321.211
2024-09-19 00:00:00+00:00,2.09,2.22,2.1,2.2,42315.417
2024-09-20 00:00:00+00:00,2.19,2.25,2.19,2.24,16745.477
2024-09-21 00:00:00+00:00,2.17,2.26,2.25,2.19,18684.769
2024-09-22 00:00:00+00:00,2.14,2.19,2.18,2.15,12634.47
2024-09-23 00:00:00+00:00,2.13,2.18,2.17,2.15,8516.27
2024-09-24 00:00:00+00:00,2.12,2.18,2.14,2.13,27952.007
2024-09-25 00:00:00+00:00,2.11,2.25,2.14,2.17,49531.548
2024-09-26 00:00:00+00:00,2.16,2.35,2.17,2.25,86264.604
2024-09-27 00:00:00+00:00,2.22,2.32,2.24,2.29,28567.978
2024-09-28 00:00:00+00:00,2.28,2.48,2.31,2.41,74522.873
2024-09-29 00:00:00+00:00,2.35,2.47,2.39,2.35,35246.561
2024-09-30 00:00:00+00:00,2.17,2.36,2.36,2.25,66205.802
2024-10-01 00:00:00+00:00,2.09,2.28,2.27,2.11,38944.112
2024-10-02 00:00:00+00:00,1.98,2.17,2.12,2.0,78512.19
2024-10-03 00:00:00+00:00,1.96,2.02,2.0,1.99,11575.467
2024-10-04 00:00:00+00:00,1.97,2.15,1.98,2.11,50362.277
2024-10-05 00:00:00+00:00,2.12,2.2,2.12,2.14,24133.038
2024-10-06 00:00:00+00:00,2.08,2.13,2.13,2.12,24231.697
2024-10-07 00:00:00+00:00,2.09,2.19,2.1,2.1,28863.574
2024-10-08 00:00:00+00:00,2.02,2.1,2.09,2.03,25242.045
2024-10-09 00:00:00+00:00,1.95,2.04,2.03,1.96,33919.993
2024-10-10 00:00:00+00:00,1.89,2.01,1.95,1.91,59994.506
2024-10-11 00:00:00+00:00,1.89,2.08,1.92,2.0,74090.775
2024-10-12 00:00:00+00:00,1.99,2.04,2.01,2.03,13732.27
2024-10-13 00:00:00+00:00,1.96,2.03,2.03,1.98,19272.311
2024-10-14 00:00:00+00:00,1.98,2.07,1.99,2.03,64317.472
2024-10-15 00:00:00+00:00,2.01,2.13,2.03,2.05,47228.358
2024-10-16 00:00:00+00:00,2.01,2.07,2.06,2.05,37081.313
2024-10-17 00:00:00+00:00,1.98,2.07,2.05,1.98,13402.646
2024-10-18 00:00:00+00:00,1.9806,2.0899,1.9811,2.0662,30123.093
2024-10-19 00:00:00+00:00,2.0605,2.0896,2.0861,2.0608,11653.773
2024-10-20 00:00:00+00:00,2.04,2.14,2.0605,2.1101,38112.801
2024-10-21 00:00:00+00:00,2.0233,2.22,2.1163,2.0391,40094.309
2024-10-22 00:00:00+00:00,2.0168,2.0518,2.0443,2.0201,15970.293
2024-10-23 00:00:00+00:00,1.9735,2.0314,2.0247,1.984,23230.322
2024-10-24 00:00:00+00:00,1.9764,2.1381,1.9839,2.0165,70099.999
2024-10-25 00:00:00+00:00,1.9,2.0192,2.0165,1.9102,63046.624
2024-10-26 00:00:00+00:00,1.858,1.9763,1.903,1.9394,45721.189
2024-10-27 00:00:00+00:00,1.9088,2.0619,1.9272,2.0047,45061.868
2024-10-28 00:00:00+00:00,1.97,2.1,1.9896,2.0646,65986.31
2024-10-29 00:00:00+00:00,1.9008,2.1945,2.0725,2.1111,151235.245
2024-10-30 00:00:00+00:00,2.0807,2.36,2.1281,2.0807,107771.648
2024-10-31 00:00:00+00:00,1.9709,2.0971,2.0803,1.9827,34163.86
2024-11-01 00:00:00+00:00,1.9417,1.9916,1.9827,1.9714,15962.851
2024-11-02 00:00:00+00:00,1.9643,2.0279,1.9754,1.9876,42388.2
2024-11-03 00:00:00+00:00,1.9065,1.9888,1.9888,1.9295,29173.398
2024-11-04 00:00:00+00:00,1.9088,1.9487,1.9273,1.9279,22787.105
2024-11-05 00:00:00+00:00,1.8729,2.0347,1.9182,2.0155,49075.241
2024-11-06 00:00:00+00:00,1.9599,2.13,2.0315,2.0293,98312.818
2024-11-07 00:00:00+00:00,2.0208,2.0947,2.0208,2.0537,54404.146
2024-11-08 00:00:00+00:00,2.024,2.2749,2.0435,2.2698,87125.032
2024-11-09 00:00:00+00:00,2.0598,2.275,2.2524,2.1799,150016.937
2024-11-10 00:00:00+00:00,2.1707,2.77,2.1801,2.5155,274365.762
2024-11-11 00:00:00+00:00,2.28,2.5409,2.5156,2.4369,127611.21
2024-11-12 00:00:00+00:00,2.275,2.4666,2.447,2.2922,85578.538
2024-11-13 00:00:00+00:00,2.0937,2.3057,2.2775,2.1542,118064.7
2024-11-14 00:00:00+00:00,2.105,2.2184,2.1395,2.1581,44515.519
2024-11-15 00:00:00+00:00,2.076,2.179,2.1699,2.1252,63515.544
2024-11-16 00:00:00+00:00,2.1131,2.2556,2.1253,2.2381,58015.093
2024-11-17 00:00:00+00:00,2.2,2.4449,2.2382,2.2659,145845.827
2024-11-18 00:00:00+00:00,2.162,2.4529,2.2679,2.3336,121709.211
2024-11-19 00:00:00+00:00,2.195,2.4097,2.3489,2.3838,84180.428
2024-11-20 00:00:00+00:00,2.2892,2.4126,2.3856,2.2894,36730.379
2024-11-21 00:00:00+00:00,2.2227,2.3108,2.2902,2.2605,36318.743
2024-11-22 00:00:00+00:00,2.2273,2.3298,2.2533,2.2645,55704.848
2024-11-23 00:00:00+00:00,2.2382,2.5313,2.2753,2.5006,190292.381
2024-11-24 00:00:00+00:00,2.3195,2.5219,2.5152,2.4786,127335.123
2024-11-25 00:00:00+00:00,2.3738,3.49,2.4807,2.7188,583332.714
2024-11-26 00:00:00+00:00,2.5891,2.8089,2.7186,2.6385,153873.716
2024-11-27 00:00:00+00:00,2.5603,2.8415,2.6587,2.6019,131872.431
2024-11-28 00:00:00+00:00,2.6019,3.15,2.6019,2.9016,249955.052
2024-11-29 00:00:00+00:00,2.8,3.5,2.9014,2.9304,351916.862
2024-11-30 00:00:00+00:00,2.74,3.3443,2.9553,3.1307,311281.383
2024-12-01 00:00:00+00:00,2.9046,3.3144,3.1307,3.0211,163333.662
2024-12-02 00:00:00+00:00,2.6815,3.0292,3.0071,2.9347,161253.502
2024-12-03 00:00:00+00:00,2.9373,3.288,2.9374,3.1604,136430.586
2024-12-04 00:00:00+00:00,3.0,3.6388,3.1442,3.2048,214795.901
2024-12-05 00:00:00+00:00,3.05,3.4422,3.2048,3.1931,179137.88
2024-12-06 00:00:00+00:00,3.1275,4.0,3.1951,3.682,238085.575
2024-12-07 00:00:00+00:00,3.5,3.7207,3.682,3.5619,61581.703
2024-12-08 00:00:00+00:00,3.3691,3.5889,3.55,3.4253,73036.964
2024-12-09 00:00:00+00:00,3.1479,3.4575,3.4186,3.2054,61411.717
2024-12-10 00:00:00+00:00,2.8707,3.217,3.1728,2.9655,101569.332
2024-12-11 00:00:00+00:00,2.8787,3.2171,2.9655,3.17,77424.222
2024-12-12 00:00:00+00:00,3.105,3.2188,3.17,3.1498,40429.52
2024-12-13 00:00:00+00:00,3.095,3.2669,3.1539,3.2663,36967.869
2024-12-14 00:00:00+00:00,3.1667,3.3275,3.2657,3.17,29129.765
2024-12-15 00:00:00+00:00,3.1246,3.2152,3.1667,3.1747,20901.132
2024-12-16 00:00:00+00:00,3.0127,3.2163,3.166,3.0348,44681.345
2024-12-17 00:00:00+00:00,2.7981,3.0275,3.0152,2.8012,60824.465
2024-12-18 00:00:00+00:00,2.5401,2.8636,2.7984,2.6364,88705.946
2024-12-19 00:00:00+00:00,2.5,2.6815,2.641,2.5,71051.273
2024-12-20 00:00:00+00:00,2.405,2.572,2.5002,2.5686,70290.49
2024-12-21 00:00:00+00:00,2.4885,2.6721,2.5665,2.5495,74605.956
2024-12-22 00:00:00+00:00,2.4811,2.5597,2.5491,2.5174,16836.228
2024-12-23 00:00:00+00:00,2.4119,2.565,2.5173,2.5482,30054.932
2024-12-24 00:00:00+00:00,2.3917,2.609,2.5485,2.4773,105360.624
2024-12-25 00:00:00+00:00,2.4351,2.5223,2.4676,2.52,27359.73
2024-12-26 00:00:00+00:00,2.3675,2.5506,2.52,2.5109,86985.016
2024-12-27 00:00:00+00:00,2.3366,2.5569,2.51,2.4121,106951.112
2024-12-28 00:00:00+00:00,2.3599,2.435,2.4121,2.4165,28551.692
2024-12-29 00:00:00+00:00,2.31,2.4526,2.4165,2.396,50189.371
2024-12-30 00:00:00+00:00,2.2683,2.4142,2.4117,2.3016,35422.15
2024-12-31 00:00:00+00:00,2.2005,2.3747,2.3016,2.2194,67723.507
2025-01-01 00:00:00+00:00,2.1929,2.2804,2.2134,2.2641,39230.404
2025-01-02 00:00:00+00:00,2.2533,2.4659,2.271,2.4592,50515.869
2025-01-03 00:00:00+00:00,2.4462,2.73,2.4493,2.6622,100514.302
2025-01-04 00:00:00+00:00,2.6403,2.6995,2.6625,2.6961,17585.731
2025-01-05 00:00:00+00:00,2.5349,2.6866,2.68,2.5569,21498.708
2025-01-06 00:00:00+00:00,2.5017,2.6055,2.5631,2.5113,38298.862
