time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,25.96,26.94,26.86,26.19,41267.68693126
2024-06-11 00:00:00+00:00,24.7,26.35,26.24,25.59,13619.50358811
2024-06-12 00:00:00+00:00,25.0,26.93,25.53,26.5,8219.44254129
2024-06-13 00:00:00+00:00,25.81,26.65,26.53,25.99,2908.43067582
2024-06-14 00:00:00+00:00,25.05,26.64,25.98,25.94,5410.44815958
2024-06-15 00:00:00+00:00,25.69,26.26,25.9,26.04,2024.28714877
2024-06-16 00:00:00+00:00,25.45,26.4,26.05,25.67,1775.20790034
2024-06-17 00:00:00+00:00,24.3,25.9,25.8,24.93,8081.52169184
2024-06-18 00:00:00+00:00,21.71,24.96,24.94,23.11,17059.16464091
2024-06-19 00:00:00+00:00,22.82,23.99,23.06,23.64,4208.44521194
2024-06-20 00:00:00+00:00,22.88,24.32,23.64,23.58,16386.44125189
2024-06-21 00:00:00+00:00,23.42,24.15,23.57,23.73,4466.41379026
2024-06-22 00:00:00+00:00,23.57,24.29,23.68,24.09,1821.04851956
2024-06-23 00:00:00+00:00,23.42,24.47,24.11,23.49,2327.33741283
2024-06-24 00:00:00+00:00,22.1,23.65,23.51,23.12,10727.4277361
2024-06-25 00:00:00+00:00,23.05,24.36,23.17,24.27,4310.75015283
2024-06-26 00:00:00+00:00,23.43,24.36,24.27,23.86,8000.02706369
2024-06-27 00:00:00+00:00,23.69,24.71,23.87,24.65,5464.28801573
2024-06-28 00:00:00+00:00,24.45,25.13,24.56,24.66,2997.57297555
2024-06-29 00:00:00+00:00,24.33,25.07,24.62,24.33,2208.09225702
2024-06-30 00:00:00+00:00,23.56,24.86,24.33,24.83,2280.33675329
2024-07-01 00:00:00+00:00,23.91,24.97,24.81,24.0,2951.01069347
2024-07-02 00:00:00+00:00,23.83,24.7,23.98,24.64,4218.9147734
2024-07-03 00:00:00+00:00,23.35,25.03,24.66,24.55,8539.19736333
2024-07-04 00:00:00+00:00,21.81,25.13,24.56,21.96,10786.66150427
2024-07-05 00:00:00+00:00,19.47,23.14,21.97,22.88,12156.17089907
2024-07-06 00:00:00+00:00,22.47,23.8,22.86,23.38,4798.21591747
2024-07-07 00:00:00+00:00,21.85,23.65,23.38,21.86,3621.03606846
2024-07-08 00:00:00+00:00,21.0,23.59,21.99,23.0,6049.77591927
2024-07-09 00:00:00+00:00,22.83,24.41,23.0,24.09,6618.77654049
2024-07-10 00:00:00+00:00,23.23,24.14,24.08,23.87,4067.27043491
2024-07-11 00:00:00+00:00,23.24,24.48,23.84,23.94,9574.85958862
2024-07-12 00:00:00+00:00,23.6,24.82,23.85,24.56,6381.69456995
2024-07-13 00:00:00+00:00,24.44,26.18,24.59,26.02,7808.22699932
2024-07-14 00:00:00+00:00,25.55,27.76,26.09,27.03,8059.91209652
2024-07-15 00:00:00+00:00,26.59,27.99,27.2,27.37,6792.95991799
2024-07-16 00:00:00+00:00,25.97,28.09,27.35,28.0,8648.82392321
2024-07-17 00:00:00+00:00,27.4,28.9,27.95,27.47,5272.82674355
2024-07-18 00:00:00+00:00,26.69,28.11,27.56,27.32,3778.98147399
2024-07-19 00:00:00+00:00,26.33,27.99,27.29,27.53,4952.41754131
2024-07-20 00:00:00+00:00,27.32,28.38,27.54,28.0,3487.03517824
2024-07-21 00:00:00+00:00,27.62,28.88,28.11,28.28,6291.10094689
2024-07-22 00:00:00+00:00,26.61,28.64,28.4,26.81,7858.39462437
2024-07-23 00:00:00+00:00,26.31,27.34,26.81,26.52,6281.31002151
2024-07-24 00:00:00+00:00,26.43,27.42,26.52,26.73,2798.19219279
2024-07-25 00:00:00+00:00,24.76,26.75,26.68,25.73,5362.00727939
2024-07-26 00:00:00+00:00,25.72,27.18,25.72,26.9,3122.62437947
2024-07-27 00:00:00+00:00,26.49,27.26,26.87,26.88,2394.81097813
2024-07-28 00:00:00+00:00,26.45,27.1,26.87,26.68,2131.90062615
2024-07-29 00:00:00+00:00,26.69,27.78,26.76,26.75,5151.57258084
2024-07-30 00:00:00+00:00,26.15,27.13,26.77,26.21,5883.20331774
2024-07-31 00:00:00+00:00,26.08,27.32,26.2,26.68,5656.15763138
2024-08-01 00:00:00+00:00,24.01,27.14,26.69,25.72,7999.09336097
2024-08-02 00:00:00+00:00,24.18,25.91,25.77,24.37,4422.37381415
