time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.7798,0.8362,0.796,0.819,66642.2
2024-06-11 00:00:00+00:00,0.7485,0.8412,0.8202,0.7703,106483.8
2024-06-12 00:00:00+00:00,0.7717,0.8449,0.7727,0.8307,40394.8
2024-06-13 00:00:00+00:00,0.7896,0.8534,0.8149,0.8152,79683.4
2024-06-14 00:00:00+00:00,0.7862,0.8372,0.8232,0.8109,19678.5
2024-06-15 00:00:00+00:00,0.7609,0.8345,0.8196,0.7686,66989.9
2024-06-16 00:00:00+00:00,0.7223,0.7732,0.7707,0.7287,52613.1
2024-06-17 00:00:00+00:00,0.6682,0.7435,0.7319,0.6899,55502.8
2024-06-18 00:00:00+00:00,0.6465,0.6899,0.689,0.6603,105767.0
2024-06-19 00:00:00+00:00,0.6505,0.6872,0.6506,0.6732,20724.5
2024-06-20 00:00:00+00:00,0.6657,0.7044,0.6742,0.6872,12754.1
2024-06-21 00:00:00+00:00,0.6651,0.6909,0.6871,0.6798,9589.3
2024-06-22 00:00:00+00:00,0.67,0.6976,0.6799,0.6856,10988.4
2024-06-23 00:00:00+00:00,0.6754,0.6907,0.6849,0.6817,15084.8
2024-06-24 00:00:00+00:00,0.6443,0.6908,0.6832,0.681,45322.0
2024-06-25 00:00:00+00:00,0.63,0.6821,0.6747,0.657,32354.0
2024-06-26 00:00:00+00:00,0.6303,0.6662,0.6424,0.658,30779.4
2024-06-27 00:00:00+00:00,0.63,0.6743,0.6505,0.6649,36325.0
2024-06-28 00:00:00+00:00,0.651,0.6678,0.6639,0.651,9205.9
2024-06-29 00:00:00+00:00,0.6462,0.6665,0.6538,0.6474,19269.7
2024-06-30 00:00:00+00:00,0.6347,0.6485,0.6475,0.644,17365.1
2024-07-01 00:00:00+00:00,0.6347,0.6586,0.6439,0.6487,22530.8
2024-07-02 00:00:00+00:00,0.606,0.6566,0.6451,0.6095,48379.9
2024-07-03 00:00:00+00:00,0.56,0.6247,0.6182,0.5669,88653.4
2024-07-04 00:00:00+00:00,0.5174,0.5855,0.5668,0.5174,87619.4
2024-07-05 00:00:00+00:00,0.4647,0.5177,0.5137,0.5011,62017.4
2024-07-06 00:00:00+00:00,0.4927,0.5293,0.4983,0.5144,7319.0
2024-07-07 00:00:00+00:00,0.5001,0.5307,0.5269,0.5086,20245.5
2024-07-08 00:00:00+00:00,0.4803,0.529,0.5085,0.5167,45770.8
2024-07-09 00:00:00+00:00,0.5209,0.5382,0.521,0.5382,4989.5
2024-07-10 00:00:00+00:00,0.5365,0.5519,0.5378,0.5379,20419.9
2024-07-11 00:00:00+00:00,0.5419,0.5672,0.5427,0.5535,14417.1
2024-07-12 00:00:00+00:00,0.5217,0.5587,0.5538,0.5351,19712.0
2024-07-13 00:00:00+00:00,0.5252,0.55,0.5374,0.547,55232.6
2024-07-14 00:00:00+00:00,0.5412,0.568,0.5471,0.5608,40600.4
2024-07-15 00:00:00+00:00,0.5567,0.598,0.5587,0.5835,117323.1
2024-07-16 00:00:00+00:00,0.5667,0.5996,0.5872,0.5927,28801.4
2024-07-17 00:00:00+00:00,0.5152,0.624,0.5939,0.5445,114444.0
2024-07-18 00:00:00+00:00,0.5374,0.6182,0.5386,0.5861,67322.0
2024-07-19 00:00:00+00:00,0.5863,0.624,0.5864,0.624,74464.5
2024-07-20 00:00:00+00:00,0.6114,0.624,0.6179,0.624,20147.9
2024-07-21 00:00:00+00:00,0.6123,0.6239,0.6135,0.62,2411.4
2024-07-22 00:00:00+00:00,0.6124,0.6492,0.6238,0.6315,25969.1
2024-07-23 00:00:00+00:00,0.6182,0.6666,0.6424,0.6182,33829.6
2024-07-24 00:00:00+00:00,0.5541,0.6852,0.634,0.6113,62173.5
2024-07-25 00:00:00+00:00,0.5796,0.6261,0.6261,0.602,12092.8
2024-07-26 00:00:00+00:00,0.602,0.6177,0.6171,0.6131,3678.3
2024-07-27 00:00:00+00:00,0.5947,0.6181,0.6026,0.6134,12633.7
2024-07-28 00:00:00+00:00,0.6134,0.625,0.6134,0.614,8425.7
2024-07-29 00:00:00+00:00,0.614,0.6423,0.614,0.6326,18266.5
