time,low,high,open,close,volume
2024-06-11 00:00:00+00:00,6.214,6.523,6.503,6.376,1878656.39815289
2024-06-12 00:00:00+00:00,6.276,6.929,6.376,6.734,1914909.39072921
2024-06-13 00:00:00+00:00,6.336,6.738,6.736,6.356,1135918.58567407
2024-06-14 00:00:00+00:00,6.0,6.483,6.358,6.164,1331977.64002064
2024-06-15 00:00:00+00:00,6.109,6.254,6.16,6.22,428898.91071821
2024-06-16 00:00:00+00:00,6.144,6.418,6.219,6.39,451885.11784163
2024-06-17 00:00:00+00:00,5.983,6.412,6.392,6.069,1036795.66843889
2024-06-18 00:00:00+00:00,5.497,6.085,6.066,5.768,2186444.96799236
2024-06-19 00:00:00+00:00,5.728,5.991,5.768,5.796,1297121.93627365
2024-06-20 00:00:00+00:00,5.594,5.972,5.79,5.639,1002576.9063409
2024-06-21 00:00:00+00:00,5.547,5.734,5.64,5.608,716957.83021229
2024-06-22 00:00:00+00:00,5.539,5.803,5.609,5.75,847368.08032066
2024-06-23 00:00:00+00:00,5.584,5.814,5.75,5.646,725234.08408936
2024-06-24 00:00:00+00:00,5.4,5.735,5.645,5.724,1196481.63843998
2024-06-25 00:00:00+00:00,5.7,5.975,5.721,5.841,1138246.59630677
2024-06-26 00:00:00+00:00,5.758,5.948,5.84,5.795,800085.50019133
2024-06-27 00:00:00+00:00,5.701,6.4,5.796,6.276,1528654.18656108
2024-06-28 00:00:00+00:00,6.146,6.435,6.275,6.178,1048476.18806158
2024-06-29 00:00:00+00:00,6.055,6.292,6.177,6.072,342835.920021
2024-06-30 00:00:00+00:00,6.012,6.251,6.071,6.203,408014.76133095
2024-07-01 00:00:00+00:00,6.112,6.442,6.201,6.324,1169513.21327551
2024-07-02 00:00:00+00:00,6.307,6.597,6.324,6.52,1637634.53605523
2024-07-03 00:00:00+00:00,5.89,6.535,6.52,6.075,1503245.29193304
2024-07-04 00:00:00+00:00,5.541,6.133,6.075,5.555,2137619.68683649
2024-07-05 00:00:00+00:00,4.913,5.917,5.554,5.686,3841405.42130032
2024-07-06 00:00:00+00:00,5.632,6.309,5.684,6.24,1567424.47707658
2024-07-07 00:00:00+00:00,5.882,6.313,6.244,5.904,742219.1327146
2024-07-08 00:00:00+00:00,5.695,6.296,5.908,5.94,1302351.93664777
2024-07-09 00:00:00+00:00,5.84,6.186,5.94,6.117,1442410.14424855
2024-07-10 00:00:00+00:00,6.05,6.26,6.116,6.094,910589.58537156
