time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.47,0.522,0.515,0.474,1275166.63
2024-06-11 00:00:00+00:00,0.433,0.483,0.475,0.441,1350144.36
2024-06-12 00:00:00+00:00,0.426,0.479,0.441,0.477,1924880.21
2024-06-13 00:00:00+00:00,0.441,0.477,0.477,0.447,1419701.05
2024-06-14 00:00:00+00:00,0.408,0.453,0.448,0.428,954594.27
2024-06-15 00:00:00+00:00,0.427,0.464,0.427,0.449,948713.16
2024-06-16 00:00:00+00:00,0.438,0.486,0.449,0.477,526976.71
2024-06-17 00:00:00+00:00,0.464,0.512,0.478,0.477,2096840.96
2024-06-18 00:00:00+00:00,0.387,0.481,0.477,0.436,3387530.29
2024-06-19 00:00:00+00:00,0.421,0.449,0.434,0.437,603430.58
2024-06-20 00:00:00+00:00,0.404,0.44,0.434,0.41,870019.13
2024-06-21 00:00:00+00:00,0.405,0.422,0.413,0.421,702827.08
2024-06-22 00:00:00+00:00,0.417,0.431,0.421,0.421,389213.67
2024-06-23 00:00:00+00:00,0.422,0.449,0.423,0.438,490348.67
2024-06-24 00:00:00+00:00,0.406,0.449,0.438,0.447,892481.29
2024-06-25 00:00:00+00:00,0.445,0.467,0.445,0.464,751700.26
2024-06-26 00:00:00+00:00,0.445,0.467,0.464,0.447,732764.65
2024-06-27 00:00:00+00:00,0.443,0.507,0.447,0.49,1198963.48
2024-06-28 00:00:00+00:00,0.443,0.497,0.494,0.449,1684970.31
2024-06-29 00:00:00+00:00,0.428,0.457,0.446,0.438,634994.57
2024-06-30 00:00:00+00:00,0.434,0.464,0.439,0.455,1009547.96
2024-07-01 00:00:00+00:00,0.456,0.51,0.456,0.497,1625826.3
2024-07-02 00:00:00+00:00,0.497,0.562,0.497,0.552,1584969.86
2024-07-03 00:00:00+00:00,0.486,0.56,0.552,0.501,1055178.26
2024-07-04 00:00:00+00:00,0.451,0.51,0.501,0.452,849757.38
2024-07-05 00:00:00+00:00,0.386,0.454,0.45,0.447,1141606.51
2024-07-06 00:00:00+00:00,0.444,0.488,0.446,0.466,409818.02
2024-07-07 00:00:00+00:00,0.438,0.471,0.466,0.447,413370.22
2024-07-08 00:00:00+00:00,0.44,0.498,0.448,0.485,627796.31
2024-07-09 00:00:00+00:00,0.474,0.505,0.483,0.492,505608.39
2024-07-10 00:00:00+00:00,0.489,0.531,0.493,0.492,698957.23
2024-07-11 00:00:00+00:00,0.442,0.507,0.492,0.446,770607.03
2024-07-12 00:00:00+00:00,0.432,0.456,0.447,0.444,480388.49
2024-07-13 00:00:00+00:00,0.412,0.45,0.445,0.448,710139.73
2024-07-14 00:00:00+00:00,0.424,0.456,0.447,0.44,794353.3
2024-07-15 00:00:00+00:00,0.405,0.454,0.44,0.445,1501533.77
2024-07-16 00:00:00+00:00,0.403,0.453,0.447,0.447,2214868.85
2024-07-17 00:00:00+00:00,0.406,0.452,0.447,0.447,2269649.8
2024-07-18 00:00:00+00:00,0.409,0.45,0.445,0.427,1509227.86
2024-07-19 00:00:00+00:00,0.406,0.443,0.427,0.437,1141622.83
2024-07-20 00:00:00+00:00,0.426,0.447,0.437,0.436,590729.42
2024-07-21 00:00:00+00:00,0.404,0.439,0.436,0.411,1393073.25
