time,close,Volume
2000-05-01,53.2,NaN
2000-06-01,51.4,NaN
2000-07-01,52.5,NaN
2000-08-01,49.9,NaN
2000-09-01,49.7,NaN
2000-10-01,48.7,NaN
2000-11-01,48.5,NaN
2000-12-01,43.9,NaN
2001-01-01,42.3,NaN
2001-02-01,42.1,NaN
2001-03-01,43.1,NaN
2001-04-01,42.7,NaN
2001-05-01,41.3,NaN
2001-06-01,43.2,NaN
2001-07-01,43.5,NaN
2001-08-01,46.3,NaN
2001-09-01,46.2,NaN
2001-10-01,40.8,NaN
2001-11-01,44.1,NaN
2001-12-01,45.3,NaN
2002-01-01,47.5,NaN
2002-02-01,50.7,NaN
2002-03-01,52.4,NaN
2002-04-01,52.4,NaN
2002-05-01,53.1,NaN
2002-06-01,53.6,NaN
2002-07-01,50.2,NaN
2002-08-01,50.3,NaN
2002-09-01,50.5,NaN
2002-10-01,49,NaN
2002-11-01,48.5,NaN
2002-12-01,51.6,NaN
2003-01-01,51.3,NaN
2003-02-01,48.8,NaN
2003-03-01,46.3,NaN
2003-04-01,46.1,NaN
2003-05-01,49,NaN
2003-06-01,49,NaN
2003-07-01,51,NaN
2003-08-01,53.2,NaN
2003-09-01,52.4,NaN
2003-10-01,55.2,NaN
2003-11-01,58.4,NaN
2003-12-01,60.1,NaN
2004-01-01,60.8,NaN
2004-02-01,59.9,NaN
2004-03-01,60.6,NaN
2004-04-01,60.6,NaN
2004-05-01,61.4,NaN
2004-06-01,60.5,NaN
2004-07-01,59.9,NaN
2004-08-01,58.5,NaN
2004-09-01,57.4,NaN
2004-10-01,56.3,NaN
2004-11-01,56.2,NaN
2004-12-01,57.2,NaN
2005-01-01,56.8,NaN
2005-02-01,55.5,NaN
2005-03-01,55.2,NaN
2005-04-01,52.2,NaN
2005-05-01,50.8,NaN
2005-06-01,52.4,NaN
2005-07-01,52.8,NaN
2005-08-01,52.4,NaN
2005-09-01,56.8,NaN
2005-10-01,57.2,NaN
2005-11-01,56.7,NaN
2005-12-01,55.1,NaN
2006-01-01,55,NaN
2006-02-01,55.8,NaN
2006-03-01,54.3,NaN
2006-04-01,55.2,NaN
2006-05-01,53.7,NaN
2006-06-01,52,NaN
2006-07-01,53,NaN
2006-08-01,53.7,NaN
2006-09-01,52.2,NaN
2006-10-01,51.4,NaN
2006-11-01,50.3,NaN
2006-12-01,51.4,NaN
2007-01-01,50.4,NaN
2007-02-01,54.1,NaN
2007-03-01,52.8,NaN
2007-04-01,52.7,NaN
2007-05-01,53.1,NaN
2007-06-01,54,NaN
2007-07-01,51.8,NaN
2007-08-01,52.2,NaN
2007-09-01,53.8,NaN
2007-10-01,52.8,NaN
2007-11-01,51.5,NaN
2007-12-01,50.1,NaN
2008-01-01,50.9,NaN
2008-02-01,48.8,NaN
2008-03-01,49.7,NaN
2008-04-01,48.5,NaN
2008-05-01,48.9,NaN
2008-06-01,49.9,NaN
2008-07-01,50.8,NaN
2008-08-01,50.1,NaN
2008-09-01,47.2,NaN
2008-10-01,38.2,NaN
2008-11-01,39,NaN
2008-12-01,34.5,NaN
2009-01-01,36.4,NaN
2009-02-01,36.6,NaN
2009-03-01,37.2,NaN
2009-04-01,39.9,NaN
2009-05-01,44.1,NaN
2009-06-01,46.3,NaN
2009-07-01,49.7,NaN
2009-08-01,53.4,NaN
2009-09-01,54.9,NaN
2009-10-01,57.6,NaN
2009-11-01,55.4,NaN
2009-12-01,55.8,NaN
2010-01-01,56.3,NaN
2010-02-01,55.5,NaN
2010-03-01,58.8,NaN
2010-04-01,58.1,NaN
2010-05-01,57.4,NaN
2010-06-01,56.5,NaN
2010-07-01,56.1,NaN
2010-08-01,56.4,NaN
2010-09-01,55.3,NaN
2010-10-01,56.9,NaN
2010-11-01,57.3,NaN
2010-12-01,56.6,NaN
2011-01-01,59.1,NaN
2011-02-01,59.2,NaN
2011-03-01,58.4,NaN
2011-04-01,57.9,NaN
2011-05-01,54.8,NaN
2011-06-01,55.8,NaN
2011-07-01,52.9,NaN
2011-08-01,52.6,NaN
2011-09-01,53.7,NaN
2011-10-01,51.4,NaN
2011-11-01,51.8,NaN
2011-12-01,53,NaN
2012-01-01,54.2,NaN
2012-02-01,53.3,NaN
2012-03-01,53.5,NaN
2012-04-01,55.2,NaN
2012-05-01,53.2,NaN
2012-06-01,49.5,NaN
2012-07-01,49.6,NaN
2012-08-01,49,NaN
2012-09-01,50.8,NaN
2012-10-01,50.5,NaN
2012-11-01,48,NaN
2012-12-01,50.1,NaN
2013-01-01,53.3,NaN
2013-02-01,54.2,NaN
2013-03-01,51.9,NaN
2013-04-01,51,NaN
2013-05-01,50.8,NaN
2013-06-01,51.1,NaN
2013-07-01,53.8,NaN
2013-08-01,54,NaN
2013-09-01,54.6,NaN
2013-10-01,54.6,NaN
2013-11-01,55.5,NaN
2013-12-01,56.5,NaN
2014-01-01,52.5,NaN
2014-02-01,55,NaN
2014-03-01,55.9,NaN
2014-04-01,56.6,NaN
2014-05-01,55.7,NaN
2014-06-01,55,NaN
2014-07-01,55.1,NaN
2014-08-01,56.3,NaN
2014-09-01,55.7,NaN
2014-10-01,56.2,NaN
2014-11-01,56.3,NaN
2014-12-01,55.7,NaN
2015-01-01,54,NaN
2015-02-01,53.1,NaN
2015-03-01,52.3,NaN
2015-04-01,52.1,NaN
2015-05-01,52.7,NaN
2015-06-01,52.6,NaN
2015-07-01,51.9,NaN
2015-08-01,50,NaN
2015-09-01,50,NaN
2015-10-01,49,NaN
2015-11-01,49.1,NaN
2015-12-01,48.8,NaN
2016-01-01,47.5,NaN
2016-02-01,49.2,NaN
2016-03-01,51.4,NaN
2016-04-01,51,NaN
2016-05-01,51.3,NaN
2016-06-01,52.4,NaN
2016-07-01,52.4,NaN
2016-08-01,49.7,NaN
2016-09-01,51,NaN
2016-10-01,51.8,NaN
2016-11-01,53.3,NaN
2016-12-01,54.2,NaN
2017-01-01,55.7,NaN
2017-02-01,57.7,NaN
2017-03-01,56.8,NaN
2017-04-01,55.7,NaN
2017-05-01,56.4,NaN
2017-06-01,56.1,NaN
2017-07-01,56.5,NaN
2017-08-01,58.5,NaN
2017-09-01,59.9,NaN
2017-10-01,58.6,NaN
2017-11-01,57.9,NaN
2017-12-01,59.2,NaN
2018-01-01,59.4,NaN
2018-02-01,60.8,NaN
2018-03-01,59.2,NaN
2018-04-01,58.6,NaN
2018-05-01,58.9,NaN
2018-06-01,59.7,NaN
2018-07-01,58,NaN
2018-08-01,60.4,NaN
2018-09-01,59.5,NaN
2018-10-01,58.3,NaN
2018-11-01,58.7,NaN
2018-12-01,54.8,NaN
2019-01-01,55.7,NaN
2019-02-01,54.2,NaN
2019-03-01,55.3,NaN
2019-04-01,53.6,NaN
2019-05-01,52.2,NaN
2019-06-01,51.3,NaN
2019-07-01,51,NaN
2019-08-01,48.4,NaN
2019-09-01,48.3,NaN
2019-10-01,48.3,NaN
2019-11-01,48.2,NaN
2019-12-01,47.7,NaN
2020-01-01,51.1,NaN
2020-02-01,50.3,NaN
2020-03-01,49.7,NaN
2020-04-01,41.7,NaN
2020-05-01,43.1,NaN
2020-06-01,52.2,NaN
2020-07-01,53.7,NaN
2020-08-01,55.6,NaN
2020-09-01,55.7,NaN
2020-10-01,58.8,NaN
2020-11-01,57.7,NaN
2020-12-01,60.5,NaN
2021-01-01,58.7,NaN
2021-02-01,60.8,NaN
2021-03-01,64.7,NaN
2021-04-01,60.7,NaN
2021-05-01,61.2,NaN
2021-06-01,60.6,NaN
2021-07-01,59.5,NaN
2021-08-01,59.9,NaN
2021-09-01,61.1,NaN
2021-10-01,60.8,NaN
2021-11-01,60.8,NaN
2021-12-01,58.6,NaN
2022-01-01,57.6,NaN
2022-02-01,58.4,NaN
2022-03-01,57,NaN
2022-04-01,55.9,NaN
2022-05-01,56.1,NaN
2022-06-01,53.1,NaN
2022-07-01,52.7,NaN
2022-08-01,52.9,NaN
2022-09-01,51,NaN
2022-10-01,50,NaN
2022-11-01,49,NaN
