time,low,high,open,close,volume
2024-10-01 00:00:00+00:00,3.76,4.446,4.154,4.016,1004722.94
2024-10-02 00:00:00+00:00,3.168,4.242,4.011,3.25,760400.26
2024-10-03 00:00:00+00:00,3.176,3.714,3.256,3.348,790366.75
2024-10-04 00:00:00+00:00,3.275,3.711,3.354,3.578,1067511.1
2024-10-05 00:00:00+00:00,3.17,3.616,3.57,3.186,602604.63
2024-10-06 00:00:00+00:00,3.036,3.325,3.18,3.294,492911.38
2024-10-07 00:00:00+00:00,3.291,3.671,3.292,3.368,514139.66
2024-10-08 00:00:00+00:00,3.33,4.04,3.362,3.726,848146.82
2024-10-09 00:00:00+00:00,3.581,4.16,3.727,3.662,973716.65
2024-10-10 00:00:00+00:00,3.479,3.855,3.669,3.725,883337.56
2024-10-11 00:00:00+00:00,3.677,4.136,3.728,3.921,706578.32
2024-10-12 00:00:00+00:00,3.722,4.016,3.92,3.739,306955.74
2024-10-13 00:00:00+00:00,3.482,3.765,3.739,3.573,489549.21
2024-10-14 00:00:00+00:00,3.455,3.815,3.572,3.775,737224.93
2024-10-15 00:00:00+00:00,3.398,3.809,3.788,3.51,588091.78
2024-10-16 00:00:00+00:00,3.249,3.591,3.51,3.326,429452.89
2024-10-17 00:00:00+00:00,3.108,3.412,3.332,3.25,346058.67
2024-10-18 00:00:00+00:00,3.251,3.632,3.251,3.607,718858.29
2024-10-19 00:00:00+00:00,3.561,3.721,3.613,3.668,267994.5
2024-10-20 00:00:00+00:00,3.473,3.793,3.671,3.748,480462.5
2024-10-21 00:00:00+00:00,3.438,3.839,3.752,3.472,309542.39
2024-10-22 00:00:00+00:00,3.361,3.548,3.476,3.428,391440.32
2024-10-23 00:00:00+00:00,3.164,3.531,3.429,3.22,590338.48
2024-10-24 00:00:00+00:00,3.152,3.322,3.221,3.241,509462.46
2024-10-25 00:00:00+00:00,2.591,3.291,3.251,2.759,732001.74
2024-10-26 00:00:00+00:00,2.704,2.966,2.759,2.946,378625.09
2024-10-27 00:00:00+00:00,2.805,2.989,2.946,2.84,251084.6
