time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,2.446,2.545,2.544,2.458,39246.52
2024-06-11 00:00:00+00:00,2.443,2.537,2.459,2.537,34653.67
2024-06-12 00:00:00+00:00,2.532,2.9,2.532,2.588,193023.91
2024-06-13 00:00:00+00:00,2.395,2.634,2.583,2.47,130146.04
2024-06-14 00:00:00+00:00,2.477,2.62,2.477,2.55,66318.48
2024-06-15 00:00:00+00:00,2.516,2.64,2.55,2.529,19804.26
2024-06-16 00:00:00+00:00,2.497,2.598,2.529,2.517,41075.03
2024-06-17 00:00:00+00:00,2.471,2.55,2.514,2.477,22474.74
2024-06-18 00:00:00+00:00,2.354,2.481,2.481,2.363,13290.04
2024-06-19 00:00:00+00:00,2.33,2.416,2.364,2.335,21485.67
2024-06-20 00:00:00+00:00,2.261,2.373,2.339,2.268,22764.38
2024-06-21 00:00:00+00:00,2.224,2.288,2.262,2.278,33372.19
2024-06-22 00:00:00+00:00,2.251,2.325,2.286,2.283,16298.1
2024-06-23 00:00:00+00:00,2.247,2.314,2.289,2.247,13007.98
2024-06-24 00:00:00+00:00,2.201,2.292,2.25,2.244,39465.86
2024-06-25 00:00:00+00:00,2.219,2.281,2.245,2.238,12118.81
2024-06-26 00:00:00+00:00,2.185,2.239,2.235,2.185,3051.77
2024-06-27 00:00:00+00:00,2.151,2.208,2.19,2.202,11724.77
2024-06-28 00:00:00+00:00,2.145,2.228,2.204,2.181,17402.09
2024-06-29 00:00:00+00:00,2.14,2.202,2.179,2.148,20591.45
2024-06-30 00:00:00+00:00,2.139,2.206,2.15,2.198,21763.93
2024-07-01 00:00:00+00:00,2.164,2.52,2.202,2.518,73105.43
2024-07-02 00:00:00+00:00,2.189,2.581,2.499,2.228,48488.77
2024-07-03 00:00:00+00:00,2.185,2.268,2.22,2.196,35711.04
2024-07-04 00:00:00+00:00,2.059,2.261,2.21,2.07,83589.97
2024-07-05 00:00:00+00:00,1.901,2.069,2.061,2.017,51392.18
2024-07-06 00:00:00+00:00,1.94,2.215,2.002,2.115,77498.64
2024-07-07 00:00:00+00:00,2.004,2.169,2.114,2.019,35806.15
2024-07-08 00:00:00+00:00,1.876,2.037,2.02,1.917,68827.62
2024-07-09 00:00:00+00:00,1.798,1.945,1.916,1.83,34369.23
2024-07-10 00:00:00+00:00,1.78,1.865,1.837,1.808,31195.86
2024-07-11 00:00:00+00:00,1.806,1.971,1.808,1.882,83307.07
2024-07-12 00:00:00+00:00,1.852,1.922,1.882,1.902,18984.74
2024-07-13 00:00:00+00:00,1.876,3.132,1.902,2.155,621982.4
2024-07-14 00:00:00+00:00,2.064,2.265,2.168,2.156,122618.29
2024-07-15 00:00:00+00:00,2.127,2.32,2.156,2.215,74689.13
