time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,19.99,20.92,20.92,20.14,138798.317
2024-06-11 00:00:00+00:00,18.95,20.42,20.16,19.36,114776.053
2024-06-12 00:00:00+00:00,18.75,21.62,19.36,20.79,101405.903
2024-06-13 00:00:00+00:00,19.36,20.98,20.78,19.67,75944.553
2024-06-14 00:00:00+00:00,19.49,22.29,19.69,21.6,304596.179
2024-06-15 00:00:00+00:00,21.34,23.74,21.58,23.48,308266.648
2024-06-16 00:00:00+00:00,22.56,24.68,23.53,24.36,151370.051
2024-06-17 00:00:00+00:00,22.09,24.37,24.31,22.71,202337.651
2024-06-18 00:00:00+00:00,20.2,25.49,22.7,25.17,388711.449
2024-06-19 00:00:00+00:00,24.76,27.49,25.22,26.9,425328.067
2024-06-20 00:00:00+00:00,24.79,27.57,26.91,26.02,211602.131
2024-06-21 00:00:00+00:00,25.19,27.44,26.07,26.84,176325.895
2024-06-22 00:00:00+00:00,25.0,26.84,26.84,25.04,134952.936
2024-06-23 00:00:00+00:00,22.83,25.73,25.08,23.23,141008.658
2024-06-24 00:00:00+00:00,21.3,24.12,23.22,23.89,265432.383
2024-06-25 00:00:00+00:00,22.57,25.72,23.87,24.69,223839.251
2024-06-26 00:00:00+00:00,23.58,25.46,24.71,24.21,169134.21
2024-06-27 00:00:00+00:00,24.13,27.25,24.2,27.08,312022.2
2024-06-28 00:00:00+00:00,26.43,28.91,27.1,26.97,338320.851
2024-06-29 00:00:00+00:00,25.64,28.92,26.97,25.7,204819.526
2024-06-30 00:00:00+00:00,24.92,30.8,25.72,30.66,317404.457
2024-07-01 00:00:00+00:00,30.52,34.32,30.66,31.71,401832.167
2024-07-02 00:00:00+00:00,30.09,32.37,31.74,30.87,213197.144
2024-07-03 00:00:00+00:00,25.1,31.08,30.89,25.19,340165.219
2024-07-04 00:00:00+00:00,22.37,26.66,25.2,22.48,537684.957
2024-07-05 00:00:00+00:00,20.18,23.93,22.52,22.87,374038.522
2024-07-06 00:00:00+00:00,22.52,26.68,22.85,26.08,249008.572
2024-07-07 00:00:00+00:00,22.88,26.23,26.12,23.33,186250.558
2024-07-08 00:00:00+00:00,22.33,27.73,23.3,26.98,444658.614
2024-07-09 00:00:00+00:00,25.82,31.17,26.96,27.65,378542.355
2024-07-10 00:00:00+00:00,26.57,27.92,27.66,27.16,247702.568
2024-07-11 00:00:00+00:00,25.62,27.17,27.14,25.66,191459.025
2024-07-12 00:00:00+00:00,24.96,26.64,25.72,25.62,165014.292
2024-07-13 00:00:00+00:00,24.8,26.18,25.64,25.38,100004.002
2024-07-14 00:00:00+00:00,25.25,26.67,25.36,26.36,108742.04
2024-07-15 00:00:00+00:00,26.29,28.87,26.36,28.57,192336.452
2024-07-16 00:00:00+00:00,26.41,28.75,28.58,27.16,217036.114
2024-07-17 00:00:00+00:00,26.07,27.71,27.15,26.1,217848.145
2024-07-18 00:00:00+00:00,25.53,27.16,26.16,26.01,94092.714
2024-07-19 00:00:00+00:00,25.31,26.78,26.0,26.64,126668.074
2024-07-20 00:00:00+00:00,26.05,26.92,26.68,26.5,46951.996
2024-07-21 00:00:00+00:00,25.41,27.54,26.52,27.29,65210.122
2024-07-22 00:00:00+00:00,25.52,27.76,27.32,25.66,103972.415
2024-07-23 00:00:00+00:00,25.62,30.42,25.64,29.76,431421.791
2024-07-24 00:00:00+00:00,26.85,29.97,29.72,27.39,212348.373
2024-07-25 00:00:00+00:00,25.41,27.43,27.37,26.44,239030.774
2024-07-26 00:00:00+00:00,26.07,27.49,26.43,27.02,96839.641
2024-07-27 00:00:00+00:00,25.95,27.14,27.01,26.71,73658.366
2024-07-28 00:00:00+00:00,26.01,27.4,26.71,26.56,59593.826
2024-07-29 00:00:00+00:00,26.47,28.51,26.55,27.5,147202.699
2024-07-30 00:00:00+00:00,26.13,28.14,27.51,26.46,120068.636
2024-07-31 00:00:00+00:00,25.16,27.0,26.45,25.41,74536.745
2024-08-01 00:00:00+00:00,22.57,25.56,25.39,24.26,189163.129
2024-08-02 00:00:00+00:00,22.04,24.51,24.26,22.21,95074.152
2024-08-03 00:00:00+00:00,20.34,22.38,22.17,20.65,63884.03
2024-08-04 00:00:00+00:00,18.08,20.96,20.69,18.54,201990.801
2024-08-05 00:00:00+00:00,14.22,18.79,18.56,16.47,336366.605
2024-08-06 00:00:00+00:00,16.44,18.12,16.46,17.41,115088.587
2024-08-07 00:00:00+00:00,16.35,18.3,17.37,16.58,98696.132
2024-08-08 00:00:00+00:00,16.32,20.28,16.58,20.2,136336.335
2024-08-09 00:00:00+00:00,18.98,20.16,20.16,19.41,101095.079
2024-08-10 00:00:00+00:00,18.98,19.77,19.36,19.2,45426.573
2024-08-11 00:00:00+00:00,17.98,20.81,19.2,18.05,92745.72
2024-08-12 00:00:00+00:00,17.87,20.28,18.05,20.02,112534.314
2024-08-13 00:00:00+00:00,19.04,20.06,20.0,19.71,68862.244
2024-08-14 00:00:00+00:00,19.07,20.22,19.72,19.17,46498.793
2024-08-15 00:00:00+00:00,17.89,19.28,19.16,18.37,67275.764
2024-08-16 00:00:00+00:00,17.55,18.61,18.34,18.02,49352.403
2024-08-17 00:00:00+00:00,17.86,18.44,18.02,18.32,15146.915
2024-08-18 00:00:00+00:00,18.02,19.23,18.31,18.4,61040.315
2024-08-19 00:00:00+00:00,18.1,18.97,18.37,18.89,44606.816
2024-08-20 00:00:00+00:00,18.43,19.5,18.89,18.79,56308.99
2024-08-21 00:00:00+00:00,18.25,19.61,18.81,19.36,40454.204
2024-08-22 00:00:00+00:00,19.08,19.94,19.37,19.88,41555.119
2024-08-23 00:00:00+00:00,19.84,22.51,19.86,21.8,96463.593
2024-08-24 00:00:00+00:00,21.47,22.96,21.8,22.19,42916.596
2024-08-25 00:00:00+00:00,20.73,22.24,22.16,21.32,41139.105
2024-08-26 00:00:00+00:00,19.96,21.48,21.32,20.05,44675.316
2024-08-27 00:00:00+00:00,17.69,20.44,20.1,18.27,67608.464
2024-08-28 00:00:00+00:00,17.75,18.75,18.27,18.34,107555.927
2024-08-29 00:00:00+00:00,18.07,19.12,18.33,18.3,34755.22
2024-08-30 00:00:00+00:00,17.34,18.43,18.29,18.11,33153.152
2024-08-31 00:00:00+00:00,17.61,18.22,18.13,17.73,10459.688
2024-09-01 00:00:00+00:00,16.71,17.84,17.74,16.84,29441.976
2024-09-02 00:00:00+00:00,16.75,17.91,16.83,17.71,24359.3
2024-09-03 00:00:00+00:00,16.6,17.94,17.72,16.62,28472.317
2024-09-04 00:00:00+00:00,15.8,17.46,16.63,17.08,37418.53
2024-09-05 00:00:00+00:00,16.46,17.22,17.07,16.54,15714.557
2024-09-06 00:00:00+00:00,15.12,17.17,16.52,15.76,43401.589
2024-09-07 00:00:00+00:00,15.6,16.28,15.74,15.98,21864.984
2024-09-08 00:00:00+00:00,15.76,16.77,15.95,16.33,20885.344
2024-09-09 00:00:00+00:00,16.18,17.19,16.41,16.83,34763.414
2024-09-10 00:00:00+00:00,16.52,17.86,16.82,17.69,59648.383
2024-09-11 00:00:00+00:00,16.57,17.64,17.64,17.29,53254.534
2024-09-12 00:00:00+00:00,17.2,17.79,17.28,17.52,43277.623
2024-09-13 00:00:00+00:00,17.19,18.26,17.54,18.05,61154.797
2024-09-14 00:00:00+00:00,17.36,18.06,18.06,17.58,25596.044
2024-09-15 00:00:00+00:00,16.53,17.7,17.56,16.69,42718.072
2024-09-16 00:00:00+00:00,16.1,16.73,16.72,16.32,36834.157
2024-09-17 00:00:00+00:00,16.08,17.16,16.35,16.76,22543.262
2024-09-18 00:00:00+00:00,16.25,17.46,16.75,17.45,43693.549
2024-09-19 00:00:00+00:00,17.43,18.41,17.45,17.86,68582.003
2024-09-20 00:00:00+00:00,17.48,19.22,17.86,18.48,107057.952
2024-09-21 00:00:00+00:00,17.88,18.85,18.48,18.76,59671.811
2024-09-22 00:00:00+00:00,17.58,19.39,18.78,18.22,69773.435
2024-09-23 00:00:00+00:00,17.83,19.29,18.22,18.79,118707.773
2024-09-24 00:00:00+00:00,18.24,19.23,18.81,19.02,66047.272
2024-09-25 00:00:00+00:00,18.74,19.69,19.05,18.87,68042.944
2024-09-26 00:00:00+00:00,18.47,19.84,18.9,19.42,103263.808
2024-09-27 00:00:00+00:00,19.25,21.44,19.4,20.85,125119.211
2024-09-28 00:00:00+00:00,19.63,21.05,20.84,20.11,46673.977
2024-09-29 00:00:00+00:00,19.35,20.26,20.1,19.78,41241.076
2024-09-30 00:00:00+00:00,18.29,19.88,19.77,18.52,56401.802
2024-10-01 00:00:00+00:00,16.29,19.19,18.51,16.97,64908.635
2024-10-02 00:00:00+00:00,16.22,17.58,16.93,16.43,37125.257
2024-10-03 00:00:00+00:00,15.77,16.92,16.43,16.34,51504.952
2024-10-04 00:00:00+00:00,16.23,17.18,16.33,17.04,39215.333
2024-10-05 00:00:00+00:00,16.54,17.15,17.06,16.79,35375.762
2024-10-06 00:00:00+00:00,16.66,17.25,16.73,17.18,22445.915
2024-10-07 00:00:00+00:00,16.69,17.75,17.14,16.74,52896.976
2024-10-08 00:00:00+00:00,16.42,17.0,16.76,16.61,25157.295
2024-10-09 00:00:00+00:00,15.86,17.26,16.61,16.08,95649.485
2024-10-10 00:00:00+00:00,15.7,16.38,16.07,16.23,53710.459
2024-10-11 00:00:00+00:00,16.14,17.21,16.23,17.06,32998.989
2024-10-12 00:00:00+00:00,17.03,17.59,17.06,17.2,31443.476
2024-10-13 00:00:00+00:00,16.5,17.26,17.17,16.98,26219.776
2024-10-14 00:00:00+00:00,16.8,18.31,16.99,18.24,52379.655
2024-10-15 00:00:00+00:00,17.19,18.56,18.24,17.78,44218.237
2024-10-16 00:00:00+00:00,17.24,18.01,17.78,17.52,21732.159
2024-10-17 00:00:00+00:00,16.78,17.78,17.52,17.01,27111.526
2024-10-18 00:00:00+00:00,16.9,18.09,16.97,17.77,57126.888
2024-10-19 00:00:00+00:00,17.45,18.1,17.77,17.72,14787.699
