time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,59.57,62.59,62.56,59.6,6174.025
2024-06-11 00:00:00+00:00,54.31,60.0,59.66,57.21,8468.908
2024-06-12 00:00:00+00:00,56.0,62.3,57.3,58.24,11904.655
2024-06-13 00:00:00+00:00,55.65,58.47,58.2,55.72,6418.443
2024-06-14 00:00:00+00:00,53.4,57.93,55.88,54.69,6052.247
2024-06-15 00:00:00+00:00,54.19,56.85,54.69,56.85,2481.887
2024-06-16 00:00:00+00:00,55.75,59.75,56.9,56.1,8244.951
2024-06-17 00:00:00+00:00,50.5,56.28,56.1,51.0,8092.406
2024-06-18 00:00:00+00:00,47.26,51.31,51.16,49.0,13844.692
2024-06-19 00:00:00+00:00,48.74,51.36,49.0,50.5,6302.033
2024-06-20 00:00:00+00:00,50.27,53.94,50.48,50.78,7427.249
2024-06-21 00:00:00+00:00,50.23,52.38,50.89,50.53,7048.736
2024-06-22 00:00:00+00:00,49.06,51.99,50.5,50.76,2605.486
2024-06-23 00:00:00+00:00,46.47,52.0,50.7,46.84,8287.042
2024-06-24 00:00:00+00:00,45.88,48.21,46.82,48.16,10580.42
2024-06-25 00:00:00+00:00,47.9,49.47,48.1,48.88,4883.829
2024-06-26 00:00:00+00:00,47.76,49.34,48.85,48.11,4471.217
2024-06-27 00:00:00+00:00,47.69,50.29,48.08,48.82,7893.548
2024-06-28 00:00:00+00:00,48.0,50.1,48.82,48.9,4730.474
2024-06-29 00:00:00+00:00,47.22,49.39,48.93,47.61,3173.372
2024-06-30 00:00:00+00:00,46.0,49.59,47.61,49.01,6253.993
2024-07-01 00:00:00+00:00,47.78,52.78,49.09,48.59,9459.661
2024-07-02 00:00:00+00:00,46.43,49.4,48.56,46.75,5133.158
2024-07-03 00:00:00+00:00,45.0,47.03,46.86,45.15,4015.034
2024-07-04 00:00:00+00:00,39.11,45.35,45.2,39.11,10247.368
2024-07-05 00:00:00+00:00,35.18,40.49,39.21,39.22,11804.988
2024-07-06 00:00:00+00:00,37.44,41.45,39.2,41.09,9682.507
2024-07-07 00:00:00+00:00,37.82,41.02,41.02,38.06,6521.471
2024-07-08 00:00:00+00:00,36.63,41.09,38.07,40.15,9755.569
2024-07-09 00:00:00+00:00,40.0,42.18,40.18,41.7,6714.619
2024-07-10 00:00:00+00:00,40.8,41.91,41.79,41.88,3842.57
2024-07-11 00:00:00+00:00,39.51,45.25,42.0,39.73,13561.254
2024-07-12 00:00:00+00:00,39.51,42.71,39.51,41.4,6771.387
2024-07-13 00:00:00+00:00,41.1,42.4,41.47,42.05,2727.317
2024-07-14 00:00:00+00:00,42.04,44.59,42.09,43.85,10448.922
2024-07-15 00:00:00+00:00,43.82,47.52,43.82,47.52,4949.439
2024-07-16 00:00:00+00:00,44.73,47.73,47.59,46.92,8670.105
2024-07-17 00:00:00+00:00,46.63,48.87,47.0,47.52,7051.439
2024-07-18 00:00:00+00:00,46.5,49.26,47.51,47.78,5504.098
