time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.777,0.812,0.802,0.784,205772.745
2024-06-11 00:00:00+00:00,0.737,0.789,0.784,0.747,255817.906
2024-06-12 00:00:00+00:00,0.731,0.794,0.749,0.779,281432.806
2024-06-13 00:00:00+00:00,0.727,0.782,0.777,0.73,117495.24
2024-06-14 00:00:00+00:00,0.693,0.747,0.732,0.704,143329.099
2024-06-15 00:00:00+00:00,0.701,0.732,0.701,0.712,82961.002
2024-06-16 00:00:00+00:00,0.702,0.729,0.712,0.72,94616.564
2024-06-17 00:00:00+00:00,0.64,0.725,0.719,0.658,281224.78
2024-06-18 00:00:00+00:00,0.572,0.658,0.658,0.598,554228.226
2024-06-19 00:00:00+00:00,0.591,0.631,0.598,0.624,167220.769
2024-06-20 00:00:00+00:00,0.625,0.667,0.626,0.633,230140.881
2024-06-21 00:00:00+00:00,0.621,0.649,0.631,0.629,114335.557
2024-06-22 00:00:00+00:00,0.621,0.634,0.628,0.624,122787.609
2024-06-23 00:00:00+00:00,0.612,0.638,0.625,0.616,108923.72
2024-06-24 00:00:00+00:00,0.586,0.626,0.616,0.623,538838.932
2024-06-25 00:00:00+00:00,0.616,0.645,0.622,0.641,197367.376
2024-06-26 00:00:00+00:00,0.611,0.647,0.639,0.614,324142.109
2024-06-27 00:00:00+00:00,0.6,0.633,0.614,0.625,164898.516
2024-06-28 00:00:00+00:00,0.611,0.647,0.624,0.612,209217.189
2024-06-29 00:00:00+00:00,0.6,0.632,0.611,0.603,148300.286
2024-06-30 00:00:00+00:00,0.597,0.634,0.603,0.629,165057.768
2024-07-01 00:00:00+00:00,0.615,0.644,0.63,0.618,154960.686
2024-07-02 00:00:00+00:00,0.611,0.628,0.619,0.623,125438.48
2024-07-03 00:00:00+00:00,0.591,0.627,0.624,0.598,418198.275
2024-07-04 00:00:00+00:00,0.531,0.603,0.599,0.535,370145.397
2024-07-05 00:00:00+00:00,0.47,0.531,0.531,0.51,423554.937
2024-07-06 00:00:00+00:00,0.503,0.547,0.509,0.544,149927.887
2024-07-07 00:00:00+00:00,0.504,0.543,0.541,0.506,183299.54
2024-07-08 00:00:00+00:00,0.487,0.541,0.505,0.523,171611.182
2024-07-09 00:00:00+00:00,0.52,0.548,0.524,0.544,126216.752
2024-07-10 00:00:00+00:00,0.539,0.559,0.541,0.552,73520.063
2024-07-11 00:00:00+00:00,0.542,0.57,0.554,0.544,86658.044
2024-07-12 00:00:00+00:00,0.536,0.557,0.545,0.556,90473.531
2024-07-13 00:00:00+00:00,0.555,0.576,0.557,0.573,140116.478
2024-07-14 00:00:00+00:00,0.565,0.584,0.571,0.583,93695.175
2024-07-15 00:00:00+00:00,0.584,0.625,0.584,0.625,233328.25
2024-07-16 00:00:00+00:00,0.59,0.629,0.625,0.617,228221.048
