time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.1974,0.2073,0.2062,0.2001,792218.53
2024-06-11 00:00:00+00:00,0.186,0.2003,0.2001,0.1893,2279774.51
2024-06-12 00:00:00+00:00,0.1848,0.2058,0.1893,0.2004,3067269.79
2024-06-13 00:00:00+00:00,0.1907,0.2004,0.1999,0.194,671647.84
2024-06-14 00:00:00+00:00,0.1857,0.1987,0.1947,0.1917,1215081.11
2024-06-15 00:00:00+00:00,0.19,0.1945,0.1914,0.1945,402826.88
2024-06-16 00:00:00+00:00,0.19,0.1955,0.1946,0.1938,276584.03
2024-06-17 00:00:00+00:00,0.1721,0.195,0.1937,0.1726,1859349.43
2024-06-18 00:00:00+00:00,0.1461,0.1724,0.1724,0.1576,3143999.75
2024-06-19 00:00:00+00:00,0.1557,0.1656,0.1574,0.1634,1181768.29
2024-06-20 00:00:00+00:00,0.1623,0.1716,0.163,0.1659,879845.66
2024-06-21 00:00:00+00:00,0.1619,0.1704,0.1657,0.1645,1128296.04
2024-06-22 00:00:00+00:00,0.1615,0.1652,0.1648,0.1623,172762.98
2024-06-23 00:00:00+00:00,0.1574,0.1652,0.1623,0.1592,247996.09
2024-06-24 00:00:00+00:00,0.149,0.1643,0.1598,0.1641,1630495.33
2024-06-25 00:00:00+00:00,0.1627,0.1707,0.1634,0.1676,1002499.4
2024-06-26 00:00:00+00:00,0.1613,0.1694,0.1674,0.1635,755946.59
2024-06-27 00:00:00+00:00,0.1621,0.1706,0.1636,0.1687,519675.7
2024-06-28 00:00:00+00:00,0.1638,0.1711,0.1686,0.1642,519152.86
2024-06-29 00:00:00+00:00,0.1614,0.1686,0.1641,0.1622,301324.76
2024-06-30 00:00:00+00:00,0.1589,0.1649,0.1622,0.1639,365847.32
2024-07-01 00:00:00+00:00,0.157,0.1668,0.1635,0.1607,442586.48
2024-07-02 00:00:00+00:00,0.1582,0.1631,0.1608,0.1613,496406.85
2024-07-03 00:00:00+00:00,0.1531,0.1619,0.1612,0.1546,717829.98
