time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,1.3,1.38,1.36,1.32,71412.14
2024-06-11 00:00:00+00:00,1.21,1.33,1.31,1.25,109532.14
2024-06-12 00:00:00+00:00,1.2,1.35,1.24,1.3,100814.76
2024-06-13 00:00:00+00:00,1.23,1.29,1.29,1.24,31292.99
2024-06-14 00:00:00+00:00,1.14,1.25,1.25,1.17,105411.23
2024-06-15 00:00:00+00:00,1.15,1.2,1.17,1.15,38336.82
2024-06-16 00:00:00+00:00,1.13,1.18,1.15,1.16,31371.06
2024-06-17 00:00:00+00:00,1.02,1.18,1.17,1.07,121798.23
2024-06-18 00:00:00+00:00,0.91,1.07,1.07,0.96,355571.56
2024-06-19 00:00:00+00:00,0.95,1.02,0.96,0.99,124439.22
2024-06-20 00:00:00+00:00,0.98,1.1,1.0,1.0,196937.27
2024-06-21 00:00:00+00:00,0.97,1.02,1.0,0.99,106605.86
2024-06-22 00:00:00+00:00,0.96,1.01,0.98,1.0,39142.92
2024-06-23 00:00:00+00:00,0.94,1.02,1.0,0.94,107004.49
2024-06-24 00:00:00+00:00,0.9,0.98,0.95,0.98,190012.21
2024-06-25 00:00:00+00:00,0.96,1.02,0.98,1.0,68743.47
2024-06-26 00:00:00+00:00,0.95,1.01,1.0,0.98,90709.54
2024-06-27 00:00:00+00:00,0.95,1.01,0.98,1.0,94446.92
2024-06-28 00:00:00+00:00,0.97,1.02,1.01,0.97,106415.19
2024-06-29 00:00:00+00:00,0.95,0.99,0.98,0.96,25437.78
2024-06-30 00:00:00+00:00,0.94,1.03,0.96,1.02,90894.88
2024-07-01 00:00:00+00:00,0.99,1.06,1.01,0.99,237196.36
2024-07-02 00:00:00+00:00,0.95,1.01,1.0,0.96,138462.39
2024-07-03 00:00:00+00:00,0.9,0.98,0.96,0.9,109859.4
2024-07-04 00:00:00+00:00,0.81,0.91,0.9,0.81,194927.1
2024-07-05 00:00:00+00:00,0.68,0.81,0.81,0.76,378717.34
2024-07-06 00:00:00+00:00,0.75,0.83,0.76,0.82,266236.65
2024-07-07 00:00:00+00:00,0.77,0.82,0.81,0.77,62563.3
2024-07-08 00:00:00+00:00,0.75,0.83,0.78,0.81,140105.13
2024-07-09 00:00:00+00:00,0.79,0.83,0.8,0.83,112073.45
2024-07-10 00:00:00+00:00,0.8,0.84,0.81,0.81,97221.18
2024-07-11 00:00:00+00:00,0.79,0.85,0.81,0.8,313943.56
2024-07-12 00:00:00+00:00,0.78,0.82,0.8,0.81,376769.54
2024-07-13 00:00:00+00:00,0.8,0.83,0.81,0.82,251926.1
2024-07-14 00:00:00+00:00,0.81,0.87,0.82,0.86,258513.2
2024-07-15 00:00:00+00:00,0.84,0.89,0.87,0.89,417216.01
2024-07-16 00:00:00+00:00,0.84,0.94,0.89,0.88,559254.15
2024-07-17 00:00:00+00:00,0.86,0.92,0.88,0.86,451816.12
2024-07-18 00:00:00+00:00,0.83,0.9,0.86,0.85,383417.59
2024-07-19 00:00:00+00:00,0.83,0.89,0.86,0.87,332474.67
2024-07-20 00:00:00+00:00,0.86,0.94,0.87,0.91,344150.7
2024-07-21 00:00:00+00:00,0.88,0.94,0.91,0.92,279712.78
2024-07-22 00:00:00+00:00,0.84,0.93,0.92,0.85,406673.61
2024-07-23 00:00:00+00:00,0.78,0.91,0.85,0.88,478123.35
2024-07-24 00:00:00+00:00,0.87,0.96,0.88,0.92,730570.64
2024-07-25 00:00:00+00:00,0.89,0.98,0.91,0.95,712019.53
2024-07-26 00:00:00+00:00,0.93,0.98,0.95,0.97,404383.61
2024-07-27 00:00:00+00:00,0.9,0.99,0.98,0.97,263859.78
