time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,3.351,4.594,4.575,3.741,5134727.68
2024-06-11 00:00:00+00:00,2.805,3.955,3.742,3.063,6866347.69
2024-06-12 00:00:00+00:00,2.757,3.5,3.065,2.931,4308841.47
2024-06-13 00:00:00+00:00,2.661,2.984,2.931,2.711,1897822.01
2024-06-14 00:00:00+00:00,2.521,2.86,2.72,2.701,2407443.26
2024-06-15 00:00:00+00:00,2.568,2.916,2.703,2.737,2015530.73
2024-06-16 00:00:00+00:00,2.609,2.795,2.731,2.769,1435847.67
2024-06-17 00:00:00+00:00,2.326,2.842,2.769,2.388,2829423.21
2024-06-18 00:00:00+00:00,1.977,2.408,2.387,2.129,2943769.5
2024-06-19 00:00:00+00:00,2.008,2.192,2.129,2.059,1261613.99
2024-06-20 00:00:00+00:00,1.989,2.174,2.055,2.001,953694.9
2024-06-21 00:00:00+00:00,1.928,2.089,2.001,1.969,1155026.73
2024-06-22 00:00:00+00:00,1.902,2.056,1.963,1.995,686100.78
2024-06-23 00:00:00+00:00,1.885,2.108,1.993,1.912,985847.13
2024-06-24 00:00:00+00:00,1.811,2.02,1.914,2.012,984746.49
2024-06-25 00:00:00+00:00,1.975,2.072,2.007,2.026,556720.45
2024-06-26 00:00:00+00:00,1.92,2.065,2.021,1.963,705581.71
2024-06-27 00:00:00+00:00,1.9,2.045,1.961,2.004,415225.46
2024-06-28 00:00:00+00:00,1.854,2.022,2.002,1.858,731530.17
2024-06-29 00:00:00+00:00,1.805,1.893,1.857,1.833,530677.17
2024-06-30 00:00:00+00:00,1.805,1.921,1.832,1.907,345141.48
2024-07-01 00:00:00+00:00,1.829,1.945,1.906,1.852,435562.27
2024-07-02 00:00:00+00:00,1.811,1.887,1.849,1.841,300755.67
2024-07-03 00:00:00+00:00,1.664,1.861,1.844,1.722,946167.68
2024-07-04 00:00:00+00:00,1.432,1.73,1.718,1.461,911279.14
2024-07-05 00:00:00+00:00,1.194,1.465,1.464,1.285,1997701.09
2024-07-06 00:00:00+00:00,1.273,1.614,1.277,1.565,2857652.24
2024-07-07 00:00:00+00:00,1.438,1.58,1.564,1.449,1472219.28
2024-07-08 00:00:00+00:00,1.387,1.55,1.46,1.493,2568954.19
2024-07-09 00:00:00+00:00,1.453,1.547,1.492,1.538,1162601.58
2024-07-10 00:00:00+00:00,1.491,1.603,1.538,1.552,953776.28
2024-07-11 00:00:00+00:00,1.44,1.568,1.55,1.449,542391.42
2024-07-12 00:00:00+00:00,1.413,1.472,1.452,1.438,871686.79
