time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.0741,0.0769,0.0755,0.0761,2085610.9
2024-06-11 00:00:00+00:00,0.0731,0.081,0.0759,0.0749,5137700.3
2024-06-12 00:00:00+00:00,0.073,0.08,0.0745,0.0771,5994572.1
2024-06-13 00:00:00+00:00,0.0734,0.0771,0.0768,0.076,2596881.2
2024-06-14 00:00:00+00:00,0.0738,0.0768,0.0761,0.0756,3217293.4
2024-06-15 00:00:00+00:00,0.069,0.0762,0.0756,0.0707,5461976.3
2024-06-16 00:00:00+00:00,0.069,0.0713,0.0705,0.0691,1917918.4
2024-06-17 00:00:00+00:00,0.0613,0.0694,0.0691,0.0665,7188857.9
2024-06-18 00:00:00+00:00,0.0579,0.0666,0.0666,0.0606,3867356.3
2024-06-19 00:00:00+00:00,0.0602,0.0648,0.0606,0.0611,1763077.0
2024-06-20 00:00:00+00:00,0.0583,0.0622,0.0612,0.0588,1288302.9
2024-06-21 00:00:00+00:00,0.056,0.0585,0.0585,0.0578,2803266.6
2024-06-22 00:00:00+00:00,0.0571,0.0694,0.0575,0.0659,6127937.1
2024-06-23 00:00:00+00:00,0.0588,0.068,0.0656,0.06,6872106.8
2024-06-24 00:00:00+00:00,0.0538,0.0605,0.0603,0.0567,3774077.1
2024-06-25 00:00:00+00:00,0.0559,0.0589,0.0569,0.0581,2758796.5
2024-06-26 00:00:00+00:00,0.0552,0.0591,0.0582,0.0552,2975218.6
2024-06-27 00:00:00+00:00,0.0534,0.0567,0.0552,0.0545,2628041.0
2024-06-28 00:00:00+00:00,0.0535,0.0579,0.0547,0.0539,3274362.0
2024-06-29 00:00:00+00:00,0.0539,0.0553,0.0539,0.0542,1159827.0
2024-06-30 00:00:00+00:00,0.0527,0.0558,0.0545,0.055,2021982.4
2024-07-01 00:00:00+00:00,0.0547,0.0599,0.055,0.0568,10468747.0
2024-07-02 00:00:00+00:00,0.0562,0.0591,0.0567,0.0576,3203957.7
2024-07-03 00:00:00+00:00,0.0565,0.0788,0.0576,0.0729,27688334.1
2024-07-04 00:00:00+00:00,0.065,0.0875,0.0729,0.0765,62488179.3
2024-07-05 00:00:00+00:00,0.063,0.0798,0.0763,0.0661,12609833.0
2024-07-06 00:00:00+00:00,0.0589,0.0663,0.0662,0.0617,11891924.0
2024-07-07 00:00:00+00:00,0.0548,0.0621,0.0616,0.0558,7842993.9
2024-07-08 00:00:00+00:00,0.0548,0.0585,0.0558,0.0577,3810247.8
2024-07-09 00:00:00+00:00,0.0564,0.0645,0.0579,0.063,6530638.9
2024-07-10 00:00:00+00:00,0.0632,0.0829,0.0634,0.0712,25132643.4
2024-07-11 00:00:00+00:00,0.0628,0.0747,0.0716,0.0641,11555070.5
2024-07-12 00:00:00+00:00,0.0617,0.0699,0.0643,0.0654,4194686.4
2024-07-13 00:00:00+00:00,0.0595,0.0662,0.0657,0.0638,6095633.8
2024-07-14 00:00:00+00:00,0.0598,0.0673,0.0636,0.0642,6964101.7
2024-07-15 00:00:00+00:00,0.0625,0.0689,0.0642,0.0674,7242547.9
2024-07-16 00:00:00+00:00,0.0649,0.0782,0.0675,0.0768,7930452.2
2024-07-17 00:00:00+00:00,0.0719,0.081,0.0771,0.0737,10522438.9
2024-07-18 00:00:00+00:00,0.0668,0.074,0.0739,0.0692,5087906.4
2024-07-19 00:00:00+00:00,0.0665,0.0768,0.0691,0.0729,4883386.9
2024-07-20 00:00:00+00:00,0.0706,0.0746,0.0731,0.0716,2375559.1
