time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,10.559,11.5,11.027,11.092,868973.5268
2024-06-11 00:00:00+00:00,9.811,11.191,11.091,10.079,1024150.3668
2024-06-12 00:00:00+00:00,9.83,10.846,10.07,10.496,622528.4718
2024-06-13 00:00:00+00:00,9.668,10.523,10.496,9.815,631629.2755
2024-06-14 00:00:00+00:00,9.055,9.901,9.819,9.302,587497.3816
2024-06-15 00:00:00+00:00,9.001,9.376,9.304,9.103,434752.0513
2024-06-16 00:00:00+00:00,9.015,9.803,9.104,9.611,635346.1072
2024-06-17 00:00:00+00:00,8.515,9.68,9.616,8.872,644171.6376
2024-06-18 00:00:00+00:00,7.612,8.895,8.871,8.116,1087442.106
2024-06-19 00:00:00+00:00,8.02,8.49,8.101,8.381,443053.8168
2024-06-20 00:00:00+00:00,8.19,8.767,8.352,8.262,427359.7384
2024-06-21 00:00:00+00:00,8.01,8.488,8.262,8.39,350199.1507
2024-06-22 00:00:00+00:00,8.154,8.39,8.39,8.188,219985.8904
2024-06-23 00:00:00+00:00,7.815,8.35,8.19,7.885,337352.0488
2024-06-24 00:00:00+00:00,7.58,8.074,7.885,8.02,644217.4162
2024-06-25 00:00:00+00:00,7.971,8.373,8.02,8.287,447720.3107
2024-06-26 00:00:00+00:00,8.057,8.374,8.287,8.119,249277.5621
2024-06-27 00:00:00+00:00,7.963,8.322,8.119,8.248,355072.1613
2024-06-28 00:00:00+00:00,7.856,8.305,8.248,7.891,390646.5103
2024-06-29 00:00:00+00:00,7.851,8.04,7.891,7.926,198959.3781
2024-06-30 00:00:00+00:00,7.777,8.205,7.926,8.162,259069.471
2024-07-01 00:00:00+00:00,8.046,8.345,8.163,8.06,348274.0595
2024-07-02 00:00:00+00:00,7.827,8.141,8.061,7.856,616927.5139
2024-07-03 00:00:00+00:00,7.25,7.884,7.856,7.321,644675.222
2024-07-04 00:00:00+00:00,6.609,7.325,7.321,6.682,1014448.9274
2024-07-05 00:00:00+00:00,5.817,6.897,6.681,6.822,1441592.5561
2024-07-06 00:00:00+00:00,6.695,7.561,6.822,7.555,703049.6124
2024-07-07 00:00:00+00:00,6.868,7.658,7.556,6.924,823993.0577
2024-07-08 00:00:00+00:00,6.632,7.38,6.923,6.832,1065145.3643
2024-07-09 00:00:00+00:00,6.75,7.308,6.832,7.24,609162.9169
2024-07-10 00:00:00+00:00,7.094,7.396,7.24,7.219,471559.7061
2024-07-11 00:00:00+00:00,7.134,7.71,7.213,7.359,499521.9979
2024-07-12 00:00:00+00:00,7.033,7.491,7.365,7.324,363848.1685
2024-07-13 00:00:00+00:00,7.314,8.553,7.324,8.459,1156053.0807
2024-07-14 00:00:00+00:00,8.43,9.018,8.46,8.621,926879.4406
2024-07-15 00:00:00+00:00,8.623,10.0,8.624,9.726,1168508.134
2024-07-16 00:00:00+00:00,9.255,9.853,9.729,9.64,1051722.9167
2024-07-17 00:00:00+00:00,9.54,10.454,9.64,10.246,1278681.6232
2024-07-18 00:00:00+00:00,9.541,10.46,10.266,9.668,627453.4219
2024-07-19 00:00:00+00:00,9.341,10.258,9.671,10.144,748536.3225
2024-07-20 00:00:00+00:00,10.051,10.648,10.183,10.348,679478.9797
2024-07-21 00:00:00+00:00,9.935,10.845,10.343,10.723,657249.9208
2024-07-22 00:00:00+00:00,10.056,10.976,10.746,10.156,721296.524
2024-07-23 00:00:00+00:00,9.49,10.252,10.151,9.615,554039.3538
2024-07-24 00:00:00+00:00,9.279,10.114,9.641,9.503,497436.0675
2024-07-25 00:00:00+00:00,9.312,9.924,9.508,9.917,646116.8182
2024-07-26 00:00:00+00:00,9.53,10.0,9.91,9.712,786989.5689
2024-07-27 00:00:00+00:00,9.412,10.124,9.7,9.681,608109.3945
2024-07-28 00:00:00+00:00,9.235,9.8,9.667,9.347,331910.3421
2024-07-29 00:00:00+00:00,8.916,9.753,9.354,8.934,420410.5579
2024-07-30 00:00:00+00:00,8.722,9.187,8.945,8.822,448522.9484
2024-07-31 00:00:00+00:00,8.755,9.535,8.816,8.945,570170.6009
2024-08-01 00:00:00+00:00,8.364,9.0,8.951,8.886,587302.9512
2024-08-02 00:00:00+00:00,8.214,9.268,8.881,8.292,753574.1119
2024-08-03 00:00:00+00:00,7.6,8.396,8.286,7.759,959429.2214
2024-08-04 00:00:00+00:00,7.07,7.927,7.754,7.326,772369.4426
2024-08-05 00:00:00+00:00,6.272,7.41,7.324,7.059,1975835.0493
2024-08-06 00:00:00+00:00,7.044,7.843,7.061,7.673,1025670.1199
2024-08-07 00:00:00+00:00,6.927,7.775,7.667,7.005,900369.9499
2024-08-08 00:00:00+00:00,6.932,7.731,7.02,7.705,1096212.3168
2024-08-09 00:00:00+00:00,7.261,7.694,7.693,7.443,514317.5265
2024-08-10 00:00:00+00:00,7.217,7.597,7.444,7.36,435951.0716
2024-08-11 00:00:00+00:00,6.798,7.494,7.359,6.826,447321.4011
2024-08-12 00:00:00+00:00,6.824,7.33,6.827,7.287,753502.3849
2024-08-13 00:00:00+00:00,6.919,7.427,7.284,7.372,440888.7668
2024-08-14 00:00:00+00:00,7.049,7.446,7.367,7.133,554136.4897
2024-08-15 00:00:00+00:00,6.837,7.299,7.131,6.944,473824.4718
2024-08-16 00:00:00+00:00,6.827,7.184,6.935,7.009,437936.7249
2024-08-17 00:00:00+00:00,6.975,7.283,7.011,7.278,263912.3491
2024-08-18 00:00:00+00:00,7.129,7.381,7.284,7.148,298661.3963
2024-08-19 00:00:00+00:00,6.962,7.248,7.145,7.227,365403.5912
2024-08-20 00:00:00+00:00,7.131,7.457,7.226,7.261,403061.3621
2024-08-21 00:00:00+00:00,7.204,7.817,7.265,7.689,593609.3617
2024-08-22 00:00:00+00:00,7.557,8.129,7.696,8.029,468128.9084
2024-08-23 00:00:00+00:00,8.032,8.74,8.038,8.687,682550.0312
2024-08-24 00:00:00+00:00,8.473,8.95,8.689,8.698,483693.2111
2024-08-25 00:00:00+00:00,8.259,8.732,8.696,8.516,401674.6642
2024-08-26 00:00:00+00:00,7.995,8.609,8.519,8.079,366808.9232
2024-08-27 00:00:00+00:00,7.622,8.296,8.089,7.723,569861.59
2024-08-28 00:00:00+00:00,7.517,7.992,7.724,7.757,311445.6735
2024-08-29 00:00:00+00:00,7.694,8.206,7.765,7.796,382955.8292
2024-08-30 00:00:00+00:00,7.331,7.873,7.789,7.623,368321.2752
2024-08-31 00:00:00+00:00,7.44,7.719,7.614,7.564,247138.0972
2024-09-01 00:00:00+00:00,7.093,7.578,7.555,7.193,227911.6174
2024-09-02 00:00:00+00:00,7.117,7.553,7.186,7.527,282180.3887
2024-09-03 00:00:00+00:00,7.146,7.643,7.52,7.156,351570.7622
2024-09-04 00:00:00+00:00,6.892,7.758,7.165,7.567,502000.5665
2024-09-05 00:00:00+00:00,7.134,7.638,7.563,7.232,409344.3765
2024-09-06 00:00:00+00:00,6.8,7.321,7.228,7.023,582898.0168
2024-09-07 00:00:00+00:00,6.995,7.225,7.018,7.058,296855.8113
2024-09-08 00:00:00+00:00,7.054,7.502,7.059,7.418,219429.193
2024-09-09 00:00:00+00:00,7.395,7.859,7.428,7.781,320072.2067
2024-09-10 00:00:00+00:00,7.682,9.104,7.788,8.933,825409.7426
2024-09-11 00:00:00+00:00,8.37,8.96,8.95,8.667,905935.2523
2024-09-12 00:00:00+00:00,8.365,8.733,8.67,8.51,543829.4073
2024-09-13 00:00:00+00:00,8.16,8.738,8.508,8.622,516359.5631
2024-09-14 00:00:00+00:00,8.524,8.9,8.624,8.654,348292.3069
2024-09-15 00:00:00+00:00,8.217,8.8,8.648,8.33,349078.7467
2024-09-16 00:00:00+00:00,7.887,8.322,8.322,8.025,449567.1692
2024-09-17 00:00:00+00:00,7.82,8.284,8.018,7.906,409871.9762
2024-09-18 00:00:00+00:00,7.595,8.202,7.909,8.198,511132.2211
2024-09-19 00:00:00+00:00,7.994,8.418,8.193,8.089,583183.7617
2024-09-20 00:00:00+00:00,7.919,8.707,8.094,8.487,594081.6767
2024-09-21 00:00:00+00:00,8.244,8.602,8.484,8.53,361417.5433
2024-09-22 00:00:00+00:00,8.028,8.567,8.533,8.248,338024.0873
2024-09-23 00:00:00+00:00,8.069,8.732,8.251,8.704,605517.3106
2024-09-24 00:00:00+00:00,8.554,9.559,8.706,9.396,931780.6113
2024-09-25 00:00:00+00:00,9.016,9.537,9.391,9.053,536503.7164
2024-09-26 00:00:00+00:00,8.97,9.731,9.053,9.515,580536.0718
2024-09-27 00:00:00+00:00,9.31,9.995,9.5,9.87,599674.8939
2024-09-28 00:00:00+00:00,9.526,10.047,9.888,9.682,248618.6453
2024-09-29 00:00:00+00:00,9.463,9.85,9.662,9.536,238689.7783
2024-09-30 00:00:00+00:00,8.907,9.598,9.536,8.989,398241.822
2024-10-01 00:00:00+00:00,8.074,9.419,8.992,8.33,593621.4747
2024-10-02 00:00:00+00:00,7.859,8.506,8.322,7.986,451023.0292
2024-10-03 00:00:00+00:00,7.688,8.169,7.988,8.02,489866.4028
2024-10-04 00:00:00+00:00,7.984,8.443,8.024,8.36,403022.4865
2024-10-05 00:00:00+00:00,8.068,8.375,8.356,8.208,146740.1288
2024-10-06 00:00:00+00:00,8.136,8.523,8.201,8.519,166057.2401
2024-10-07 00:00:00+00:00,8.031,8.654,8.52,8.051,417683.9755
2024-10-08 00:00:00+00:00,7.906,8.195,8.048,7.969,309823.1648
2024-10-09 00:00:00+00:00,7.735,8.102,7.987,7.817,274978.2854
2024-10-10 00:00:00+00:00,7.703,8.076,7.816,8.012,313847.5547
2024-10-11 00:00:00+00:00,7.97,8.269,8.016,8.148,350027.3666
