time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,4.51,4.68,4.57,4.59,24248.913
2024-06-11 00:00:00+00:00,4.2,4.63,4.59,4.34,25274.858
2024-06-12 00:00:00+00:00,4.3,4.75,4.32,4.51,87365.342
2024-06-13 00:00:00+00:00,4.22,4.57,4.53,4.31,18240.759
2024-06-14 00:00:00+00:00,3.87,4.42,4.29,4.08,51647.21
2024-06-15 00:00:00+00:00,4.07,4.23,4.11,4.13,22569.516
2024-06-16 00:00:00+00:00,3.92,4.22,4.17,4.04,55926.574
2024-06-17 00:00:00+00:00,3.86,4.04,4.03,3.89,36128.843
2024-06-18 00:00:00+00:00,3.52,3.89,3.88,3.69,54821.648
2024-06-19 00:00:00+00:00,3.65,3.84,3.68,3.75,18579.622
2024-06-20 00:00:00+00:00,3.69,3.82,3.75,3.7,17165.314
2024-06-21 00:00:00+00:00,3.53,3.7,3.69,3.67,12244.706
2024-06-22 00:00:00+00:00,3.55,3.67,3.67,3.56,36565.392
2024-06-23 00:00:00+00:00,3.43,3.6,3.55,3.43,23449.198
2024-06-24 00:00:00+00:00,3.07,3.47,3.43,3.22,75869.495
2024-06-25 00:00:00+00:00,3.1,3.3,3.24,3.16,32921.792
2024-06-26 00:00:00+00:00,2.97,3.18,3.16,3.04,72563.741
2024-06-27 00:00:00+00:00,3.04,3.19,3.09,3.1,27142.731
2024-06-28 00:00:00+00:00,3.03,3.18,3.11,3.06,25342.035
2024-06-29 00:00:00+00:00,3.03,3.11,3.04,3.05,13141.748
2024-06-30 00:00:00+00:00,3.0,3.14,3.05,3.11,26275.317
2024-07-01 00:00:00+00:00,3.09,3.46,3.12,3.32,60704.257
2024-07-02 00:00:00+00:00,3.23,3.35,3.3,3.27,9625.784
2024-07-03 00:00:00+00:00,3.07,3.65,3.26,3.17,115192.048
2024-07-04 00:00:00+00:00,2.94,3.58,3.15,2.99,103298.813
2024-07-05 00:00:00+00:00,2.66,2.99,2.98,2.77,57919.928
2024-07-06 00:00:00+00:00,2.76,3.15,2.78,3.07,37036.632
2024-07-07 00:00:00+00:00,3.05,3.29,3.07,3.14,59183.723
2024-07-08 00:00:00+00:00,3.0,3.25,3.13,3.14,31493.328
2024-07-09 00:00:00+00:00,2.91,3.17,3.14,2.96,61121.224
2024-07-10 00:00:00+00:00,2.96,3.21,2.96,3.17,49583.051
2024-07-11 00:00:00+00:00,3.13,3.31,3.18,3.21,45485.767
2024-07-12 00:00:00+00:00,3.19,3.31,3.22,3.23,28214.491
2024-07-13 00:00:00+00:00,3.16,3.26,3.23,3.21,28761.888
2024-07-14 00:00:00+00:00,3.19,3.29,3.2,3.2,33918.289
2024-07-15 00:00:00+00:00,3.15,3.37,3.21,3.33,81818.306
2024-07-16 00:00:00+00:00,3.07,3.36,3.34,3.18,31580.554
2024-07-17 00:00:00+00:00,3.14,3.5,3.19,3.43,61166.61
2024-07-18 00:00:00+00:00,3.31,3.47,3.43,3.37,35070.821
2024-07-19 00:00:00+00:00,3.31,3.61,3.37,3.54,39195.193
2024-07-20 00:00:00+00:00,3.38,3.57,3.52,3.43,26537.35
2024-07-21 00:00:00+00:00,3.37,3.51,3.43,3.44,14969.774
2024-07-22 00:00:00+00:00,3.41,3.52,3.43,3.41,8120.574
2024-07-23 00:00:00+00:00,3.32,3.57,3.44,3.44,19329.035
2024-07-24 00:00:00+00:00,3.28,3.48,3.44,3.32,33683.777
2024-07-25 00:00:00+00:00,3.19,3.42,3.33,3.39,34581.303
2024-07-26 00:00:00+00:00,3.22,3.46,3.42,3.3,32329.159
2024-07-27 00:00:00+00:00,2.83,3.33,3.25,3.01,136341.364
2024-07-28 00:00:00+00:00,2.98,3.2,3.02,3.07,68152.723
2024-07-29 00:00:00+00:00,2.93,3.23,3.07,3.03,108083.204
2024-07-30 00:00:00+00:00,2.87,3.03,3.02,2.95,40804.322
2024-07-31 00:00:00+00:00,2.91,3.11,2.96,2.94,45590.64
2024-08-01 00:00:00+00:00,2.83,3.02,2.99,2.9,24621.41
2024-08-02 00:00:00+00:00,2.65,2.89,2.89,2.7,49413.642
2024-08-03 00:00:00+00:00,2.45,2.75,2.69,2.62,36507.924
2024-08-04 00:00:00+00:00,2.39,2.63,2.6,2.52,77072.787
2024-08-05 00:00:00+00:00,1.7,2.5,2.5,2.25,291199.785
2024-08-06 00:00:00+00:00,2.21,2.38,2.27,2.33,35931.525
2024-08-07 00:00:00+00:00,2.0,2.53,2.32,2.09,88298.603
2024-08-08 00:00:00+00:00,2.08,3.03,2.14,2.77,358628.56
2024-08-09 00:00:00+00:00,2.39,2.84,2.77,2.5,109331.53
2024-08-10 00:00:00+00:00,2.45,2.65,2.5,2.49,54964.399
2024-08-11 00:00:00+00:00,2.29,2.52,2.5,2.37,72013.145
2024-08-12 00:00:00+00:00,2.35,2.68,2.37,2.55,71908.212
2024-08-13 00:00:00+00:00,2.49,3.01,2.56,2.65,178727.415
2024-08-14 00:00:00+00:00,2.48,2.86,2.65,2.66,131758.577
2024-08-15 00:00:00+00:00,2.51,2.73,2.72,2.57,40573.003
2024-08-16 00:00:00+00:00,2.51,2.68,2.56,2.6,54742.722
2024-08-17 00:00:00+00:00,2.57,2.71,2.59,2.71,9578.738
2024-08-18 00:00:00+00:00,2.66,2.75,2.71,2.67,23731.262
2024-08-19 00:00:00+00:00,2.68,2.98,2.69,2.96,30338.555
2024-08-20 00:00:00+00:00,2.88,3.05,2.96,3.0,61518.875
2024-08-21 00:00:00+00:00,2.97,3.12,3.0,3.07,42841.213
