time,low,high,open,close,volume
2024-10-09 00:00:00+00:00,1.732,1.858,1.858,1.769,87355.67
2024-10-10 00:00:00+00:00,1.639,1.797,1.768,1.718,268107.74
2024-10-11 00:00:00+00:00,1.708,1.955,1.716,1.892,552575.87
2024-10-12 00:00:00+00:00,1.821,2.07,1.897,1.887,434391.62
2024-10-13 00:00:00+00:00,1.784,1.944,1.921,1.883,167542.18
2024-10-14 00:00:00+00:00,1.853,2.143,1.883,2.079,603076.71
2024-10-15 00:00:00+00:00,1.936,2.193,2.085,2.028,499102.43
2024-10-16 00:00:00+00:00,1.874,2.031,2.03,1.893,201049.5
2024-10-17 00:00:00+00:00,1.762,1.922,1.895,1.809,140604.64
2024-10-18 00:00:00+00:00,1.803,1.936,1.808,1.89,408768.15
2024-10-19 00:00:00+00:00,1.799,1.919,1.891,1.853,245197.19
2024-10-20 00:00:00+00:00,1.812,1.994,1.859,1.964,386417.36
2024-10-21 00:00:00+00:00,1.842,2.014,1.961,1.857,214838.02
2024-10-22 00:00:00+00:00,1.808,1.928,1.859,1.895,189844.71
2024-10-23 00:00:00+00:00,1.747,1.904,1.899,1.831,146180.28
2024-10-24 00:00:00+00:00,1.821,2.083,1.83,1.956,570581.6
2024-10-25 00:00:00+00:00,1.625,2.0,1.942,1.697,582555.52
2024-10-26 00:00:00+00:00,1.649,1.76,1.704,1.715,418699.31
2024-10-27 00:00:00+00:00,1.705,1.818,1.716,1.761,304909.93
2024-10-28 00:00:00+00:00,1.585,1.785,1.762,1.75,629301.25
2024-10-29 00:00:00+00:00,1.733,1.849,1.75,1.826,245886.58
2024-10-30 00:00:00+00:00,1.735,1.836,1.836,1.751,220141.74
2024-10-31 00:00:00+00:00,1.615,1.761,1.753,1.634,245072.32
2024-11-01 00:00:00+00:00,1.549,1.669,1.636,1.59,261105.47
2024-11-02 00:00:00+00:00,1.516,1.608,1.593,1.545,190510.17
2024-11-03 00:00:00+00:00,1.414,1.555,1.547,1.509,238985.85
2024-11-04 00:00:00+00:00,1.419,1.545,1.508,1.467,257094.01
2024-11-05 00:00:00+00:00,1.467,1.586,1.476,1.55,131253.8
2024-11-06 00:00:00+00:00,1.557,1.92,1.558,1.882,472300.07
2024-11-07 00:00:00+00:00,1.815,1.99,1.888,1.922,245408.67
2024-11-08 00:00:00+00:00,1.871,2.068,1.929,1.979,335687.26
2024-11-09 00:00:00+00:00,1.932,2.063,1.984,2.03,216560.67
2024-11-10 00:00:00+00:00,1.922,2.148,2.024,2.035,550457.58
2024-11-11 00:00:00+00:00,2.017,2.832,2.017,2.648,1063610.52
2024-11-12 00:00:00+00:00,2.283,2.763,2.653,2.459,608959.42
2024-11-13 00:00:00+00:00,2.137,2.522,2.455,2.231,508838.48
2024-11-14 00:00:00+00:00,2.136,2.384,2.229,2.24,385345.42
2024-11-15 00:00:00+00:00,2.11,2.386,2.242,2.351,345126.16
2024-11-16 00:00:00+00:00,2.242,2.52,2.333,2.437,250257.29
2024-11-17 00:00:00+00:00,2.227,2.467,2.427,2.262,314580.57
2024-11-18 00:00:00+00:00,2.213,2.55,2.265,2.386,435481.6
2024-11-19 00:00:00+00:00,2.237,2.406,2.39,2.396,377787.58
2024-11-20 00:00:00+00:00,2.295,2.505,2.392,2.41,587248.29
2024-11-21 00:00:00+00:00,2.172,2.643,2.411,2.613,797470.03
2024-11-22 00:00:00+00:00,2.395,2.661,2.616,2.494,464555.21
2024-11-23 00:00:00+00:00,2.471,2.775,2.49,2.72,544259.96
2024-11-24 00:00:00+00:00,2.432,2.802,2.706,2.771,366781.84
2024-11-25 00:00:00+00:00,2.608,2.907,2.762,2.696,500860.79
2024-11-26 00:00:00+00:00,2.4,2.812,2.702,2.524,440564.55
2024-11-27 00:00:00+00:00,2.486,2.92,2.518,2.871,406182.79
2024-11-28 00:00:00+00:00,2.822,3.142,2.864,3.06,596273.49
2024-11-29 00:00:00+00:00,2.955,3.148,3.044,3.03,224869.75
2024-11-30 00:00:00+00:00,2.998,3.514,3.026,3.489,602716.41
2024-12-01 00:00:00+00:00,3.24,3.495,3.495,3.329,456258.18
2024-12-02 00:00:00+00:00,3.042,3.444,3.336,3.442,429610.05
2024-12-03 00:00:00+00:00,3.131,3.632,3.442,3.467,545736.12
2024-12-04 00:00:00+00:00,3.305,3.549,3.466,3.363,485607.7
