time,low,high,open,close,volume
2025-02-13 00:00:00+00:00,1.734,2.2,1.92,2.067,4480764.33
2025-02-14 00:00:00+00:00,1.798,2.218,2.066,1.906,4806763.25
2025-02-15 00:00:00+00:00,1.429,1.921,1.912,1.472,3460455.71
2025-02-16 00:00:00+00:00,1.366,2.125,1.47,1.728,5744383.02
2025-02-17 00:00:00+00:00,1.603,2.035,1.732,1.92,3923284.63
2025-02-18 00:00:00+00:00,1.814,2.164,1.908,1.95,2621511.72
2025-02-19 00:00:00+00:00,1.902,2.95,1.95,2.784,6555780.97
2025-02-20 00:00:00+00:00,2.663,7.99,2.784,5.668,23306241.03
2025-02-21 00:00:00+00:00,4.228,5.881,5.679,4.564,16960298.94
2025-02-22 00:00:00+00:00,4.15,5.32,4.574,4.412,7103899.19
2025-02-23 00:00:00+00:00,3.658,4.587,4.42,3.989,4998692.12
2025-02-24 00:00:00+00:00,3.781,5.12,3.983,4.528,7618462.12
2025-02-25 00:00:00+00:00,4.413,6.611,4.528,5.715,11699658.76
2025-02-26 00:00:00+00:00,5.327,7.95,5.716,7.055,14325079.0
2025-02-27 00:00:00+00:00,5.434,7.24,7.055,5.686,8075703.51
2025-02-28 00:00:00+00:00,5.194,5.98,5.682,5.485,4874031.4
2025-03-01 00:00:00+00:00,5.065,5.892,5.488,5.168,2808869.25
2025-03-02 00:00:00+00:00,5.171,6.55,5.174,6.206,3703985.16
2025-03-03 00:00:00+00:00,5.476,6.96,6.204,5.486,4161772.4
2025-03-04 00:00:00+00:00,5.005,5.871,5.485,5.496,4258104.29
2025-03-05 00:00:00+00:00,5.112,5.93,5.494,5.379,3304534.0
2025-03-06 00:00:00+00:00,4.962,5.476,5.378,5.163,2915933.44
2025-03-07 00:00:00+00:00,4.496,5.252,5.16,4.606,2583800.34
2025-03-08 00:00:00+00:00,4.562,4.977,4.607,4.755,1401711.24
2025-03-09 00:00:00+00:00,4.662,5.089,4.742,4.948,1169178.31
2025-03-10 00:00:00+00:00,4.789,5.47,4.949,5.173,2032007.49
2025-03-11 00:00:00+00:00,4.992,5.878,5.174,5.45,1886195.74
2025-03-12 00:00:00+00:00,5.337,6.661,5.456,6.353,2095945.43
2025-03-13 00:00:00+00:00,5.571,6.374,6.323,5.732,1279589.76
2025-03-14 00:00:00+00:00,5.591,6.398,5.74,5.904,1057256.19
2025-03-15 00:00:00+00:00,5.66,5.947,5.916,5.674,712806.78
2025-03-16 00:00:00+00:00,5.409,5.742,5.671,5.465,710303.03
2025-03-17 00:00:00+00:00,5.281,5.618,5.467,5.59,816533.2
2025-03-18 00:00:00+00:00,5.127,5.746,5.585,5.334,815703.19
2025-03-19 00:00:00+00:00,5.263,5.647,5.333,5.48,783419.88
2025-03-20 00:00:00+00:00,5.293,5.66,5.479,5.5,820945.7
2025-03-21 00:00:00+00:00,5.46,5.921,5.498,5.64,928785.7
2025-03-22 00:00:00+00:00,5.61,6.1,5.641,5.822,1064418.83
2025-03-23 00:00:00+00:00,5.43,5.975,5.826,5.548,827427.44
2025-03-24 00:00:00+00:00,5.448,6.49,5.544,6.022,1565488.89
2025-03-25 00:00:00+00:00,5.889,6.613,6.023,6.163,1609992.01
2025-03-26 00:00:00+00:00,5.677,6.364,6.156,5.727,769854.17
2025-03-27 00:00:00+00:00,5.56,5.671,5.666,5.592,37359.56
2025-03-28 00:00:00+00:00,5.043,5.829,5.594,5.54,1901388.07
2025-03-29 00:00:00+00:00,5.163,5.542,5.539,5.249,292407.53
2025-03-30 00:00:00+00:00,5.175,5.477,5.247,5.286,309122.28
2025-03-31 00:00:00+00:00,4.598,5.286,5.285,4.784,1732964.1
2025-04-01 00:00:00+00:00,4.542,4.868,4.778,4.547,752101.66
2025-04-02 00:00:00+00:00,4.104,4.738,4.549,4.335,1136391.55
2025-04-03 00:00:00+00:00,4.081,4.515,4.337,4.238,433959.4
2025-04-04 00:00:00+00:00,3.944,4.315,4.242,4.091,344804.6
2025-04-05 00:00:00+00:00,4.081,4.362,4.095,4.266,236094.08
2025-04-06 00:00:00+00:00,3.854,4.348,4.268,4.013,572669.97
2025-04-07 00:00:00+00:00,3.82,4.499,4.017,4.079,791710.34
2025-04-08 00:00:00+00:00,3.919,4.315,4.085,4.087,577560.83
2025-04-09 00:00:00+00:00,3.874,4.687,4.086,4.561,470031.5
2025-04-10 00:00:00+00:00,4.015,4.568,4.558,4.111,301265.28
2025-04-11 00:00:00+00:00,3.95,4.15,4.11,3.969,356161.55
2025-04-12 00:00:00+00:00,3.857,4.315,3.966,4.173,545684.53
2025-04-13 00:00:00+00:00,3.867,4.315,4.175,3.92,246952.64
2025-04-14 00:00:00+00:00,2.97,4.18,3.922,3.802,1091833.62
2025-04-15 00:00:00+00:00,3.704,4.287,3.796,4.076,869299.14
2025-04-16 00:00:00+00:00,3.876,4.169,4.077,3.948,447591.73
2025-04-17 00:00:00+00:00,3.841,4.12,3.951,3.919,230688.95
2025-04-18 00:00:00+00:00,3.786,3.992,3.921,3.842,119967.13
2025-04-19 00:00:00+00:00,3.807,3.916,3.831,3.865,89481.12
