time,low,high,open,close,volume
2025-02-20 00:00:00+00:00,1.19,2.25,1.25,1.6496,18146466.41
2025-02-21 00:00:00+00:00,1.2656,2.1079,1.6466,1.4332,54792721.91
2025-02-22 00:00:00+00:00,1.3571,1.8186,1.4303,1.5386,30595417.27
2025-02-23 00:00:00+00:00,1.4256,1.6377,1.5433,1.5692,13277564.5
2025-02-24 00:00:00+00:00,1.5213,2.0756,1.5716,1.7136,31941145.05
2025-02-25 00:00:00+00:00,1.5743,1.8734,1.7132,1.7288,21941953.88
2025-02-26 00:00:00+00:00,1.6893,2.5832,1.7304,2.4554,33336887.95
2025-02-27 00:00:00+00:00,2.0714,2.9186,2.4587,2.1412,29134340.32
2025-02-28 00:00:00+00:00,1.8774,2.21,2.1463,1.9867,22704542.7
2025-03-01 00:00:00+00:00,1.9716,2.423,1.9838,2.2014,19544174.17
2025-03-02 00:00:00+00:00,2.0407,2.4252,2.2033,2.1122,17931687.76
2025-03-03 00:00:00+00:00,1.6472,2.1966,2.114,1.6603,12635169.33
2025-03-04 00:00:00+00:00,1.4392,1.696,1.6577,1.5418,15960144.62
2025-03-05 00:00:00+00:00,1.477,2.2499,1.5414,1.801,21493438.1
2025-03-06 00:00:00+00:00,1.6038,1.87,1.8003,1.6301,8784126.61
2025-03-07 00:00:00+00:00,1.5389,1.7367,1.63,1.5463,7368454.96
2025-03-08 00:00:00+00:00,1.5186,1.788,1.5448,1.6525,6384197.22
2025-03-09 00:00:00+00:00,1.4667,1.6843,1.6536,1.4816,3922736.12
2025-03-10 00:00:00+00:00,1.2802,1.5273,1.4812,1.3123,6195147.94
2025-03-11 00:00:00+00:00,1.258,1.4512,1.312,1.3612,5658446.56
2025-03-12 00:00:00+00:00,1.2918,1.4973,1.3619,1.4895,5992618.97
2025-03-13 00:00:00+00:00,1.3683,1.6001,1.4915,1.3937,6323729.01
2025-03-14 00:00:00+00:00,1.3893,1.4798,1.393,1.4148,2892818.08
2025-03-15 00:00:00+00:00,1.3082,1.5615,1.4124,1.4418,7463541.42
2025-03-16 00:00:00+00:00,1.3573,1.4472,1.4418,1.3794,2725693.7
2025-03-17 00:00:00+00:00,1.3699,1.4382,1.3778,1.4338,2636495.34
2025-03-18 00:00:00+00:00,1.3021,1.4517,1.4333,1.3219,2787297.38
2025-03-19 00:00:00+00:00,1.285,1.35,1.3221,1.3416,2777487.17
2025-03-20 00:00:00+00:00,1.3113,1.407,1.3404,1.4004,2963043.44
2025-03-21 00:00:00+00:00,1.2992,1.4306,1.3998,1.3042,2284215.63
2025-03-22 00:00:00+00:00,1.2923,1.3646,1.3034,1.329,2234176.9
2025-03-23 00:00:00+00:00,1.2458,1.3517,1.3304,1.2745,1854555.87
2025-03-24 00:00:00+00:00,1.2537,1.4005,1.2745,1.3781,3138827.71
2025-03-25 00:00:00+00:00,1.3176,1.3947,1.3793,1.3637,2096659.26
2025-03-26 00:00:00+00:00,1.2581,1.3921,1.3644,1.2697,1677376.14
2025-03-27 00:00:00+00:00,1.2756,1.2995,1.2995,1.2824,44956.04
2025-03-28 00:00:00+00:00,1.0663,1.2975,1.2839,1.1454,3623452.08
2025-03-29 00:00:00+00:00,1.0299,1.1515,1.1473,1.0542,1158701.22
2025-03-30 00:00:00+00:00,1.0342,1.0927,1.0524,1.0677,1167790.63
2025-03-31 00:00:00+00:00,1.0052,1.0844,1.0678,1.0217,1542879.49
2025-04-01 00:00:00+00:00,1.018,1.094,1.0223,1.0225,1013164.39
2025-04-02 00:00:00+00:00,0.8676,1.0238,1.0226,0.868,1958530.41
2025-04-03 00:00:00+00:00,0.8694,0.9675,0.8694,0.936,1876897.17
2025-04-04 00:00:00+00:00,0.911,0.987,0.9369,0.951,1052495.24
