time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.85,1.0266,0.9926,0.901,4517967.9
2024-06-11 00:00:00+00:00,0.8021,0.9696,0.9011,0.9437,4114254.26
2024-06-12 00:00:00+00:00,0.865,1.11,0.9435,0.9046,6067322.54
2024-06-13 00:00:00+00:00,0.8199,0.9394,0.9052,0.8585,3025255.25
2024-06-14 00:00:00+00:00,0.7966,0.9044,0.8569,0.8219,3119952.12
2024-06-15 00:00:00+00:00,0.796,0.8625,0.8222,0.81,1937819.49
2024-06-16 00:00:00+00:00,0.7859,0.8588,0.8116,0.816,1906325.85
2024-06-17 00:00:00+00:00,0.6919,0.825,0.8202,0.7318,3838861.11
2024-06-18 00:00:00+00:00,0.6551,0.796,0.736,0.75,3160223.15
2024-06-19 00:00:00+00:00,0.719,0.7777,0.7545,0.7704,1396888.82
2024-06-20 00:00:00+00:00,0.7559,0.9955,0.7748,0.8119,3692221.0
2024-06-21 00:00:00+00:00,0.7287,0.864,0.8169,0.783,2259217.68
2024-06-22 00:00:00+00:00,0.75,0.796,0.781,0.76,944142.46
2024-06-23 00:00:00+00:00,0.7198,0.7836,0.7595,0.721,746734.17
2024-06-24 00:00:00+00:00,0.6727,0.7448,0.7253,0.711,1980711.89
2024-06-25 00:00:00+00:00,0.6984,0.8328,0.7108,0.757,1909831.13
2024-06-26 00:00:00+00:00,0.692,0.827,0.7602,0.705,1657925.51
2024-06-27 00:00:00+00:00,0.6859,0.7919,0.7029,0.7078,2049146.0
2024-06-28 00:00:00+00:00,0.674,0.734,0.71,0.687,1099543.58
2024-06-29 00:00:00+00:00,0.6727,0.713,0.688,0.6779,875857.53
2024-06-30 00:00:00+00:00,0.66,0.7218,0.6756,0.6874,1031329.62
2024-07-01 00:00:00+00:00,0.6738,0.715,0.688,0.682,1454411.74
2024-07-02 00:00:00+00:00,0.6249,0.6975,0.6856,0.642,1791509.48
2024-07-03 00:00:00+00:00,0.605,0.6546,0.642,0.6148,1399429.64
2024-07-04 00:00:00+00:00,0.515,0.617,0.613,0.5249,2782141.72
2024-07-05 00:00:00+00:00,0.442,0.5742,0.5217,0.5146,4251647.99
2024-07-06 00:00:00+00:00,0.4901,0.555,0.5146,0.533,1872714.68
2024-07-07 00:00:00+00:00,0.4719,0.5358,0.5335,0.4739,1650743.15
2024-07-08 00:00:00+00:00,0.4552,0.5403,0.4725,0.536,2191403.6
2024-07-09 00:00:00+00:00,0.5233,0.6401,0.5368,0.6018,5038676.25
2024-07-10 00:00:00+00:00,0.5397,0.6309,0.601,0.576,2363290.63
2024-07-11 00:00:00+00:00,0.5382,0.6014,0.576,0.5458,2169403.23
2024-07-12 00:00:00+00:00,0.517,0.566,0.5458,0.5436,1800952.93
2024-07-13 00:00:00+00:00,0.5366,0.5907,0.5447,0.5752,1336634.48
2024-07-14 00:00:00+00:00,0.5471,0.6058,0.575,0.5801,2465611.3
2024-07-15 00:00:00+00:00,0.58,0.64,0.58,0.6252,1980591.2
2024-07-16 00:00:00+00:00,0.5949,0.721,0.6255,0.686,3287551.32
2024-07-17 00:00:00+00:00,0.655,0.8122,0.6868,0.7085,6355813.63
2024-07-18 00:00:00+00:00,0.5864,0.7351,0.7071,0.6295,2860530.47
2024-07-19 00:00:00+00:00,0.5755,0.665,0.6296,0.6358,2406092.11
2024-07-20 00:00:00+00:00,0.6175,0.7,0.636,0.6646,1321058.54
2024-07-21 00:00:00+00:00,0.59,0.669,0.666,0.6219,1984802.27
2024-07-22 00:00:00+00:00,0.56,0.6409,0.627,0.5699,1923373.23
2024-07-23 00:00:00+00:00,0.5495,0.5875,0.572,0.5568,1125012.68
