time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,1.854,1.942,1.883,1.868,3647502.86
2024-06-11 00:00:00+00:00,1.761,1.875,1.868,1.833,5175174.93
2024-06-12 00:00:00+00:00,1.767,2.053,1.832,2.0,3561114.27
2024-06-13 00:00:00+00:00,1.844,2.015,2.0,1.861,2418857.97
2024-06-14 00:00:00+00:00,1.817,2.035,1.864,1.981,5528905.08
2024-06-15 00:00:00+00:00,1.976,2.099,1.981,2.069,3141205.05
2024-06-16 00:00:00+00:00,1.97,2.242,2.071,2.147,3185595.2
2024-06-17 00:00:00+00:00,1.976,2.2,2.148,1.986,4922540.78
2024-06-18 00:00:00+00:00,1.722,2.193,1.987,2.186,8554344.53
2024-06-19 00:00:00+00:00,2.152,2.424,2.185,2.332,9752309.2
2024-06-20 00:00:00+00:00,2.184,2.388,2.331,2.315,6932424.69
2024-06-21 00:00:00+00:00,2.182,2.383,2.32,2.263,3816302.07
2024-06-22 00:00:00+00:00,2.14,2.277,2.263,2.151,2148280.94
2024-06-23 00:00:00+00:00,2.038,2.26,2.149,2.07,2613589.88
2024-06-24 00:00:00+00:00,1.991,2.48,2.07,2.381,6376728.72
2024-06-25 00:00:00+00:00,2.276,2.461,2.381,2.333,3362808.1
2024-06-26 00:00:00+00:00,2.264,2.506,2.335,2.429,4055631.29
2024-06-27 00:00:00+00:00,2.307,2.476,2.43,2.341,2990312.74
2024-06-28 00:00:00+00:00,1.857,2.439,2.342,1.871,11778455.59
2024-06-29 00:00:00+00:00,1.85,2.012,1.87,1.919,7304442.75
2024-06-30 00:00:00+00:00,1.89,1.997,1.919,1.97,3557564.36
2024-07-01 00:00:00+00:00,1.945,2.097,1.97,2.003,4709846.53
2024-07-02 00:00:00+00:00,1.891,2.055,2.003,1.906,3325189.57
2024-07-03 00:00:00+00:00,1.694,1.917,1.907,1.724,4893190.39
2024-07-04 00:00:00+00:00,1.601,1.779,1.724,1.613,3662028.02
2024-07-05 00:00:00+00:00,1.4,1.654,1.617,1.58,4521104.74
2024-07-06 00:00:00+00:00,1.541,1.657,1.58,1.636,2231391.48
2024-07-07 00:00:00+00:00,1.508,1.641,1.635,1.562,1464994.23
2024-07-08 00:00:00+00:00,1.504,1.694,1.564,1.566,2687735.59
2024-07-09 00:00:00+00:00,1.525,1.64,1.565,1.588,1515207.92
2024-07-10 00:00:00+00:00,1.531,1.711,1.59,1.684,3370149.74
2024-07-11 00:00:00+00:00,1.582,1.69,1.683,1.582,2002684.1
2024-07-12 00:00:00+00:00,1.557,1.723,1.584,1.708,2018650.41
2024-07-13 00:00:00+00:00,1.655,1.741,1.706,1.658,2574371.87
2024-07-14 00:00:00+00:00,1.656,1.767,1.658,1.75,3111042.56
2024-07-15 00:00:00+00:00,1.728,1.83,1.751,1.815,4369150.48
2024-07-16 00:00:00+00:00,1.712,1.857,1.812,1.827,2165376.69
2024-07-17 00:00:00+00:00,1.827,2.047,1.828,1.935,7107259.79
2024-07-18 00:00:00+00:00,1.867,2.038,1.936,1.916,4291987.16
2024-07-19 00:00:00+00:00,1.848,1.976,1.915,1.961,2859218.22
2024-07-20 00:00:00+00:00,1.894,1.973,1.958,1.93,1005871.16
2024-07-21 00:00:00+00:00,1.824,1.963,1.93,1.941,2797141.3
2024-07-22 00:00:00+00:00,1.758,1.97,1.944,1.785,2562535.59
2024-07-23 00:00:00+00:00,1.73,1.899,1.786,1.755,3421406.94
2024-07-24 00:00:00+00:00,1.619,1.774,1.753,1.627,1815796.41
2024-07-25 00:00:00+00:00,1.476,1.633,1.627,1.521,6113319.22
