time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,20.76,23.89,22.14,22.88,92552.147
2024-06-11 00:00:00+00:00,19.69,23.34,22.9,20.11,64298.69
2024-06-12 00:00:00+00:00,18.73,26.31,20.1,24.99,222160.876
2024-06-13 00:00:00+00:00,23.4,25.02,24.99,23.76,79427.899
2024-06-14 00:00:00+00:00,22.0,24.8,23.83,23.58,153658.858
2024-06-15 00:00:00+00:00,21.0,24.98,23.62,21.94,66341.865
2024-06-16 00:00:00+00:00,21.44,23.41,21.97,22.0,75935.164
2024-06-17 00:00:00+00:00,19.89,21.96,21.96,20.35,114133.399
2024-06-18 00:00:00+00:00,16.69,20.37,20.35,18.29,171604.957
2024-06-19 00:00:00+00:00,16.14,19.28,18.25,18.82,141268.477
2024-06-20 00:00:00+00:00,18.35,20.19,18.73,18.83,37911.821
2024-06-21 00:00:00+00:00,17.53,19.2,18.8,17.9,43506.571
2024-06-22 00:00:00+00:00,17.38,18.07,17.91,17.5,33645.67
2024-06-23 00:00:00+00:00,16.54,17.94,17.5,16.67,43538.548
2024-06-24 00:00:00+00:00,15.03,16.84,16.65,16.49,68262.998
2024-06-25 00:00:00+00:00,16.29,17.64,16.46,17.38,29853.534
2024-06-26 00:00:00+00:00,16.4,17.78,17.39,16.55,22151.514
2024-06-27 00:00:00+00:00,16.04,17.33,16.57,16.86,19758.861
2024-06-28 00:00:00+00:00,16.33,17.33,16.87,16.35,57064.438
2024-06-29 00:00:00+00:00,15.34,16.75,16.36,15.38,15515.569
2024-06-30 00:00:00+00:00,15.08,16.95,15.4,16.71,18768.97
2024-07-01 00:00:00+00:00,16.4,17.2,16.72,16.42,64518.333
2024-07-02 00:00:00+00:00,16.07,16.76,16.39,16.47,27889.985
2024-07-03 00:00:00+00:00,15.07,16.5,16.46,15.27,38211.933
2024-07-04 00:00:00+00:00,12.78,15.33,15.22,12.8,50552.611
2024-07-05 00:00:00+00:00,11.33,12.85,12.84,12.21,61509.072
2024-07-06 00:00:00+00:00,12.04,13.8,12.22,13.64,50077.911
2024-07-07 00:00:00+00:00,12.52,13.79,13.64,12.92,25098.932
2024-07-08 00:00:00+00:00,12.24,14.02,12.92,13.07,26242.285
2024-07-09 00:00:00+00:00,12.77,13.6,13.04,13.14,24460.984
2024-07-10 00:00:00+00:00,12.87,13.77,13.11,13.44,13772.529
2024-07-11 00:00:00+00:00,13.11,14.63,13.37,13.43,34610.741
2024-07-12 00:00:00+00:00,12.85,14.02,13.49,13.63,36676.113
2024-07-13 00:00:00+00:00,13.25,14.02,13.63,13.62,20541.033
2024-07-14 00:00:00+00:00,13.39,14.53,13.6,14.41,19666.159
2024-07-15 00:00:00+00:00,14.19,15.38,14.38,15.38,26667.379
2024-07-16 00:00:00+00:00,14.0,15.88,15.37,15.36,83082.013
2024-07-17 00:00:00+00:00,15.38,18.0,15.41,16.65,93219.837
2024-07-18 00:00:00+00:00,15.73,17.1,16.73,16.31,39531.625
2024-07-19 00:00:00+00:00,15.66,16.82,16.3,16.67,29671.189
2024-07-20 00:00:00+00:00,16.34,17.44,16.7,17.1,22045.159
2024-07-21 00:00:00+00:00,15.83,17.51,17.09,17.14,59647.395
2024-07-22 00:00:00+00:00,15.76,17.32,17.16,15.86,19597.951
2024-07-23 00:00:00+00:00,15.12,16.16,15.92,15.23,15174.417
2024-07-24 00:00:00+00:00,14.92,15.83,15.21,15.01,11028.373
2024-07-25 00:00:00+00:00,13.65,15.12,15.04,14.34,22910.257
2024-07-26 00:00:00+00:00,14.3,15.16,14.32,15.11,31335.469
2024-07-27 00:00:00+00:00,14.84,15.75,15.08,15.54,45006.788
2024-07-28 00:00:00+00:00,14.73,15.61,15.54,14.89,10625.468
2024-07-29 00:00:00+00:00,14.15,15.69,14.87,14.49,55594.832
2024-07-30 00:00:00+00:00,14.21,14.78,14.53,14.54,28680.611
2024-07-31 00:00:00+00:00,14.0,14.9,14.55,14.05,43783.813
2024-08-01 00:00:00+00:00,12.83,14.14,14.0,13.89,15223.494
2024-08-02 00:00:00+00:00,12.51,13.96,13.9,12.6,16055.863
2024-08-03 00:00:00+00:00,11.33,12.69,12.61,11.72,22166.276
2024-08-04 00:00:00+00:00,10.5,11.93,11.73,10.84,26362.139
2024-08-05 00:00:00+00:00,8.5,10.97,10.87,9.94,89247.968
2024-08-06 00:00:00+00:00,9.96,10.91,9.96,10.52,26209.873
2024-08-07 00:00:00+00:00,9.79,10.9,10.54,9.96,15658.033
2024-08-08 00:00:00+00:00,9.82,11.42,9.98,11.34,44278.128
2024-08-09 00:00:00+00:00,10.78,11.46,11.32,11.06,18878.425
2024-08-10 00:00:00+00:00,10.83,11.7,11.07,11.61,18404.224
2024-08-11 00:00:00+00:00,11.04,12.91,11.59,11.14,82388.935
2024-08-12 00:00:00+00:00,10.88,12.15,11.14,11.82,70968.081
2024-08-13 00:00:00+00:00,11.27,11.9,11.82,11.65,33740.608
2024-08-14 00:00:00+00:00,11.03,11.8,11.61,11.25,13317.223
2024-08-15 00:00:00+00:00,10.46,11.58,11.25,10.64,15746.45
2024-08-16 00:00:00+00:00,10.21,10.76,10.63,10.58,13347.814
2024-08-17 00:00:00+00:00,10.51,10.76,10.56,10.66,5152.459
2024-08-18 00:00:00+00:00,10.43,11.07,10.66,10.69,18193.58
2024-08-19 00:00:00+00:00,10.47,11.03,10.69,11.03,14310.55
2024-08-20 00:00:00+00:00,10.82,11.5,11.0,11.13,11970.899
2024-08-21 00:00:00+00:00,11.04,11.71,11.15,11.55,12542.317
2024-08-22 00:00:00+00:00,11.26,13.26,11.54,12.76,84463.551
2024-08-23 00:00:00+00:00,12.49,15.59,12.7,15.48,171021.761
2024-08-24 00:00:00+00:00,15.28,16.26,15.49,15.64,122536.39
2024-08-25 00:00:00+00:00,14.47,15.6,15.57,15.21,28769.75
2024-08-26 00:00:00+00:00,14.05,15.37,15.23,14.23,23721.994
2024-08-27 00:00:00+00:00,12.88,15.09,14.24,13.37,28947.279
2024-08-28 00:00:00+00:00,12.32,13.55,13.39,12.69,33152.997
2024-08-29 00:00:00+00:00,12.27,13.2,12.72,12.54,23776.766
2024-08-30 00:00:00+00:00,11.94,12.75,12.49,12.61,19074.698
2024-08-31 00:00:00+00:00,11.99,12.69,12.55,12.21,7523.948
2024-09-01 00:00:00+00:00,11.25,12.54,12.2,11.61,22632.388
