time,low,high,open,close,volume
2024-06-11 00:00:00+00:00,75.58,79.83,79.64,77.29,269256.47404925
2024-06-12 00:00:00+00:00,76.34,79.29,77.3,78.49,214826.46223322
2024-06-13 00:00:00+00:00,77.24,79.81,78.49,79.12,296952.67113477
2024-06-14 00:00:00+00:00,76.32,80.26,79.12,77.57,272393.80664947
2024-06-15 00:00:00+00:00,77.31,79.42,77.57,79.19,102830.20331723
2024-06-16 00:00:00+00:00,78.55,80.09,79.19,78.95,101893.31627036
2024-06-17 00:00:00+00:00,75.09,79.21,78.98,76.59,178389.52163564
2024-06-18 00:00:00+00:00,70.63,76.76,76.58,72.64,343507.58611606
2024-06-19 00:00:00+00:00,72.48,74.95,72.63,73.75,129447.9208816
2024-06-20 00:00:00+00:00,73.19,75.32,73.76,74.68,143037.36724016
2024-06-21 00:00:00+00:00,72.1,74.71,74.68,74.15,147558.04493222
2024-06-22 00:00:00+00:00,73.52,74.86,74.14,74.58,73549.23302585
2024-06-23 00:00:00+00:00,73.2,75.0,74.59,73.32,93633.71719168
2024-06-24 00:00:00+00:00,67.5,73.4,73.33,69.67,235317.7619469
2024-06-25 00:00:00+00:00,69.37,71.99,69.67,71.34,125833.07085487
2024-06-26 00:00:00+00:00,70.35,71.95,71.35,70.97,119721.34785407
2024-06-27 00:00:00+00:00,70.48,73.26,70.98,73.16,107472.61117446
2024-06-28 00:00:00+00:00,72.42,74.68,73.16,72.77,244562.64720434
2024-06-29 00:00:00+00:00,72.75,76.76,72.75,74.82,190285.06583878
2024-06-30 00:00:00+00:00,73.99,75.89,74.82,75.21,177834.96083669
2024-07-01 00:00:00+00:00,74.07,75.85,75.22,74.3,152295.851143
2024-07-02 00:00:00+00:00,74.19,76.1,74.3,75.93,123304.93854577
2024-07-03 00:00:00+00:00,71.7,76.13,75.94,72.07,188761.13069753
2024-07-04 00:00:00+00:00,65.0,72.36,72.06,65.41,278577.58841154
