time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,3.15,3.33,3.33,3.16,83573.44
2024-06-11 00:00:00+00:00,2.96,3.18,3.17,3.0,120735.01
2024-06-12 00:00:00+00:00,2.94,3.17,3.01,3.11,179507.97
2024-06-13 00:00:00+00:00,2.92,3.11,3.11,2.95,105722.18
2024-06-14 00:00:00+00:00,2.73,3.0,2.95,2.8,122361.14
2024-06-15 00:00:00+00:00,2.8,2.91,2.8,2.84,38579.07
2024-06-16 00:00:00+00:00,2.78,2.88,2.83,2.82,57276.75
2024-06-17 00:00:00+00:00,2.56,2.84,2.83,2.61,274052.94
2024-06-18 00:00:00+00:00,2.24,2.62,2.62,2.43,435135.31
2024-06-19 00:00:00+00:00,2.4,2.54,2.42,2.48,200895.37
2024-06-20 00:00:00+00:00,2.46,2.61,2.48,2.48,215533.63
2024-06-21 00:00:00+00:00,2.44,2.55,2.48,2.48,226408.5
2024-06-22 00:00:00+00:00,2.45,2.52,2.47,2.47,69432.12
2024-06-23 00:00:00+00:00,2.43,2.52,2.47,2.44,141592.08
2024-06-24 00:00:00+00:00,2.31,2.54,2.44,2.54,405392.05
2024-06-25 00:00:00+00:00,2.52,2.59,2.54,2.55,128648.84
2024-06-26 00:00:00+00:00,2.48,2.57,2.55,2.51,146901.56
2024-06-27 00:00:00+00:00,2.47,2.58,2.51,2.58,103074.71
2024-06-28 00:00:00+00:00,2.51,2.61,2.57,2.52,44154.31
2024-06-29 00:00:00+00:00,2.47,2.56,2.51,2.49,65482.32
2024-06-30 00:00:00+00:00,2.48,2.61,2.49,2.6,39949.64
2024-07-01 00:00:00+00:00,2.51,2.63,2.6,2.51,99135.1
2024-07-02 00:00:00+00:00,2.5,2.55,2.51,2.55,120620.95
2024-07-03 00:00:00+00:00,2.41,2.57,2.55,2.43,163609.82
2024-07-04 00:00:00+00:00,2.07,2.44,2.43,2.09,148097.96
2024-07-05 00:00:00+00:00,1.81,2.07,2.07,1.99,352761.02
2024-07-06 00:00:00+00:00,1.97,2.16,1.98,2.15,268001.07
2024-07-07 00:00:00+00:00,2.0,2.15,2.15,2.01,285106.44
2024-07-08 00:00:00+00:00,1.94,2.16,2.0,2.05,528586.31
2024-07-09 00:00:00+00:00,2.04,2.12,2.05,2.12,253890.5
2024-07-10 00:00:00+00:00,2.1,2.17,2.12,2.13,65679.33
2024-07-11 00:00:00+00:00,2.1,2.19,2.14,2.11,213053.82
2024-07-12 00:00:00+00:00,2.09,2.17,2.12,2.16,176692.95
2024-07-13 00:00:00+00:00,2.15,2.25,2.16,2.24,68755.35
2024-07-14 00:00:00+00:00,2.22,2.3,2.24,2.29,113544.91
2024-07-15 00:00:00+00:00,2.28,2.4,2.29,2.39,125044.35
2024-07-16 00:00:00+00:00,2.29,2.45,2.4,2.42,198909.01
2024-07-17 00:00:00+00:00,2.4,2.47,2.41,2.42,157285.09
2024-07-18 00:00:00+00:00,2.34,2.47,2.42,2.38,128443.42
2024-07-19 00:00:00+00:00,2.34,2.54,2.39,2.51,197196.97
2024-07-20 00:00:00+00:00,2.46,2.51,2.5,2.47,95667.3
2024-07-21 00:00:00+00:00,2.38,2.52,2.48,2.49,44092.85
2024-07-22 00:00:00+00:00,2.39,2.52,2.5,2.39,61140.63
2024-07-23 00:00:00+00:00,2.3,2.44,2.41,2.32,104407.51
2024-07-24 00:00:00+00:00,2.27,2.39,2.33,2.29,52640.97
2024-07-25 00:00:00+00:00,2.15,2.3,2.3,2.27,109907.08
2024-07-26 00:00:00+00:00,2.27,2.42,2.27,2.37,71971.23
2024-07-27 00:00:00+00:00,2.31,2.41,2.37,2.39,146610.93
2024-07-28 00:00:00+00:00,2.29,2.38,2.37,2.31,54814.45
2024-07-29 00:00:00+00:00,2.29,2.39,2.31,2.3,143489.44
2024-07-30 00:00:00+00:00,2.2,2.33,2.3,2.23,145707.72
2024-07-31 00:00:00+00:00,2.17,2.26,2.23,2.18,139403.78
2024-08-01 00:00:00+00:00,1.99,2.2,2.19,2.14,413345.61
2024-08-02 00:00:00+00:00,1.98,2.14,2.13,2.0,682820.43
2024-08-03 00:00:00+00:00,1.87,2.03,2.0,1.92,683883.96
2024-08-04 00:00:00+00:00,1.77,2.01,1.92,1.85,340724.71
2024-08-05 00:00:00+00:00,1.56,1.86,1.85,1.79,362354.06
2024-08-06 00:00:00+00:00,1.79,1.89,1.79,1.85,695258.87
