time,low,high,open,close,volume
2024-12-10 00:00:00+00:00,5.336,6.122,5.49,5.652,351788.89
2024-12-11 00:00:00+00:00,4.926,9.09,5.72,5.43,2015321.89
2024-12-12 00:00:00+00:00,4.355,5.48,5.432,4.492,1421144.61
2024-12-13 00:00:00+00:00,4.031,4.474,4.474,4.26,1235245.24
2024-12-14 00:00:00+00:00,3.733,4.509,4.259,3.871,980539.94
2024-12-15 00:00:00+00:00,3.65,3.952,3.863,3.851,758486.13
2024-12-16 00:00:00+00:00,3.492,3.921,3.847,3.553,718734.62
2024-12-17 00:00:00+00:00,2.984,3.557,3.555,3.038,1109234.26
2024-12-18 00:00:00+00:00,2.638,3.19,3.037,2.796,1217712.71
2024-12-19 00:00:00+00:00,2.59,2.962,2.8,2.764,1287208.2
2024-12-20 00:00:00+00:00,2.724,3.573,2.754,3.492,2655341.16
2024-12-21 00:00:00+00:00,3.073,3.685,3.496,3.134,1274676.21
2024-12-22 00:00:00+00:00,2.953,3.21,3.134,3.099,675902.11
2024-12-23 00:00:00+00:00,2.833,3.16,3.096,3.11,851409.9
2024-12-24 00:00:00+00:00,2.928,3.21,3.089,3.187,351529.6
2024-12-25 00:00:00+00:00,3.144,3.667,3.17,3.463,1102480.34
2024-12-26 00:00:00+00:00,3.315,4.137,3.439,3.934,1971235.17
2024-12-27 00:00:00+00:00,3.652,4.271,3.931,4.007,2804547.77
2024-12-28 00:00:00+00:00,3.459,4.055,3.996,3.495,1042703.48
2024-12-29 00:00:00+00:00,3.327,3.776,3.494,3.402,1262139.29
2024-12-30 00:00:00+00:00,3.126,3.471,3.407,3.179,1161444.47
2024-12-31 00:00:00+00:00,2.999,3.217,3.178,3.1,560661.29
2025-01-01 00:00:00+00:00,2.944,3.197,3.099,3.174,439939.44
2025-01-02 00:00:00+00:00,3.098,3.276,3.172,3.232,281547.7
2025-01-03 00:00:00+00:00,3.106,3.403,3.229,3.366,693102.88
2025-01-04 00:00:00+00:00,3.28,3.522,3.368,3.351,319583.47
2025-01-05 00:00:00+00:00,3.276,3.498,3.351,3.452,288045.08
2025-01-06 00:00:00+00:00,3.325,3.453,3.45,3.366,192005.96
2025-01-07 00:00:00+00:00,2.997,3.375,3.365,3.016,279429.68
2025-01-08 00:00:00+00:00,2.653,3.03,3.018,2.827,525655.54
2025-01-09 00:00:00+00:00,2.593,2.826,2.825,2.679,808229.42
2025-01-10 00:00:00+00:00,2.66,2.84,2.681,2.781,590977.6
2025-01-11 00:00:00+00:00,2.722,2.87,2.78,2.794,435661.9
2025-01-12 00:00:00+00:00,2.663,2.793,2.793,2.698,457041.54
2025-01-13 00:00:00+00:00,2.335,2.764,2.695,2.53,1001783.03
2025-01-14 00:00:00+00:00,2.516,2.629,2.528,2.598,323219.15
2025-01-15 00:00:00+00:00,2.482,2.723,2.599,2.714,605092.66
2025-01-16 00:00:00+00:00,2.542,2.716,2.715,2.574,292708.6
2025-01-17 00:00:00+00:00,2.568,2.699,2.574,2.677,214739.21
2025-01-18 00:00:00+00:00,2.422,2.782,2.679,2.47,285827.73
2025-01-19 00:00:00+00:00,2.074,2.538,2.47,2.106,351630.13
2025-01-20 00:00:00+00:00,1.98,2.232,2.107,2.057,580444.09
2025-01-21 00:00:00+00:00,1.938,2.163,2.055,2.097,290401.23
2025-01-22 00:00:00+00:00,2.036,2.129,2.096,2.047,304735.61
2025-01-23 00:00:00+00:00,2.013,2.158,2.043,2.096,436176.22
2025-01-24 00:00:00+00:00,1.944,2.145,2.095,1.981,443573.33
2025-01-25 00:00:00+00:00,1.928,2.035,1.979,1.995,172267.96
2025-01-26 00:00:00+00:00,1.932,2.07,1.995,1.932,126923.1
2025-01-27 00:00:00+00:00,1.71,1.931,1.931,1.892,315416.38
2025-01-28 00:00:00+00:00,1.74,1.954,1.896,1.756,287415.87
2025-01-29 00:00:00+00:00,1.733,1.892,1.755,1.813,330069.47
2025-01-30 00:00:00+00:00,1.797,1.987,1.813,1.922,258716.95
2025-01-31 00:00:00+00:00,1.91,2.059,1.923,1.932,451770.44
2025-02-01 00:00:00+00:00,1.701,1.994,1.932,1.721,326183.37
2025-02-02 00:00:00+00:00,1.358,1.75,1.718,1.436,375560.11
2025-02-03 00:00:00+00:00,1.058,1.509,1.435,1.488,1080234.71
2025-02-04 00:00:00+00:00,1.308,1.509,1.488,1.381,248415.83
2025-02-05 00:00:00+00:00,1.318,1.428,1.38,1.345,200469.77
2025-02-06 00:00:00+00:00,1.237,1.373,1.346,1.253,202051.23
2025-02-07 00:00:00+00:00,1.215,1.369,1.253,1.253,273858.13
2025-02-08 00:00:00+00:00,1.242,2.15,1.252,1.829,5417971.6
2025-02-09 00:00:00+00:00,1.652,2.2,1.825,1.705,7238646.07
2025-02-10 00:00:00+00:00,1.595,2.021,1.704,1.758,1989207.33
2025-02-11 00:00:00+00:00,1.743,2.05,1.755,1.816,1266549.46
2025-02-12 00:00:00+00:00,1.806,2.1,1.815,2.053,1223068.92
2025-02-13 00:00:00+00:00,1.88,2.17,2.059,1.904,592417.97
2025-02-14 00:00:00+00:00,1.669,2.019,1.908,1.725,1263957.37
2025-02-15 00:00:00+00:00,1.584,1.8,1.725,1.621,635851.74
2025-02-16 00:00:00+00:00,1.547,1.64,1.618,1.57,122366.83
2025-02-17 00:00:00+00:00,1.449,1.598,1.572,1.477,138523.18
2025-02-18 00:00:00+00:00,1.329,1.478,1.478,1.397,151773.52
2025-02-19 00:00:00+00:00,1.392,1.515,1.395,1.435,239978.89
2025-02-20 00:00:00+00:00,1.411,1.492,1.434,1.48,150869.97
2025-02-21 00:00:00+00:00,1.47,1.601,1.47,1.513,532966.62
2025-02-22 00:00:00+00:00,1.479,1.551,1.505,1.536,99342.33
2025-02-23 00:00:00+00:00,1.412,1.573,1.533,1.452,82392.25
2025-02-24 00:00:00+00:00,1.294,1.54,1.445,1.323,566179.26
2025-02-25 00:00:00+00:00,1.235,1.357,1.325,1.334,191060.98
2025-02-26 00:00:00+00:00,1.263,1.387,1.336,1.346,152640.48
2025-02-27 00:00:00+00:00,1.326,1.427,1.348,1.357,111584.7
2025-02-28 00:00:00+00:00,1.275,1.406,1.36,1.375,57831.23
2025-03-01 00:00:00+00:00,1.312,1.385,1.375,1.334,44745.86
2025-03-02 00:00:00+00:00,1.326,1.432,1.334,1.407,34693.55
2025-03-03 00:00:00+00:00,1.183,1.407,1.404,1.184,46321.81
2025-03-04 00:00:00+00:00,1.064,1.189,1.183,1.153,102160.03
2025-03-05 00:00:00+00:00,1.129,1.182,1.155,1.182,42552.05
2025-03-06 00:00:00+00:00,1.135,1.212,1.182,1.167,37393.29
2025-03-07 00:00:00+00:00,1.097,1.202,1.165,1.151,81018.44
2025-03-08 00:00:00+00:00,1.11,1.165,1.155,1.121,55543.0
2025-03-09 00:00:00+00:00,1.0,1.13,1.12,1.017,79524.13
2025-03-10 00:00:00+00:00,1.0,1.167,1.022,1.02,395412.82
2025-03-11 00:00:00+00:00,0.943,1.053,1.023,1.042,426980.2
2025-03-12 00:00:00+00:00,0.991,1.063,1.044,1.044,262672.79
2025-03-13 00:00:00+00:00,1.019,1.091,1.047,1.062,77488.83
2025-03-14 00:00:00+00:00,1.052,1.108,1.061,1.089,78194.41
2025-03-15 00:00:00+00:00,1.089,1.123,1.089,1.117,54356.68
2025-03-16 00:00:00+00:00,1.052,1.119,1.114,1.065,12274.11
2025-03-17 00:00:00+00:00,1.054,1.193,1.061,1.162,482534.21
2025-03-18 00:00:00+00:00,1.094,1.191,1.162,1.135,342405.62
2025-03-19 00:00:00+00:00,1.107,1.166,1.137,1.145,257028.98
2025-03-20 00:00:00+00:00,1.094,1.148,1.142,1.114,123270.09
2025-03-21 00:00:00+00:00,1.108,1.23,1.108,1.213,395307.17
2025-03-22 00:00:00+00:00,1.173,1.284,1.211,1.191,240615.55
2025-03-23 00:00:00+00:00,1.131,1.194,1.194,1.16,53156.27
2025-03-24 00:00:00+00:00,1.14,1.201,1.151,1.187,62110.42
2025-03-25 00:00:00+00:00,1.183,1.311,1.2,1.275,188616.14
2025-03-26 00:00:00+00:00,1.238,1.29,1.266,1.254,50543.06
2025-03-27 00:00:00+00:00,1.245,1.253,1.253,1.245,30.54
2025-03-28 00:00:00+00:00,1.096,1.246,1.236,1.122,84814.67
2025-03-29 00:00:00+00:00,1.027,1.13,1.123,1.047,33191.25
2025-03-30 00:00:00+00:00,1.025,1.071,1.042,1.033,17738.51
2025-03-31 00:00:00+00:00,0.984,1.033,1.032,0.997,50671.87
2025-04-01 00:00:00+00:00,0.994,1.032,1.001,1.004,54969.54
2025-04-02 00:00:00+00:00,0.903,1.012,1.004,0.911,107245.57
2025-04-03 00:00:00+00:00,0.905,0.967,0.909,0.944,71005.57
2025-04-04 00:00:00+00:00,0.9,0.942,0.941,0.934,82712.29
2025-04-05 00:00:00+00:00,0.909,0.947,0.932,0.925,63626.62
2025-04-06 00:00:00+00:00,0.778,0.925,0.92,0.791,91607.8
2025-04-07 00:00:00+00:00,0.71,0.855,0.8,0.813,245414.13
2025-04-08 00:00:00+00:00,0.777,0.835,0.81,0.777,233486.34
2025-04-09 00:00:00+00:00,0.741,0.883,0.777,0.873,152668.98
2025-04-10 00:00:00+00:00,0.86,0.915,0.876,0.889,98030.52
2025-04-11 00:00:00+00:00,0.896,1.012,0.896,0.958,386818.29
2025-04-12 00:00:00+00:00,0.938,0.992,0.956,0.97,153414.96
2025-04-13 00:00:00+00:00,0.888,0.971,0.967,0.901,39590.69
2025-04-14 00:00:00+00:00,0.901,0.98,0.901,0.942,177124.58
2025-04-15 00:00:00+00:00,0.915,1.0,0.941,0.928,347675.13
2025-04-16 00:00:00+00:00,0.837,0.923,0.922,0.837,179831.28
2025-04-17 00:00:00+00:00,0.756,0.836,0.835,0.783,656364.82
2025-04-18 00:00:00+00:00,0.787,0.826,0.788,0.8,294493.17
2025-04-19 00:00:00+00:00,0.79,0.821,0.797,0.814,64845.69
2025-04-20 00:00:00+00:00,0.777,0.833,0.814,0.797,136118.52
2025-04-21 00:00:00+00:00,0.793,0.822,0.796,0.804,183197.65
2025-04-22 00:00:00+00:00,0.772,0.854,0.802,0.847,121924.36
2025-04-23 00:00:00+00:00,0.842,0.89,0.846,0.889,266475.54
2025-04-24 00:00:00+00:00,0.833,0.896,0.891,0.894,174725.13
2025-04-25 00:00:00+00:00,0.887,0.957,0.894,0.915,694833.04
2025-04-26 00:00:00+00:00,0.891,0.954,0.916,0.927,282551.39
