time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,63.7,66.75,66.61,63.87,4171.399
2024-06-11 00:00:00+00:00,58.22,64.15,63.88,59.68,9253.858
2024-06-12 00:00:00+00:00,58.63,63.19,59.72,60.92,6796.218
2024-06-13 00:00:00+00:00,59.2,62.88,60.88,60.03,8249.498
2024-06-14 00:00:00+00:00,56.62,61.34,60.19,58.8,8350.329
2024-06-15 00:00:00+00:00,58.45,61.11,58.83,60.54,3097.9
2024-06-16 00:00:00+00:00,59.46,61.46,60.48,60.6,3497.735
2024-06-17 00:00:00+00:00,55.56,60.91,60.4,57.07,10047.584
2024-06-18 00:00:00+00:00,50.59,57.07,57.05,52.97,15508.858
2024-06-19 00:00:00+00:00,51.87,55.62,52.97,52.82,6719.212
2024-06-20 00:00:00+00:00,50.29,54.33,53.12,50.69,9139.052
2024-06-21 00:00:00+00:00,49.56,52.0,50.72,50.04,7144.662
2024-06-22 00:00:00+00:00,48.63,50.07,50.07,48.83,5999.509
2024-06-23 00:00:00+00:00,46.86,49.91,48.78,47.25,2776.693
2024-06-24 00:00:00+00:00,44.2,47.53,47.27,47.3,12893.672
2024-06-25 00:00:00+00:00,47.12,51.38,47.16,49.65,7216.714
2024-06-26 00:00:00+00:00,47.47,50.6,49.54,48.32,5702.519
2024-06-27 00:00:00+00:00,47.03,49.86,48.39,48.85,11775.241
2024-06-28 00:00:00+00:00,47.12,49.92,48.83,47.23,4787.497
2024-06-29 00:00:00+00:00,46.18,47.84,47.19,46.2,2242.115
2024-06-30 00:00:00+00:00,45.86,48.32,46.21,48.01,2269.528
2024-07-01 00:00:00+00:00,47.4,49.52,47.99,47.58,10025.851
2024-07-02 00:00:00+00:00,47.42,48.62,47.59,48.62,5821.68
2024-07-03 00:00:00+00:00,45.03,49.03,48.46,45.88,6470.551
2024-07-04 00:00:00+00:00,38.43,45.79,45.73,38.99,14572.867
2024-07-05 00:00:00+00:00,33.55,39.03,39.02,36.06,31067.38
2024-07-06 00:00:00+00:00,35.65,40.19,36.0,39.42,10524.526
2024-07-07 00:00:00+00:00,37.39,39.47,39.41,37.45,2951.48
2024-07-08 00:00:00+00:00,36.34,40.16,37.62,39.22,7945.673
2024-07-09 00:00:00+00:00,38.98,40.76,39.14,40.01,3417.185
2024-07-10 00:00:00+00:00,39.6,41.59,40.01,40.79,6918.355
2024-07-11 00:00:00+00:00,39.97,42.26,40.7,40.13,6225.858
2024-07-12 00:00:00+00:00,39.05,40.55,40.16,40.22,4336.642
2024-07-13 00:00:00+00:00,39.76,40.61,40.23,40.19,2983.981
2024-07-14 00:00:00+00:00,39.87,41.34,40.16,41.06,3357.883
2024-07-15 00:00:00+00:00,40.87,46.21,41.04,46.17,10981.419
2024-07-16 00:00:00+00:00,43.76,47.58,46.13,46.95,8184.888
2024-07-17 00:00:00+00:00,45.7,48.1,46.93,45.75,5730.476
2024-07-18 00:00:00+00:00,45.42,47.2,46.0,46.43,6009.554
2024-07-19 00:00:00+00:00,45.17,49.82,46.24,49.44,8772.336
2024-07-20 00:00:00+00:00,49.12,51.0,49.48,49.87,7590.131
2024-07-21 00:00:00+00:00,47.5,50.13,49.87,50.07,5964.434
2024-07-22 00:00:00+00:00,48.09,50.69,50.08,48.4,6154.395
2024-07-23 00:00:00+00:00,48.13,54.98,48.58,50.07,13338.748
2024-07-24 00:00:00+00:00,47.75,50.55,50.11,48.2,8567.936
2024-07-25 00:00:00+00:00,43.5,48.52,48.21,45.06,15097.956
2024-07-26 00:00:00+00:00,45.04,50.23,45.04,49.17,13562.003
2024-07-27 00:00:00+00:00,48.29,49.82,49.03,49.01,8270.978
2024-07-28 00:00:00+00:00,48.44,49.93,48.79,48.63,4496.543
2024-07-29 00:00:00+00:00,47.4,50.92,48.5,47.97,7328.471
2024-07-30 00:00:00+00:00,46.6,48.4,47.82,46.9,5742.48
2024-07-31 00:00:00+00:00,43.92,47.8,46.88,44.5,5654.237
2024-08-01 00:00:00+00:00,40.41,44.49,44.49,42.68,9039.697
2024-08-02 00:00:00+00:00,39.07,42.83,42.73,39.25,3575.245
2024-08-03 00:00:00+00:00,35.62,39.44,39.36,36.29,12962.792
2024-08-04 00:00:00+00:00,32.39,36.93,36.21,32.5,14767.181
2024-08-05 00:00:00+00:00,25.64,32.58,32.54,27.83,61772.894
2024-08-06 00:00:00+00:00,27.74,31.56,27.74,30.7,13519.116
2024-08-07 00:00:00+00:00,28.94,31.5,30.74,29.03,8122.661
2024-08-08 00:00:00+00:00,28.66,34.51,29.11,34.21,8035.62
2024-08-09 00:00:00+00:00,32.12,34.22,34.22,32.94,4957.249
2024-08-10 00:00:00+00:00,32.42,33.37,32.94,32.96,2133.722
2024-08-11 00:00:00+00:00,30.72,34.2,32.9,31.03,2425.538
2024-08-12 00:00:00+00:00,30.73,33.97,31.08,33.72,6085.701
2024-08-13 00:00:00+00:00,32.57,34.38,33.67,33.76,4580.226
2024-08-14 00:00:00+00:00,32.07,34.09,33.68,32.46,5659.485
2024-08-15 00:00:00+00:00,30.7,33.02,32.42,31.35,6026.531
2024-08-16 00:00:00+00:00,30.41,31.92,31.33,31.02,5150.075
2024-08-17 00:00:00+00:00,30.67,31.41,31.0,31.18,2427.366
2024-08-18 00:00:00+00:00,30.79,32.4,31.24,31.27,3087.31
2024-08-19 00:00:00+00:00,30.34,32.0,31.15,31.5,3186.998
2024-08-20 00:00:00+00:00,30.75,32.16,31.4,31.03,4253.441
2024-08-21 00:00:00+00:00,30.61,33.8,31.04,32.91,8657.215
2024-08-22 00:00:00+00:00,32.63,34.76,32.95,33.81,9964.925
2024-08-23 00:00:00+00:00,33.69,39.25,33.72,37.99,12993.21
2024-08-24 00:00:00+00:00,37.47,42.06,38.16,40.55,8495.113
2024-08-25 00:00:00+00:00,38.4,40.74,40.65,38.83,5430.997
2024-08-26 00:00:00+00:00,35.85,39.51,38.99,36.06,12215.383
2024-08-27 00:00:00+00:00,32.65,36.72,36.06,33.4,6842.711
2024-08-28 00:00:00+00:00,32.25,34.6,33.38,32.87,6839.088
2024-08-29 00:00:00+00:00,32.55,34.23,32.86,32.94,3072.497
2024-08-30 00:00:00+00:00,30.78,33.07,32.9,32.23,3877.509
2024-08-31 00:00:00+00:00,31.38,32.3,32.23,31.47,1499.169
2024-09-01 00:00:00+00:00,29.92,31.45,31.44,30.24,2120.387
2024-09-02 00:00:00+00:00,30.08,32.26,30.24,31.83,4671.996
2024-09-03 00:00:00+00:00,30.44,32.39,31.82,30.45,5959.029
2024-09-04 00:00:00+00:00,29.04,31.42,30.64,30.7,5476.871
2024-09-05 00:00:00+00:00,29.41,30.93,30.7,29.58,3133.465
2024-09-06 00:00:00+00:00,26.8,30.4,29.61,27.73,6660.492
2024-09-07 00:00:00+00:00,27.43,28.74,27.73,28.23,2817.764
2024-09-08 00:00:00+00:00,28.16,29.55,28.22,29.2,2917.946
2024-09-09 00:00:00+00:00,29.07,30.77,29.24,30.5,4535.892
2024-09-10 00:00:00+00:00,29.77,30.99,30.36,30.5,3851.683
2024-09-11 00:00:00+00:00,28.96,30.41,30.37,29.68,2347.874
2024-09-12 00:00:00+00:00,29.74,30.7,29.74,30.57,2232.871
2024-09-13 00:00:00+00:00,30.14,33.91,30.55,33.52,5923.418
2024-09-14 00:00:00+00:00,32.09,33.35,33.3,32.47,4635.346
2024-09-15 00:00:00+00:00,30.19,32.67,32.5,30.55,3569.354
2024-09-16 00:00:00+00:00,29.2,30.49,30.48,29.71,5474.275
2024-09-17 00:00:00+00:00,29.41,32.53,29.82,31.34,6799.515
2024-09-18 00:00:00+00:00,30.37,32.59,31.42,32.59,4923.147
2024-09-19 00:00:00+00:00,32.63,35.04,32.63,34.01,11702.529
2024-09-20 00:00:00+00:00,33.68,38.82,34.19,37.18,13541.282
2024-09-21 00:00:00+00:00,35.93,37.47,37.26,37.24,2961.954
2024-09-22 00:00:00+00:00,35.23,37.69,37.28,36.16,6548.885
2024-09-23 00:00:00+00:00,35.49,38.31,36.16,36.93,8023.6
2024-09-24 00:00:00+00:00,36.27,41.14,37.19,40.78,16093.267
2024-09-25 00:00:00+00:00,39.1,42.17,40.8,39.48,14528.642
2024-09-26 00:00:00+00:00,38.47,41.06,39.66,40.31,12134.465
2024-09-27 00:00:00+00:00,39.83,43.0,40.44,41.67,11616.52
