time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.725,0.756,0.749,0.728,326315.06
2024-06-11 00:00:00+00:00,0.675,0.729,0.728,0.689,877424.388
2024-06-12 00:00:00+00:00,0.669,0.743,0.689,0.712,594232.1
2024-06-13 00:00:00+00:00,0.668,0.714,0.71,0.674,420569.871
2024-06-14 00:00:00+00:00,0.633,0.688,0.675,0.646,436121.794
2024-06-15 00:00:00+00:00,0.641,0.663,0.645,0.648,281174.6
2024-06-16 00:00:00+00:00,0.637,0.666,0.649,0.658,486079.628
2024-06-17 00:00:00+00:00,0.586,0.662,0.659,0.6,801819.021
2024-06-18 00:00:00+00:00,0.52,0.602,0.6,0.549,1538273.913
2024-06-19 00:00:00+00:00,0.543,0.58,0.549,0.574,585338.341
2024-06-20 00:00:00+00:00,0.567,0.609,0.575,0.575,656192.507
2024-06-21 00:00:00+00:00,0.555,0.583,0.574,0.557,620014.136
2024-06-22 00:00:00+00:00,0.545,0.558,0.556,0.546,422161.274
2024-06-23 00:00:00+00:00,0.52,0.561,0.546,0.524,691923.684
2024-06-24 00:00:00+00:00,0.491,0.542,0.525,0.538,1049259.863
2024-06-25 00:00:00+00:00,0.537,0.558,0.537,0.55,360547.587
2024-06-26 00:00:00+00:00,0.519,0.555,0.55,0.523,305811.387
2024-06-27 00:00:00+00:00,0.511,0.545,0.523,0.528,815882.105
2024-06-28 00:00:00+00:00,0.508,0.541,0.529,0.51,288538.32
2024-06-29 00:00:00+00:00,0.507,0.525,0.511,0.51,297091.056
2024-06-30 00:00:00+00:00,0.504,0.541,0.51,0.54,605916.317
2024-07-01 00:00:00+00:00,0.531,0.557,0.539,0.541,606337.927
2024-07-02 00:00:00+00:00,0.529,0.553,0.542,0.545,537290.919
2024-07-03 00:00:00+00:00,0.508,0.548,0.544,0.512,722407.513
2024-07-04 00:00:00+00:00,0.449,0.514,0.511,0.452,2034183.608
2024-07-05 00:00:00+00:00,0.395,0.459,0.453,0.452,2950081.464
2024-07-06 00:00:00+00:00,0.445,0.492,0.451,0.486,693909.413
2024-07-07 00:00:00+00:00,0.451,0.486,0.486,0.454,500648.324
2024-07-08 00:00:00+00:00,0.436,0.495,0.455,0.469,879275.321
2024-07-09 00:00:00+00:00,0.466,0.494,0.469,0.491,1300930.735
2024-07-10 00:00:00+00:00,0.484,0.515,0.491,0.497,589933.6
2024-07-11 00:00:00+00:00,0.476,0.51,0.497,0.479,583460.321
2024-07-12 00:00:00+00:00,0.472,0.496,0.48,0.488,614142.811
2024-07-13 00:00:00+00:00,0.485,0.507,0.488,0.499,734126.512
2024-07-14 00:00:00+00:00,0.499,0.522,0.499,0.517,509997.101
2024-07-15 00:00:00+00:00,0.515,0.541,0.517,0.54,698219.391
2024-07-16 00:00:00+00:00,0.514,0.55,0.54,0.543,810999.902
2024-07-17 00:00:00+00:00,0.542,0.576,0.542,0.551,1307735.443
2024-07-18 00:00:00+00:00,0.521,0.564,0.552,0.531,662543.036
2024-07-19 00:00:00+00:00,0.518,0.564,0.532,0.562,662766.641
2024-07-20 00:00:00+00:00,0.554,0.577,0.562,0.575,654015.459
