time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,19.49,20.55,20.5,19.91,6752.311
2024-06-11 00:00:00+00:00,18.7,19.95,19.86,19.03,4915.471
2024-06-12 00:00:00+00:00,18.81,20.23,18.99,19.83,3576.789
2024-06-13 00:00:00+00:00,19.12,19.89,19.83,19.15,3074.622
2024-06-14 00:00:00+00:00,18.57,19.77,19.32,18.93,2878.745
2024-06-15 00:00:00+00:00,18.86,19.9,18.94,19.29,1257.584
2024-06-16 00:00:00+00:00,19.04,19.73,19.29,19.37,2507.553
2024-06-17 00:00:00+00:00,17.76,19.52,19.45,17.77,4115.317
2024-06-18 00:00:00+00:00,16.14,17.85,17.84,16.93,7500.267
2024-06-19 00:00:00+00:00,16.81,18.38,16.97,17.0,3929.708
2024-06-20 00:00:00+00:00,16.0,17.87,17.07,16.91,6099.106
2024-06-21 00:00:00+00:00,16.37,17.31,16.95,16.78,4166.173
2024-06-22 00:00:00+00:00,16.32,17.09,16.82,16.86,1299.078
2024-06-23 00:00:00+00:00,16.18,17.42,16.88,16.21,4121.849
2024-06-24 00:00:00+00:00,15.93,17.04,16.25,17.01,3007.702
2024-06-25 00:00:00+00:00,16.92,17.52,17.09,17.31,2425.595
2024-06-26 00:00:00+00:00,16.75,17.55,17.32,16.9,1794.103
2024-06-27 00:00:00+00:00,16.78,18.75,16.85,17.34,8459.446
2024-06-28 00:00:00+00:00,17.01,17.64,17.33,17.06,2110.639
2024-06-29 00:00:00+00:00,16.31,17.25,17.02,16.47,2080.729
2024-06-30 00:00:00+00:00,16.01,17.26,16.46,17.16,3246.899
2024-07-01 00:00:00+00:00,16.99,25.81,17.13,22.07,196634.474
2024-07-02 00:00:00+00:00,19.39,23.25,22.1,19.79,80589.917
2024-07-03 00:00:00+00:00,19.6,22.34,19.8,20.47,52661.072
2024-07-04 00:00:00+00:00,18.07,22.34,20.46,19.78,36818.213
2024-07-05 00:00:00+00:00,18.32,21.7,19.77,20.06,42694.615
2024-07-06 00:00:00+00:00,18.82,20.5,20.06,19.92,21673.506
2024-07-07 00:00:00+00:00,19.0,21.46,19.94,19.73,30956.481
2024-07-08 00:00:00+00:00,19.0,20.63,19.76,19.5,10484.049
2024-07-09 00:00:00+00:00,19.41,20.85,19.49,20.13,18132.336
2024-07-10 00:00:00+00:00,20.0,22.62,20.21,21.17,26946.613
2024-07-11 00:00:00+00:00,20.45,22.1,21.16,20.53,13702.619
2024-07-12 00:00:00+00:00,19.89,21.02,20.6,20.14,8019.813
2024-07-13 00:00:00+00:00,19.45,21.4,20.19,20.85,11305.181
2024-07-14 00:00:00+00:00,20.3,21.38,20.9,20.85,5945.872
2024-07-15 00:00:00+00:00,19.78,21.19,20.88,20.74,11225.435
2024-07-16 00:00:00+00:00,20.22,21.8,20.74,20.87,12241.106
2024-07-17 00:00:00+00:00,19.9,21.23,20.84,19.99,6725.546
2024-07-18 00:00:00+00:00,19.27,20.16,20.05,19.43,6736.079
2024-07-19 00:00:00+00:00,18.97,20.23,19.41,20.05,14744.609
2024-07-20 00:00:00+00:00,19.76,20.23,20.11,19.9,4301.502
2024-07-21 00:00:00+00:00,19.1,20.53,19.83,19.84,17787.153
2024-07-22 00:00:00+00:00,19.25,20.95,19.79,19.29,20391.152
2024-07-23 00:00:00+00:00,18.6,19.81,19.29,19.18,7301.161
2024-07-24 00:00:00+00:00,18.26,19.16,19.16,18.36,4621.398
2024-07-25 00:00:00+00:00,17.92,20.44,18.35,18.5,28057.931
2024-07-26 00:00:00+00:00,18.36,19.17,18.5,19.0,5719.632
2024-07-27 00:00:00+00:00,18.7,19.64,18.99,19.01,11620.62
2024-07-28 00:00:00+00:00,18.45,19.64,19.0,18.89,5445.106
2024-07-29 00:00:00+00:00,18.86,19.49,18.89,19.13,4448.058
2024-07-30 00:00:00+00:00,18.08,19.36,19.13,18.21,6994.208
2024-07-31 00:00:00+00:00,17.22,18.49,18.2,17.37,10108.759
2024-08-01 00:00:00+00:00,16.41,17.56,17.5,17.35,7631.627
2024-08-02 00:00:00+00:00,16.25,17.69,17.35,16.57,6306.083
