time,low,high,open,close,volume
2024-12-05 00:00:00+00:00,2.42e-06,4.32e-06,2.49e-06,2.9e-06,5781865419452
2024-12-06 00:00:00+00:00,2.83e-06,3.98e-06,2.9e-06,3.77e-06,19712365189430
2024-12-07 00:00:00+00:00,3.58e-06,4.06e-06,3.75e-06,3.85e-06,9862238243957
2024-12-08 00:00:00+00:00,3.62e-06,3.91e-06,3.85e-06,3.81e-06,3447537061192
2024-12-09 00:00:00+00:00,3.02e-06,3.88e-06,3.81e-06,3.47e-06,4986824568137
2024-12-10 00:00:00+00:00,3.01e-06,3.62e-06,3.48e-06,3.35e-06,3154500194510
2024-12-11 00:00:00+00:00,3.12e-06,3.44e-06,3.35e-06,3.3e-06,1906710721772
2024-12-12 00:00:00+00:00,3e-06,3.35e-06,3.31e-06,3.09e-06,1629611777463
2024-12-13 00:00:00+00:00,3.03e-06,3.26e-06,3.09e-06,3.1e-06,1199727914878
2024-12-14 00:00:00+00:00,2.85e-06,3.16e-06,3.09e-06,2.95e-06,922945113111
2024-12-15 00:00:00+00:00,2.83e-06,3.09e-06,2.95e-06,3.08e-06,699040199232
2024-12-16 00:00:00+00:00,2.9e-06,3.17e-06,3.08e-06,3e-06,1442005975627
2024-12-17 00:00:00+00:00,2.66e-06,3.04e-06,3e-06,2.72e-06,1563587868214
2024-12-18 00:00:00+00:00,2.49e-06,2.79e-06,2.72e-06,2.5e-06,1461564859765
2024-12-19 00:00:00+00:00,2.19e-06,2.6e-06,2.5e-06,2.34e-06,1520239962519
2024-12-20 00:00:00+00:00,1.97e-06,2.41e-06,2.35e-06,2.29e-06,1499863392874
2024-12-21 00:00:00+00:00,1.96e-06,2.33e-06,2.28e-06,2.01e-06,1255435963569
2024-12-22 00:00:00+00:00,1.97e-06,2.25e-06,2e-06,2.1e-06,1206287755337
2024-12-23 00:00:00+00:00,2.03e-06,2.38e-06,2.1e-06,2.32e-06,952918267341
2024-12-24 00:00:00+00:00,2.24e-06,2.5e-06,2.33e-06,2.46e-06,1034486937050
2024-12-25 00:00:00+00:00,2.45e-06,2.62e-06,2.46e-06,2.49e-06,1028837339810
2024-12-26 00:00:00+00:00,2.18e-06,2.51e-06,2.49e-06,2.2e-06,874176939581
2024-12-27 00:00:00+00:00,2.15e-06,2.34e-06,2.2e-06,2.24e-06,838342555865
2024-12-28 00:00:00+00:00,2.19e-06,2.4e-06,2.23e-06,2.36e-06,531215710910
2024-12-29 00:00:00+00:00,2.07e-06,2.36e-06,2.36e-06,2.09e-06,792172488617
2024-12-30 00:00:00+00:00,2.04e-06,2.18e-06,2.09e-06,2.09e-06,839878628538
2024-12-31 00:00:00+00:00,2e-06,2.14e-06,2.09e-06,2.02e-06,743230843043
2025-01-01 00:00:00+00:00,1.98e-06,2.1e-06,2.01e-06,2.03e-06,796175040727
2025-01-02 00:00:00+00:00,1.94e-06,2.19e-06,2.02e-06,2.13e-06,1360660107210
2025-01-03 00:00:00+00:00,2.06e-06,2.6e-06,2.12e-06,2.57e-06,2742098849385
2025-01-04 00:00:00+00:00,2.45e-06,2.89e-06,2.57e-06,2.8e-06,2327800351138
2025-01-05 00:00:00+00:00,2.67e-06,2.95e-06,2.79e-06,2.9e-06,2783523588034
2025-01-06 00:00:00+00:00,2.66e-06,3e-06,2.9e-06,2.66e-06,1736085721672
2025-01-07 00:00:00+00:00,2.35e-06,2.69e-06,2.67e-06,2.37e-06,1427086604791
2025-01-08 00:00:00+00:00,2.09e-06,2.4e-06,2.36e-06,2.18e-06,1537870369546
2025-01-09 00:00:00+00:00,1.9e-06,2.21e-06,2.19e-06,1.94e-06,1986877577434
2025-01-10 00:00:00+00:00,1.93e-06,2.1e-06,1.95e-06,1.96e-06,1222020998579
2025-01-11 00:00:00+00:00,1.84e-06,1.98e-06,1.95e-06,1.89e-06,1204482293928
2025-01-12 00:00:00+00:00,1.79e-06,1.92e-06,1.89e-06,1.84e-06,779996627834
2025-01-13 00:00:00+00:00,1.64e-06,1.93e-06,1.83e-06,1.79e-06,1407814413637
2025-01-14 00:00:00+00:00,1.78e-06,1.99e-06,1.79e-06,1.92e-06,1419991099747
2025-01-15 00:00:00+00:00,1.8e-06,2.12e-06,1.92e-06,2.03e-06,1623764155141
2025-01-16 00:00:00+00:00,1.75e-06,2.05e-06,2.03e-06,1.78e-06,1962111696467
2025-01-17 00:00:00+00:00,1.76e-06,2.05e-06,1.76e-06,2.01e-06,3111321791601
2025-01-18 00:00:00+00:00,1.63e-06,2.04e-06,2.01e-06,1.75e-06,3242542010938
2025-01-19 00:00:00+00:00,1.55e-06,2e-06,1.75e-06,1.71e-06,4174179050672
2025-01-20 00:00:00+00:00,1.51e-06,1.77e-06,1.71e-06,1.62e-06,2740514069959
2025-01-21 00:00:00+00:00,1.45e-06,1.81e-06,1.62e-06,1.79e-06,2963109075214
2025-01-22 00:00:00+00:00,1.67e-06,1.92e-06,1.79e-06,1.69e-06,1920862503516
2025-01-23 00:00:00+00:00,1.52e-06,1.72e-06,1.68e-06,1.59e-06,1608619948597
2025-01-24 00:00:00+00:00,1.45e-06,1.69e-06,1.58e-06,1.49e-06,1776935077739
2025-01-25 00:00:00+00:00,1.41e-06,1.51e-06,1.49e-06,1.42e-06,1728877229211
2025-01-26 00:00:00+00:00,1.28e-06,1.46e-06,1.42e-06,1.29e-06,2832740737782
2025-01-27 00:00:00+00:00,1.14e-06,1.33e-06,1.29e-06,1.25e-06,2456012782256
2025-01-28 00:00:00+00:00,1.05e-06,1.27e-06,1.25e-06,1.09e-06,2104765535379
2025-01-29 00:00:00+00:00,1.06e-06,1.24e-06,1.09e-06,1.13e-06,2438143281298
2025-01-30 00:00:00+00:00,1.09e-06,1.26e-06,1.12e-06,1.14e-06,1728011121744
2025-01-31 00:00:00+00:00,1.13e-06,1.43e-06,1.14e-06,1.26e-06,3922786681415
2025-02-01 00:00:00+00:00,1e-06,1.32e-06,1.26e-06,1.02e-06,3072601863462
2025-02-02 00:00:00+00:00,8.3e-07,1.07e-06,1.02e-06,9.1e-07,5353520957733
2025-02-03 00:00:00+00:00,6.1e-07,1.1e-06,9.1e-07,1.04e-06,7256469903184
2025-02-04 00:00:00+00:00,8.8e-07,1.03e-06,1.03e-06,9.5e-07,3524127425047
2025-02-05 00:00:00+00:00,8.5e-07,1.02e-06,9.5e-07,8.7e-07,2332921593400
2025-02-06 00:00:00+00:00,7.8e-07,9.2e-07,8.7e-07,7.9e-07,2571556455302
2025-02-07 00:00:00+00:00,7.4e-07,9.2e-07,8e-07,7.8e-07,2667461786564
2025-02-08 00:00:00+00:00,7.5e-07,9e-07,7.8e-07,8.8e-07,3173717774614
2025-02-09 00:00:00+00:00,7.9e-07,9.4e-07,8.8e-07,8.9e-07,3640954789576
2025-02-10 00:00:00+00:00,8.3e-07,9.3e-07,8.9e-07,8.5e-07,2689508056604
2025-02-11 00:00:00+00:00,8.2e-07,9.8e-07,8.5e-07,8.4e-07,2026655311608
2025-02-12 00:00:00+00:00,7.7e-07,9.1e-07,8.4e-07,8.9e-07,3140862518586
2025-02-13 00:00:00+00:00,7.9e-07,9e-07,8.9e-07,8.2e-07,1883911674245
2025-02-14 00:00:00+00:00,8.1e-07,9.6e-07,8.2e-07,8.7e-07,3479539167249
2025-02-15 00:00:00+00:00,7.7e-07,8.7e-07,8.7e-07,7.9e-07,1725498039590
2025-02-16 00:00:00+00:00,7.8e-07,8.3e-07,7.9e-07,8e-07,1461799504197
2025-02-17 00:00:00+00:00,7.9e-07,9.6e-07,8.1e-07,8.4e-07,3874268963149
2025-02-18 00:00:00+00:00,6.9e-07,8.7e-07,8.5e-07,7.3e-07,4161890610179
2025-02-19 00:00:00+00:00,6.9e-07,7.7e-07,7.3e-07,7.4e-07,2166976900046
2025-02-20 00:00:00+00:00,7.2e-07,8e-07,7.4e-07,7.8e-07,1516533494418
2025-02-21 00:00:00+00:00,7.2e-07,8.6e-07,8e-07,7.3e-07,2353531931087
2025-02-22 00:00:00+00:00,7.2e-07,8.3e-07,7.3e-07,8.1e-07,1582360987494
2025-02-23 00:00:00+00:00,7.5e-07,8.4e-07,8.1e-07,8e-07,1493090192017
2025-02-24 00:00:00+00:00,6.8e-07,8.2e-07,8e-07,6.9e-07,1824640003580
2025-02-25 00:00:00+00:00,6e-07,7e-07,6.9e-07,6.7e-07,2452433081922
2025-02-26 00:00:00+00:00,6.1e-07,7e-07,6.6e-07,6.5e-07,1213789101042
2025-02-27 00:00:00+00:00,6.3e-07,7e-07,6.6e-07,6.5e-07,1076665244703
2025-02-28 00:00:00+00:00,5.8e-07,6.9e-07,6.4e-07,6.6e-07,2711239473144
2025-03-01 00:00:00+00:00,6.2e-07,6.7e-07,6.6e-07,6.3e-07,1351616712516
2025-03-02 00:00:00+00:00,6.2e-07,7.5e-07,6.3e-07,7.3e-07,2557096536474
2025-03-03 00:00:00+00:00,5.6e-07,7.4e-07,7.4e-07,5.7e-07,3005364423418
2025-03-04 00:00:00+00:00,4.5e-07,5.9e-07,5.7e-07,5.1e-07,4460562754503
2025-03-05 00:00:00+00:00,4.9e-07,5.5e-07,5e-07,5.3e-07,2149923764227
2025-03-06 00:00:00+00:00,5.1e-07,5.6e-07,5.4e-07,5.2e-07,1905489385838
2025-03-07 00:00:00+00:00,4.9e-07,5.4e-07,5.2e-07,5e-07,2076419424132
