time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,23.63,24.94,24.82,23.84,23184.05
2024-06-11 00:00:00+00:00,22.36,24.08,23.87,22.95,16339.796
2024-06-12 00:00:00+00:00,22.36,24.62,22.97,23.83,13625.883
2024-06-13 00:00:00+00:00,22.35,23.91,23.73,22.53,2680.274
2024-06-14 00:00:00+00:00,20.94,23.13,22.4,21.96,6743.174
2024-06-15 00:00:00+00:00,21.73,22.38,21.95,21.98,3041.508
2024-06-16 00:00:00+00:00,21.54,22.48,21.92,22.35,1987.942
2024-06-17 00:00:00+00:00,19.57,22.46,22.37,19.7,8164.02
2024-06-18 00:00:00+00:00,16.88,19.75,19.7,17.71,13985.2
2024-06-19 00:00:00+00:00,17.45,18.84,17.65,18.7,10402.064
2024-06-20 00:00:00+00:00,18.55,20.23,18.63,19.17,17305.357
2024-06-21 00:00:00+00:00,18.52,19.37,19.01,18.92,7042.183
2024-06-22 00:00:00+00:00,18.55,19.13,18.91,18.62,3795.903
2024-06-23 00:00:00+00:00,17.81,18.97,18.59,17.9,3561.523
2024-06-24 00:00:00+00:00,17.27,18.81,17.94,18.68,8110.275
2024-06-25 00:00:00+00:00,18.59,19.25,18.7,18.88,6678.542
2024-06-26 00:00:00+00:00,17.55,19.24,18.95,17.64,8792.283
2024-06-27 00:00:00+00:00,17.12,17.95,17.64,17.28,9478.64
2024-06-28 00:00:00+00:00,16.76,17.88,17.28,16.92,12013.774
2024-06-29 00:00:00+00:00,16.64,18.03,16.92,16.66,11410.457
2024-06-30 00:00:00+00:00,16.25,17.3,16.65,17.23,8133.983
2024-07-01 00:00:00+00:00,16.61,17.52,17.22,16.64,14534.878
2024-07-02 00:00:00+00:00,15.57,17.01,16.63,16.28,24091.757
2024-07-03 00:00:00+00:00,15.06,16.58,16.29,15.15,19794.624
2024-07-04 00:00:00+00:00,13.56,15.23,15.15,13.63,20214.879
2024-07-05 00:00:00+00:00,11.66,13.62,13.62,12.62,48251.029
2024-07-06 00:00:00+00:00,12.31,13.83,12.61,13.64,21325.912
2024-07-07 00:00:00+00:00,12.68,13.7,13.65,12.75,13677.784
2024-07-08 00:00:00+00:00,12.18,13.64,12.74,12.99,14543.231
