time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,1.0,1.0013,1.0,1.0005,901.53
2024-06-11 00:00:00+00:00,1.0001,1.0011,1.0002,1.0002,2111.68
2024-06-12 00:00:00+00:00,1.0002,1.0012,1.0003,1.0002,2787.57
2024-06-13 00:00:00+00:00,0.9989,1.0048,1.0002,0.9989,10450.61
2024-06-14 00:00:00+00:00,0.9986,1.0009,0.9993,0.999,805.51
2024-06-15 00:00:00+00:00,0.9987,1.0008,0.999,1.0008,1087.7
2024-06-16 00:00:00+00:00,0.9988,1.0008,0.9991,0.9988,337.8
2024-06-17 00:00:00+00:00,0.9988,1.0009,0.999,0.999,2809.29
2024-06-18 00:00:00+00:00,0.9964,1.01,1.0001,1.0,33146.57
2024-06-19 00:00:00+00:00,0.9989,1.0011,0.999,1.0011,2896.33
2024-06-20 00:00:00+00:00,0.994,1.0012,0.9992,0.999,14866.32
2024-06-21 00:00:00+00:00,0.9987,1.0,0.999,0.9989,3022.82
2024-06-22 00:00:00+00:00,0.9975,1.0,0.9999,0.9976,2149.04
2024-06-23 00:00:00+00:00,0.9974,0.9999,0.9999,0.9974,861.04
2024-06-24 00:00:00+00:00,0.9972,0.9998,0.9972,0.9998,2393.17
2024-06-25 00:00:00+00:00,0.9973,0.9998,0.9974,0.9978,3377.41
2024-06-26 00:00:00+00:00,0.9973,0.9998,0.9978,0.9973,1153.6
2024-06-27 00:00:00+00:00,0.9967,0.9997,0.9973,0.9967,419.0
2024-06-28 00:00:00+00:00,0.996,0.9998,0.9996,0.996,921.4
2024-06-29 00:00:00+00:00,0.9961,0.9998,0.9961,0.9966,52.4
2024-06-30 00:00:00+00:00,0.9964,0.9998,0.9997,0.9965,450.72
2024-07-01 00:00:00+00:00,0.9965,1.007,0.9966,1.0038,53287.79
2024-07-02 00:00:00+00:00,0.9973,1.0038,0.9973,0.9991,13596.09
2024-07-03 00:00:00+00:00,0.9974,1.0038,0.9974,0.999,520.3
2024-07-04 00:00:00+00:00,0.9989,1.0038,1.0009,0.999,1710.09
2024-07-05 00:00:00+00:00,0.9989,1.001,0.9991,1.0006,2920.77
2024-07-06 00:00:00+00:00,0.999,1.001,1.0009,0.9991,1380.58
2024-07-07 00:00:00+00:00,0.9989,1.001,0.9991,0.999,1523.5
