time,low,high,open,close,volume
2025-03-27 00:00:00+00:00,2.873,2.921,2.921,2.884,6382.45
2025-03-28 00:00:00+00:00,2.639,2.909,2.884,2.709,134535.24
2025-03-29 00:00:00+00:00,2.46,2.76,2.71,2.491,108410.18
2025-03-30 00:00:00+00:00,2.469,2.627,2.499,2.535,83350.47
2025-03-31 00:00:00+00:00,2.457,2.763,2.54,2.74,180349.08
2025-04-01 00:00:00+00:00,2.731,3.081,2.742,3.034,483037.23
2025-04-02 00:00:00+00:00,2.909,3.324,3.033,2.962,577181.21
2025-04-03 00:00:00+00:00,2.705,3.191,2.963,3.181,467161.24
2025-04-04 00:00:00+00:00,3.004,3.264,3.185,3.19,681185.81
2025-04-05 00:00:00+00:00,3.029,3.291,3.192,3.057,304720.12
2025-04-06 00:00:00+00:00,2.583,3.131,3.056,2.638,476016.66
2025-04-07 00:00:00+00:00,2.373,3.02,2.635,2.861,1156082.47
2025-04-08 00:00:00+00:00,2.712,3.16,2.862,2.721,708973.39
2025-04-09 00:00:00+00:00,2.593,3.456,2.72,3.346,1289213.57
2025-04-10 00:00:00+00:00,3.133,3.415,3.344,3.175,697661.44
2025-04-11 00:00:00+00:00,3.166,3.472,3.174,3.252,573425.24
2025-04-12 00:00:00+00:00,3.168,3.574,3.25,3.457,705645.73
2025-04-13 00:00:00+00:00,3.172,3.534,3.457,3.22,535658.2
2025-04-14 00:00:00+00:00,3.091,3.337,3.217,3.108,665094.54
2025-04-15 00:00:00+00:00,3.008,3.239,3.107,3.046,315394.68
2025-04-16 00:00:00+00:00,3.016,3.237,3.046,3.146,532886.97
2025-04-17 00:00:00+00:00,2.982,3.236,3.143,3.113,539022.55
2025-04-18 00:00:00+00:00,3.03,3.192,3.114,3.173,329234.24
2025-04-19 00:00:00+00:00,3.101,3.218,3.171,3.173,255706.33
2025-04-20 00:00:00+00:00,3.042,3.227,3.172,3.118,268346.77
2025-04-21 00:00:00+00:00,3.111,3.379,3.117,3.236,336525.33
2025-04-22 00:00:00+00:00,3.181,3.487,3.239,3.47,266630.09
2025-04-23 00:00:00+00:00,3.221,3.582,3.469,3.269,585812.54
2025-04-24 00:00:00+00:00,3.119,3.529,3.269,3.437,469619.61
2025-04-25 00:00:00+00:00,3.315,3.767,3.434,3.563,741272.85
2025-04-26 00:00:00+00:00,3.422,3.682,3.564,3.46,303818.49
2025-04-27 00:00:00+00:00,3.26,3.534,3.459,3.299,295206.35
2025-04-28 00:00:00+00:00,3.194,3.438,3.303,3.375,408835.43
2025-04-29 00:00:00+00:00,3.27,3.423,3.376,3.325,192860.9
2025-04-30 00:00:00+00:00,3.227,3.465,3.323,3.44,337087.68
2025-05-01 00:00:00+00:00,3.432,3.584,3.441,3.514,231694.91
2025-05-02 00:00:00+00:00,3.512,3.642,3.512,3.615,176301.26
2025-05-03 00:00:00+00:00,3.304,3.62,3.614,3.335,164351.91
2025-05-04 00:00:00+00:00,3.172,3.344,3.333,3.212,65247.96
2025-05-05 00:00:00+00:00,3.141,3.277,3.216,3.229,67481.8
2025-05-06 00:00:00+00:00,3.083,3.231,3.23,3.212,130196.63
2025-05-07 00:00:00+00:00,3.118,3.253,3.212,3.229,130343.36
2025-05-08 00:00:00+00:00,3.182,3.761,3.231,3.68,403691.95
2025-05-09 00:00:00+00:00,3.612,3.996,3.678,3.862,501138.32
2025-05-10 00:00:00+00:00,3.822,4.133,3.856,4.089,357532.48
2025-05-11 00:00:00+00:00,3.766,4.124,4.089,3.901,265730.74
2025-05-12 00:00:00+00:00,3.63,4.117,3.903,3.835,343832.56
2025-05-13 00:00:00+00:00,3.654,4.277,3.837,4.201,468195.97
2025-05-14 00:00:00+00:00,4.053,4.351,4.196,4.212,380130.88
2025-05-15 00:00:00+00:00,3.722,4.308,4.213,4.094,577815.18
2025-05-16 00:00:00+00:00,3.917,4.322,4.092,4.003,435959.81
2025-05-17 00:00:00+00:00,3.857,4.032,4.002,3.909,201771.93
2025-05-18 00:00:00+00:00,3.857,4.195,3.91,4.188,248249.03
2025-05-19 00:00:00+00:00,3.837,4.216,4.189,4.14,219841.83
2025-05-20 00:00:00+00:00,4.135,4.489,4.141,4.388,437759.24
2025-05-21 00:00:00+00:00,4.255,4.561,4.388,4.372,413045.32
2025-05-22 00:00:00+00:00,4.362,4.721,4.372,4.648,365361.28
2025-05-23 00:00:00+00:00,4.236,4.714,4.648,4.257,258123.61
2025-05-24 00:00:00+00:00,4.244,4.513,4.255,4.428,143783.43
