time,low,high,open,close,volume
2024-11-13 00:00:00+00:00,1.745e-05,2.265e-05,1.921e-05,2.088e-05,5031880912412
2024-11-14 00:00:00+00:00,2.007e-05,2.595e-05,2.089e-05,2.065e-05,12761097212793
2024-11-15 00:00:00+00:00,1.88e-05,2.409e-05,2.064e-05,2.333e-05,9117367076416
2024-11-16 00:00:00+00:00,2.067e-05,2.404e-05,2.335e-05,2.131e-05,4645371798258
2024-11-17 00:00:00+00:00,1.95e-05,2.258e-05,2.127e-05,2.121e-05,3950350534111
2024-11-18 00:00:00+00:00,1.965e-05,2.277e-05,2.122e-05,2.044e-05,6159039435672
2024-11-19 00:00:00+00:00,1.9e-05,2.127e-05,2.042e-05,1.972e-05,4474037097895
2024-11-20 00:00:00+00:00,1.833e-05,2.061e-05,1.973e-05,1.878e-05,3127272579889
2024-11-21 00:00:00+00:00,1.807e-05,2.175e-05,1.88e-05,2.073e-05,6902351689656
2024-11-22 00:00:00+00:00,1.978e-05,2.186e-05,2.073e-05,2.065e-05,5126725714461
2024-11-23 00:00:00+00:00,1.964e-05,2.237e-05,2.066e-05,2.052e-05,5806052960361
2024-11-24 00:00:00+00:00,1.909e-05,2.126e-05,2.05e-05,2.022e-05,2644310976957
2024-11-25 00:00:00+00:00,1.834e-05,2.076e-05,2.024e-05,1.899e-05,2459929572221
2024-11-26 00:00:00+00:00,1.728e-05,1.948e-05,1.897e-05,1.827e-05,2177427998270
2024-11-27 00:00:00+00:00,1.788e-05,2.018e-05,1.826e-05,1.976e-05,2686590412914
2024-11-28 00:00:00+00:00,1.895e-05,2.041e-05,1.976e-05,1.987e-05,2184582903611
2024-11-29 00:00:00+00:00,1.944e-05,2.134e-05,1.987e-05,2.048e-05,2785789162610
2024-11-30 00:00:00+00:00,2.01e-05,2.165e-05,2.047e-05,2.022e-05,1887927035026
2024-12-01 00:00:00+00:00,2.008e-05,2.335e-05,2.022e-05,2.228e-05,5292083820298
2024-12-02 00:00:00+00:00,1.96e-05,2.289e-05,2.227e-05,2.045e-05,5167647591373
2024-12-03 00:00:00+00:00,1.884e-05,2.108e-05,2.045e-05,2.027e-05,2730128538169
2024-12-04 00:00:00+00:00,2.022e-05,2.211e-05,2.026e-05,2.182e-05,3951519100318
2024-12-05 00:00:00+00:00,2.035e-05,2.293e-05,2.181e-05,2.122e-05,4805586041045
2024-12-06 00:00:00+00:00,2.037e-05,2.236e-05,2.121e-05,2.159e-05,3045469290028
2024-12-07 00:00:00+00:00,2.113e-05,2.698e-05,2.159e-05,2.492e-05,7163231587955
2024-12-08 00:00:00+00:00,2.422e-05,2.72e-05,2.492e-05,2.645e-05,7560805107268
2024-12-09 00:00:00+00:00,2.295e-05,2.837e-05,2.645e-05,2.651e-05,11618460529273
2024-12-10 00:00:00+00:00,2.209e-05,2.725e-05,2.651e-05,2.349e-05,11028780880966
2024-12-11 00:00:00+00:00,2.162e-05,2.556e-05,2.348e-05,2.514e-05,6228908929908
2024-12-12 00:00:00+00:00,2.322e-05,2.574e-05,2.515e-05,2.364e-05,4561991344282
2024-12-13 00:00:00+00:00,2.307e-05,2.499e-05,2.364e-05,2.476e-05,2109746354165
2024-12-14 00:00:00+00:00,2.291e-05,2.487e-05,2.476e-05,2.334e-05,1546034863550
2024-12-15 00:00:00+00:00,2.258e-05,2.452e-05,2.334e-05,2.416e-05,1412221948746
2024-12-16 00:00:00+00:00,2.288e-05,2.47e-05,2.416e-05,2.346e-05,2113738230214
2024-12-17 00:00:00+00:00,2.207e-05,2.366e-05,2.346e-05,2.245e-05,1469421877438
2024-12-18 00:00:00+00:00,1.91e-05,2.253e-05,2.244e-05,1.947e-05,2758467929086
2024-12-19 00:00:00+00:00,1.651e-05,1.975e-05,1.945e-05,1.704e-05,4095378234912
2024-12-20 00:00:00+00:00,1.439e-05,1.793e-05,1.705e-05,1.766e-05,4821028186364
2024-12-21 00:00:00+00:00,1.693e-05,1.973e-05,1.768e-05,1.74e-05,2650412863014
2024-12-22 00:00:00+00:00,1.666e-05,1.842e-05,1.741e-05,1.781e-05,1892085530393
2024-12-23 00:00:00+00:00,1.722e-05,1.883e-05,1.784e-05,1.845e-05,1891265929998
2024-12-24 00:00:00+00:00,1.788e-05,1.953e-05,1.846e-05,1.924e-05,1387076615360
2024-12-25 00:00:00+00:00,1.813e-05,1.935e-05,1.924e-05,1.853e-05,1138878877420
2024-12-26 00:00:00+00:00,1.702e-05,1.876e-05,1.852e-05,1.738e-05,1159195803804
2024-12-27 00:00:00+00:00,1.725e-05,1.826e-05,1.738e-05,1.786e-05,1070747416605
2024-12-28 00:00:00+00:00,1.774e-05,1.9e-05,1.786e-05,1.873e-05,770334465088
2024-12-29 00:00:00+00:00,1.771e-05,1.916e-05,1.874e-05,1.786e-05,621169883927
2024-12-30 00:00:00+00:00,1.741e-05,1.895e-05,1.785e-05,1.843e-05,1227236168443
2024-12-31 00:00:00+00:00,1.767e-05,2.182e-05,1.843e-05,1.991e-05,4050099506651
2025-01-01 00:00:00+00:00,1.903e-05,2.073e-05,1.99e-05,1.933e-05,1920422866028
2025-01-02 00:00:00+00:00,1.915e-05,2.115e-05,1.934e-05,2.045e-05,2494791850991
2025-01-03 00:00:00+00:00,2.006e-05,2.2e-05,2.045e-05,2.159e-05,3062213744683
2025-01-04 00:00:00+00:00,2.054e-05,2.188e-05,2.157e-05,2.113e-05,1668740171943
2025-01-05 00:00:00+00:00,2.032e-05,2.139e-05,2.113e-05,2.07e-05,906717477476
2025-01-06 00:00:00+00:00,2.026e-05,2.139e-05,2.07e-05,2.079e-05,1077459931460
2025-01-07 00:00:00+00:00,1.844e-05,2.085e-05,2.078e-05,1.859e-05,1455327920711
2025-01-08 00:00:00+00:00,1.7e-05,1.892e-05,1.859e-05,1.782e-05,2484860744731
2025-01-09 00:00:00+00:00,1.662e-05,1.809e-05,1.783e-05,1.701e-05,1841828548908
2025-01-10 00:00:00+00:00,1.7e-05,1.791e-05,1.7e-05,1.763e-05,1622396417898
2025-01-11 00:00:00+00:00,1.745e-05,1.847e-05,1.764e-05,1.8e-05,890590927414
2025-01-12 00:00:00+00:00,1.748e-05,1.803e-05,1.801e-05,1.775e-05,505651459276
2025-01-13 00:00:00+00:00,1.559e-05,1.827e-05,1.774e-05,1.685e-05,2050537601580
2025-01-14 00:00:00+00:00,1.679e-05,1.763e-05,1.685e-05,1.747e-05,1009157517223
2025-01-15 00:00:00+00:00,1.686e-05,1.923e-05,1.747e-05,1.907e-05,1661838261753
2025-01-16 00:00:00+00:00,1.795e-05,1.925e-05,1.908e-05,1.813e-05,1584081817836
2025-01-17 00:00:00+00:00,1.812e-05,2.056e-05,1.813e-05,2.031e-05,2509499887886
2025-01-18 00:00:00+00:00,1.809e-05,2.104e-05,2.032e-05,1.843e-05,2810387232710
2025-01-19 00:00:00+00:00,1.517e-05,1.898e-05,1.843e-05,1.602e-05,5947172846469
2025-01-20 00:00:00+00:00,1.511e-05,1.756e-05,1.603e-05,1.579e-05,5356137317131
2025-01-21 00:00:00+00:00,1.471e-05,1.636e-05,1.578e-05,1.591e-05,2641126993496
