time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.6367,0.6646,0.6618,0.6502,99757.58
2024-06-11 00:00:00+00:00,0.6132,0.6579,0.6519,0.6351,133285.32
2024-06-12 00:00:00+00:00,0.6277,0.6753,0.6349,0.6601,96875.43
2024-06-13 00:00:00+00:00,0.6209,0.6569,0.6568,0.6296,60016.84
2024-06-14 00:00:00+00:00,0.6085,0.6521,0.6309,0.6193,44296.44
2024-06-15 00:00:00+00:00,0.6185,0.647,0.6205,0.6385,61365.64
2024-06-16 00:00:00+00:00,0.6323,0.6505,0.6396,0.6436,34926.06
2024-06-17 00:00:00+00:00,0.578,0.6496,0.6453,0.5902,98532.74
2024-06-18 00:00:00+00:00,0.5437,0.5937,0.5903,0.566,105309.06
2024-06-19 00:00:00+00:00,0.5537,0.5866,0.5634,0.5602,67067.49
2024-06-20 00:00:00+00:00,0.5599,0.5995,0.5627,0.5779,29557.67
2024-06-21 00:00:00+00:00,0.55,0.5882,0.5801,0.5685,88219.45
2024-06-22 00:00:00+00:00,0.5497,0.5696,0.5696,0.5593,21997.34
2024-06-23 00:00:00+00:00,0.5368,0.5731,0.5578,0.5368,39276.31
2024-06-24 00:00:00+00:00,0.5178,0.5606,0.5353,0.5606,67254.01
2024-06-25 00:00:00+00:00,0.5572,0.571,0.5615,0.5676,37875.68
2024-06-26 00:00:00+00:00,0.5452,0.574,0.5681,0.5533,62284.62
2024-06-27 00:00:00+00:00,0.5407,0.5713,0.5505,0.5713,22796.21
2024-06-28 00:00:00+00:00,0.5553,0.5752,0.5681,0.5556,22569.95
2024-06-29 00:00:00+00:00,0.5267,0.5623,0.556,0.5294,25988.14
2024-06-30 00:00:00+00:00,0.5113,0.5483,0.5284,0.5483,40758.81
2024-07-01 00:00:00+00:00,0.4935,0.5587,0.5486,0.4935,154854.02
2024-07-02 00:00:00+00:00,0.4609,0.4908,0.4907,0.4623,275478.37
2024-07-03 00:00:00+00:00,0.4252,0.4653,0.4638,0.4275,134891.2
2024-07-04 00:00:00+00:00,0.3955,0.4289,0.4279,0.3955,137597.31
2024-07-05 00:00:00+00:00,0.3597,0.3983,0.3969,0.3888,148866.08
2024-07-06 00:00:00+00:00,0.3858,0.4139,0.3878,0.4113,64541.07
2024-07-07 00:00:00+00:00,0.3858,0.4103,0.4103,0.3862,23225.12
2024-07-08 00:00:00+00:00,0.2842,0.3924,0.3856,0.3064,3904722.06
2024-07-09 00:00:00+00:00,0.2953,0.4359,0.3042,0.363,5923899.66
2024-07-10 00:00:00+00:00,0.3227,0.3663,0.3626,0.3269,2088504.39
2024-07-11 00:00:00+00:00,0.3012,0.3399,0.3266,0.3035,1830852.55
2024-07-12 00:00:00+00:00,0.302,0.4245,0.3036,0.3494,4586009.66
2024-07-13 00:00:00+00:00,0.3451,0.4676,0.3499,0.3869,3728362.3
2024-07-14 00:00:00+00:00,0.357,0.439,0.3869,0.3719,2069411.02
2024-07-15 00:00:00+00:00,0.3537,0.3904,0.372,0.3667,1295317.49
2024-07-16 00:00:00+00:00,0.3442,0.3712,0.3661,0.3499,1039501.03
2024-07-17 00:00:00+00:00,0.3394,0.3673,0.3499,0.3411,1561417.18
2024-07-18 00:00:00+00:00,0.3167,0.3615,0.3392,0.3317,1669554.9
2024-07-19 00:00:00+00:00,0.3077,0.36,0.3312,0.3251,2320468.44
2024-07-20 00:00:00+00:00,0.3195,0.3548,0.3253,0.325,1520848.56
2024-07-21 00:00:00+00:00,0.3096,0.3294,0.3237,0.3111,1479088.58
2024-07-22 00:00:00+00:00,0.2901,0.325,0.3111,0.3086,1436701.52
2024-07-23 00:00:00+00:00,0.2824,0.315,0.3088,0.2963,799697.03
2024-07-24 00:00:00+00:00,0.2779,0.2983,0.2946,0.2788,446926.75
2024-07-25 00:00:00+00:00,0.2776,0.3398,0.2788,0.2995,3618305.63
2024-07-26 00:00:00+00:00,0.2834,0.3015,0.2979,0.2952,551038.84
2024-07-27 00:00:00+00:00,0.2876,0.301,0.2952,0.2925,416823.26
2024-07-28 00:00:00+00:00,0.283,0.2935,0.2935,0.2843,341076.41
2024-07-29 00:00:00+00:00,0.2837,0.2933,0.2842,0.2899,256643.27
2024-07-30 00:00:00+00:00,0.2757,0.2953,0.2899,0.2812,558459.09
2024-07-31 00:00:00+00:00,0.2655,0.2843,0.28,0.2729,696121.68
2024-08-01 00:00:00+00:00,0.2594,0.285,0.2714,0.2681,648020.0
2024-08-02 00:00:00+00:00,0.2446,0.2691,0.2679,0.2608,617950.69
2024-08-03 00:00:00+00:00,0.2583,0.3078,0.2608,0.2653,2917196.89
2024-08-04 00:00:00+00:00,0.2491,0.268,0.2653,0.2577,826700.91
2024-08-05 00:00:00+00:00,0.2035,0.2598,0.2577,0.2232,1452730.67
2024-08-06 00:00:00+00:00,0.2218,0.2337,0.2225,0.2277,515688.66
2024-08-07 00:00:00+00:00,0.1942,0.2345,0.229,0.205,1093483.98
2024-08-08 00:00:00+00:00,0.2061,0.2336,0.2061,0.2336,478262.41
2024-08-09 00:00:00+00:00,0.2285,0.3268,0.2337,0.285,8067404.49
2024-08-10 00:00:00+00:00,0.255,0.295,0.285,0.2691,2950944.66
2024-08-11 00:00:00+00:00,0.2311,0.2743,0.2706,0.2429,1293731.31
2024-08-12 00:00:00+00:00,0.23,0.2976,0.244,0.259,3968067.99
2024-08-13 00:00:00+00:00,0.2452,0.2618,0.2599,0.25,564627.59
2024-08-14 00:00:00+00:00,0.2486,0.3,0.25,0.263,2190275.78
2024-08-15 00:00:00+00:00,0.2426,0.2645,0.263,0.2467,360479.02
2024-08-16 00:00:00+00:00,0.239,0.2606,0.2467,0.2444,677854.56
2024-08-17 00:00:00+00:00,0.2388,0.2454,0.2444,0.244,355693.87
2024-08-18 00:00:00+00:00,0.2432,0.2551,0.244,0.2444,468817.62
2024-08-19 00:00:00+00:00,0.2332,0.26,0.2442,0.2396,608505.91
2024-08-20 00:00:00+00:00,0.238,0.249,0.2396,0.2404,350303.19
2024-08-21 00:00:00+00:00,0.2384,0.2518,0.239,0.2489,278062.2
2024-08-22 00:00:00+00:00,0.2474,0.262,0.2489,0.2596,350240.98
2024-08-23 00:00:00+00:00,0.2533,0.2782,0.2596,0.2655,536245.39
2024-08-24 00:00:00+00:00,0.2602,0.2783,0.2655,0.2693,300346.86
2024-08-25 00:00:00+00:00,0.261,0.2755,0.2709,0.2623,272059.43
2024-08-26 00:00:00+00:00,0.25,0.2634,0.2623,0.2509,222709.91
2024-08-27 00:00:00+00:00,0.2391,0.2526,0.2513,0.2412,379454.97
2024-08-28 00:00:00+00:00,0.2388,0.2458,0.2412,0.2455,376692.12
2024-08-29 00:00:00+00:00,0.239,0.2504,0.2443,0.239,163158.37
2024-08-30 00:00:00+00:00,0.23,0.2465,0.2403,0.2357,291373.01
2024-08-31 00:00:00+00:00,0.2335,0.2412,0.2362,0.2391,178540.02
2024-09-01 00:00:00+00:00,0.2315,0.2483,0.2393,0.2341,244886.87
2024-09-02 00:00:00+00:00,0.2231,0.246,0.2376,0.2367,600057.65
2024-09-03 00:00:00+00:00,0.2246,0.2419,0.2367,0.2292,164153.46
2024-09-04 00:00:00+00:00,0.2183,0.2306,0.2277,0.2273,170234.77
2024-09-05 00:00:00+00:00,0.2218,0.2552,0.2272,0.2364,691759.44
2024-09-06 00:00:00+00:00,0.2322,0.367,0.2365,0.3241,10392929.6
2024-09-07 00:00:00+00:00,0.3202,0.51,0.3242,0.3795,21394543.2
2024-09-08 00:00:00+00:00,0.3521,0.419,0.3795,0.3793,5425529.41
2024-09-09 00:00:00+00:00,0.3328,0.3923,0.3795,0.3431,3785288.56
2024-09-10 00:00:00+00:00,0.3218,0.3615,0.3427,0.3218,2596773.24
2024-09-11 00:00:00+00:00,0.2944,0.33,0.3242,0.3071,1930682.73
2024-09-12 00:00:00+00:00,0.306,0.439,0.3085,0.36,8660409.24
2024-09-13 00:00:00+00:00,0.3494,0.395,0.3579,0.365,2685536.35
2024-09-14 00:00:00+00:00,0.343,0.3799,0.3657,0.3452,1063329.44
2024-09-15 00:00:00+00:00,0.3407,0.3766,0.3451,0.3499,930481.34
2024-09-16 00:00:00+00:00,0.3445,0.407,0.3494,0.3575,3064026.61
2024-09-17 00:00:00+00:00,0.3502,0.388,0.3568,0.3525,940105.23
2024-09-18 00:00:00+00:00,0.3164,0.355,0.3526,0.3393,2703002.91
2024-09-19 00:00:00+00:00,0.3292,0.3661,0.3392,0.34,1517378.26
2024-09-20 00:00:00+00:00,0.3368,0.3514,0.34,0.3382,810377.46
2024-09-21 00:00:00+00:00,0.317,0.3462,0.3382,0.3266,1288560.79
2024-09-22 00:00:00+00:00,0.316,0.3455,0.3264,0.321,1019106.71
2024-09-23 00:00:00+00:00,0.3134,0.3303,0.3194,0.323,561622.12
2024-09-24 00:00:00+00:00,0.3116,0.3258,0.3247,0.3175,542509.22
2024-09-25 00:00:00+00:00,0.3128,0.3632,0.3183,0.3228,2852817.69
2024-09-26 00:00:00+00:00,0.3163,0.3435,0.3229,0.3316,899732.02
2024-09-27 00:00:00+00:00,0.3239,0.3389,0.3297,0.3257,845355.09
2024-09-28 00:00:00+00:00,0.3169,0.3354,0.3258,0.3205,756819.31
2024-09-29 00:00:00+00:00,0.3139,0.335,0.3225,0.3189,810342.4
2024-09-30 00:00:00+00:00,0.3011,0.32,0.317,0.3058,469954.91
2024-10-01 00:00:00+00:00,0.2897,0.332,0.3051,0.2972,1281271.77
2024-10-02 00:00:00+00:00,0.2866,0.3449,0.2955,0.293,2469952.49
2024-10-03 00:00:00+00:00,0.281,0.306,0.2933,0.2955,1208242.64
2024-10-04 00:00:00+00:00,0.2936,0.3049,0.2962,0.295,389257.05
2024-10-05 00:00:00+00:00,0.2959,0.3709,0.2959,0.3145,5029588.17
2024-10-06 00:00:00+00:00,0.3,0.341,0.3148,0.3185,2142141.43
2024-10-07 00:00:00+00:00,0.3001,0.3339,0.3186,0.3041,854547.99
2024-10-08 00:00:00+00:00,0.2969,0.3146,0.3029,0.3082,333853.26
2024-10-09 00:00:00+00:00,0.2848,0.3135,0.3071,0.2895,404522.56
2024-10-10 00:00:00+00:00,0.2853,0.3034,0.2893,0.2947,371885.29
2024-10-11 00:00:00+00:00,0.2934,0.3113,0.2947,0.2998,479893.46
2024-10-12 00:00:00+00:00,0.29,0.3064,0.2994,0.2965,593045.98
2024-10-13 00:00:00+00:00,0.2894,0.3084,0.2968,0.2915,442829.24
2024-10-14 00:00:00+00:00,0.2874,0.306,0.2926,0.3025,448680.36
2024-10-15 00:00:00+00:00,0.2811,0.3214,0.3025,0.2897,1135648.12
2024-10-16 00:00:00+00:00,0.2781,0.294,0.2896,0.2839,446354.21
2024-10-17 00:00:00+00:00,0.2767,0.2859,0.2838,0.2828,286751.48
2024-10-18 00:00:00+00:00,0.2771,0.3016,0.2828,0.2855,998906.91
2024-10-19 00:00:00+00:00,0.2732,0.291,0.2857,0.2775,476170.43
2024-10-20 00:00:00+00:00,0.2751,0.2924,0.2775,0.2829,493975.03
2024-10-21 00:00:00+00:00,0.2753,0.2896,0.2829,0.2807,340326.69
