time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.2662,0.2753,0.2746,0.267,119216.8
2024-06-11 00:00:00+00:00,0.2491,0.2676,0.2674,0.2533,506303.9
2024-06-12 00:00:00+00:00,0.2454,0.2669,0.2538,0.2605,306750.2
2024-06-13 00:00:00+00:00,0.2466,0.2632,0.2612,0.2486,160883.0
2024-06-14 00:00:00+00:00,0.2361,0.2525,0.2483,0.2418,256469.8
2024-06-15 00:00:00+00:00,0.2413,0.2458,0.2414,0.2438,83749.2
2024-06-16 00:00:00+00:00,0.2394,0.246,0.2421,0.2443,78218.8
2024-06-17 00:00:00+00:00,0.2081,0.2456,0.2439,0.219,588172.2
2024-06-18 00:00:00+00:00,0.1959,0.2262,0.218,0.2069,1687073.2
2024-06-19 00:00:00+00:00,0.2048,0.2149,0.2064,0.2092,260523.8
2024-06-20 00:00:00+00:00,0.2088,0.2196,0.2091,0.2114,119741.6
2024-06-21 00:00:00+00:00,0.2068,0.2145,0.211,0.2081,273394.9
2024-06-22 00:00:00+00:00,0.2046,0.2137,0.2078,0.2135,83625.8
2024-06-23 00:00:00+00:00,0.204,0.2165,0.2125,0.2044,120121.7
2024-06-24 00:00:00+00:00,0.196,0.2087,0.2057,0.2087,284737.9
2024-06-25 00:00:00+00:00,0.2069,0.2196,0.2087,0.2178,92393.8
2024-06-26 00:00:00+00:00,0.2106,0.2202,0.2177,0.2131,175701.6
2024-06-27 00:00:00+00:00,0.2089,0.2202,0.2136,0.2194,44507.2
2024-06-28 00:00:00+00:00,0.2122,0.2204,0.219,0.2126,79579.9
2024-06-29 00:00:00+00:00,0.2057,0.2151,0.2124,0.2077,149874.2
2024-06-30 00:00:00+00:00,0.2058,0.2183,0.2087,0.2173,80212.1
2024-07-01 00:00:00+00:00,0.2097,0.2191,0.2168,0.2106,65641.3
2024-07-02 00:00:00+00:00,0.208,0.2125,0.2103,0.2101,130338.7
2024-07-03 00:00:00+00:00,0.2021,0.2131,0.2112,0.204,77541.3
2024-07-04 00:00:00+00:00,0.1751,0.2047,0.2036,0.1759,267297.6
2024-07-05 00:00:00+00:00,0.1505,0.1759,0.1759,0.1701,1012768.6
2024-07-06 00:00:00+00:00,0.1686,0.1867,0.1692,0.1849,190569.1
2024-07-07 00:00:00+00:00,0.1755,0.1896,0.1849,0.1755,314964.8
2024-07-08 00:00:00+00:00,0.1739,0.1883,0.176,0.1826,711023.4
2024-07-09 00:00:00+00:00,0.1799,0.1896,0.1808,0.1891,255891.0
2024-07-10 00:00:00+00:00,0.1879,0.1994,0.1882,0.1963,247420.7
2024-07-11 00:00:00+00:00,0.1888,0.1966,0.195,0.1891,125179.1
2024-07-12 00:00:00+00:00,0.1881,0.195,0.1894,0.1943,132461.2
2024-07-13 00:00:00+00:00,0.1935,0.1971,0.1945,0.1968,85692.8
2024-07-14 00:00:00+00:00,0.1939,0.2005,0.197,0.2003,77767.7
2024-07-15 00:00:00+00:00,0.1989,0.2106,0.2002,0.2099,172106.6
2024-07-16 00:00:00+00:00,0.1994,0.2143,0.2107,0.2104,356551.9
2024-07-17 00:00:00+00:00,0.2083,0.2159,0.2111,0.2088,613867.5
2024-07-18 00:00:00+00:00,0.2089,0.25,0.2089,0.2297,4307911.5
2024-07-19 00:00:00+00:00,0.2161,0.2307,0.2289,0.2289,775203.7
2024-07-20 00:00:00+00:00,0.2135,0.2314,0.2284,0.2263,807551.3
2024-07-21 00:00:00+00:00,0.222,0.2423,0.226,0.2323,863063.0
2024-07-22 00:00:00+00:00,0.2214,0.2331,0.2327,0.2221,346466.8
2024-07-23 00:00:00+00:00,0.2079,0.2249,0.2233,0.2141,212275.7
2024-07-24 00:00:00+00:00,0.2118,0.2229,0.2138,0.2134,306372.0
2024-07-25 00:00:00+00:00,0.2003,0.2148,0.2131,0.2086,135990.1
2024-07-26 00:00:00+00:00,0.2083,0.221,0.209,0.2206,42378.3
2024-07-27 00:00:00+00:00,0.2166,0.2246,0.2203,0.2201,73539.3
2024-07-28 00:00:00+00:00,0.2185,0.2381,0.22,0.2241,4751704.5
2024-07-29 00:00:00+00:00,0.2239,0.2479,0.224,0.2352,3177301.6
2024-07-30 00:00:00+00:00,0.2211,0.2372,0.2352,0.2226,783687.1
2024-07-31 00:00:00+00:00,0.2153,0.2243,0.2223,0.2162,227411.2
2024-08-01 00:00:00+00:00,0.2015,0.2208,0.2169,0.2164,408901.1
2024-08-02 00:00:00+00:00,0.2055,0.225,0.217,0.2074,1173192.0
2024-08-03 00:00:00+00:00,0.1937,0.2177,0.2069,0.1966,1113883.5
2024-08-04 00:00:00+00:00,0.1783,0.1973,0.1963,0.1799,548373.1
2024-08-05 00:00:00+00:00,0.143,0.1819,0.1805,0.1643,885963.6
2024-08-06 00:00:00+00:00,0.1636,0.1793,0.1636,0.1749,360492.8
2024-08-07 00:00:00+00:00,0.1724,0.1835,0.175,0.1751,459044.3
2024-08-08 00:00:00+00:00,0.1721,0.1949,0.1758,0.1941,152775.5
2024-08-09 00:00:00+00:00,0.1945,0.2063,0.1945,0.1988,1361370.3
2024-08-10 00:00:00+00:00,0.1966,0.2042,0.1982,0.2016,202199.8
2024-08-11 00:00:00+00:00,0.1891,0.2159,0.2021,0.1901,1091076.9
2024-08-12 00:00:00+00:00,0.1927,0.2072,0.1927,0.1995,1095633.4
2024-08-13 00:00:00+00:00,0.1942,0.2055,0.1998,0.2006,248926.4
2024-08-14 00:00:00+00:00,0.1928,0.201,0.2001,0.1938,211282.4
2024-08-15 00:00:00+00:00,0.1833,0.195,0.1947,0.1877,33174.2
2024-08-16 00:00:00+00:00,0.1817,0.1902,0.1876,0.1858,49078.8
2024-08-17 00:00:00+00:00,0.1843,0.1911,0.1858,0.1887,55761.3
2024-08-18 00:00:00+00:00,0.1858,0.1922,0.189,0.1875,53962.8
2024-08-19 00:00:00+00:00,0.1868,0.1937,0.1873,0.1937,110832.9
2024-08-20 00:00:00+00:00,0.1901,0.1978,0.1938,0.1947,63879.6
2024-08-21 00:00:00+00:00,0.1945,0.21,0.195,0.2019,837618.5
2024-08-22 00:00:00+00:00,0.1999,0.2136,0.2016,0.2109,341487.8
2024-08-23 00:00:00+00:00,0.2085,0.2207,0.2112,0.22,221704.0
2024-08-24 00:00:00+00:00,0.2164,0.2249,0.22,0.2201,359709.0
2024-08-25 00:00:00+00:00,0.2096,0.2207,0.2207,0.2128,47364.9
2024-08-26 00:00:00+00:00,0.2005,0.2144,0.2144,0.2023,254310.6
2024-08-27 00:00:00+00:00,0.1871,0.2065,0.202,0.1919,179312.1
2024-08-28 00:00:00+00:00,0.1847,0.1966,0.1916,0.1891,64895.9
2024-08-29 00:00:00+00:00,0.1866,0.1955,0.1882,0.1896,77273.5
2024-08-30 00:00:00+00:00,0.182,0.1906,0.1891,0.1903,75480.3
2024-08-31 00:00:00+00:00,0.1853,0.1915,0.1905,0.1867,28105.2
2024-09-01 00:00:00+00:00,0.178,0.187,0.187,0.1795,87385.5
2024-09-02 00:00:00+00:00,0.1788,0.1889,0.1788,0.1882,170547.5
2024-09-03 00:00:00+00:00,0.1805,0.1917,0.1884,0.1805,47213.4
2024-09-04 00:00:00+00:00,0.1711,0.1863,0.1805,0.1845,44749.4
2024-09-05 00:00:00+00:00,0.1759,0.1851,0.1846,0.1772,59746.2
2024-09-06 00:00:00+00:00,0.168,0.1824,0.1777,0.1745,127790.7
2024-09-07 00:00:00+00:00,0.172,0.1773,0.1741,0.175,36941.6
2024-09-08 00:00:00+00:00,0.176,0.1812,0.176,0.18,55446.5
2024-09-09 00:00:00+00:00,0.1803,0.1914,0.1803,0.1896,262481.9
2024-09-10 00:00:00+00:00,0.1867,0.1948,0.1894,0.193,46821.8
2024-09-11 00:00:00+00:00,0.1877,0.1941,0.1927,0.1925,68414.0
2024-09-12 00:00:00+00:00,0.1913,0.1957,0.1926,0.1957,182403.5
2024-09-13 00:00:00+00:00,0.1931,0.1981,0.1956,0.1971,57483.2
2024-09-14 00:00:00+00:00,0.1919,0.2004,0.1987,0.1928,85376.9
2024-09-15 00:00:00+00:00,0.1865,0.1949,0.1932,0.188,39473.6
2024-09-16 00:00:00+00:00,0.186,0.1966,0.1881,0.1881,219457.6
2024-09-17 00:00:00+00:00,0.1876,0.1954,0.1877,0.1929,124130.9
2024-09-18 00:00:00+00:00,0.1837,0.1958,0.1929,0.1956,127858.8
2024-09-19 00:00:00+00:00,0.1949,0.2037,0.1966,0.2025,134754.1
2024-09-20 00:00:00+00:00,0.201,0.2164,0.203,0.2146,161471.3
2024-09-21 00:00:00+00:00,0.2154,0.2517,0.2154,0.2358,3755050.0
2024-09-22 00:00:00+00:00,0.2136,0.235,0.2349,0.2187,657501.1
2024-09-23 00:00:00+00:00,0.2119,0.2223,0.2183,0.2221,163107.4
2024-09-24 00:00:00+00:00,0.2168,0.2288,0.2222,0.2275,295114.3
2024-09-25 00:00:00+00:00,0.2186,0.2286,0.2274,0.2206,118425.0
2024-09-26 00:00:00+00:00,0.2216,0.2381,0.2216,0.2313,939505.6
2024-09-27 00:00:00+00:00,0.2276,0.2342,0.2312,0.2309,257550.3
2024-09-28 00:00:00+00:00,0.2222,0.2326,0.2304,0.2259,127371.5
2024-09-29 00:00:00+00:00,0.2252,0.2385,0.2261,0.2351,398500.9
2024-09-30 00:00:00+00:00,0.2156,0.2353,0.2353,0.2166,299732.3
2024-10-01 00:00:00+00:00,0.2005,0.2265,0.217,0.2092,294213.1
2024-10-02 00:00:00+00:00,0.1966,0.2144,0.2092,0.2015,134365.2
2024-10-03 00:00:00+00:00,0.193,0.2033,0.2005,0.1975,281945.4
2024-10-04 00:00:00+00:00,0.1941,0.2091,0.1981,0.2089,235416.2
2024-10-05 00:00:00+00:00,0.2065,0.2123,0.2076,0.2099,105791.5
2024-10-06 00:00:00+00:00,0.2097,0.2214,0.2105,0.2186,197438.2
2024-10-07 00:00:00+00:00,0.2118,0.2214,0.2186,0.2123,79379.6
2024-10-08 00:00:00+00:00,0.2105,0.2175,0.213,0.2148,102107.9
2024-10-09 00:00:00+00:00,0.2125,0.2402,0.2153,0.2212,1717658.3
2024-10-10 00:00:00+00:00,0.2061,0.2227,0.222,0.2117,634063.0
2024-10-11 00:00:00+00:00,0.2098,0.2339,0.2115,0.2257,1154435.2
2024-10-12 00:00:00+00:00,0.2234,0.2316,0.2242,0.2259,211245.8
2024-10-13 00:00:00+00:00,0.214,0.226,0.226,0.2189,206273.0
2024-10-14 00:00:00+00:00,0.2168,0.2286,0.2183,0.2279,135854.6
2024-10-15 00:00:00+00:00,0.2142,0.2295,0.2286,0.2246,429394.2
2024-10-16 00:00:00+00:00,0.2206,0.2248,0.224,0.224,101248.0
2024-10-17 00:00:00+00:00,0.2157,0.2246,0.2244,0.2182,96469.4
2024-10-18 00:00:00+00:00,0.2171,0.2247,0.2183,0.2246,100507.3
2024-10-19 00:00:00+00:00,0.2246,0.2456,0.2246,0.2355,1235754.8
2024-10-20 00:00:00+00:00,0.2291,0.2416,0.2355,0.2358,384327.2
2024-10-21 00:00:00+00:00,0.2243,0.2384,0.2369,0.2258,133321.3
2024-10-22 00:00:00+00:00,0.2201,0.2296,0.2265,0.2254,119895.5
2024-10-23 00:00:00+00:00,0.2113,0.2242,0.2239,0.2169,137792.6
2024-10-24 00:00:00+00:00,0.2128,0.2193,0.2168,0.2183,58071.6
2024-10-25 00:00:00+00:00,0.1954,0.2211,0.2194,0.206,112684.5
2024-10-26 00:00:00+00:00,0.2024,0.2086,0.2035,0.2065,101540.3
2024-10-27 00:00:00+00:00,0.2052,0.2145,0.2066,0.2111,154882.2
2024-10-28 00:00:00+00:00,0.2057,0.2135,0.2118,0.2119,73499.4
2024-10-29 00:00:00+00:00,0.2121,0.219,0.2124,0.2172,168500.7
2024-10-30 00:00:00+00:00,0.212,0.2181,0.218,0.2152,113116.4
2024-10-31 00:00:00+00:00,0.2032,0.2134,0.2134,0.2058,92982.8
2024-11-01 00:00:00+00:00,0.1999,0.2085,0.2049,0.2022,110819.0
2024-11-02 00:00:00+00:00,0.1968,0.2041,0.2032,0.198,32177.9
2024-11-03 00:00:00+00:00,0.1859,0.1979,0.1977,0.1907,107945.3
2024-11-04 00:00:00+00:00,0.18,0.1923,0.1905,0.1841,70039.7
2024-11-05 00:00:00+00:00,0.1839,0.1923,0.1839,0.1907,78947.2
2024-11-06 00:00:00+00:00,0.1903,0.2092,0.1903,0.2086,192981.1
2024-11-07 00:00:00+00:00,0.2061,0.2202,0.2083,0.2181,402806.1
2024-11-08 00:00:00+00:00,0.21,0.2198,0.2196,0.2162,244906.6
2024-11-09 00:00:00+00:00,0.2102,0.2195,0.2154,0.2186,175800.0
2024-11-10 00:00:00+00:00,0.2162,0.2352,0.2185,0.2283,681954.3
2024-11-11 00:00:00+00:00,0.2233,0.2506,0.2281,0.2503,1391968.7
2024-11-12 00:00:00+00:00,0.228,0.2687,0.2504,0.2429,1632100.3
2024-11-13 00:00:00+00:00,0.228,0.256,0.2426,0.239,973787.4
2024-11-14 00:00:00+00:00,0.2172,0.2403,0.2398,0.2213,577177.1
2024-11-15 00:00:00+00:00,0.215,0.2367,0.2217,0.2367,181837.4
2024-11-16 00:00:00+00:00,0.2367,0.2543,0.2367,0.2543,568731.8
2024-11-17 00:00:00+00:00,0.2336,0.2523,0.2506,0.2369,340733.0
2024-11-18 00:00:00+00:00,0.237,0.2631,0.2377,0.2583,448219.9
2024-11-19 00:00:00+00:00,0.2571,0.3099,0.2588,0.2635,3872545.9
2024-11-20 00:00:00+00:00,0.2411,0.2597,0.2597,0.2493,605858.3
2024-11-21 00:00:00+00:00,0.2418,0.2583,0.2475,0.2566,501032.1
2024-11-22 00:00:00+00:00,0.2531,0.2692,0.2549,0.2692,818702.5
2024-11-23 00:00:00+00:00,0.2657,0.283,0.2688,0.2778,881365.3
