time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,4.535,4.907,4.901,4.567,94064.24
2024-06-11 00:00:00+00:00,4.171,4.583,4.567,4.243,157813.48
2024-06-12 00:00:00+00:00,4.123,4.5,4.25,4.378,97691.83
2024-06-13 00:00:00+00:00,4.072,4.409,4.371,4.094,70883.28
2024-06-14 00:00:00+00:00,3.893,4.293,4.094,4.133,150317.59
2024-06-15 00:00:00+00:00,4.08,4.28,4.115,4.195,33225.14
2024-06-16 00:00:00+00:00,4.105,4.241,4.182,4.234,30388.87
2024-06-17 00:00:00+00:00,3.69,4.245,4.217,3.874,125522.79
2024-06-18 00:00:00+00:00,3.377,3.893,3.879,3.624,205790.44
2024-06-19 00:00:00+00:00,3.563,3.82,3.625,3.603,98180.76
2024-06-20 00:00:00+00:00,3.584,3.829,3.603,3.637,52472.48
2024-06-21 00:00:00+00:00,3.531,3.723,3.639,3.586,74538.94
2024-06-22 00:00:00+00:00,3.525,3.709,3.594,3.661,33311.67
2024-06-23 00:00:00+00:00,3.456,3.858,3.686,3.518,54183.99
2024-06-24 00:00:00+00:00,3.445,3.722,3.509,3.706,125583.24
2024-06-25 00:00:00+00:00,3.644,3.755,3.7,3.687,38719.32
2024-06-26 00:00:00+00:00,3.471,3.753,3.696,3.513,43819.43
2024-06-27 00:00:00+00:00,3.485,3.8,3.519,3.657,79541.14
2024-06-28 00:00:00+00:00,3.494,3.727,3.656,3.514,42182.86
2024-06-29 00:00:00+00:00,3.468,3.616,3.512,3.475,31779.04
2024-06-30 00:00:00+00:00,3.424,3.707,3.481,3.665,48907.34
2024-07-01 00:00:00+00:00,3.535,3.745,3.672,3.539,47151.87
2024-07-02 00:00:00+00:00,3.456,3.575,3.543,3.503,51131.24
2024-07-03 00:00:00+00:00,3.211,3.539,3.496,3.268,69609.05
2024-07-04 00:00:00+00:00,2.977,3.281,3.266,2.977,80495.59
2024-07-05 00:00:00+00:00,2.618,3.12,2.979,3.05,214184.86
2024-07-06 00:00:00+00:00,2.963,3.258,3.035,3.222,52161.93
2024-07-07 00:00:00+00:00,2.98,3.225,3.219,2.992,60264.8
2024-07-08 00:00:00+00:00,2.9,3.215,3.005,3.156,98049.61
2024-07-09 00:00:00+00:00,3.111,3.194,3.15,3.143,32544.51
2024-07-10 00:00:00+00:00,3.089,3.233,3.126,3.207,41573.89
2024-07-11 00:00:00+00:00,3.038,3.235,3.215,3.041,60727.53
2024-07-12 00:00:00+00:00,2.98,3.148,3.065,3.148,37115.52
2024-07-13 00:00:00+00:00,3.072,3.16,3.131,3.129,40347.54
2024-07-14 00:00:00+00:00,3.092,3.258,3.136,3.221,51434.49
2024-07-15 00:00:00+00:00,3.218,3.449,3.24,3.435,65120.72
2024-07-16 00:00:00+00:00,3.265,3.475,3.452,3.384,50635.34
2024-07-17 00:00:00+00:00,3.352,3.492,3.378,3.421,73495.39
2024-07-18 00:00:00+00:00,3.407,3.725,3.412,3.542,107426.7
2024-07-19 00:00:00+00:00,3.335,3.648,3.538,3.604,47287.8
2024-07-20 00:00:00+00:00,3.496,3.66,3.611,3.64,46086.85
2024-07-21 00:00:00+00:00,3.51,3.664,3.64,3.653,39886.66
2024-07-22 00:00:00+00:00,3.35,3.671,3.665,3.404,78277.06
2024-07-23 00:00:00+00:00,3.237,3.488,3.395,3.395,82495.74
2024-07-24 00:00:00+00:00,3.145,3.412,3.382,3.182,49478.89
2024-07-25 00:00:00+00:00,3.058,3.199,3.186,3.164,47282.33
2024-07-26 00:00:00+00:00,3.158,3.334,3.158,3.331,21683.48
2024-07-27 00:00:00+00:00,3.21,3.385,3.329,3.279,29996.47
2024-07-28 00:00:00+00:00,3.105,3.287,3.278,3.157,32329.68
2024-07-29 00:00:00+00:00,3.084,3.283,3.172,3.167,67505.05
2024-07-30 00:00:00+00:00,3.028,3.2,3.17,3.037,32618.74
2024-07-31 00:00:00+00:00,2.934,3.11,3.035,2.94,73174.26
2024-08-01 00:00:00+00:00,2.75,2.986,2.936,2.974,90088.91
2024-08-02 00:00:00+00:00,2.728,2.971,2.967,2.763,65985.95
2024-08-03 00:00:00+00:00,2.558,2.799,2.764,2.601,110888.29
2024-08-04 00:00:00+00:00,2.484,2.866,2.604,2.583,111643.54
2024-08-05 00:00:00+00:00,2.07,2.612,2.579,2.396,319611.09
2024-08-06 00:00:00+00:00,2.387,2.533,2.388,2.435,69664.28
2024-08-07 00:00:00+00:00,2.309,2.568,2.436,2.351,72401.51
2024-08-08 00:00:00+00:00,2.375,2.68,2.378,2.679,87482.2
2024-08-09 00:00:00+00:00,2.52,2.671,2.671,2.608,71318.24
2024-08-10 00:00:00+00:00,2.581,2.77,2.613,2.706,53633.92
2024-08-11 00:00:00+00:00,2.419,2.757,2.708,2.552,51743.45
2024-08-12 00:00:00+00:00,2.52,2.74,2.555,2.652,43977.84
2024-08-13 00:00:00+00:00,2.584,2.697,2.652,2.667,51605.84
2024-08-14 00:00:00+00:00,2.559,2.72,2.651,2.582,54845.25
2024-08-15 00:00:00+00:00,2.385,2.608,2.577,2.428,48435.99
2024-08-16 00:00:00+00:00,2.386,2.507,2.43,2.451,29143.77
2024-08-17 00:00:00+00:00,2.439,2.537,2.453,2.523,25889.18
2024-08-18 00:00:00+00:00,2.483,2.895,2.521,2.694,118966.26
2024-08-19 00:00:00+00:00,2.645,2.94,2.687,2.757,93984.37
2024-08-20 00:00:00+00:00,2.75,3.05,2.761,2.94,92408.85
2024-08-21 00:00:00+00:00,2.852,3.022,2.939,2.957,49535.88
2024-08-22 00:00:00+00:00,2.898,3.26,2.963,3.033,73292.02
2024-08-23 00:00:00+00:00,3.006,3.237,3.025,3.119,84380.59
2024-08-24 00:00:00+00:00,3.105,3.257,3.138,3.191,27225.51
2024-08-25 00:00:00+00:00,3.015,3.21,3.187,3.103,18388.44
2024-08-26 00:00:00+00:00,2.901,3.122,3.083,2.916,69440.1
2024-08-27 00:00:00+00:00,2.67,2.957,2.912,2.723,40853.04
2024-08-28 00:00:00+00:00,2.595,2.834,2.72,2.666,23695.13
2024-08-29 00:00:00+00:00,2.542,2.758,2.653,2.56,34924.96
2024-08-30 00:00:00+00:00,2.471,2.626,2.54,2.607,52043.5
2024-08-31 00:00:00+00:00,2.512,2.616,2.614,2.581,57015.54
2024-09-01 00:00:00+00:00,2.469,2.707,2.576,2.496,55651.74
2024-09-02 00:00:00+00:00,2.471,2.763,2.495,2.608,40183.14
2024-09-03 00:00:00+00:00,2.449,2.65,2.617,2.474,31933.27
2024-09-04 00:00:00+00:00,2.33,2.544,2.476,2.53,68225.35
2024-09-05 00:00:00+00:00,2.439,2.542,2.53,2.457,36901.6
2024-09-06 00:00:00+00:00,2.295,2.49,2.45,2.356,32791.59
2024-09-07 00:00:00+00:00,2.331,2.459,2.361,2.385,17997.96
2024-09-08 00:00:00+00:00,2.396,2.486,2.407,2.449,10038.23
2024-09-09 00:00:00+00:00,2.452,2.619,2.455,2.59,35126.5
2024-09-10 00:00:00+00:00,2.575,2.689,2.582,2.655,21400.67
2024-09-11 00:00:00+00:00,2.51,2.678,2.646,2.588,28474.59
2024-09-12 00:00:00+00:00,2.586,2.642,2.59,2.634,17339.87
2024-09-13 00:00:00+00:00,2.555,2.757,2.621,2.731,55317.94
2024-09-14 00:00:00+00:00,2.682,2.74,2.73,2.709,19199.59
2024-09-15 00:00:00+00:00,2.515,2.749,2.699,2.522,101373.39
2024-09-16 00:00:00+00:00,2.451,2.568,2.523,2.474,32345.69
2024-09-17 00:00:00+00:00,2.445,2.605,2.472,2.569,48792.45
2024-09-18 00:00:00+00:00,2.445,2.655,2.565,2.654,35057.6
2024-09-19 00:00:00+00:00,2.653,2.79,2.655,2.706,29126.88
2024-09-20 00:00:00+00:00,2.669,2.855,2.701,2.821,61676.56
2024-09-21 00:00:00+00:00,2.749,2.875,2.833,2.855,65179.89
2024-09-22 00:00:00+00:00,2.615,2.864,2.854,2.736,43179.13
2024-09-23 00:00:00+00:00,2.685,2.957,2.734,2.946,71429.68
2024-09-24 00:00:00+00:00,2.849,3.15,2.954,3.135,116464.52
2024-09-25 00:00:00+00:00,2.919,3.156,3.11,2.943,53009.02
2024-09-26 00:00:00+00:00,2.893,3.144,2.941,3.06,53030.78
2024-09-27 00:00:00+00:00,3.013,3.165,3.054,3.079,66736.68
2024-09-28 00:00:00+00:00,2.994,3.133,3.09,3.051,47451.86
2024-09-29 00:00:00+00:00,2.974,3.075,3.059,3.028,33855.46
2024-09-30 00:00:00+00:00,2.798,3.04,3.04,2.812,76544.62
2024-10-01 00:00:00+00:00,2.55,2.918,2.803,2.614,73104.93
2024-10-02 00:00:00+00:00,2.543,2.726,2.626,2.61,47563.79
2024-10-03 00:00:00+00:00,2.486,2.674,2.612,2.577,62072.58
2024-10-04 00:00:00+00:00,2.563,2.676,2.58,2.646,61282.15
2024-10-05 00:00:00+00:00,2.577,2.675,2.652,2.621,12049.05
2024-10-06 00:00:00+00:00,2.59,2.719,2.615,2.678,12445.51
2024-10-07 00:00:00+00:00,2.677,2.873,2.677,2.696,71581.46
2024-10-08 00:00:00+00:00,2.578,2.699,2.687,2.609,58801.91
2024-10-09 00:00:00+00:00,2.542,2.634,2.61,2.581,24727.71
2024-10-10 00:00:00+00:00,2.505,2.621,2.578,2.571,41427.75
2024-10-11 00:00:00+00:00,2.545,2.668,2.567,2.644,41919.76
2024-10-12 00:00:00+00:00,2.625,2.729,2.64,2.706,32311.96
2024-10-13 00:00:00+00:00,2.58,2.73,2.7,2.715,70292.66
2024-10-14 00:00:00+00:00,2.686,2.801,2.717,2.77,91484.61
2024-10-15 00:00:00+00:00,2.629,2.92,2.773,2.671,159150.8
2024-10-16 00:00:00+00:00,2.565,2.677,2.672,2.584,43682.47
2024-10-17 00:00:00+00:00,2.495,2.605,2.603,2.518,45736.23
2024-10-18 00:00:00+00:00,2.504,2.607,2.518,2.592,33005.85
2024-10-19 00:00:00+00:00,2.556,2.688,2.591,2.615,85063.41
2024-10-20 00:00:00+00:00,2.549,2.85,2.621,2.766,93128.96
2024-10-21 00:00:00+00:00,2.641,2.826,2.768,2.662,63914.92
2024-10-22 00:00:00+00:00,2.592,2.693,2.652,2.645,29178.61
2024-10-23 00:00:00+00:00,2.497,2.648,2.625,2.566,31739.77
2024-10-24 00:00:00+00:00,2.535,2.631,2.566,2.552,56526.77
2024-10-25 00:00:00+00:00,2.282,2.606,2.568,2.351,69843.83
2024-10-26 00:00:00+00:00,2.32,2.416,2.33,2.413,44415.89
2024-10-27 00:00:00+00:00,2.381,2.442,2.402,2.401,41524.34
2024-10-28 00:00:00+00:00,2.202,2.448,2.395,2.369,207901.11
2024-10-29 00:00:00+00:00,2.359,2.515,2.368,2.5,78171.12
2024-10-30 00:00:00+00:00,2.392,2.517,2.5,2.408,83346.44
2024-10-31 00:00:00+00:00,2.301,2.41,2.409,2.31,33349.09
2024-11-01 00:00:00+00:00,2.252,2.657,2.312,2.421,205664.64
2024-11-02 00:00:00+00:00,2.272,2.591,2.419,2.353,102367.45
2024-11-03 00:00:00+00:00,2.202,2.407,2.354,2.28,78988.47
2024-11-04 00:00:00+00:00,2.132,2.392,2.274,2.162,58321.07
2024-11-05 00:00:00+00:00,2.167,2.301,2.167,2.196,27360.44
2024-11-06 00:00:00+00:00,2.199,2.485,2.199,2.465,63858.25
2024-11-07 00:00:00+00:00,2.412,2.566,2.464,2.529,50086.14
2024-11-08 00:00:00+00:00,2.495,2.641,2.529,2.567,61270.22
2024-11-09 00:00:00+00:00,2.521,2.671,2.558,2.65,55868.74
