time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,87.08,90.63,87.76,87.62,26088.08
2024-06-11 00:00:00+00:00,81.97,88.01,87.65,84.53,21859.285
2024-06-12 00:00:00+00:00,83.35,88.49,84.56,87.48,23221.459
2024-06-13 00:00:00+00:00,82.59,88.21,87.44,83.11,16443.161
2024-06-14 00:00:00+00:00,79.29,83.44,83.1,81.36,18284.77
2024-06-15 00:00:00+00:00,81.24,83.68,81.25,82.35,11606.765
2024-06-16 00:00:00+00:00,82.04,84.0,82.34,82.91,8729.688
2024-06-17 00:00:00+00:00,77.16,83.43,82.93,79.77,21209.729
2024-06-18 00:00:00+00:00,72.12,81.92,79.76,76.59,38641.477
2024-06-19 00:00:00+00:00,76.17,81.12,76.53,78.9,18683.429
2024-06-20 00:00:00+00:00,77.3,80.18,78.85,78.14,14854.018
2024-06-21 00:00:00+00:00,74.94,78.96,78.1,76.47,11490.38
2024-06-22 00:00:00+00:00,74.7,76.47,76.44,75.2,10975.256
2024-06-23 00:00:00+00:00,73.65,77.22,75.22,73.98,11098.928
2024-06-24 00:00:00+00:00,72.06,75.3,73.97,74.53,16752.377
2024-06-25 00:00:00+00:00,73.95,76.79,74.47,76.51,12844.878
2024-06-26 00:00:00+00:00,75.0,77.89,76.58,75.74,7455.9
2024-06-27 00:00:00+00:00,72.69,77.05,75.72,72.9,12131.549
2024-06-28 00:00:00+00:00,70.0,79.39,72.89,76.56,27867.874
2024-06-29 00:00:00+00:00,75.11,79.42,76.5,75.48,10701.735
2024-06-30 00:00:00+00:00,74.31,77.73,75.65,77.15,7500.596
2024-07-01 00:00:00+00:00,74.1,80.69,77.26,80.07,15490.871
2024-07-02 00:00:00+00:00,79.35,81.6,80.03,80.01,11878.707
2024-07-03 00:00:00+00:00,75.33,80.35,80.08,76.4,14946.993
2024-07-04 00:00:00+00:00,69.81,78.46,76.39,72.02,21228.16
2024-07-05 00:00:00+00:00,63.89,76.6,71.86,74.01,45328.599
2024-07-06 00:00:00+00:00,72.59,75.72,74.05,74.64,16444.185
2024-07-07 00:00:00+00:00,69.03,74.68,74.68,69.16,15164.602
2024-07-08 00:00:00+00:00,66.78,72.61,69.22,71.13,16777.585
2024-07-09 00:00:00+00:00,70.71,73.49,70.94,71.86,9099.688
2024-07-10 00:00:00+00:00,69.2,72.58,71.77,70.04,17111.289
2024-07-11 00:00:00+00:00,68.3,71.49,69.99,68.68,8117.612
2024-07-12 00:00:00+00:00,68.55,72.01,68.68,70.82,11273.914
2024-07-13 00:00:00+00:00,70.53,72.48,70.85,71.53,9569.741
2024-07-14 00:00:00+00:00,70.88,74.6,71.57,74.11,21573.423
2024-07-15 00:00:00+00:00,73.85,78.58,74.15,78.37,15489.057
2024-07-16 00:00:00+00:00,76.25,80.97,78.43,79.34,16578.049
2024-07-17 00:00:00+00:00,76.6,80.75,79.37,76.69,12605.115
2024-07-18 00:00:00+00:00,74.17,78.25,76.86,75.73,7035.136
2024-07-19 00:00:00+00:00,73.0,77.26,75.76,76.64,14341.554
2024-07-20 00:00:00+00:00,74.3,76.94,76.62,75.74,12236.246
2024-07-21 00:00:00+00:00,72.09,76.79,75.67,76.08,9705.472
2024-07-22 00:00:00+00:00,73.19,76.63,76.09,73.48,9093.851
2024-07-23 00:00:00+00:00,71.1,74.75,73.56,72.78,9772.355
2024-07-24 00:00:00+00:00,70.83,73.94,72.87,71.2,9007.751
2024-07-25 00:00:00+00:00,69.09,75.05,71.18,71.93,14153.672
2024-07-26 00:00:00+00:00,71.86,77.52,71.92,73.14,13747.092
2024-07-27 00:00:00+00:00,71.89,73.89,73.25,73.14,10432.989
2024-07-28 00:00:00+00:00,71.02,73.34,73.1,71.51,6483.037
2024-07-29 00:00:00+00:00,71.35,74.32,71.54,71.75,19069.863
2024-07-30 00:00:00+00:00,68.27,72.4,71.68,68.79,16859.304
2024-07-31 00:00:00+00:00,68.1,70.19,68.81,68.88,12408.77
2024-08-01 00:00:00+00:00,64.5,70.37,69.0,69.3,19744.795
2024-08-02 00:00:00+00:00,63.42,69.37,69.25,66.17,17972.707
2024-08-03 00:00:00+00:00,62.78,67.26,66.22,64.46,18137.89
2024-08-04 00:00:00+00:00,59.51,64.86,64.35,60.1,19716.094
2024-08-05 00:00:00+00:00,50.05,60.82,60.0,58.54,50070.827
2024-08-06 00:00:00+00:00,58.57,62.65,58.58,61.44,13066.171
2024-08-07 00:00:00+00:00,57.81,64.41,61.46,59.03,20973.576
2024-08-08 00:00:00+00:00,58.22,64.88,59.04,64.31,17932.23
2024-08-09 00:00:00+00:00,63.03,67.39,64.31,66.04,14346.296
2024-08-10 00:00:00+00:00,64.8,68.06,66.01,67.28,10795.684
2024-08-11 00:00:00+00:00,64.74,69.27,67.27,64.92,6576.301
2024-08-12 00:00:00+00:00,64.05,67.36,64.94,66.01,7987.112
2024-08-13 00:00:00+00:00,63.78,66.22,65.86,64.85,11400.707
2024-08-14 00:00:00+00:00,62.84,65.82,64.96,63.26,8908.875
2024-08-15 00:00:00+00:00,61.47,64.79,63.25,62.16,9232.454
2024-08-16 00:00:00+00:00,60.81,63.74,62.17,62.97,9269.655
2024-08-17 00:00:00+00:00,62.0,63.41,62.94,63.39,7320.912
2024-08-18 00:00:00+00:00,61.7,63.49,63.35,62.52,13496.661
2024-08-19 00:00:00+00:00,60.67,62.5,62.45,61.83,12466.413
2024-08-20 00:00:00+00:00,61.77,64.21,61.79,63.59,7495.955
2024-08-21 00:00:00+00:00,62.6,65.22,63.59,64.39,6422.537
2024-08-22 00:00:00+00:00,63.99,67.79,64.54,67.69,10455.629
2024-08-23 00:00:00+00:00,67.46,71.29,67.63,70.91,13472.805
2024-08-24 00:00:00+00:00,69.79,72.27,70.94,71.5,6186.197
2024-08-25 00:00:00+00:00,68.09,71.59,71.45,68.78,5461.587
2024-08-26 00:00:00+00:00,65.55,69.65,69.19,66.12,6053.568
2024-08-27 00:00:00+00:00,62.33,67.05,65.97,63.71,8525.284
2024-08-28 00:00:00+00:00,62.13,66.07,63.51,63.7,8915.915
2024-08-29 00:00:00+00:00,63.42,66.71,63.92,64.65,6184.086
2024-08-30 00:00:00+00:00,62.12,65.75,64.57,64.05,10038.246
2024-08-31 00:00:00+00:00,62.23,64.55,64.09,62.4,6357.443
2024-09-01 00:00:00+00:00,60.04,62.67,62.44,60.66,5835.746
2024-09-02 00:00:00+00:00,59.93,63.19,60.41,62.46,12337.896
2024-09-03 00:00:00+00:00,60.23,63.98,62.46,60.27,5411.204
2024-09-04 00:00:00+00:00,58.18,62.74,60.37,62.27,8304.08
2024-09-05 00:00:00+00:00,59.72,62.62,62.28,60.08,8410.132
2024-09-06 00:00:00+00:00,55.87,61.42,60.11,57.47,18714.536
2024-09-07 00:00:00+00:00,56.77,60.23,57.3,60.22,9344.122
