time,low,high,open,close,volume
2025-03-12 00:00:00+00:00,0.5601,0.709,0.7,0.5799,4854446.51
2025-03-13 00:00:00+00:00,0.5225,0.6433,0.5815,0.5371,7571863.72
2025-03-14 00:00:00+00:00,0.5042,0.584,0.5357,0.5665,5269537.9
2025-03-15 00:00:00+00:00,0.55,0.955,0.568,0.8218,25718800.56
2025-03-16 00:00:00+00:00,0.75,0.9034,0.8219,0.7752,14644489.66
2025-03-17 00:00:00+00:00,0.6881,0.7837,0.7746,0.7181,12138220.59
2025-03-18 00:00:00+00:00,0.6511,0.7201,0.7175,0.6891,9890425.41
2025-03-19 00:00:00+00:00,0.6514,0.7757,0.6892,0.7254,12875374.1
2025-03-20 00:00:00+00:00,0.6462,0.7442,0.7259,0.6688,4361686.71
2025-03-21 00:00:00+00:00,0.5805,0.6863,0.6683,0.5842,9641778.5
2025-03-22 00:00:00+00:00,0.5838,0.6207,0.5841,0.6048,3743972.02
2025-03-23 00:00:00+00:00,0.5717,0.6448,0.6048,0.5847,6270733.4
2025-03-24 00:00:00+00:00,0.5684,0.6187,0.5839,0.6093,8403823.36
2025-03-25 00:00:00+00:00,0.5995,0.7113,0.6097,0.6496,17181495.75
2025-03-26 00:00:00+00:00,0.5815,0.6534,0.6506,0.583,6451988.93
2025-03-27 00:00:00+00:00,0.5557,0.5708,0.5707,0.5641,420183.96
2025-03-28 00:00:00+00:00,0.5307,0.5744,0.5639,0.5401,3605052.53
2025-03-29 00:00:00+00:00,0.5125,0.577,0.5397,0.5587,3324488.33
2025-03-30 00:00:00+00:00,0.5217,0.5671,0.5587,0.5266,3816955.23
2025-03-31 00:00:00+00:00,0.4897,0.5393,0.526,0.5075,3545591.06
2025-04-01 00:00:00+00:00,0.478,0.5257,0.5071,0.4838,4154898.87
2025-04-02 00:00:00+00:00,0.4113,0.4857,0.4846,0.42,4746252.34
2025-04-03 00:00:00+00:00,0.4063,0.4427,0.4195,0.4156,1313837.87
2025-04-04 00:00:00+00:00,0.3978,0.4312,0.4161,0.417,1981183.29
2025-04-05 00:00:00+00:00,0.3956,0.4324,0.4164,0.405,1131559.24
2025-04-06 00:00:00+00:00,0.3307,0.41,0.4046,0.347,4853967.67
2025-04-07 00:00:00+00:00,0.3177,0.3895,0.3468,0.3783,2430220.93
2025-04-08 00:00:00+00:00,0.3468,0.389,0.3782,0.3503,1585972.35
2025-04-09 00:00:00+00:00,0.3391,0.4352,0.35,0.4274,4062011.04
2025-04-10 00:00:00+00:00,0.396,0.4422,0.428,0.4017,1645358.95
2025-04-11 00:00:00+00:00,0.3932,0.4914,0.4024,0.4765,2486798.83
2025-04-12 00:00:00+00:00,0.4158,0.4787,0.4777,0.4332,3622012.96
2025-04-13 00:00:00+00:00,0.3767,0.4379,0.4328,0.3793,2067509.0
2025-04-14 00:00:00+00:00,0.3716,0.3948,0.379,0.3807,2128016.63
2025-04-15 00:00:00+00:00,0.3459,0.3844,0.3811,0.3466,1238754.66
2025-04-16 00:00:00+00:00,0.3236,0.3541,0.3476,0.3294,1385433.42
2025-04-17 00:00:00+00:00,0.311,0.3296,0.3296,0.3147,976432.76
