time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,19.15,20.21,20.11,19.28,11441.189
2024-06-11 00:00:00+00:00,18.2,19.35,19.28,19.04,6048.099
2024-06-12 00:00:00+00:00,18.44,19.82,18.84,19.51,2673.76
2024-06-13 00:00:00+00:00,18.44,19.45,19.39,18.78,1454.482
2024-06-14 00:00:00+00:00,18.56,36.15,18.84,24.13,140075.943
2024-06-15 00:00:00+00:00,23.55,26.65,24.17,25.43,73717.623
2024-06-16 00:00:00+00:00,25.35,30.65,25.36,27.35,83274.825
2024-06-17 00:00:00+00:00,25.53,28.54,27.42,26.1,33630.18
2024-06-18 00:00:00+00:00,23.58,30.24,26.04,28.03,56669.88
2024-06-19 00:00:00+00:00,26.98,30.26,28.08,27.61,32468.996
2024-06-20 00:00:00+00:00,25.67,28.17,27.6,25.87,15655.648
2024-06-21 00:00:00+00:00,23.34,25.9,25.9,23.82,20013.453
2024-06-22 00:00:00+00:00,22.82,23.95,23.86,23.18,8379.434
2024-06-23 00:00:00+00:00,22.9,23.84,23.13,23.41,11915.85
2024-06-24 00:00:00+00:00,21.88,23.36,23.3,23.02,11769.957
2024-06-25 00:00:00+00:00,22.35,23.33,23.07,22.7,8388.39
2024-06-26 00:00:00+00:00,21.63,23.0,22.69,22.45,5738.777
2024-06-27 00:00:00+00:00,19.9,22.43,22.43,20.46,16938.004
2024-06-28 00:00:00+00:00,18.47,20.72,20.49,19.1,20172.627
2024-06-29 00:00:00+00:00,19.04,20.58,19.09,19.29,11264.679
2024-06-30 00:00:00+00:00,19.24,19.92,19.34,19.82,3151.274
2024-07-01 00:00:00+00:00,19.6,20.3,19.81,19.86,6000.859
2024-07-02 00:00:00+00:00,19.12,19.98,19.89,19.26,6141.948
2024-07-03 00:00:00+00:00,17.96,19.36,19.26,18.19,10636.952
2024-07-04 00:00:00+00:00,16.84,18.46,18.19,16.87,5716.62
2024-07-05 00:00:00+00:00,14.62,16.83,16.81,15.02,15087.063
2024-07-06 00:00:00+00:00,14.9,16.02,15.03,15.69,11889.958
2024-07-07 00:00:00+00:00,14.07,15.81,15.59,14.18,8356.761
2024-07-08 00:00:00+00:00,13.26,14.99,14.17,14.22,10963.916
2024-07-09 00:00:00+00:00,14.09,14.59,14.2,14.45,6852.296
2024-07-10 00:00:00+00:00,14.28,17.53,14.49,16.88,54314.531
2024-07-11 00:00:00+00:00,15.36,17.0,16.82,15.57,14287.951
2024-07-12 00:00:00+00:00,15.31,16.82,15.56,16.09,9267.059
2024-07-13 00:00:00+00:00,15.76,16.34,16.19,16.16,2651.884
2024-07-14 00:00:00+00:00,16.04,16.83,16.23,16.79,4421.37
2024-07-15 00:00:00+00:00,16.77,17.68,16.77,17.68,7799.973
2024-07-16 00:00:00+00:00,16.46,17.77,17.69,17.26,8920.027
2024-07-17 00:00:00+00:00,17.22,21.84,17.31,19.77,74729.853
2024-07-18 00:00:00+00:00,17.98,21.8,19.73,19.08,53628.759
2024-07-19 00:00:00+00:00,18.26,19.38,19.02,18.95,17982.134
2024-07-20 00:00:00+00:00,18.52,19.42,19.09,19.1,7361.906
2024-07-21 00:00:00+00:00,17.34,19.08,19.08,18.85,9635.494
2024-07-22 00:00:00+00:00,17.43,18.82,18.82,17.57,4413.111
2024-07-23 00:00:00+00:00,16.63,19.05,17.65,16.75,22711.862
2024-07-24 00:00:00+00:00,16.0,17.12,16.74,16.17,7564.537
2024-07-25 00:00:00+00:00,15.11,16.13,16.13,15.77,7837.18
2024-07-26 00:00:00+00:00,15.74,16.52,15.77,16.4,4111.776
2024-07-27 00:00:00+00:00,15.85,16.61,16.35,16.2,3790.461
2024-07-28 00:00:00+00:00,15.85,16.36,16.19,16.06,2926.976
2024-07-29 00:00:00+00:00,15.0,16.73,16.07,15.19,9857.266
2024-07-30 00:00:00+00:00,14.74,15.78,15.2,14.84,21926.604
2024-07-31 00:00:00+00:00,14.61,15.32,14.75,14.72,8157.077
2024-08-01 00:00:00+00:00,13.28,14.84,14.77,14.38,9232.726
2024-08-02 00:00:00+00:00,13.04,14.44,14.34,13.16,8662.98
2024-08-03 00:00:00+00:00,11.9,13.49,13.26,12.22,19938.662
2024-08-04 00:00:00+00:00,11.13,12.63,12.24,11.34,11451.298
2024-08-05 00:00:00+00:00,9.33,11.54,11.39,10.79,26856.916
2024-08-06 00:00:00+00:00,10.73,11.77,10.74,11.49,15435.26
2024-08-07 00:00:00+00:00,11.02,12.06,11.54,11.22,4383.421
2024-08-08 00:00:00+00:00,11.1,13.36,11.3,12.76,9684.492
2024-08-09 00:00:00+00:00,11.83,12.75,12.75,11.97,4150.411
2024-08-10 00:00:00+00:00,11.72,12.23,11.99,11.93,872.043
2024-08-11 00:00:00+00:00,11.38,12.41,11.9,11.52,4180.516
2024-08-12 00:00:00+00:00,11.4,12.23,11.6,12.04,6425.984
2024-08-13 00:00:00+00:00,11.63,12.21,12.02,12.12,3934.679
2024-08-14 00:00:00+00:00,11.36,12.31,12.1,11.44,7927.208
2024-08-15 00:00:00+00:00,10.29,11.46,11.41,10.49,12871.726
2024-08-16 00:00:00+00:00,10.08,10.66,10.48,10.24,13245.748
2024-08-17 00:00:00+00:00,10.14,10.66,10.24,10.54,14478.147
2024-08-18 00:00:00+00:00,10.53,11.8,10.64,11.08,16001.241
2024-08-19 00:00:00+00:00,10.89,11.56,11.07,11.44,10138.874
2024-08-20 00:00:00+00:00,11.04,11.69,11.42,11.48,9259.627
2024-08-21 00:00:00+00:00,11.4,11.99,11.56,11.79,6008.138
2024-08-22 00:00:00+00:00,11.8,12.11,11.87,12.0,2819.859
2024-08-23 00:00:00+00:00,12.04,15.96,12.04,14.79,44527.417
2024-08-24 00:00:00+00:00,13.86,14.92,14.71,14.11,11168.702
2024-08-25 00:00:00+00:00,13.03,14.12,14.12,13.66,8148.903
2024-08-26 00:00:00+00:00,12.67,13.74,13.71,12.67,4441.62
2024-08-27 00:00:00+00:00,12.15,13.08,12.66,12.36,10041.728
2024-08-28 00:00:00+00:00,11.7,12.45,12.35,12.03,4362.123
2024-08-29 00:00:00+00:00,11.74,12.53,11.99,11.84,2072.346
2024-08-30 00:00:00+00:00,10.86,12.13,11.85,11.43,10886.355
2024-08-31 00:00:00+00:00,10.81,11.71,11.4,10.97,2064.35
2024-09-01 00:00:00+00:00,10.54,11.24,10.96,10.61,4616.183
2024-09-02 00:00:00+00:00,10.52,11.32,10.66,11.25,11717.894
2024-09-03 00:00:00+00:00,10.75,11.6,11.28,10.79,6187.776
2024-09-04 00:00:00+00:00,10.16,10.88,10.8,10.66,11338.754
2024-09-05 00:00:00+00:00,9.88,10.77,10.66,9.91,8013.895
2024-09-06 00:00:00+00:00,9.04,10.09,9.91,9.3,18112.689
2024-09-07 00:00:00+00:00,8.91,9.88,9.35,9.04,15515.756
2024-09-08 00:00:00+00:00,8.93,9.84,9.04,9.46,7358.743
2024-09-09 00:00:00+00:00,9.34,13.18,9.48,11.6,183336.334
2024-09-10 00:00:00+00:00,11.08,12.45,11.7,11.24,82686.904
2024-09-11 00:00:00+00:00,9.93,11.26,11.24,10.15,60838.619
2024-09-12 00:00:00+00:00,9.97,10.31,10.16,10.25,29849.735
2024-09-13 00:00:00+00:00,10.04,10.49,10.22,10.32,21314.517
2024-09-14 00:00:00+00:00,10.12,10.49,10.33,10.25,13579.257
2024-09-15 00:00:00+00:00,9.73,10.37,10.25,9.9,13818.125
2024-09-16 00:00:00+00:00,9.22,9.85,9.84,9.38,25564.257
2024-09-17 00:00:00+00:00,9.3,9.81,9.39,9.64,9645.758
2024-09-18 00:00:00+00:00,9.29,9.9,9.59,9.83,19043.205
2024-09-19 00:00:00+00:00,9.83,11.39,9.85,10.31,48811.797
2024-09-20 00:00:00+00:00,10.13,11.04,10.32,10.79,27427.609
