time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.41,0.4254,0.4223,0.4129,859025.49
2024-06-11 00:00:00+00:00,0.3853,0.4151,0.4129,0.3926,1245687.88
2024-06-12 00:00:00+00:00,0.3844,0.4185,0.3928,0.411,1122425.26
2024-06-13 00:00:00+00:00,0.3885,0.4118,0.4106,0.3928,1129192.02
2024-06-14 00:00:00+00:00,0.3701,0.3978,0.3927,0.3785,1987517.47
2024-06-15 00:00:00+00:00,0.3766,0.3863,0.3783,0.3839,429761.22
2024-06-16 00:00:00+00:00,0.3791,0.3865,0.384,0.3829,406325.66
2024-06-17 00:00:00+00:00,0.3327,0.3848,0.3825,0.3371,2397572.71
2024-06-18 00:00:00+00:00,0.2922,0.3384,0.3382,0.3119,4144963.64
2024-06-19 00:00:00+00:00,0.3098,0.3274,0.3112,0.3244,1558927.4
2024-06-20 00:00:00+00:00,0.3224,0.3414,0.3232,0.3295,1360508.09
2024-06-21 00:00:00+00:00,0.326,0.338,0.3297,0.3314,1399426.24
2024-06-22 00:00:00+00:00,0.3271,0.3336,0.3315,0.3306,535769.35
2024-06-23 00:00:00+00:00,0.3179,0.3352,0.3303,0.3209,875844.68
2024-06-24 00:00:00+00:00,0.3057,0.3279,0.3213,0.3278,1923688.2
2024-06-25 00:00:00+00:00,0.3259,0.3413,0.3273,0.3372,727664.38
2024-06-26 00:00:00+00:00,0.3288,0.3404,0.3371,0.3339,726439.03
2024-06-27 00:00:00+00:00,0.3286,0.3435,0.3338,0.3399,615718.67
2024-06-28 00:00:00+00:00,0.3348,0.3446,0.3401,0.3354,1339481.12
2024-06-29 00:00:00+00:00,0.324,0.3419,0.3353,0.3255,456930.5
2024-06-30 00:00:00+00:00,0.3218,0.3325,0.3253,0.3306,587294.58
2024-07-01 00:00:00+00:00,0.3253,0.3362,0.3308,0.3278,777928.28
2024-07-02 00:00:00+00:00,0.323,0.336,0.3273,0.3296,949444.43
2024-07-03 00:00:00+00:00,0.3105,0.331,0.3295,0.3134,1490470.43
2024-07-04 00:00:00+00:00,0.2796,0.3159,0.3136,0.2816,2426175.88
2024-07-05 00:00:00+00:00,0.2444,0.2852,0.2817,0.2808,3974434.5
2024-07-06 00:00:00+00:00,0.2786,0.306,0.2807,0.3047,2268847.27
2024-07-07 00:00:00+00:00,0.2821,0.3053,0.3044,0.2836,1306177.75
2024-07-08 00:00:00+00:00,0.2708,0.304,0.2846,0.291,2651548.48
2024-07-09 00:00:00+00:00,0.2888,0.2987,0.2908,0.297,2000211.91
2024-07-10 00:00:00+00:00,0.2932,0.3053,0.2969,0.3012,1212532.52
2024-07-11 00:00:00+00:00,0.2969,0.3107,0.301,0.2991,1113348.17
2024-07-12 00:00:00+00:00,0.2963,0.3121,0.2992,0.3118,1176556.09
2024-07-13 00:00:00+00:00,0.3095,0.3186,0.3119,0.317,866443.9
2024-07-14 00:00:00+00:00,0.3127,0.3262,0.3169,0.324,1138242.08
2024-07-15 00:00:00+00:00,0.3228,0.3426,0.3237,0.3401,1410292.0
2024-07-16 00:00:00+00:00,0.3232,0.3439,0.3398,0.336,1418478.74
2024-07-17 00:00:00+00:00,0.3326,0.3454,0.3364,0.3339,898815.9
2024-07-18 00:00:00+00:00,0.3156,0.3485,0.3338,0.3217,1903434.97
2024-07-19 00:00:00+00:00,0.3154,0.3445,0.3214,0.3415,1666859.94
2024-07-20 00:00:00+00:00,0.3387,0.3502,0.3413,0.3457,647058.46
2024-07-21 00:00:00+00:00,0.3285,0.3505,0.3459,0.3482,563531.4
2024-07-22 00:00:00+00:00,0.3287,0.3495,0.3481,0.3322,938871.95
2024-07-23 00:00:00+00:00,0.3162,0.3381,0.3318,0.3207,1026988.67
2024-07-24 00:00:00+00:00,0.3163,0.3324,0.321,0.3187,871803.57
2024-07-25 00:00:00+00:00,0.2965,0.3198,0.3185,0.3068,1300165.26
2024-07-26 00:00:00+00:00,0.3063,0.3296,0.3066,0.3288,622982.73
2024-07-27 00:00:00+00:00,0.3261,0.3412,0.3281,0.3375,801552.83
2024-07-28 00:00:00+00:00,0.3256,0.3371,0.337,0.328,246680.07
2024-07-29 00:00:00+00:00,0.3273,0.3444,0.3281,0.3282,658747.86
2024-07-30 00:00:00+00:00,0.3195,0.3363,0.3276,0.3249,469544.78
2024-07-31 00:00:00+00:00,0.3078,0.3322,0.3246,0.3093,715983.74
2024-08-01 00:00:00+00:00,0.2838,0.3114,0.3093,0.3026,1571198.87
2024-08-02 00:00:00+00:00,0.2775,0.3045,0.3024,0.2834,2911324.19
2024-08-03 00:00:00+00:00,0.2646,0.2912,0.2836,0.2726,9330683.53
2024-08-04 00:00:00+00:00,0.2499,0.2794,0.2723,0.2603,1217822.68
2024-08-05 00:00:00+00:00,0.2084,0.2627,0.2602,0.238,6197244.54
2024-08-06 00:00:00+00:00,0.2377,0.2533,0.2379,0.2456,1872447.68
2024-08-07 00:00:00+00:00,0.2335,0.2525,0.2459,0.2378,1286679.44
2024-08-08 00:00:00+00:00,0.2339,0.2681,0.2384,0.267,1662581.69
2024-08-09 00:00:00+00:00,0.2582,0.2669,0.2669,0.2648,1002445.55
2024-08-10 00:00:00+00:00,0.2625,0.2752,0.2648,0.2716,702340.87
2024-08-11 00:00:00+00:00,0.2498,0.2743,0.2715,0.2516,1095168.21
2024-08-12 00:00:00+00:00,0.2493,0.2676,0.2516,0.2641,1242867.16
2024-08-13 00:00:00+00:00,0.256,0.2714,0.2638,0.2669,818513.56
2024-08-14 00:00:00+00:00,0.2529,0.2676,0.2667,0.2555,2071071.03
2024-08-15 00:00:00+00:00,0.2443,0.2623,0.2555,0.2474,1539691.55
2024-08-16 00:00:00+00:00,0.2415,0.2512,0.2474,0.249,998302.8
2024-08-17 00:00:00+00:00,0.2472,0.2526,0.2486,0.2526,505016.34
2024-08-18 00:00:00+00:00,0.2479,0.262,0.2522,0.2551,724107.33
2024-08-19 00:00:00+00:00,0.251,0.2611,0.255,0.26,841456.65
2024-08-20 00:00:00+00:00,0.2562,0.2663,0.2599,0.2614,1338672.76
2024-08-21 00:00:00+00:00,0.2591,0.2774,0.2614,0.2742,677775.91
2024-08-22 00:00:00+00:00,0.2684,0.2779,0.2739,0.2758,766295.08
2024-08-23 00:00:00+00:00,0.2761,0.3028,0.2761,0.3004,1089210.24
2024-08-24 00:00:00+00:00,0.2966,0.3093,0.3004,0.3037,643569.49
2024-08-25 00:00:00+00:00,0.2893,0.3038,0.3035,0.2946,1055862.19
2024-08-26 00:00:00+00:00,0.2769,0.2978,0.2947,0.2786,828493.13
2024-08-27 00:00:00+00:00,0.2539,0.2844,0.2784,0.26,1084650.98
2024-08-28 00:00:00+00:00,0.2472,0.2643,0.2596,0.2542,1120116.94
2024-08-29 00:00:00+00:00,0.2489,0.2625,0.2538,0.2525,752830.03
2024-08-30 00:00:00+00:00,0.2432,0.2594,0.2524,0.2553,1115781.28
2024-08-31 00:00:00+00:00,0.2491,0.2576,0.2553,0.2517,385069.87
2024-09-01 00:00:00+00:00,0.235,0.2525,0.2518,0.2358,847362.32
2024-09-02 00:00:00+00:00,0.2343,0.2536,0.2352,0.2504,1143176.97
2024-09-03 00:00:00+00:00,0.2409,0.2549,0.2505,0.2414,682718.14
2024-09-04 00:00:00+00:00,0.2294,0.2544,0.2418,0.2498,1472880.64
2024-09-05 00:00:00+00:00,0.2414,0.2513,0.2498,0.2438,512335.44
2024-09-06 00:00:00+00:00,0.2261,0.2495,0.2435,0.2347,1072636.7
