time,low,high,open,close,volume
2024-06-10 00:00:00+00:00,0.47,0.52,0.494,0.475,584062.75
2024-06-11 00:00:00+00:00,0.409,0.493,0.474,0.443,1393803.7
2024-06-12 00:00:00+00:00,0.415,0.464,0.442,0.454,897380.02
2024-06-13 00:00:00+00:00,0.418,0.454,0.454,0.421,488149.24
2024-06-14 00:00:00+00:00,0.403,0.445,0.42,0.426,796324.65
2024-06-15 00:00:00+00:00,0.425,0.498,0.431,0.479,1053435.78
2024-06-16 00:00:00+00:00,0.469,0.538,0.479,0.505,1487919.11
2024-06-17 00:00:00+00:00,0.45,0.509,0.503,0.456,422259.77
2024-06-18 00:00:00+00:00,0.42,0.47,0.459,0.47,540506.82
2024-06-19 00:00:00+00:00,0.465,0.6,0.47,0.523,988441.24
2024-06-20 00:00:00+00:00,0.514,0.651,0.522,0.651,1117684.98
2024-06-21 00:00:00+00:00,0.527,0.654,0.651,0.57,868052.07
2024-06-22 00:00:00+00:00,0.54,0.57,0.569,0.546,173941.37
2024-06-23 00:00:00+00:00,0.502,0.582,0.546,0.502,433828.53
2024-06-24 00:00:00+00:00,0.442,0.512,0.507,0.492,905338.52
2024-06-25 00:00:00+00:00,0.483,0.665,0.492,0.604,1889619.67
2024-06-26 00:00:00+00:00,0.559,0.61,0.603,0.585,405772.19
2024-06-27 00:00:00+00:00,0.573,0.635,0.589,0.591,652103.42
2024-06-28 00:00:00+00:00,0.553,0.597,0.591,0.565,247007.31
2024-06-29 00:00:00+00:00,0.555,0.571,0.561,0.555,102730.78
2024-06-30 00:00:00+00:00,0.539,0.574,0.555,0.568,513209.63
2024-07-01 00:00:00+00:00,0.56,0.624,0.567,0.598,569504.69
2024-07-02 00:00:00+00:00,0.588,0.672,0.599,0.652,896866.54
2024-07-03 00:00:00+00:00,0.579,0.661,0.653,0.605,559089.94
2024-07-04 00:00:00+00:00,0.544,0.617,0.607,0.549,345333.72
2024-07-05 00:00:00+00:00,0.499,0.556,0.548,0.55,394818.07
2024-07-06 00:00:00+00:00,0.54,0.61,0.548,0.605,166786.03
2024-07-07 00:00:00+00:00,0.515,0.605,0.605,0.515,246398.28
2024-07-08 00:00:00+00:00,0.5,0.589,0.515,0.564,461399.53
2024-07-09 00:00:00+00:00,0.533,0.583,0.561,0.545,302671.18
2024-07-10 00:00:00+00:00,0.501,0.57,0.541,0.518,671476.08
2024-07-11 00:00:00+00:00,0.474,0.538,0.518,0.498,679771.36
2024-07-12 00:00:00+00:00,0.475,0.504,0.504,0.485,244176.6
2024-07-13 00:00:00+00:00,0.479,0.514,0.481,0.514,214774.94
2024-07-14 00:00:00+00:00,0.488,0.542,0.513,0.495,246097.32
2024-07-15 00:00:00+00:00,0.475,0.535,0.495,0.527,814691.93
2024-07-16 00:00:00+00:00,0.484,0.527,0.527,0.51,471515.56
2024-07-17 00:00:00+00:00,0.473,0.522,0.513,0.48,607456.44
2024-07-18 00:00:00+00:00,0.475,0.516,0.482,0.51,396161.5
2024-07-19 00:00:00+00:00,0.493,0.53,0.511,0.523,376254.99
2024-07-20 00:00:00+00:00,0.496,0.527,0.527,0.516,246620.76
2024-07-21 00:00:00+00:00,0.508,0.548,0.512,0.537,464637.88
2024-07-22 00:00:00+00:00,0.486,0.537,0.537,0.492,493685.46
2024-07-23 00:00:00+00:00,0.457,0.496,0.49,0.478,461214.77
2024-07-24 00:00:00+00:00,0.461,0.486,0.483,0.473,223603.03
2024-07-25 00:00:00+00:00,0.45,0.475,0.471,0.468,275891.35
2024-07-26 00:00:00+00:00,0.45,0.515,0.469,0.509,558534.4
2024-07-27 00:00:00+00:00,0.475,0.507,0.504,0.495,266679.88
2024-07-28 00:00:00+00:00,0.471,0.491,0.491,0.486,87197.66
2024-07-29 00:00:00+00:00,0.481,0.535,0.482,0.504,296695.14
2024-07-30 00:00:00+00:00,0.472,0.517,0.505,0.48,258239.73
2024-07-31 00:00:00+00:00,0.451,0.484,0.481,0.455,235959.13
2024-08-01 00:00:00+00:00,0.413,0.457,0.455,0.43,467472.78
2024-08-02 00:00:00+00:00,0.372,0.433,0.43,0.375,691472.0
